pt1_dltres,pt2_dltres,pt3_dltres
0.155945,0.122659,2.063396
0.283369,0.122659,2.303290
0.296016,0.318531,2.285523
0.308664,0.308917,2.253756
0.317848,0.210675,2.225927
0.334842,0.370488,2.245321
0.367648,0.193231,2.288949
0.657263,0.123822,2.239650
0.629917,0.123822,2.262412
0.602481,0.189114,2.154624
0.614866,0.189114,2.177587
0.627673,0.179505,2.161208
0.291244,0.146561,1.982031
0.307217,0.306371,2.170029
0.328806,0.110602,2.189106
0.386561,0.119326,2.179274
0.656632,0.142660,2.151462
0.554843,0.240893,2.082911
0.529707,0.249617,2.085666
0.477901,0.127748,2.045728
0.205749,0.283657,2.099216
0.223833,0.508766,2.032124
0.268610,0.508228,2.189356
0.594442,0.536474,2.127612
0.588038,0.645068,2.075671
0.600003,0.537274,2.049416
0.568659,0.481057,2.044335
0.557415,0.429867,2.082722
0.509550,0.625798,2.006782
0.495667,0.690655,2.066126
0.136254,0.787543,2.106868
0.113764,0.526713,2.032278
0.189079,0.325316,2.018510
0.468445,0.020713,2.068797
0.469747,0.036305,2.072133
0.486003,0.032158,2.124438
0.484956,0.159281,2.077494
0.458445,0.253784,2.150662
0.460838,0.127296,2.112845
0.483595,0.084897,1.879913
0.378779,0.126941,2.122061
0.332007,0.080377,2.110417
0.357999,0.056239,2.072076
0.379171,0.041921,2.042309
0.397689,0.168656,2.082725
0.693177,0.233987,2.111082
0.675874,0.201163,2.055088
0.324619,0.336866,2.054633
0.278412,0.205898,2.111540
0.269282,0.341608,2.057300
0.262123,0.537617,2.093109
0.275838,0.341330,2.095684
0.314078,0.252727,2.102249
0.570852,0.111222,2.049612
0.570199,0.130293,2.052022
0.547957,0.405631,2.036987
0.227896,0.177900,1.848795
0.182252,0.014645,2.079539
0.249486,0.060027,2.048411
0.312896,0.321425,2.088005
0.604752,0.540547,2.067462
0.516124,0.653919,2.105476
0.152729,0.640195,2.035808
0.196874,1.112252,2.095369
0.251069,1.290148,2.090047
0.530752,1.037257,2.111772
0.445725,0.929652,2.150628
0.415410,0.962280,2.164991
0.106532,0.854684,1.501031
0.147035,0.658506,1.741069
0.205058,0.560419,1.767857
0.514029,0.452833,1.693089
0.498114,0.485484,1.716088
0.407417,0.475986,1.706780
0.381876,0.311005,1.695502
0.059829,0.530293,1.769594
0.100123,0.614632,1.693506
0.389043,1.021198,1.713882
0.399122,0.932622,1.758388
0.417731,0.737911,1.723292
0.443380,0.560762,1.732741
0.386253,0.540403,1.766994
0.356586,0.636112,1.689309
0.355792,0.713813,1.753490
0.370676,0.675456,1.771051
0.342854,0.567937,1.776106
0.320131,0.703950,1.710145
