pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
226.517979,667.976836,214.912315,462.180274,213.825033,642.035655,229.629378,433.235395,239.924538,693.476023,197.979566,489.950393
227.030000,667.980000,214.912315,462.180274,214.038964,641.821724,229.762934,433.168616,239.990000,693.020000,197.979566,489.950393
227.120000,668.010000,214.912315,462.180274,214.110275,641.679103,229.762934,433.168616,240.000000,693.020000,198.114640,489.950393
227.240000,668.030000,214.975560,462.367640,214.252896,641.607793,229.762934,433.168616,240.010000,693.020000,198.249714,489.550227
227.390000,668.040000,214.975560,462.414481,214.252896,641.536482,229.896490,433.101838,240.020000,693.070000,198.317251,488.949979
227.620000,668.150000,214.975560,462.508164,214.324206,641.465172,229.963268,433.101838,240.000000,693.000000,198.317251,489.150062
227.780000,668.180000,214.912315,462.695530,214.466827,641.465172,229.963268,433.101838,240.000000,693.040000,198.384788,489.150062
227.850000,668.220000,214.912315,462.789213,214.466827,641.393862,229.896490,433.101838,240.000000,693.040000,198.519862,489.150062
227.910000,668.250000,214.943937,462.789213,214.538137,641.322551,229.896490,433.101838,240.000000,693.040000,198.519862,489.150062
227.990000,668.250000,214.975560,462.836055,214.609447,641.251241,229.896490,433.101838,239.990000,693.040000,198.654935,489.050021
228.100000,668.340000,215.007182,462.929738,214.752068,641.179931,229.896490,433.101838,240.000000,693.030000,198.790009,488.449773
228.220000,668.400000,215.038804,463.023421,214.823379,640.965999,229.896490,433.302173,240.000000,693.050000,198.857546,488.449773
228.360000,668.460000,215.070426,463.163945,214.965999,640.965999,229.896490,433.302173,240.000000,693.020000,198.722472,488.749897
228.650000,668.830000,215.070426,463.257628,214.965999,640.894689,229.829712,433.302173,239.990000,693.030000,198.790009,488.649855
228.810000,668.910000,215.070426,463.257628,215.037310,640.823379,229.829712,433.302173,240.010000,693.020000,198.790009,488.649855
228.850000,668.900000,215.102048,463.351311,215.037310,640.823379,229.762934,433.302173,240.000000,693.030000,198.857546,488.449773
228.930000,668.930000,215.102048,463.491836,215.322551,640.680758,229.696156,433.502507,239.990000,693.020000,198.857546,488.249690
229.030000,668.980000,215.133671,463.632360,215.465172,641.037310,229.495822,433.636063,240.000000,693.010000,198.925083,488.149649
229.120000,669.040000,215.133671,463.726043,215.465172,641.108620,229.762934,434.103510,239.990000,693.060000,198.992620,488.049607
229.220000,669.090000,215.038804,463.913409,215.465172,641.108620,229.762934,434.303844,239.990000,693.010000,199.060157,488.349731
229.340000,669.220000,214.912315,464.241299,215.536482,641.179931,229.896490,434.437400,239.990000,693.020000,198.925083,488.449773
229.380000,669.300000,214.785826,464.381824,215.536482,641.393862,229.896490,434.504178,239.966723,693.079798,198.925083,488.449773
229.600000,669.600000,214.785826,464.428665,215.465172,641.536482,229.896490,434.570956,240.030697,692.985035,198.857546,488.249690
229.800000,669.930000,214.722582,464.616031,215.393862,641.607793,229.896490,434.704512,240.030697,692.890272,198.722472,488.649855
229.860000,669.980000,214.690959,464.803397,215.607793,642.035655,229.829712,435.171959,240.094671,692.890272,198.654935,488.749897
229.880000,670.000000,214.659337,464.850239,215.750414,642.178276,229.696156,435.572627,240.094671,692.890272,198.654935,488.749897
229.920000,670.040000,214.596093,465.037604,215.821724,642.178276,229.562600,435.772962,240.094671,692.890272,198.654935,488.749897
229.950000,670.060000,214.596093,465.037604,215.821724,642.249586,229.562600,435.906518,240.030697,693.079798,198.654935,488.649855
229.960000,670.090000,214.596093,465.084446,215.964345,642.320897,229.562600,436.106852,240.030697,693.079798,198.654935,488.649855
230.010000,670.180000,214.564471,465.224970,216.178276,642.677449,229.495822,436.373965,240.030697,693.079798,198.654935,488.649855
230.030000,670.240000,214.564471,465.271812,216.178276,642.891380,229.429044,436.707855,240.030697,693.079798,198.722472,488.649855
230.060000,670.260000,214.501226,465.318653,216.320897,642.962690,229.295488,437.175302,240.030697,693.079798,198.722472,488.649855
230.070000,670.320000,214.437982,465.412336,216.534828,643.105311,229.295488,437.375636,240.030697,692.985035,198.790009,488.349731
230.100000,670.370000,214.374737,465.506019,216.606138,643.176621,229.295488,437.375636,240.030697,692.890272,198.857546,488.249690
230.100000,670.410000,214.248248,465.646544,216.606138,643.247932,229.161931,437.442414,240.030697,692.890272,198.925083,488.249690
230.070000,670.380000,214.185004,465.740227,216.820069,643.390553,229.028375,437.575970,240.478512,692.226931,198.992620,488.149649
230.130000,670.430000,214.121759,465.880751,217.176621,643.533173,229.295488,437.575970,240.094671,692.795509,198.992620,488.149649
230.160000,670.550000,214.058515,466.021276,217.533173,643.818415,229.362266,437.642748,240.094671,692.795509,198.992620,488.149649
230.260000,670.880000,213.900404,466.161800,217.675794,643.889725,229.495822,437.709526,240.094671,692.795509,198.992620,487.949566
230.260000,670.950000,213.868782,466.208642,217.818415,644.103656,229.495822,437.709526,240.094671,692.795509,199.127694,487.549401
230.390000,670.990000,213.837159,466.255483,217.818415,644.246277,229.562600,437.909860,240.094671,692.795509,198.384788,489.050021
230.430000,671.010000,213.876203,466.273500,217.961036,644.317588,229.562600,437.909860,240.094671,692.795509,198.654935,489.050021
230.360000,671.000000,213.819986,466.273500,218.103656,644.460208,229.562600,438.043417,240.158644,692.132168,198.722472,489.050021
230.430000,671.140000,213.763768,466.356774,218.388898,644.531519,229.562600,438.243751,240.222618,692.132168,198.722472,489.050021
230.540000,671.310000,213.707551,466.398411,218.531519,644.674139,229.562600,438.310529,240.350565,692.132168,198.790009,489.050021
230.650000,671.470000,213.567008,466.564958,218.745450,644.745450,229.495822,438.377307,240.286591,692.132168,198.790009,488.849938
230.730000,671.800000,213.426465,466.689869,218.745450,644.816760,229.495822,438.444085,240.286591,692.132168,198.553477,488.112397
230.720000,671.830000,213.426465,466.689869,218.888071,644.888071,229.495822,438.510863,240.286591,692.132168,198.553477,488.290248
230.690000,671.870000,213.342139,466.773142,218.888071,644.959381,229.562600,438.577641,240.286591,692.132168,198.553477,488.290248
230.690000,671.910000,213.257813,466.898053,218.888071,644.959381,229.696156,438.844754,240.286591,692.132168,198.793608,488.468099
230.710000,672.000000,213.145378,466.981327,218.959381,644.959381,229.696156,438.844754,240.286591,692.132168,198.793608,489.357356
230.690000,672.060000,213.061052,467.064600,219.030691,645.173312,229.696156,438.911532,240.286591,692.132168,198.793608,489.357356
230.650000,672.070000,212.892400,467.147874,219.102002,645.244623,229.696156,438.978310,240.222618,692.132168,198.793608,489.179504
230.650000,672.120000,212.864292,467.189511,219.244623,645.387243,229.696156,439.045088,240.222618,692.132168,198.793608,489.179504
230.650000,672.180000,212.751857,467.314422,219.315933,645.529864,229.696156,439.111866,240.222618,692.132168,198.793608,489.179504
230.640000,672.270000,212.723748,467.314422,219.315933,645.529864,229.629378,439.579313,240.222618,692.132168,198.673542,488.823802
230.530000,672.240000,212.611314,467.397695,219.102002,645.815106,229.629378,439.579313,240.222618,692.132168,198.553477,488.823802
230.600000,672.450000,212.526988,467.480969,219.102002,645.886416,229.295488,439.646091,240.222618,692.132168,198.553477,488.823802
230.710000,672.870000,212.470771,467.522606,219.102002,646.029037,229.095153,439.779647,240.222618,692.132168,198.553477,488.823802
230.670000,672.990000,212.330227,467.564243,219.173312,646.100347,228.894819,439.979981,240.222618,692.132168,198.553477,488.823802
230.740000,673.100000,212.133467,467.814064,219.244623,646.242968,228.627707,440.180315,240.222618,692.132168,198.553477,488.645951
230.770000,673.200000,212.049141,467.855701,219.173312,646.385589,228.627707,440.180315,240.222618,692.132168,198.673542,488.468099
230.700000,673.240000,211.936706,467.938975,219.173312,646.385589,228.560929,440.247093,240.222618,692.132168,198.673542,488.468099
230.780000,673.470000,211.824272,467.980612,219.173312,646.456899,228.427373,440.380650,240.094671,692.226931,198.673542,488.468099
230.860000,673.860000,211.430751,468.313707,219.102002,646.528209,228.427373,440.380650,240.030697,692.511220,198.673542,488.468099
230.870000,673.960000,211.233990,468.563528,219.102002,646.670830,228.293816,440.514206,240.030697,692.511220,198.793608,487.578843
230.880000,674.060000,211.121556,468.646802,219.102002,646.670830,228.227038,440.514206,240.030697,692.511220,198.793608,487.400992
