pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.021816,0.052907,0.052176,0.022528,0.057463,0.059814,0.022066,0.056242,0.055113
0.022351,0.055031,0.054875,0.023381,0.056819,0.055515,0.022803,0.060088,0.059538
0.019606,0.052293,0.051273,0.021533,0.060651,0.054625,0.021487,0.058200,0.054952
0.023308,0.055653,0.055531,0.023899,0.056061,0.059218,0.022664,0.058444,0.056052
0.021653,0.056075,0.051669,0.022692,0.054071,0.055149,0.023909,0.063450,0.061081
0.022400,0.053205,0.052905,0.023366,0.062468,0.061842,0.023211,0.057743,0.055217
0.021436,0.056347,0.055149,0.024086,0.055207,0.055046,0.023275,0.061163,0.057126
0.023310,0.053238,0.051664,0.021813,0.055229,0.053386,0.023819,0.058447,0.056064
0.023042,0.054443,0.055456,0.023408,0.058969,0.060141,0.022362,0.062249,0.056903
0.022973,0.056532,0.055861,0.021585,0.056262,0.058624,0.024716,0.060347,0.056972
0.023156,0.052707,0.052612,0.021280,0.053813,0.053112,0.023674,0.059022,0.055493
0.021152,0.053239,0.053444,0.024121,0.057559,0.056334,0.024703,0.059048,0.056823
0.022355,0.054417,0.053080,0.024556,0.055331,0.058224,0.023108,0.060086,0.057122
0.022582,0.056005,0.051741,0.023135,0.053137,0.054099,0.023631,0.063288,0.062712
0.020996,0.055772,0.055260,0.022756,0.055382,0.055436,0.024638,0.056621,0.053808
0.023136,0.055505,0.055727,0.023404,0.056864,0.058049,0.022641,0.056927,0.054451
0.021146,0.055054,0.053021,0.023494,0.056021,0.055674,0.023366,0.061339,0.056891
0.021298,0.050924,0.051819,0.022481,0.055778,0.058540,0.024450,0.057167,0.054183
0.022764,0.051046,0.049230,0.022646,0.057122,0.053776,0.023422,0.060261,0.060281
0.023088,0.056927,0.054000,0.023730,0.054585,0.052872,0.022516,0.056783,0.056232
0.022058,0.056328,0.054763,0.022505,0.059601,0.056297,0.021212,0.059418,0.058745
0.022024,0.055681,0.052427,0.023442,0.061915,0.063654,0.022621,0.062058,0.058769
0.022512,0.056265,0.055441,0.023794,0.056391,0.058717,0.025175,0.063723,0.061729
0.022761,0.053775,0.052110,0.021964,0.059372,0.054533,0.022433,0.056184,0.051322
0.023350,0.055847,0.051742,0.024029,0.054086,0.055863,0.022896,0.057427,0.055848
0.023043,0.062279,0.059478,0.024748,0.058585,0.058584,0.022291,0.057745,0.056205
0.020483,0.055355,0.052062,0.023229,0.061458,0.058798,0.023026,0.055138,0.052430
0.023699,0.056562,0.059447,0.023078,0.055730,0.058268,0.023087,0.059792,0.055373
0.023767,0.054818,0.052550,0.025439,0.057938,0.059942,0.024113,0.059869,0.055245
0.020479,0.055239,0.051973,0.022139,0.059986,0.061096,0.024000,0.058093,0.056832
0.022677,0.052619,0.051113,0.023716,0.053203,0.051875,0.024471,0.062200,0.059889
0.021715,0.055656,0.057747,0.021950,0.058631,0.060408,0.023470,0.058890,0.055105
0.019752,0.059399,0.054509,0.022458,0.057367,0.059454,0.025894,0.057090,0.053545
0.020408,0.050657,0.052870,0.022741,0.056457,0.054818,0.022863,0.062359,0.058668
0.020493,0.054531,0.055133,0.019924,0.060487,0.060451,0.020699,0.056417,0.057178
0.021798,0.053737,0.050425,0.021706,0.055688,0.057217,0.023240,0.058093,0.057009
0.020653,0.054859,0.054702,0.022954,0.053171,0.053452,0.024318,0.058878,0.056022
0.021689,0.050576,0.048315,0.023868,0.058382,0.058980,0.020726,0.060450,0.058886
0.020978,0.049155,0.049278,0.022614,0.060362,0.060528,0.021738,0.060885,0.058375
0.020414,0.056955,0.054574,0.023791,0.055882,0.057148,0.022682,0.056192,0.052834
0.021304,0.052027,0.055221,0.021216,0.058365,0.058677,0.025061,0.063622,0.058477
0.022127,0.055590,0.052602,0.023346,0.055756,0.055514,0.024758,0.058984,0.055885
0.023316,0.059075,0.057574,0.025348,0.062541,0.061934,0.023166,0.063788,0.058004
0.021937,0.054049,0.053833,0.022408,0.055447,0.057120,0.021794,0.056795,0.053527
0.021653,0.056720,0.054880,0.024321,0.054592,0.054457,0.022514,0.059398,0.057855
0.022977,0.053181,0.051306,0.024047,0.059942,0.058791,0.023447,0.061958,0.055205
0.021710,0.054605,0.053050,0.024381,0.056114,0.055709,0.022069,0.059377,0.056515
0.022826,0.056773,0.055455,0.024695,0.056550,0.056408,0.023517,0.060996,0.059774
0.022570,0.051159,0.047894,0.022447,0.055557,0.058176,0.022622,0.057969,0.056980
0.020473,0.054233,0.056330,0.022967,0.057779,0.059123,0.024703,0.057972,0.054234
