pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
12.984063,1.192739,5.455889,12.909338,1.967542,5.337063,13.120405,0.352316,5.495362
12.984480,1.187321,5.456436,12.908688,1.962395,5.338558,13.120673,0.352475,5.495920
12.984908,1.181947,5.456974,12.908056,1.957284,5.340027,13.120948,0.352582,5.496454
12.985348,1.176619,5.457504,12.907442,1.952207,5.341469,13.121229,0.352638,5.496965
12.985799,1.171336,5.458026,12.906846,1.947166,5.342885,13.121517,0.352644,5.497452
12.986262,1.166097,5.458540,12.906267,1.942161,5.344273,13.121810,0.352598,5.497915
12.986735,1.160904,5.459045,12.905707,1.937190,5.345635,13.122110,0.352501,5.498354
12.987220,1.155755,5.459543,12.905163,1.932255,5.346971,13.122416,0.352354,5.498770
12.987717,1.150651,5.460032,12.904638,1.927356,5.348279,13.122728,0.352155,5.499162
12.988224,1.145592,5.460512,12.904131,1.922491,5.349561,13.123046,0.351906,5.499531
12.988743,1.140577,5.460985,12.903641,1.917662,5.350816,13.123370,0.351607,5.499876
12.989273,1.135608,5.461449,12.903169,1.912869,5.352045,13.123701,0.351257,5.500197
12.989814,1.130684,5.461905,12.902715,1.908110,5.353246,13.124037,0.350858,5.500494
12.990366,1.125804,5.462353,12.902278,1.903387,5.354421,13.124378,0.350409,5.500768
12.990930,1.120969,5.462792,12.901859,1.898700,5.355569,13.124726,0.349911,5.501018
12.991504,1.116179,5.463224,12.901458,1.894048,5.356691,13.125078,0.349365,5.501244
12.992089,1.111434,5.463647,12.901074,1.889431,5.357786,13.125436,0.348772,5.501447
12.992686,1.106734,5.464061,12.900708,1.884850,5.358854,13.125798,0.348132,5.501626
12.993292,1.102079,5.464468,12.900360,1.880304,5.359895,13.126165,0.347446,5.501781
12.993910,1.097468,5.464866,12.900029,1.875794,5.360910,13.126536,0.346717,5.501913
12.994538,1.092902,5.465256,12.899716,1.871320,5.361898,13.126910,0.345945,5.502020
12.995176,1.088382,5.465638,12.899420,1.866881,5.362859,13.127288,0.345132,5.502105
12.995824,1.083906,5.466012,12.899142,1.862478,5.363793,13.127667,0.344279,5.502165
12.996482,1.079475,5.466377,12.898881,1.858111,5.364701,13.128049,0.343390,5.502202
12.997149,1.075089,5.466734,12.898637,1.853780,5.365582,13.128432,0.342466,5.502215
12.997826,1.070747,5.467083,12.898410,1.849484,5.366436,13.128815,0.341509,5.502205
12.998511,1.066451,5.467423,12.898200,1.845225,5.367264,13.129197,0.340523,5.502170
12.999206,1.062199,5.467756,12.898007,1.841002,5.368065,13.129578,0.339511,5.502113
12.999908,1.057992,5.468080,12.897831,1.836815,5.368839,13.129955,0.338475,5.502031
13.000618,1.053830,5.468396,12.897671,1.832665,5.369587,13.130330,0.337421,5.501926
13.001336,1.049713,5.468703,12.897528,1.828551,5.370307,13.130699,0.336351,5.501797
13.002061,1.045641,5.469003,12.897401,1.824474,5.371001,13.131061,0.335269,5.501644
13.002792,1.041614,5.469294,12.897290,1.820434,5.371669,13.131416,0.334181,5.501468
13.003529,1.037632,5.469577,12.897195,1.816431,5.372309,13.131761,0.333092,5.501268
13.004271,1.033694,5.469852,12.897116,1.812465,5.372923,13.132095,0.332005,5.501044
13.005018,1.029801,5.470118,12.897052,1.808537,5.373510,13.132416,0.330928,5.500797
13.005769,1.025953,5.470376,12.897003,1.804646,5.374070,13.132722,0.329865,5.500526
13.006524,1.022150,5.470626,12.896969,1.800793,5.374604,13.133012,0.328824,5.500231
13.007281,1.018392,5.470868,12.896949,1.796978,5.375111,13.133283,0.327810,5.499912
13.008040,1.014679,5.471101,12.896943,1.793202,5.375591,13.133533,0.326831,5.499570
13.008800,1.011011,5.471327,12.896951,1.789464,5.376045,13.133760,0.325894,5.499204
13.009560,1.007387,5.471544,12.896973,1.785765,5.376472,13.133961,0.325006,5.498815
13.010319,1.003808,5.471752,12.897007,1.782106,5.376872,13.134134,0.324176,5.498402
13.011078,1.000275,5.471953,12.897054,1.778485,5.377245,13.134275,0.323411,5.497965
13.011833,0.996786,5.472145,12.897114,1.774905,5.377592,13.134384,0.322721,5.497504
13.012586,0.993342,5.472329,12.897184,1.771364,5.377912,13.134456,0.322115,5.497020
13.013333,0.989942,5.472505,12.897266,1.767864,5.378205,13.134488,0.321601,5.496512
13.014076,0.986588,5.472672,12.897358,1.764404,5.378471,13.134478,0.321189,5.495980
13.014811,0.983278,5.472832,12.897460,1.760986,5.378711,13.134423,0.320890,5.495425
13.015539,0.980014,5.472983,12.897571,1.757609,5.378924,13.134318,0.320713,5.494846
13.016258,0.976794,5.473126,12.897691,1.754273,5.379111,13.134162,0.320669,5.494243
13.016968,0.973619,5.473260,12.897820,1.750980,5.379270,13.133950,0.320768,5.493617
13.017666,0.970489,5.473387,12.897955,1.747730,5.379403,13.133680,0.321022,5.492967
13.018351,0.967404,5.473505,12.898097,1.744522,5.379509,13.133346,0.321441,5.492293
13.019023,0.964363,5.473614,12.898245,1.741358,5.379589,13.132947,0.322038,5.491596
13.019680,0.961368,5.473716,12.898398,1.738238,5.379641,13.132479,0.322822,5.490875
13.020321,0.958417,5.473809,12.898555,1.735161,5.379668,13.131937,0.323807,5.490130
13.020944,0.955511,5.473895,12.898716,1.732130,5.379667,13.131318,0.325003,5.489362
13.021548,0.952651,5.473971,12.898880,1.729143,5.379639,13.130618,0.326423,5.488569
13.022133,0.949834,5.474040,12.899045,1.726203,5.379585,13.129834,0.328078,5.487754
13.022695,0.947063,5.474100,12.899211,1.723308,5.379504,13.128961,0.329981,5.486914
13.023235,0.944337,5.474153,12.899377,1.720459,5.379397,13.127997,0.332143,5.486051
13.023751,0.941655,5.474197,12.899543,1.717658,5.379263,13.126937,0.334576,5.485164
13.024241,0.939019,5.474232,12.899706,1.714904,5.379101,13.125778,0.337292,5.484253
13.024704,0.936427,5.474260,12.899867,1.712199,5.378914,13.124516,0.340303,5.483319
13.025138,0.933880,5.474279,12.900023,1.709541,5.378699,13.123147,0.343621,5.482361
13.025543,0.931378,5.474290,12.900176,1.706933,5.378458,13.121668,0.347256,5.481379
13.025917,0.928921,5.474293,12.900322,1.704375,5.378190,13.120075,0.351221,5.480374
13.026258,0.926509,5.474287,12.900462,1.701866,5.377896,13.118365,0.355526,5.479345
13.026565,0.924141,5.474273,12.900594,1.699408,5.377574,13.116536,0.360182,5.478292
13.026838,0.921819,5.474251,12.900717,1.697001,5.377226,13.114582,0.365199,5.477216
13.027074,0.919541,5.474221,12.900830,1.694646,5.376851,13.112502,0.370588,5.476116
13.027272,0.917308,5.474182,12.900933,1.692343,5.376450,13.110292,0.376358,5.474992
13.027431,0.915120,5.474136,12.901024,1.690093,5.376022,13.107951,0.382518,5.473845
13.027549,0.912977,5.474081,12.901103,1.687896,5.375567,13.105473,0.389079,5.472674
13.027626,0.910879,5.474017,12.901168,1.685753,5.375085,13.102859,0.396047,5.471479
13.027660,0.908825,5.473946,12.901218,1.683664,5.374577,13.100104,0.403432,5.470260
13.027651,0.906817,5.473866,12.901252,1.681630,5.374042,13.097207,0.411240,5.469018
13.027596,0.904853,5.473778,12.901270,1.679652,5.373480,13.094166,0.419479,5.467752
13.027494,0.902934,5.473682,12.901271,1.677730,5.372891,13.090978,0.428156,5.466463
13.027346,0.901060,5.473578,12.901253,1.675864,5.372276,13.087642,0.437275,5.465149
13.027149,0.899231,5.473465,12.901215,1.674055,5.371634,13.084156,0.446842,5.463812
13.026902,0.897447,5.473344,12.901158,1.672303,5.370965,13.080520,0.456863,5.462452
13.026605,0.895708,5.473215,12.901079,1.670610,5.370270,13.076730,0.467342,5.461067
13.026256,0.894013,5.473078,12.900979,1.668975,5.369548,13.072788,0.478281,5.459659
13.025856,0.892363,5.472932,12.900856,1.667399,5.368799,13.068690,0.489685,5.458228
13.025401,0.890759,5.472778,12.900709,1.665882,5.368024,13.064438,0.501556,5.456772
13.024893,0.889199,5.472616,12.900538,1.664426,5.367221,13.060029,0.513897,5.455293
13.024330,0.887684,5.472446,12.900342,1.663029,5.366392,13.055463,0.526709,5.453791
13.023710,0.886213,5.472267,12.900120,1.661694,5.365536,13.050741,0.539993,5.452264
13.023035,0.884788,5.472080,12.899872,1.660420,5.364654,13.045861,0.553751,5.450714
13.022302,0.883407,5.471885,12.899597,1.659207,5.363745,13.040823,0.567983,5.449140
13.021511,0.882072,5.471682,12.899294,1.658057,5.362809,13.035628,0.582691,5.447543
13.020662,0.880781,5.471470,12.898963,1.656969,5.361846,13.030275,0.597873,5.445922
13.019754,0.879535,5.471250,12.898604,1.655944,5.360857,13.024764,0.613529,5.444277
13.018786,0.878334,5.471022,12.898214,1.654982,5.359841,13.019096,0.629661,5.442608
13.017757,0.877178,5.470786,12.897795,1.654083,5.358798,13.013270,0.646266,5.440916
13.016668,0.876067,5.470542,12.897346,1.653249,5.357729,13.007287,0.663345,5.439200
13.015518,0.875000,5.470289,12.896865,1.652478,5.356633,13.001147,0.680897,5.437461
13.014306,0.873978,5.470028,12.896354,1.651772,5.355510,12.994850,0.698921,5.435697
13.013032,0.873002,5.469758,12.895810,1.651131,5.354360,12.988397,0.717416,5.433910
13.011696,0.872070,5.469481,12.895235,1.650555,5.353184,12.981788,0.736380,5.432100
13.010296,0.871183,5.469195,12.894627,1.650043,5.351981,12.975022,0.755814,5.430265
13.008834,0.870341,5.468901,12.893987,1.649598,5.350751,12.968102,0.775716,5.428407
13.007308,0.869543,5.468599,12.893313,1.649218,5.349494,12.961026,0.796083,5.426526
13.005719,0.868791,5.468289,12.892606,1.648903,5.348211,12.953795,0.816916,5.424620
13.004066,0.868083,5.467970,12.891865,1.648655,5.346901,12.946411,0.838213,5.422691
13.002349,0.867421,5.467643,12.891091,1.648473,5.345564,12.938872,0.859972,5.420738
13.000567,0.866803,5.467308,12.890283,1.648358,5.344201,12.931179,0.882191,5.418762
12.998721,0.866230,5.466964,12.889440,1.648308,5.342811,12.923333,0.904871,5.416762
12.996810,0.865702,5.466613,12.888563,1.648326,5.341394,12.915334,0.928007,5.414738
12.994834,0.865218,5.466253,12.887652,1.648410,5.339951,12.907182,0.951601,5.412690
12.992794,0.864780,5.465885,12.886705,1.648561,5.338480,12.898877,0.975648,5.410619
12.990689,0.864386,5.465508,12.885724,1.648779,5.336983,12.890420,1.000150,5.408524
12.988518,0.864038,5.465124,12.884708,1.649063,5.335460,12.881811,1.025103,5.406406
12.986283,0.863734,5.464731,12.883658,1.649415,5.333909,12.873051,1.050507,5.404263
12.983982,0.863475,5.464330,12.882572,1.649834,5.332332,12.864138,1.076361,5.402098
12.981616,0.863261,5.463920,12.881450,1.650320,5.330728,12.855074,1.102662,5.399908
12.979184,0.863091,5.463503,12.880294,1.650873,5.329098,12.845859,1.129411,5.397695
12.976687,0.862967,5.463077,12.879102,1.651493,5.327440,12.836492,1.156607,5.395458
12.974125,0.862887,5.462643,12.877876,1.652181,5.325756,12.826975,1.184248,5.393197
12.971498,0.862853,5.462200,12.876613,1.652935,5.324046,12.817306,1.212335,5.390913
12.968805,0.862863,5.461750,12.875316,1.653757,5.322308,12.807486,1.240866,5.388604
12.966046,0.862918,5.461291,12.873983,1.654646,5.320544,12.797516,1.269841,5.386273
12.963223,0.863018,5.460824,12.872615,1.655603,5.318753,12.787394,1.299261,5.383917
12.960334,0.863163,5.460349,12.871212,1.656626,5.316935,12.777122,1.329124,5.381538
12.957379,0.863352,5.459865,12.869773,1.657717,5.315091,12.766698,1.359432,5.379135
12.954359,0.863587,5.459373,12.868299,1.658876,5.313220,12.756124,1.390183,5.376709
12.951274,0.863866,5.458873,12.866789,1.660101,5.311322,12.745399,1.421378,5.374259
12.948123,0.864190,5.458365,12.865245,1.661394,5.309398,12.734523,1.453016,5.371785
