pt1_X,pt1_Y,pt1_Z,,,,,,
13.007880,1.177086,5.489611,12.918497,1.923890,5.381300,13.133167,0.332020,5.513213
13.005575,1.161050,5.476182,12.915454,1.920887,5.374744,13.131959,0.330825,5.505476
13.005230,1.158166,5.474203,12.914829,1.919065,5.371044,13.129920,0.333850,5.508027
13.003057,1.156163,5.475254,12.914028,1.914933,5.366397,13.129532,0.336101,5.504817
13.002209,1.151516,5.472098,12.912259,1.918046,5.367267,13.131064,0.336202,5.497988
13.001015,1.144218,5.468797,12.910840,1.917581,5.365846,13.130188,0.337380,5.500474
13.000504,1.137934,5.466322,12.910188,1.913285,5.362116,13.129271,0.338975,5.502412
12.999889,1.135803,5.466324,12.910982,1.911929,5.359837,13.127277,0.342329,5.505232
12.999223,1.134607,5.465784,12.910506,1.909944,5.357054,13.127277,0.342329,5.505232
12.998215,1.132924,5.464991,12.910030,1.907958,5.354270,13.125739,0.345820,5.506881
12.997065,1.130181,5.465241,12.909228,1.903823,5.349619,13.126149,0.347741,5.500692
12.995808,1.127188,5.464837,12.907645,1.902437,5.347809,13.125192,0.349378,5.502367
12.994271,1.123643,5.464570,12.906992,1.898136,5.344073,13.125892,0.346645,5.503453
12.993335,1.113893,5.463071,12.907786,1.896781,5.341794,13.125371,0.348441,5.503827
12.992773,1.108698,5.459896,12.907309,1.894795,5.339010,13.125262,0.347807,5.503162
12.991735,1.108365,5.460689,12.908254,1.893273,5.337647,13.125152,0.349418,5.502103
12.990864,1.106013,5.460960,12.906784,1.883749,5.329788,13.125999,0.349393,5.499371
12.989486,1.103743,5.461617,12.909181,1.874225,5.328412,13.125348,0.350579,5.498950
12.988821,1.100938,5.461352,12.903669,1.880798,5.341352,13.124906,0.352300,5.499858
12.989078,1.095730,5.460065,12.902861,1.881077,5.344169,13.122577,0.354630,5.504904
12.989295,1.089194,5.460631,12.900259,1.881987,5.347818,13.124179,0.351442,5.503648
12.990533,1.084977,5.460001,12.900443,1.881578,5.351499,13.124402,0.352083,5.505059
12.989960,1.077487,5.458770,12.900802,1.883489,5.356134,13.125748,0.348132,5.497823
12.989882,1.069282,5.459147,12.900742,1.885660,5.360790,13.125908,0.345715,5.499487
12.989408,1.066835,5.460218,12.899727,1.877330,5.365880,13.126209,0.342133,5.497806
12.989625,1.065484,5.459962,12.899649,1.870204,5.366882,13.126209,0.342133,5.497806
12.989679,1.062933,5.460779,12.900403,1.865286,5.365110,13.126209,0.342133,5.497806
12.989583,1.061946,5.460248,12.900016,1.865307,5.367901,13.127284,0.343656,5.500579
12.989409,1.061643,5.461039,12.898706,1.861113,5.367899,13.127284,0.343656,5.500579
12.989253,1.059349,5.462233,12.898348,1.852662,5.369259,13.127284,0.343656,5.500579
12.989096,1.058667,5.463151,12.898400,1.851108,5.375333,13.126287,0.345333,5.501989
12.989724,1.056245,5.461979,12.897900,1.844247,5.376371,13.126287,0.345333,5.501989
