pt1_dltres,pt2_dltres,pt3_dltres
0.137587,0.007194,0.328385
0.063595,0.065581,0.662390
0.028443,0.162637,0.631397
0.100398,0.195745,0.348174
0.101352,0.177622,0.083935
0.045361,0.206046,0.097525
0.132257,0.185486,0.052630
0.151292,0.254111,0.022991
0.113333,0.297495,0.022991
0.124594,0.340878,0.068347
0.093429,0.373979,0.470161
0.083433,0.650292,0.500021
0.100101,0.629730,0.258655
0.159760,0.698353,0.342693
0.242270,0.741732,0.337890
0.188432,0.756696,0.484983
0.133794,0.963465,0.602216
0.103994,0.803246,0.673931
0.102765,0.982850,0.788045
0.015469,1.108471,0.576107
0.104264,1.098366,0.490927
0.154928,0.979274,0.532727
0.071902,0.924110,0.581454
0.216093,0.964474,0.228339
0.137207,0.919826,0.159151
0.118568,1.073167,0.159151
0.022366,1.218453,0.159151
0.041588,1.248557,0.356021
0.036078,1.300022,0.356021
0.015332,1.183463,0.356021
0.033773,1.246871,0.370842
0.009522,1.495803,0.370842
0.016902,1.483407,0.503577
0.048058,1.419509,0.510202
0.134386,1.437642,0.525025
0.234059,1.413272,0.165006
0.290498,1.194963,0.540342
0.298482,0.956112,0.540342
0.159815,0.893986,0.666451
0.143645,0.712580,0.948314
0.131929,0.716028,0.160550
0.114007,0.641913,0.101268
0.143723,0.597952,0.576497
0.093533,0.629065,0.567806
0.010974,0.543223,0.535601
0.010714,0.515734,0.418180
0.160297,0.503996,0.005239
0.181464,0.471801,0.117333
0.136315,0.445123,0.117333
0.069149,0.582839,0.176720
0.062335,0.572613,0.737217
0.033619,0.443386,0.737217
0.054140,0.421429,0.633806
0.048955,0.335619,0.633806
0.107299,0.260035,0.633806
0.047233,0.568297,0.435961
0.162360,0.384421,0.462314
0.065753,0.447375,0.462314
0.226748,0.468718,0.462314
0.254137,0.575383,0.462314
0.145892,0.643345,0.350218
0.180412,0.546283,0.211767
0.123503,0.603120,0.211767
0.256519,0.663156,0.157904
0.264326,0.619729,0.047155
0.140233,0.626123,0.633978
0.139571,0.641053,0.746069
0.037596,0.436704,0.746069
0.091744,0.401186,0.910872
0.148233,0.353930,0.910872
0.343842,0.346918,1.049321
0.363219,0.250742,1.049321
0.077203,0.190092,0.436146
0.033067,0.043834,1.273501
0.015563,0.601747,1.721854
0.222147,0.678255,1.161411
0.082543,0.558810,0.713043
0.058547,0.622903,0.507989
0.087988,0.176044,0.094143
0.048007,0.153245,0.321217
0.219664,0.027926,0.482003
0.453726,0.070512,1.555885
0.375206,0.228872,1.175652
0.216451,0.421945,1.719072
0.028422,0.419925,1.532390
0.117982,0.717286,0.328435
0.036163,0.549637,0.370194
0.201856,0.370905,1.334696
0.011139,0.069986,0.145728
0.016885,0.156202,0.927817
0.043935,0.511689,1.253694
0.025371,0.650172,0.323129
0.023352,0.847775,0.027170
0.089827,0.983302,0.061798
0.121330,1.099754,0.404994
0.095202,1.288880,0.750930
0.033231,1.320431,0.715011
0.036189,1.248704,0.563158
0.062067,1.217804,0.197156
0.019929,1.260977,0.212413
0.222182,1.053118,0.309064
0.146322,1.065707,0.558587
0.046392,0.969877,0.643677
0.157891,1.162323,1.637942
0.149256,1.538184,0.678562
0.184137,1.751439,1.090297
0.143402,1.919521,1.423898
0.181311,1.318435,0.350267
0.352050,1.063712,0.604937
0.101860,0.839027,0.826776
0.004024,1.096728,0.444869
0.011832,1.134947,0.191667
0.015405,1.201727,1.180316
0.026495,1.108871,0.979640
0.076841,1.157279,0.995895
0.293330,1.025427,0.804398
0.223699,0.647824,0.476467
0.168746,0.225807,1.295327
0.038535,0.406619,0.889256
0.341638,0.353559,0.353465
0.274746,0.268740,0.573977
0.312963,0.053859,0.172349
0.136129,0.046364,0.306920
0.336845,0.102169,0.329042
0.378847,0.167365,0.694244
0.309805,0.231393,0.630653
0.358275,0.177567,1.177910
0.460367,0.280259,0.040747
0.691770,0.230668,0.072011
0.757358,0.501259,0.301341
