pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
323.001274,678.775898,314.273902,530.535543,295.038964,656.317588,310.395516,497.110275,339.439971,694.296872,313.254559,551.035847
322.990000,679.010000,313.990000,531.070000,295.609447,656.317588,310.466827,497.181585,339.000000,693.990000,313.190452,551.035847
322.990000,679.090000,314.020000,531.110000,295.609447,656.317588,310.466827,497.181585,339.000000,693.990000,313.190452,551.035847
323.020000,679.120000,314.020000,531.150000,295.609447,656.388898,310.466827,497.181585,339.000000,694.010000,313.254559,550.940886
323.020000,679.170000,314.020000,531.240000,295.680758,656.460208,310.538137,497.181585,339.000000,694.020000,313.254559,550.940886
323.020000,679.250000,313.990000,531.240000,295.823379,656.460208,310.609447,497.181585,338.990000,693.990000,313.318667,550.656003
323.020000,679.340000,313.960000,531.360000,295.894689,656.531519,310.680758,497.252896,338.990000,694.000000,313.318667,550.656003
323.020000,679.490000,313.950000,531.450000,295.823379,656.745450,310.680758,497.252896,339.000000,694.010000,313.318667,550.940886
323.070000,679.660000,313.900000,531.750000,295.965999,656.745450,310.680758,497.252896,339.000000,694.000000,313.318667,550.940886
323.070000,679.720000,313.860000,531.780000,296.179931,656.816760,310.680758,497.252896,338.990000,693.990000,313.446881,550.940886
323.040000,679.860000,313.830000,531.850000,296.179931,656.959381,310.823379,497.324206,338.990000,694.010000,313.254559,550.466080
323.010000,679.940000,313.820000,531.900000,296.251241,657.315933,310.823379,497.324206,338.990000,693.990000,313.318667,550.656003
322.980000,679.980000,313.760000,531.960000,296.322551,657.529864,310.823379,497.466827,338.990000,694.010000,313.318667,550.656003
322.950000,680.090000,313.690000,532.050000,296.465172,657.672485,310.823379,497.609447,338.990000,694.000000,313.318667,550.656003
322.880000,680.120000,313.580000,532.160000,296.679103,657.815106,310.823379,497.752068,338.990000,694.000000,313.318667,550.656003
322.890000,680.250000,313.190000,532.280000,296.750414,658.029037,310.823379,497.752068,339.000000,694.010000,313.446881,550.561041
322.910000,680.500000,313.090000,532.430000,296.750414,658.029037,310.752068,498.108620,338.990000,694.000000,313.446881,550.466080
322.900000,680.690000,312.990000,532.750000,296.893034,658.242968,310.609447,498.251241,338.990000,694.000000,313.446881,550.466080
322.910000,680.830000,312.750000,532.770000,296.679103,658.599520,310.609447,498.679103,338.990000,694.010000,313.446881,550.750964
322.860000,680.930000,312.730000,532.870000,295.823379,658.242968,310.466827,498.750414,339.000000,694.000000,313.575096,550.750964
322.840000,681.030000,312.600000,532.910000,295.894689,658.670830,310.466827,498.821724,338.990000,694.000000,313.575096,550.750964
322.780000,681.040000,312.360000,532.970000,295.965999,658.670830,310.395516,499.106966,338.980000,694.000000,313.575096,550.656003
322.780000,681.200000,312.340000,533.050000,296.179931,658.813451,310.395516,499.534828,338.990000,693.990000,313.575096,550.561041
322.760000,681.450000,312.280000,533.140000,296.465172,659.027382,310.324206,499.891380,338.980000,694.000000,313.575096,550.561041
322.840000,681.610000,312.210000,533.240000,296.536482,659.241313,310.252896,499.962690,338.990000,694.000000,313.639203,550.466080
322.840000,681.780000,312.120000,533.370000,296.536482,659.526555,310.110275,500.105311,338.980000,694.000000,313.639203,550.466080
322.800000,681.910000,312.050000,533.620000,296.536482,659.669176,309.896344,500.176621,338.990000,694.000000,313.639203,550.466080
322.760000,682.040000,311.980000,533.950000,296.750414,659.811796,309.753723,500.461863,338.990000,693.980000,312.934023,550.750964
322.770000,682.150000,311.900000,534.000000,296.821724,659.811796,309.611102,500.675794,339.000000,694.020000,312.934023,550.750964
322.780000,682.310000,311.800000,534.070000,296.393862,659.883107,309.611102,500.889725,338.990000,693.990000,313.062237,550.750964
322.840000,682.530000,311.720000,534.180000,296.607793,659.954417,309.468481,501.032346,339.000000,693.990000,313.190452,550.750964
322.830000,682.690000,311.620000,534.260000,296.893034,660.168348,309.325861,501.174967,339.000000,694.000000,313.254559,550.750964
322.830000,682.840000,311.420000,534.420000,297.106966,660.310969,309.254550,501.460208,338.990000,694.000000,313.382774,550.656003
322.800000,682.890000,311.190000,534.750000,297.249586,660.596211,309.254550,501.602829,338.990000,694.000000,313.382774,550.656003
322.760000,682.950000,311.090000,534.840000,296.964345,660.952763,309.254550,501.674139,338.990000,694.000000,313.382774,550.466080
322.770000,683.030000,310.980000,534.920000,296.964345,661.095383,309.254550,501.745450,338.990000,694.010000,313.382774,550.466080
322.780000,683.090000,310.900000,534.960000,297.035655,661.238004,309.254550,501.888071,338.990000,694.000000,313.382774,550.466080
322.800000,683.250000,310.790000,535.020000,297.320897,661.451935,309.254550,501.888071,338.980000,694.000000,313.382774,550.466080
322.880000,683.470000,310.670000,535.050000,297.463518,661.594556,308.755377,502.315933,338.990000,693.990000,313.318667,550.561041
322.940000,683.660000,310.530000,535.090000,297.606138,661.737177,308.327515,502.815106,338.990000,694.000000,313.318667,550.561041
322.960000,683.750000,310.250000,535.130000,297.891380,661.879798,308.327515,503.029037,338.990000,694.000000,313.318667,550.656003
322.980000,683.870000,310.150000,535.230000,297.962690,662.093729,308.256205,503.171658,338.990000,694.000000,313.318667,550.656003
322.960000,683.900000,310.080000,535.350000,297.891380,662.592901,308.042274,503.528209,338.980000,694.000000,313.318667,550.656003
323.000000,683.970000,309.980000,535.550000,297.748759,662.735522,307.828342,503.813451,338.990000,694.000000,313.318667,550.656003
323.000000,684.110000,309.890000,535.860000,297.534828,662.806833,307.757032,503.956072,338.980000,693.990000,313.318667,550.656003
323.070000,684.300000,309.810000,535.910000,297.677449,663.020764,307.614411,504.312624,338.990000,694.000000,313.318667,550.656003
323.320000,684.680000,309.770000,536.000000,297.820069,663.092074,307.614411,504.383934,338.990000,694.000000,313.318667,550.656003
323.600000,684.970000,309.700000,536.110000,297.962690,663.234695,307.614411,504.526555,338.990000,694.000000,313.446881,550.561041
323.670000,685.140000,309.600000,536.270000,298.105311,663.448626,307.400480,504.669176,338.990000,694.000000,313.446881,550.466080
323.790000,685.380000,309.520000,536.430000,298.390553,663.733868,307.614411,504.526555,338.990000,694.000000,313.446881,550.466080
323.920000,685.630000,309.290000,536.790000,297.748759,663.947799,307.543101,504.526555,338.990000,694.000000,313.446881,550.466080
323.960000,685.750000,309.230000,536.890000,297.962690,663.947799,307.329170,504.669176,338.990000,694.000000,313.446881,550.466080
323.970000,685.840000,309.190000,537.020000,298.247932,664.090420,307.329170,504.669176,338.990000,693.990000,313.510989,550.466080
323.980000,685.900000,309.170000,537.150000,298.747104,664.446971,307.400480,504.669176,338.990000,693.990000,313.510989,550.466080
324.030000,685.990000,309.170000,537.280000,298.747104,664.518282,307.186549,505.025728,338.980000,694.000000,313.510989,550.466080
324.140000,686.120000,309.150000,537.380000,298.747104,664.660903,306.972618,505.239659,338.990000,694.000000,313.446881,550.656003
324.320000,686.310000,309.170000,537.600000,298.747104,664.946144,306.758687,505.596211,338.980000,694.000000,313.446881,550.656003
324.530000,686.540000,309.180000,537.970000,298.390553,665.374007,306.473445,505.952763,339.151488,693.762716,313.446881,550.656003
324.890000,686.790000,309.170000,538.110000,298.747104,665.659248,306.259514,506.166694,339.151488,693.762716,313.446881,550.561041
324.960000,686.910000,309.190000,538.410000,298.461863,665.587938,306.188204,506.380625,339.295729,693.762716,313.446881,550.466080
325.030000,687.000000,309.210000,538.860000,298.889725,665.730558,306.045583,506.594556,339.295729,693.762716,313.382774,550.466080
325.210000,687.130000,309.230000,538.990000,297.922421,665.288551,305.831652,506.879798,339.295729,693.762716,313.382774,550.276158
325.440000,687.300000,309.220000,539.110000,298.302743,665.542099,305.760341,507.093729,339.295729,693.762716,313.510989,550.181197
325.930000,687.650000,309.220000,539.230000,298.429517,665.795647,305.617720,507.236350,339.367850,693.549053,313.639203,550.181197
326.080000,687.780000,309.260000,539.390000,298.556291,665.922421,305.475100,507.307660,339.367850,693.549053,313.639203,550.276158
326.220000,687.910000,309.280000,539.810000,298.556291,666.049195,305.475100,507.378970,339.367850,693.655884,313.575096,550.276158
326.380000,688.010000,309.320000,539.910000,298.809839,666.175969,305.332479,507.450281,339.367850,693.655884,313.575096,550.276158
326.750000,688.210000,309.340000,540.020000,298.936613,666.683065,305.189858,507.592901,339.295729,693.869547,313.575096,550.276158
326.850000,688.300000,309.350000,540.150000,299.063387,666.809839,305.047237,507.735522,339.446163,693.684608,313.575096,550.276158
326.910000,688.300000,309.430000,540.350000,299.190161,666.936613,304.975927,507.949453,339.372215,693.575070,313.639203,550.181197
326.970000,688.290000,309.730000,540.890000,299.316935,667.063387,304.833306,508.092074,339.372215,693.575070,313.703311,550.181197
327.030000,688.330000,310.060000,540.940000,299.570483,667.190161,304.690685,508.306005,339.372215,693.410765,313.703311,550.181197
327.150000,688.410000,310.120000,541.060000,299.950805,667.443709,304.619375,508.377316,339.372215,693.410765,313.703311,550.086236
327.310000,688.510000,310.140000,541.200000,300.204353,667.570483,304.334134,508.662557,339.409189,693.355996,313.703311,550.086236
327.570000,688.670000,310.240000,541.360000,300.204353,667.570483,304.334134,508.805178,339.483137,693.246459,313.703311,550.086236
327.840000,688.760000,310.290000,541.740000,300.331127,667.824031,304.405444,508.876488,339.372215,693.520302,313.703311,550.181197
327.940000,688.800000,310.420000,541.810000,300.331127,667.824031,304.405444,509.090420,339.446163,693.520302,313.703311,550.181197
328.000000,688.820000,310.590000,541.860000,300.331127,667.824031,304.334134,509.304351,339.446163,693.520302,313.703311,550.181197
328.140000,688.850000,310.610000,541.960000,300.331127,667.824031,304.334134,509.375661,339.446163,693.575070,313.767418,550.181197
328.290000,688.930000,310.660000,542.020000,300.331127,667.824031,304.476754,509.518282,339.668005,693.246459,313.895633,550.086236
328.470000,688.970000,310.670000,542.060000,300.457901,667.950805,304.548065,509.660903,339.668005,692.972616,314.344384,549.516469
328.820000,689.140000,310.670000,542.220000,300.584675,668.077579,304.619375,509.732213,339.631032,692.808310,314.472598,549.516469
328.900000,689.150000,310.750000,542.330000,300.584675,668.077579,304.619375,509.874834,339.668005,692.972616,314.729028,549.706391
329.010000,689.240000,310.790000,542.410000,300.584675,668.077579,304.673529,510.029679,339.741953,692.644004,314.921350,549.326547
329.100000,689.310000,310.830000,542.480000,300.838223,668.077579,304.673529,510.029679,340.074717,691.712938,315.370101,549.231586
