pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.019993,0.057498,0.053291,0.020460,0.050041,0.050068,0.020963,0.055758,0.050806
0.021146,0.059269,0.054589,0.020127,0.053781,0.050544,0.019460,0.056247,0.050954
0.021057,0.055213,0.053217,0.020551,0.055480,0.052858,0.021595,0.060468,0.056861
0.020230,0.058458,0.053060,0.020480,0.055218,0.054520,0.020248,0.056325,0.050047
0.020825,0.054546,0.052998,0.018435,0.055021,0.052320,0.023431,0.060965,0.056089
0.021841,0.056563,0.050577,0.021448,0.052816,0.053664,0.021879,0.057603,0.054756
0.021758,0.055988,0.053248,0.021397,0.054127,0.053922,0.019155,0.054040,0.049832
0.021647,0.052531,0.048707,0.021599,0.055008,0.051237,0.019486,0.059403,0.053014
0.020731,0.056960,0.056378,0.019896,0.053690,0.052461,0.021383,0.057483,0.055045
0.019875,0.052005,0.045687,0.019947,0.051813,0.049727,0.022304,0.055814,0.050998
0.020794,0.056479,0.055552,0.020127,0.053079,0.050747,0.019196,0.052495,0.050161
0.020142,0.056973,0.056845,0.021493,0.049709,0.049743,0.019859,0.055576,0.048569
0.019034,0.060073,0.052262,0.020465,0.053261,0.050904,0.019493,0.053456,0.051876
0.020640,0.056680,0.052419,0.020928,0.055158,0.053177,0.019984,0.061296,0.055100
0.020766,0.053513,0.050222,0.021033,0.050992,0.050774,0.021285,0.056949,0.053177
0.021076,0.054530,0.049587,0.022616,0.050870,0.051497,0.023258,0.053305,0.049965
0.021112,0.054465,0.052998,0.020637,0.053288,0.050417,0.020666,0.055134,0.051461
0.021123,0.052041,0.052858,0.020904,0.053325,0.054317,0.021932,0.054133,0.053697
0.021628,0.052794,0.050644,0.020610,0.051678,0.050571,0.020666,0.053899,0.050018
0.021089,0.052606,0.050519,0.023637,0.050933,0.048888,0.021470,0.050810,0.046901
0.020389,0.051455,0.048651,0.020560,0.050759,0.048498,0.021789,0.055253,0.053141
0.021682,0.054747,0.049069,0.020205,0.052843,0.049971,0.019810,0.054326,0.049473
0.020354,0.053533,0.051868,0.021818,0.052966,0.053414,0.021589,0.052974,0.049317
0.018976,0.054556,0.052122,0.020608,0.054166,0.051557,0.021849,0.055843,0.050244
0.019003,0.054997,0.050488,0.020815,0.054568,0.052322,0.020454,0.054065,0.051767
0.022619,0.052295,0.049479,0.021183,0.052446,0.052893,0.020909,0.056887,0.049428
0.019904,0.052243,0.049066,0.021848,0.053537,0.053331,0.020807,0.051523,0.050634
0.021687,0.063037,0.055872,0.019422,0.049488,0.052720,0.021027,0.052806,0.048342
0.020991,0.056935,0.052741,0.019846,0.051218,0.048602,0.019985,0.055865,0.049786
0.021265,0.056118,0.053105,0.019416,0.053366,0.050150,0.020590,0.061530,0.056271
0.021643,0.053145,0.051432,0.021456,0.046829,0.044889,0.020755,0.058902,0.052762
0.021256,0.058707,0.053751,0.020320,0.052246,0.049016,0.020173,0.056611,0.055697
0.019726,0.051784,0.048014,0.020539,0.052808,0.049372,0.023652,0.053691,0.049259
0.019769,0.053954,0.049747,0.021099,0.050947,0.048907,0.021021,0.058103,0.052501
0.022215,0.052058,0.048859,0.019433,0.055598,0.053685,0.021041,0.052784,0.049282
0.022039,0.050676,0.048056,0.021792,0.053164,0.050903,0.021134,0.059741,0.053344
0.021825,0.054276,0.050792,0.020579,0.054377,0.053415,0.020395,0.055975,0.050451
0.019097,0.053387,0.047040,0.020976,0.051377,0.050519,0.021256,0.059767,0.055005
0.020652,0.056229,0.052026,0.020178,0.052541,0.051277,0.020443,0.061377,0.055036
0.023330,0.053782,0.048847,0.021077,0.050102,0.048946,0.018893,0.056069,0.050032
0.021350,0.057567,0.056086,0.021582,0.050744,0.047712,0.020158,0.053668,0.047367
0.021494,0.052487,0.048996,0.020516,0.050216,0.047507,0.020982,0.057991,0.051798
0.019058,0.052859,0.047705,0.022305,0.053340,0.053072,0.021976,0.056007,0.050345
0.020629,0.055547,0.053696,0.021019,0.055586,0.054088,0.021911,0.055438,0.052795
0.021046,0.055253,0.049165,0.020529,0.056230,0.054655,0.020688,0.050393,0.048153
0.020099,0.053470,0.048609,0.019328,0.052567,0.051577,0.019893,0.055095,0.051961
0.022152,0.053078,0.049166,0.020569,0.053644,0.052264,0.021024,0.055315,0.051760
0.020859,0.056531,0.057451,0.020112,0.051904,0.050145,0.021627,0.053559,0.051546
0.019951,0.052495,0.051788,0.020250,0.047522,0.045544,0.020704,0.059339,0.051259
0.020725,0.056689,0.054071,0.021203,0.056482,0.050660,0.020890,0.056947,0.050320
