pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
10.868576,0.742100,6.186712,11.142138,1.467346,6.015419,10.740420,0.200169,6.230029
10.870466,0.737221,6.188555,11.143591,1.462483,6.018428,10.740265,0.198692,6.232468
10.872309,0.732367,6.190377,11.145021,1.457641,6.021385,10.740114,0.197241,6.234835
10.874103,0.727540,6.192177,11.146427,1.452819,6.024291,10.739964,0.195817,6.237131
10.875849,0.722739,6.193957,11.147809,1.448018,6.027147,10.739817,0.194420,6.239355
10.877547,0.717964,6.195716,11.149167,1.443238,6.029951,10.739672,0.193049,6.241508
10.879197,0.713214,6.197454,11.150502,1.438479,6.032705,10.739529,0.191704,6.243590
10.880798,0.708491,6.199171,11.151813,1.433740,6.035407,10.739389,0.190386,6.245600
10.882352,0.703794,6.200866,11.153101,1.429023,6.038058,10.739252,0.189095,6.247538
10.883858,0.699123,6.202541,11.154364,1.424325,6.040659,10.739117,0.187830,6.249406
10.885315,0.694478,6.204195,11.155604,1.419649,6.043208,10.738986,0.186592,6.251201
10.886725,0.689860,6.205828,11.156821,1.414993,6.045706,10.738857,0.185381,6.252926
10.888086,0.685267,6.207439,11.158013,1.410358,6.048154,10.738732,0.184197,6.254579
10.889399,0.680700,6.209030,11.159182,1.405744,6.050550,10.738611,0.183040,6.256160
10.890664,0.676159,6.210600,11.160327,1.401151,6.052896,10.738493,0.181911,6.257670
10.891882,0.671645,6.212149,11.161449,1.396578,6.055190,10.738381,0.180810,6.259109
10.893051,0.667156,6.213676,11.162546,1.392026,6.057433,10.738274,0.179736,6.260476
10.894172,0.662694,6.215183,11.163620,1.387494,6.059626,10.738172,0.178692,6.261772
10.895244,0.658257,6.216669,11.164671,1.382984,6.061767,10.738078,0.177676,6.262997
10.896269,0.653847,6.218133,11.165698,1.378494,6.063858,10.737990,0.176690,6.264150
10.897246,0.649463,6.219577,11.166700,1.374025,6.065897,10.737910,0.175735,6.265231
10.898175,0.645104,6.220999,11.167680,1.369576,6.067885,10.737838,0.174810,6.266241
10.899056,0.640772,6.222401,11.168635,1.365148,6.069823,10.737776,0.173917,6.267180
10.899889,0.636466,6.223782,11.169567,1.360741,6.071709,10.737725,0.173058,6.268047
10.900673,0.632186,6.225141,11.170475,1.356355,6.073545,10.737684,0.172231,6.268843
10.901410,0.627932,6.226480,11.171360,1.351989,6.075329,10.737655,0.171440,6.269568
10.902099,0.623704,6.227798,11.172221,1.347644,6.077062,10.737639,0.170685,6.270221
10.902741,0.619502,6.229094,11.173058,1.343320,6.078745,10.737637,0.169967,6.270803
10.903334,0.615326,6.230370,11.173871,1.339017,6.080376,10.737650,0.169289,6.271313
10.903880,0.611176,6.231624,11.174661,1.334734,6.081956,10.737678,0.168650,6.271751
