pt1_X,pt1_Y,pt1_Z,,,,,,
10.871005,0.691921,6.188187,11.169668,1.430936,6.041079,10.737020,0.166000,6.252710
10.873453,0.685789,6.193194,11.164793,1.415780,6.029520,10.740214,0.178803,6.258319
10.873126,0.686441,6.195380,11.164793,1.415780,6.029520,10.740214,0.178803,6.258319
10.872855,0.685536,6.195591,11.164963,1.415623,6.030410,10.739763,0.180193,6.258529
10.872668,0.685606,6.197500,11.163753,1.415037,6.030996,10.739787,0.180173,6.258655
10.873246,0.684694,6.197885,11.161908,1.412485,6.028940,10.739928,0.181570,6.255749
10.873437,0.683997,6.200107,11.160448,1.412015,6.030529,10.739953,0.181549,6.255874
10.873620,0.683608,6.203061,11.161423,1.413670,6.034953,10.738941,0.181828,6.259855
10.873300,0.681065,6.207216,11.160494,1.409428,6.031451,10.738917,0.181849,6.259730
10.873855,0.680007,6.207574,11.159270,1.402908,6.027089,10.737320,0.185453,6.262502
10.874544,0.680026,6.210441,11.157529,1.406100,6.032771,10.741442,0.179487,6.251941
10.874901,0.680628,6.212683,11.157912,1.403213,6.035487,10.739928,0.181570,6.255749
10.875767,0.680097,6.213544,11.157458,1.400862,6.038416,10.739977,0.181529,6.256000
10.876827,0.679228,6.215502,11.156369,1.396541,6.038702,10.739953,0.181549,6.255874
10.878412,0.678806,6.216905,11.154815,1.390097,6.037238,10.739953,0.181549,6.255874
10.883239,0.668803,6.212010,11.154858,1.387522,6.038173,10.738584,0.184283,6.257043
10.884472,0.665477,6.214735,11.154530,1.386391,6.041716,10.738952,0.184415,6.255797
10.885185,0.663537,6.219870,11.155442,1.378526,6.039998,10.738952,0.184415,6.255797
10.888460,0.657026,6.216746,11.156191,1.384818,6.055710,10.738012,0.185004,6.260020
10.888959,0.658052,6.220235,11.162500,1.407765,6.070327,10.736274,0.187981,6.262302
10.890866,0.655313,6.219883,11.162804,1.404838,6.074927,10.736345,0.188295,6.262547
10.894171,0.651306,6.217419,11.162259,1.401483,6.075729,10.736737,0.188405,6.261426
10.894540,0.650629,6.220149,11.159711,1.395503,6.078265,10.736963,0.187908,6.259690
10.895742,0.649406,6.223817,11.158033,1.385440,6.077504,10.737059,0.188202,6.260061
10.896133,0.645071,6.223852,11.158744,1.381277,6.077984,10.736488,0.189321,6.259777
10.897252,0.642738,6.225989,11.160755,1.377506,6.080657,10.736559,0.189635,6.260023
10.897880,0.642452,6.230723,11.163593,1.372232,6.079104,10.736488,0.189321,6.259777
10.898235,0.642326,6.236598,11.163375,1.362626,6.076753,10.744514,0.171977,6.249027
10.899286,0.639901,6.236803,11.163996,1.357459,6.075114,10.744541,0.171582,6.249285
10.900645,0.636914,6.237509,11.166203,1.370402,6.089487,10.742894,0.175230,6.251807
10.901413,0.632839,6.238722,11.166315,1.360721,6.084250,10.741179,0.178188,6.254216
10.902875,0.630487,6.240061,11.166301,1.348597,6.079043,10.740382,0.179804,6.255669
10.905253,0.625526,6.240124,11.165167,1.340680,6.078138,10.739131,0.183185,6.257201
10.907397,0.621293,6.241483,11.164418,1.336041,6.080206,10.739131,0.183185,6.257201
10.908790,0.620096,6.242449,11.166873,1.343896,6.092650,10.739774,0.182779,6.254470
10.910051,0.617049,6.242095,11.166962,1.343706,6.095432,10.739798,0.182759,6.254596
10.911017,0.614708,6.241533,11.166338,1.341506,6.097467,10.739774,0.182779,6.254470
10.912471,0.611142,6.241647,11.164988,1.332542,6.093160,10.739845,0.183093,6.254715
10.913891,0.605293,6.240411,11.169324,1.316786,6.087326,10.740250,0.181366,6.254382
10.915598,0.599646,6.239023,11.172495,1.302844,6.083942,10.740274,0.181346,6.254508
10.919137,0.591961,6.234497,11.170229,1.294362,6.081734,10.739953,0.181549,6.255874
10.920230,0.588806,6.234888,11.170692,1.290303,6.083215,10.739953,0.181549,6.255874
10.920926,0.587859,6.236031,11.173849,1.286848,6.091872,10.740023,0.181863,6.256120
10.921419,0.584392,6.236734,11.176872,1.286176,6.096819,10.739953,0.181549,6.255874
10.921848,0.582482,6.241068,11.178851,1.290958,6.103510,10.739999,0.181883,6.255994
10.922683,0.578031,6.240804,11.179021,1.283423,6.104804,10.739953,0.181549,6.255874
10.922092,0.568702,6.239901,11.178013,1.279121,6.103201,10.739953,0.181549,6.255874
10.921395,0.557928,6.236811,11.176925,1.274783,6.103490,10.738631,0.184617,6.257162
10.922061,0.553240,6.237460,11.178762,1.265181,6.100333,10.738952,0.184415,6.255797
10.922295,0.547359,6.238171,11.175325,1.260899,6.099242,10.738952,0.184415,6.255797
10.923729,0.537806,6.238540,11.180924,1.277948,6.116197,10.738952,0.184415,6.255797
10.924172,0.535024,6.239261,11.181791,1.266674,6.108622,10.738952,0.184415,6.255797
10.924388,0.533791,6.241179,11.180274,1.257829,6.103417,10.738106,0.186070,6.256998
10.924274,0.533118,6.243130,11.176950,1.243826,6.097099,10.738106,0.186070,6.256998
10.923702,0.531646,6.244888,11.178631,1.239141,6.098648,10.738202,0.186364,6.257369
10.923175,0.527675,6.244840,11.180979,1.234071,6.099094,10.738309,0.184821,6.258528
10.921386,0.522654,6.246361,11.183166,1.228936,6.103329,10.738380,0.185134,6.258773
10.919101,0.516672,6.249585,11.188927,1.232486,6.116645,10.736587,0.180229,6.251577
10.916882,0.505044,6.245696,11.189297,1.216417,6.110140,10.736909,0.180024,6.250210
10.915404,0.503731,6.250177,11.191153,1.223779,6.117795,10.736207,0.175290,6.245301
10.913339,0.502785,6.256423,11.189803,1.207574,6.109201,10.737029,0.173653,6.243973
10.911713,0.497704,6.255911,11.196795,1.232930,6.127070,10.737672,0.173246,6.241239
10.910260,0.490220,6.253918,11.195100,1.219626,6.122476,10.736350,0.176317,6.242530
10.907324,0.474555,6.248020,11.196219,1.212099,6.121648,10.733675,0.177753,6.240720
10.905543,0.470962,6.249082,11.197288,1.204723,6.118234,10.733353,0.177957,6.242087
10.903196,0.467702,6.253690,11.197338,1.204570,6.120820,10.734435,0.176106,6.242105
10.901478,0.463738,6.253274,11.197585,1.193380,6.114296,10.734435,0.176106,6.242105
10.898779,0.452573,6.248702,11.199304,1.185301,6.116639,10.735467,0.177944,6.246572
10.897733,0.449798,6.249444,11.200125,1.178037,6.114226,10.733949,0.173588,6.240544
10.895605,0.450347,6.252473,11.199773,1.172604,6.114263,10.733707,0.177564,6.240941
10.889460,0.457124,6.264749,11.200594,1.165336,6.111849,10.732885,0.179201,6.242269
10.884731,0.463548,6.271263,11.200342,1.154369,6.107325,10.732485,0.179530,6.240198
10.882915,0.461410,6.272273,11.199144,1.140771,6.100712,10.732807,0.179327,6.238830
10.881316,0.457028,6.272022,11.200487,1.126477,6.094285,10.732411,0.178275,6.237231
10.878075,0.451467,6.272003,11.199987,1.126724,6.096295,10.731619,0.176173,6.234034
10.874486,0.444935,6.272980,11.198590,1.124196,6.098810,10.732752,0.179310,6.241579
10.871983,0.445153,6.274702,11.197839,1.124566,6.101824,10.732227,0.176988,6.239762
10.869262,0.447614,6.277685,11.198011,1.123220,6.103390,10.732227,0.176988,6.239762
10.867768,0.443916,6.276477,11.197761,1.123344,6.104395,10.731539,0.178515,6.241782
10.866077,0.440474,6.275694,11.195416,1.127026,6.109305,10.727842,0.175277,6.233478
10.864663,0.435139,6.272569,11.193469,1.124893,6.111235,10.723353,0.186067,6.231127
10.862103,0.424251,6.268424,11.191773,1.122636,6.112161,10.721573,0.190828,6.232620
10.860171,0.423980,6.269807,11.191273,1.122884,6.114171,10.717785,0.196288,6.241833
10.858839,0.421548,6.270209,11.190029,1.124459,6.117455,10.715280,0.198725,6.234394
10.857631,0.419757,6.270706,11.188380,1.116807,6.111227,10.705217,0.201403,6.222420
10.855278,0.419761,6.275795,11.185726,1.114400,6.104297,10.693618,0.220571,6.226636
10.854169,0.418801,6.276165,11.183924,1.112107,6.103226,10.687816,0.222312,6.221206
10.853055,0.416984,6.276567,11.181944,1.105903,6.090834,10.672631,0.222105,6.193951
10.850968,0.409137,6.275368,11.179698,1.104999,6.086867,10.665969,0.238664,6.202553
10.848874,0.398134,6.270119,11.178930,1.106429,6.088075,10.645828,0.243031,6.139660
10.847405,0.394943,6.270196,11.177610,1.104933,6.083173,10.641583,0.257156,6.121882
10.845082,0.393351,6.274783,11.178651,1.104409,6.078978,10.606858,0.320394,6.174859
10.844074,0.390929,6.274988,11.179276,1.104097,6.076462,10.608010,0.318487,6.175249
10.843044,0.388675,6.275630,11.178246,1.096122,6.067702,10.607370,0.317108,6.151648
10.841596,0.384203,6.274273,11.177275,1.093412,6.063275,10.588301,0.342077,6.149514
10.839274,0.375474,6.270620,11.177275,1.093412,6.063275,10.581309,0.356517,6.160144
10.838347,0.372113,6.269969,11.175887,1.090909,6.060524,10.582711,0.346893,6.138834
10.836632,0.368525,6.273213,11.174499,1.088406,6.057773,10.568467,0.376025,6.145825
10.835912,0.365499,6.274388,11.173523,1.089943,6.059823,10.560692,0.376248,6.156800
10.835150,0.362888,6.274915,11.172070,1.086417,6.059212,10.549220,0.387080,6.152428
10.834028,0.358535,6.273856,11.169580,1.079159,6.056315,10.535327,0.388797,6.146502
10.833323,0.355774,6.272208,11.168450,1.075592,6.051597,10.525228,0.402225,6.154831
10.831327,0.347553,6.267790,11.168866,1.075384,6.049918,10.511262,0.416668,6.154554
10.829989,0.344091,6.266666,11.165577,1.070744,6.043656,10.494084,0.422920,6.110198
10.829178,0.341205,6.264816,11.162900,1.059553,6.029398,10.486425,0.424638,6.079478
10.827946,0.339825,6.264128,11.159866,1.053845,6.021160,10.482433,0.435971,6.068806
