pt1_dltres,pt2_dltres,pt3_dltres
0.183208,0.137907,0.085405
0.416393,0.088801,0.212055
0.376251,0.088801,0.212055
0.375672,0.036001,0.122350
0.396260,0.042576,0.114986
0.343905,0.078158,0.058217
0.360807,0.111411,0.065581
0.309842,0.260004,0.108182
0.380474,0.279609,0.115545
0.364254,0.361812,0.095877
0.316326,0.454024,0.180395
0.295447,0.727807,0.058217
0.321571,0.805342,0.072945
0.317431,0.839871,0.065581
0.399284,0.884186,0.065581
0.465297,1.052362,0.163395
0.396193,0.809747,0.215538
0.483914,0.865115,0.215538
0.445353,0.827740,0.040472
0.446518,0.369063,0.062748
0.429799,0.650320,0.061445
0.521990,0.462827,0.120952
0.459465,0.325789,0.175702
0.348454,0.280676,0.181762
0.299182,0.387550,0.258045
0.276749,0.476155,0.256741
0.361340,0.488551,0.258045
0.497026,0.410211,0.094964
0.464221,0.252067,0.064205
0.411732,0.110244,0.059265
0.329450,0.069772,0.029625
0.285998,0.144654,0.008094
0.321879,0.082234,0.079749
0.550761,0.222257,0.079749
0.591454,0.401861,0.201369
0.606594,0.462113,0.208733
0.604287,0.486781,0.201369
0.546290,0.684187,0.200065
0.419124,0.425626,0.119027
0.327567,0.137665,0.126391
0.346147,0.146204,0.065581
0.340992,0.207699,0.065581
0.413672,0.292976,0.064278
0.506641,0.149899,0.065581
0.621293,0.066859,0.056914
0.521490,0.013880,0.065581
0.274345,0.013035,0.065581
0.109089,0.047391,0.154728
0.098758,0.086750,0.215538
0.025731,0.475332,0.215538
0.105020,0.530249,0.215538
0.088364,0.420947,0.215538
0.112544,0.565443,0.222343
0.154431,0.913405,0.222343
0.164465,0.691649,0.228403
0.122325,0.613401,0.093918
0.094478,0.550034,0.092614
0.131223,0.527793,0.059761
0.009088,0.603712,0.001050
0.080395,0.360092,0.080662
0.287869,0.356024,0.066493
0.246854,0.332097,0.188113
0.169996,0.244569,0.277263
0.076133,0.162123,0.157679
0.098414,0.128188,0.096868
0.051226,0.079680,0.161361
0.011432,0.028505,0.161361
0.118961,0.241658,0.309288
0.117643,0.230221,0.192721
0.015422,0.189324,0.177405
0.262799,0.177878,0.191576
0.184297,0.138290,0.070594
0.172918,0.316405,0.131404
0.163169,0.199617,0.095897
0.091093,0.108880,0.024887
0.221057,0.284337,0.151249
0.194378,0.148226,0.160891
0.166071,0.003785,0.160891
0.185040,0.049155,0.215389
0.133611,0.108099,0.091514
0.103806,0.071885,0.353974
0.034730,0.009694,0.256527
0.069466,0.081053,0.317405
0.030941,0.167506,0.370891
0.003401,0.133109,0.111055
0.256201,0.604600,0.123839
0.218253,0.611933,0.158099
0.251534,0.563120,0.873710
0.190177,0.537737,0.494764
0.073554,0.524499,0.769653
0.142181,0.291961,0.046647
0.422331,0.103107,0.037782
0.441790,0.010205,0.048613
0.430525,0.157938,0.018572
0.397286,0.301703,0.100454
0.359070,0.301703,0.088445
0.357969,0.369926,0.170737
0.537122,0.438150,0.281230
0.454038,0.413618,0.053353
0.410105,0.317512,0.144597
0.315767,0.200837,0.274651
0.315785,0.124221,0.610444
0.250215,0.199769,0.337518
0.250439,0.204622,0.209518
0.226775,0.144170,0.898919
0.240399,0.004211,0.273833
0.228052,0.041928,0.215095
0.268577,0.015441,0.334364
0.299163,0.053217,0.094489
0.437268,0.166549,0.656687
0.434174,0.317659,0.370941
0.324888,0.317659,0.292113
0.370819,0.192359,0.124175
0.376746,0.192359,0.374280
0.399536,0.175152,0.192447
0.407475,0.175152,0.130073
0.446045,0.238506,0.042707
0.437832,0.284648,0.327655
0.461307,0.271405,0.739266
0.582659,0.347995,0.308094
0.643908,0.330786,0.187451
0.661658,0.390163,0.268788
0.643496,0.372954,0.458582
0.605375,0.372954,0.467300
0.489907,0.443620,0.748201
0.532415,0.443620,0.420930
0.575888,0.430375,0.417743
0.595897,0.430375,0.015629
0.605848,0.430375,0.157835
0.616039,0.506953,0.175737
0.601111,0.493707,0.121312
0.627483,0.432797,0.018216
0.617539,0.568731,0.354559
0.567862,0.518097,0.299458
0.534605,0.467062,0.257042
0.514917,0.476360,0.050924
0.504846,0.319287,0.027307
0.534278,0.054814,0.098124
0.546236,0.081081,0.112819
0.454555,0.260699,0.086822
0.452542,0.186527,0.396757
0.520388,0.152116,0.320084
0.592071,0.109392,0.111949
0.656730,0.157851,0.120265
0.663343,0.248662,0.092894
