pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
929.632507,491.050441,910.736909,663.445958,907.401133,461.809839,917.449691,634.831605,956.287223,518.807406,905.668081,692.996914
930.050000,491.000000,911.010000,663.020000,907.030000,461.980000,917.040000,635.020000,956.000000,518.990000,906.020000,692.920000
930.080000,490.990000,911.000000,663.070000,907.050000,461.920000,917.050000,635.040000,955.980000,519.030000,906.020000,692.950000
930.140000,491.000000,911.070000,663.060000,907.090000,461.900000,917.070000,635.060000,956.000000,519.020000,906.010000,692.950000
930.170000,491.010000,911.150000,663.110000,907.140000,461.890000,917.120000,635.100000,955.990000,518.980000,906.020000,692.990000
930.210000,491.000000,911.200000,663.090000,907.180000,461.880000,917.150000,635.120000,956.010000,519.000000,905.990000,692.970000
930.200000,490.940000,911.260000,663.050000,907.210000,461.850000,917.180000,635.160000,956.000000,519.000000,906.010000,692.940000
930.240000,490.930000,911.330000,663.100000,907.260000,461.840000,917.220000,635.190000,956.000000,519.000000,906.000000,692.960000
930.310000,490.930000,911.410000,663.100000,907.300000,461.820000,917.270000,635.220000,956.000000,519.000000,905.990000,693.030000
930.400000,490.940000,911.510000,663.100000,907.350000,461.830000,917.330000,635.280000,955.990000,518.990000,906.000000,692.970000
930.460000,490.940000,911.640000,663.090000,907.570000,461.970000,917.410000,635.310000,955.970000,519.000000,906.030000,692.970000
930.650000,491.010000,911.700000,663.120000,907.700000,462.010000,917.530000,635.350000,955.990000,519.000000,906.020000,692.970000
930.740000,491.020000,911.780000,663.140000,907.760000,462.000000,917.620000,635.420000,956.010000,519.020000,906.020000,692.930000
930.840000,490.990000,911.840000,663.140000,907.840000,462.010000,917.700000,635.500000,956.000000,519.000000,906.030000,692.990000
930.930000,491.010000,911.890000,663.220000,907.930000,462.010000,917.730000,636.150000,955.990000,519.000000,906.000000,692.960000
931.010000,491.060000,911.920000,663.230000,907.990000,461.990000,917.700000,637.000000,955.980000,519.000000,906.010000,692.960000
931.050000,491.060000,911.990000,663.290000,908.060000,461.980000,917.670000,637.860000,956.000000,519.010000,906.040000,692.990000
931.150000,491.060000,912.060000,663.380000,908.190000,461.980000,917.670000,638.460000,956.010000,519.000000,906.030000,692.960000
931.270000,491.080000,912.110000,663.480000,908.270000,461.950000,917.730000,638.510000,955.990000,519.020000,906.020000,692.980000
931.450000,491.150000,912.120000,663.960000,908.420000,461.960000,917.790000,638.630000,955.990000,519.010000,906.040000,693.000000
931.730000,491.290000,912.170000,664.070000,908.700000,462.070000,917.840000,638.680000,956.000000,519.020000,906.010000,692.970000
931.840000,491.300000,912.300000,664.110000,908.830000,462.080000,917.890000,638.760000,955.980000,519.010000,906.040000,692.980000
931.960000,491.330000,912.340000,664.180000,908.940000,462.050000,917.930000,638.800000,956.020000,519.010000,906.010000,692.990000
932.060000,491.360000,912.360000,664.230000,909.030000,462.010000,917.960000,638.860000,955.990000,518.990000,905.990000,692.970000
932.210000,491.420000,912.570000,664.260000,909.120000,461.990000,918.000000,638.930000,955.990000,519.010000,906.030000,692.970000
932.320000,491.500000,912.710000,664.320000,909.240000,462.000000,918.040000,638.960000,956.020000,519.000000,906.020000,692.950000
932.540000,491.740000,912.820000,664.330000,909.420000,462.050000,918.090000,639.050000,956.000000,518.980000,906.010000,692.970000
932.730000,491.820000,912.870000,664.420000,909.680000,462.190000,918.140000,639.070000,955.970000,519.000000,906.000000,692.960000
932.830000,491.820000,912.920000,664.600000,909.760000,462.210000,918.190000,639.140000,956.000000,519.000000,906.030000,693.010000
932.970000,491.880000,912.930000,665.000000,909.850000,462.200000,918.260000,639.180000,956.010000,519.020000,906.020000,692.980000
933.100000,491.910000,912.990000,665.070000,909.910000,462.180000,918.320000,639.260000,955.990000,519.010000,906.040000,692.980000
933.240000,491.940000,913.010000,665.170000,909.970000,462.140000,918.420000,639.240000,955.990000,519.000000,906.010000,692.960000
933.380000,491.970000,913.070000,665.210000,910.020000,462.110000,918.560000,639.310000,955.990000,519.030000,906.000000,692.970000
933.630000,492.050000,913.120000,665.290000,910.080000,462.090000,920.058447,637.356925,955.990000,519.020000,906.020000,692.990000
933.790000,492.020000,913.180000,665.460000,910.140000,462.060000,920.272378,637.142994,956.010000,519.000000,906.010000,692.950000
933.930000,492.070000,913.130000,665.890000,910.230000,462.050000,920.379343,637.142994,956.000000,518.980000,906.000000,692.980000
934.050000,492.140000,913.150000,665.970000,910.300000,462.050000,920.593274,637.249959,955.980000,519.030000,906.020000,692.960000
934.160000,492.150000,913.220000,665.980000,910.630000,462.250000,920.218895,637.263126,956.010000,519.030000,906.020000,692.980000
934.290000,492.180000,913.290000,666.010000,910.790000,462.340000,920.361516,637.263126,955.970000,518.990000,906.000000,692.980000
934.460000,492.220000,913.340000,666.090000,910.850000,462.300000,920.456596,637.310666,956.000000,519.010000,906.030000,692.990000
934.720000,492.320000,913.420000,666.150000,910.900000,462.240000,920.646757,637.500827,955.990000,519.000000,906.030000,692.960000
934.910000,492.390000,913.500000,666.160000,910.960000,462.210000,920.646757,637.595908,955.980000,519.010000,906.050000,692.980000
935.040000,492.420000,913.600000,666.200000,911.020000,462.170000,920.599217,637.690988,955.990000,519.000000,906.010000,692.960000
935.180000,492.410000,913.700000,666.230000,911.090000,462.120000,920.599217,637.786069,956.010000,519.010000,906.030000,692.980000
935.370000,492.490000,913.740000,666.310000,911.150000,462.060000,920.599217,637.976230,955.990000,519.010000,906.020000,692.990000
935.790000,492.880000,913.750000,666.420000,911.240000,462.020000,920.694298,638.261471,956.000000,519.010000,906.000000,692.970000
935.920000,492.890000,913.730000,666.880000,911.080000,461.720000,920.741838,638.451632,956.010000,519.010000,906.020000,692.980000
936.000000,492.860000,913.800000,666.860000,911.040000,461.340000,920.741838,638.546713,955.990000,519.010000,906.020000,692.990000
936.120000,492.840000,913.870000,666.880000,911.140000,461.330000,920.741838,638.689334,955.980000,519.000000,906.050000,692.960000
936.240000,492.820000,913.900000,666.950000,911.210000,461.270000,920.741838,638.784414,956.020000,519.010000,906.000000,692.970000
936.440000,492.860000,913.930000,666.970000,911.370000,461.240000,920.741838,638.927035,955.980000,518.990000,906.020000,692.980000
936.670000,492.920000,913.980000,667.000000,911.550000,461.270000,920.646757,639.212277,956.000000,519.020000,906.030000,692.970000
