pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.024804,0.050415,0.049326,0.044409,0.094321,0.095374,0.029153,0.059499,0.054455
0.026553,0.054879,0.053396,0.045637,0.091598,0.087678,0.029248,0.060352,0.054441
0.027155,0.054024,0.052629,0.041115,0.083335,0.083805,0.028768,0.056754,0.054476
0.025905,0.051071,0.050228,0.047145,0.091192,0.088876,0.028784,0.059502,0.056649
0.026252,0.054572,0.051361,0.042353,0.090596,0.091950,0.027098,0.059062,0.054557
0.028011,0.057037,0.055166,0.043610,0.091808,0.091273,0.026746,0.055927,0.051690
0.025865,0.055525,0.053337,0.042232,0.092572,0.090508,0.026815,0.057237,0.053986
0.026615,0.054560,0.052502,0.043462,0.095411,0.094435,0.027660,0.060755,0.056500
0.025657,0.050667,0.048810,0.046195,0.090322,0.087385,0.029733,0.061166,0.057135
0.025619,0.053635,0.051037,0.044908,0.094210,0.090160,0.028603,0.059617,0.053758
0.025734,0.053608,0.051553,0.045344,0.086845,0.086459,0.028543,0.062836,0.059394
0.025490,0.054136,0.050252,0.049376,0.095413,0.094472,0.026120,0.056443,0.048445
0.026049,0.052071,0.051114,0.044742,0.096341,0.090343,0.027361,0.058245,0.051131
0.027928,0.050440,0.048612,0.045135,0.090945,0.090011,0.025157,0.058174,0.053204
0.026319,0.053667,0.052013,0.043018,0.088763,0.087867,0.025776,0.056724,0.051759
0.026623,0.055881,0.052366,0.045408,0.097395,0.096005,0.027426,0.061702,0.054943
0.027745,0.053259,0.050849,0.044600,0.088985,0.089256,0.027511,0.056731,0.053559
0.026897,0.053239,0.052747,0.039852,0.083987,0.079747,0.026255,0.058970,0.055862
0.026223,0.056351,0.053681,0.042749,0.085336,0.086782,0.028491,0.060715,0.054952
0.024940,0.055189,0.052186,0.043189,0.092582,0.089621,0.029423,0.054721,0.053410
0.028021,0.054502,0.056728,0.046966,0.096378,0.093761,0.025947,0.056590,0.051420
0.026065,0.055296,0.051135,0.040194,0.085003,0.088722,0.027847,0.059679,0.054392
0.027120,0.054170,0.054618,0.044155,0.086306,0.088787,0.027621,0.063118,0.056147
0.027217,0.052088,0.048127,0.043901,0.089221,0.085817,0.027733,0.060097,0.054825
0.025096,0.052799,0.049237,0.044572,0.085727,0.087159,0.026143,0.058518,0.054346
0.027321,0.052516,0.052902,0.043905,0.087964,0.085615,0.029509,0.055698,0.054228
0.028276,0.056171,0.051993,0.048616,0.088482,0.090187,0.025643,0.055897,0.052842
0.025400,0.056193,0.051728,0.044818,0.088113,0.091164,0.027020,0.056936,0.056628
0.027383,0.060113,0.054442,0.042921,0.088228,0.091322,0.027514,0.055801,0.053045
0.028071,0.054988,0.055039,0.044297,0.094980,0.091751,0.027569,0.058508,0.051571
0.024244,0.052461,0.051546,0.043709,0.092244,0.088221,0.027744,0.058717,0.055648
0.028189,0.055688,0.055134,0.044179,0.086092,0.088444,0.026978,0.060060,0.055020
0.026783,0.054601,0.054479,0.043811,0.091652,0.087906,0.026018,0.057995,0.054243
0.026162,0.059770,0.056510,0.046348,0.091884,0.094855,0.027158,0.054827,0.053949
0.024687,0.052044,0.052570,0.041127,0.085057,0.090391,0.025649,0.055193,0.052628
0.024715,0.056604,0.050076,0.048069,0.088285,0.087925,0.028353,0.060977,0.053649
0.025994,0.051733,0.052145,0.043145,0.087203,0.087886,0.026905,0.058971,0.054730
0.026415,0.052961,0.049353,0.042414,0.092105,0.089131,0.027769,0.059261,0.053631
0.026608,0.052552,0.049604,0.044775,0.092125,0.092829,0.028327,0.059243,0.054494
0.027655,0.055186,0.054045,0.042849,0.087156,0.085437,0.028730,0.053667,0.052520
0.027097,0.056290,0.052781,0.044212,0.092262,0.094112,0.025872,0.057422,0.051690
0.026553,0.051765,0.049571,0.044486,0.084567,0.088328,0.028416,0.060752,0.053367
0.025402,0.050005,0.047628,0.044154,0.089929,0.089642,0.026388,0.056669,0.051688
0.025791,0.055565,0.053075,0.041227,0.090719,0.089649,0.025706,0.054511,0.052653
0.027229,0.057738,0.054432,0.046928,0.097570,0.097570,0.028766,0.059964,0.055967
0.025651,0.054910,0.054324,0.048137,0.090417,0.092504,0.025822,0.054353,0.053607
0.027342,0.055282,0.053199,0.048282,0.097001,0.093617,0.030390,0.056817,0.052639
0.024684,0.056252,0.053718,0.045544,0.088241,0.088020,0.026490,0.053591,0.049774
0.027028,0.056575,0.052306,0.044522,0.094350,0.093371,0.027797,0.057216,0.055975
0.026222,0.052111,0.050487,0.041885,0.089595,0.082068,0.029684,0.056877,0.051860
0.027355,0.057302,0.054482,0.043672,0.087465,0.089027,0.029572,0.059067,0.055563
0.024250,0.055959,0.051990,0.046973,0.095433,0.094618,0.028446,0.060811,0.057959
0.025583,0.057012,0.051794,0.042746,0.088975,0.088541,0.028225,0.058218,0.055681
0.025156,0.053682,0.047747,0.045584,0.090623,0.091104,0.025950,0.056419,0.050202
0.024697,0.052760,0.052797,0.047986,0.083976,0.086972,0.027763,0.052636,0.050934
0.025563,0.054423,0.051763,0.046508,0.089708,0.088374,0.027288,0.055425,0.053402
0.023872,0.055479,0.054486,0.042250,0.086219,0.083140,0.024914,0.056274,0.050638
0.026742,0.054216,0.050327,0.047003,0.091967,0.092881,0.027511,0.060594,0.053454
0.026558,0.054918,0.053098,0.047863,0.096750,0.099453,0.027587,0.054778,0.051428
0.025996,0.056911,0.053890,0.046867,0.089543,0.093454,0.028896,0.058786,0.052176
0.025454,0.052649,0.053323,0.045000,0.092325,0.088132,0.027816,0.054459,0.052617
0.026916,0.051851,0.051605,0.045778,0.088379,0.084620,0.026186,0.059133,0.052365
0.026384,0.054054,0.052276,0.043674,0.097217,0.088163,0.025110,0.055538,0.048907
0.024764,0.052389,0.053349,0.045394,0.089508,0.086848,0.028205,0.056267,0.054114
0.025111,0.050998,0.048892,0.043435,0.094411,0.089382,0.025798,0.060170,0.055562
0.025661,0.054661,0.053219,0.043687,0.086882,0.090447,0.026567,0.054866,0.049755
0.026472,0.053796,0.052274,0.045879,0.087800,0.085267,0.029123,0.055819,0.051612
0.026254,0.057628,0.051934,0.045066,0.086781,0.085765,0.026954,0.058379,0.054630
0.028235,0.060401,0.056615,0.044042,0.086928,0.087614,0.027221,0.062456,0.060323
0.027412,0.053198,0.051745,0.041197,0.089236,0.089417,0.026534,0.063158,0.057679
0.027569,0.054698,0.054660,0.044521,0.087974,0.088976,0.027513,0.055929,0.049715
0.023904,0.053379,0.051557,0.041672,0.088334,0.090769,0.028208,0.058859,0.051783
0.027029,0.054147,0.051461,0.044517,0.088858,0.088888,0.026707,0.056422,0.051905
0.026758,0.053526,0.047819,0.041567,0.090100,0.089388,0.028858,0.053917,0.053301
0.026333,0.054417,0.053372,0.046389,0.089697,0.087676,0.024286,0.054984,0.051441
0.026821,0.051377,0.050488,0.045661,0.096732,0.090018,0.025346,0.056340,0.054100
0.026047,0.050831,0.044286,0.047440,0.093938,0.094984,0.027640,0.059865,0.054808
0.028619,0.056990,0.055281,0.044368,0.084752,0.085255,0.027931,0.057486,0.054918
0.026751,0.053772,0.051320,0.046857,0.092131,0.089690,0.024465,0.056709,0.051518
0.026566,0.055446,0.052001,0.044176,0.097059,0.088761,0.027233,0.055877,0.051926
0.024943,0.056550,0.052691,0.049271,0.094318,0.092989,0.026431,0.053767,0.052379
0.026017,0.056933,0.054400,0.046669,0.092598,0.089675,0.026141,0.056997,0.053170
0.026772,0.057338,0.054361,0.044501,0.092922,0.094087,0.025303,0.053957,0.052715
0.027520,0.053099,0.052199,0.044764,0.096385,0.093925,0.026490,0.054764,0.049474
0.023998,0.052964,0.047468,0.045772,0.095249,0.091903,0.026334,0.060080,0.055416
0.026639,0.054255,0.053513,0.046317,0.090945,0.091115,0.027084,0.054313,0.050510
0.027162,0.055225,0.051047,0.044227,0.089123,0.087974,0.028507,0.052216,0.052242
0.027074,0.053681,0.051023,0.042668,0.091938,0.089850,0.027367,0.055553,0.054485
0.027503,0.057550,0.056665,0.043689,0.093254,0.093016,0.028493,0.057959,0.053384
0.026390,0.058592,0.053842,0.043801,0.092101,0.087787,0.027352,0.057164,0.053563
0.027861,0.056459,0.053708,0.044789,0.085264,0.084647,0.026584,0.052616,0.050395
0.023911,0.052195,0.051656,0.045163,0.084483,0.086854,0.026535,0.061655,0.054748
0.026051,0.054196,0.050637,0.044332,0.093877,0.087050,0.026699,0.059534,0.053474
0.026579,0.052663,0.053744,0.045288,0.093932,0.089850,0.025546,0.058878,0.055848
0.027418,0.056444,0.051650,0.044487,0.091568,0.090276,0.027077,0.054951,0.050738
0.024077,0.049900,0.046940,0.046366,0.096465,0.095400,0.029447,0.061761,0.053925
0.026086,0.056150,0.052994,0.043945,0.088907,0.082693,0.026499,0.057314,0.055571
0.026266,0.052151,0.050524,0.046319,0.087738,0.090292,0.029973,0.059909,0.057055
0.024780,0.050195,0.047331,0.041746,0.090192,0.089380,0.028051,0.055433,0.054084
0.026611,0.052577,0.049099,0.046698,0.097119,0.098385,0.024897,0.058799,0.055025
0.024208,0.054691,0.047390,0.045822,0.093387,0.089985,0.026135,0.057229,0.052607
0.027393,0.052859,0.051087,0.045106,0.091926,0.094040,0.027589,0.057851,0.053293
0.028264,0.057630,0.053590,0.043722,0.096346,0.088423,0.027319,0.060011,0.054778
0.028502,0.059740,0.052718,0.043386,0.090063,0.085605,0.026465,0.057610,0.052199
0.026690,0.051589,0.048511,0.047799,0.093069,0.095285,0.026973,0.058079,0.052538
0.024696,0.050159,0.050200,0.040067,0.085800,0.086838,0.028078,0.061239,0.053863
0.025011,0.054011,0.049320,0.043773,0.094357,0.086338,0.026711,0.054424,0.052368
0.027127,0.056535,0.053382,0.046767,0.094217,0.092364,0.030221,0.059327,0.057962
0.027725,0.056629,0.052576,0.048553,0.090328,0.088427,0.024954,0.050213,0.045681
0.025159,0.055703,0.052277,0.044724,0.092011,0.088820,0.030093,0.062200,0.057183
0.028408,0.056330,0.053296,0.045977,0.092577,0.087736,0.026001,0.056586,0.050572
0.027260,0.052868,0.050117,0.041393,0.098008,0.095842,0.025698,0.054849,0.047600
0.026377,0.052966,0.050716,0.043503,0.092689,0.092947,0.026694,0.057682,0.054002
0.029047,0.057574,0.053285,0.045202,0.093454,0.093971,0.027121,0.061289,0.056552
0.025623,0.054589,0.053658,0.048222,0.098533,0.094261,0.027461,0.061132,0.055825
0.025878,0.053440,0.049277,0.044034,0.091598,0.090775,0.026931,0.057909,0.055931
0.028305,0.060048,0.055960,0.044496,0.095955,0.091821,0.029463,0.056582,0.051314
0.026635,0.055252,0.050839,0.047424,0.092105,0.085147,0.026653,0.057706,0.052268
0.026875,0.058477,0.054290,0.041181,0.090217,0.079493,0.025214,0.056713,0.054083
0.029131,0.055828,0.052366,0.046704,0.092629,0.089639,0.028799,0.056462,0.055334
0.026167,0.056540,0.051918,0.042286,0.081037,0.077750,0.025949,0.055083,0.049368
0.026549,0.057547,0.053201,0.045022,0.095495,0.090227,0.026998,0.057254,0.053979
0.026824,0.051598,0.048611,0.044612,0.100921,0.092245,0.028178,0.059902,0.056190
0.027167,0.052638,0.048619,0.047477,0.092561,0.086194,0.026174,0.055854,0.052178
0.024795,0.055744,0.051422,0.048557,0.096042,0.094881,0.027380,0.060403,0.054187
0.026619,0.059397,0.052022,0.044092,0.097492,0.092383,0.027592,0.059139,0.054236
0.026089,0.055474,0.051936,0.042717,0.089777,0.087846,0.028699,0.060487,0.059002
0.026860,0.057003,0.052684,0.043471,0.093557,0.092522,0.027626,0.059571,0.054598
0.026612,0.057485,0.055229,0.048141,0.097755,0.093962,0.026024,0.056020,0.051818
0.025491,0.054082,0.049762,0.044504,0.096317,0.090550,0.025571,0.052830,0.049086
0.025536,0.054683,0.052479,0.044343,0.088343,0.088394,0.028971,0.058965,0.053232
