pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-2.226550,0.684769,6.123230,-1.977935,1.423327,5.954541,-2.574510,-0.034590,6.325495
-2.229894,0.687086,6.123272,-1.981243,1.425432,5.954643,-2.574058,-0.036906,6.323599
-2.233226,0.689273,6.123327,-1.984542,1.427404,5.954754,-2.573614,-0.039178,6.321740
-2.236544,0.691329,6.123397,-1.987831,1.429243,5.954874,-2.573178,-0.041405,6.319920
-2.239849,0.693254,6.123481,-1.991111,1.430949,5.955004,-2.572750,-0.043586,6.318137
-2.243141,0.695050,6.123579,-1.994381,1.432523,5.955144,-2.572329,-0.045723,6.316392
-2.246420,0.696714,6.123691,-1.997642,1.433964,5.955292,-2.571917,-0.047814,6.314686
-2.249685,0.698248,6.123817,-2.000893,1.435272,5.955450,-2.571512,-0.049860,6.313017
-2.252938,0.699652,6.123957,-2.004134,1.436447,5.955618,-2.571116,-0.051861,6.311385
-2.256177,0.700925,6.124111,-2.007367,1.437489,5.955795,-2.570727,-0.053817,6.309792
-2.259403,0.702068,6.124279,-2.010589,1.438399,5.955981,-2.570347,-0.055728,6.308237
-2.262616,0.703080,6.124462,-2.013802,1.439176,5.956177,-2.569974,-0.057594,6.306719
-2.265816,0.703961,6.124658,-2.017006,1.439820,5.956382,-2.569609,-0.059414,6.305240
-2.269003,0.704712,6.124868,-2.020200,1.440332,5.956596,-2.569252,-0.061190,6.303798
-2.272176,0.705331,6.125092,-2.023384,1.440711,5.956820,-2.568903,-0.062920,6.302394
-2.275337,0.705820,6.125331,-2.026559,1.440957,5.957053,-2.568562,-0.064606,6.301028
-2.278484,0.706178,6.125583,-2.029725,1.441070,5.957296,-2.568229,-0.066246,6.299700
-2.281618,0.706405,6.125849,-2.032881,1.441051,5.957548,-2.567904,-0.067841,6.298410
-2.284739,0.706500,6.126130,-2.036027,1.440899,5.957809,-2.567587,-0.069391,6.297158
-2.287847,0.706464,6.126424,-2.039164,1.440615,5.958080,-2.567277,-0.070896,6.295944
-2.290942,0.706297,6.126733,-2.042291,1.440197,5.958360,-2.566976,-0.072356,6.294767
-2.294024,0.705997,6.127055,-2.045409,1.439648,5.958650,-2.566682,-0.073770,6.293629
-2.297092,0.705565,6.127392,-2.048517,1.438965,5.958949,-2.566397,-0.075140,6.292528
-2.300148,0.705001,6.127742,-2.051616,1.438151,5.959257,-2.566119,-0.076464,6.291465
-2.303190,0.704304,6.128107,-2.054705,1.437204,5.959575,-2.565849,-0.077744,6.290440
-2.306219,0.703473,6.128486,-2.057785,1.436124,5.959902,-2.565588,-0.078978,6.289453
-2.309235,0.702510,6.128878,-2.060855,1.434913,5.960239,-2.565334,-0.080167,6.288504
-2.312237,0.701412,6.129285,-2.063916,1.433569,5.960585,-2.565088,-0.081311,6.287592
-2.315227,0.700180,6.129706,-2.066967,1.432094,5.960940,-2.564850,-0.082410,6.286719
-2.318204,0.698813,6.130140,-2.070009,1.430487,5.961305,-2.564620,-0.083464,6.285883
-2.321167,0.697311,6.130589,-2.073041,1.428748,5.961679,-2.564397,-0.084473,6.285086
-2.324117,0.695673,6.131052,-2.076063,1.426878,5.962063,-2.564183,-0.085436,6.284326
-2.327054,0.693899,6.131529,-2.079076,1.424876,5.962456,-2.563977,-0.086355,6.283604
-2.329978,0.691988,6.132020,-2.082080,1.422744,5.962858,-2.563778,-0.087228,6.282920
-2.332889,0.689939,6.132525,-2.085074,1.420480,5.963270,-2.563588,-0.088057,6.282274
-2.335786,0.687753,6.133044,-2.088058,1.418087,5.963691,-2.563405,-0.088840,6.281666
-2.338671,0.685427,6.133577,-2.091033,1.415563,5.964121,-2.563231,-0.089578,6.281095
-2.341542,0.682962,6.134124,-2.093999,1.412910,5.964561,-2.563064,-0.090271,6.280563
-2.344400,0.680357,6.134685,-2.096955,1.410127,5.965011,-2.562905,-0.090919,6.280068
-2.347245,0.677611,6.135260,-2.099901,1.407216,5.965469,-2.562754,-0.091522,6.279611
-2.350077,0.674724,6.135850,-2.102838,1.404176,5.965937,-2.562611,-0.092080,6.279193
-2.352896,0.671695,6.136453,-2.105765,1.401009,5.966415,-2.562476,-0.092592,6.278812
-2.355702,0.668524,6.137070,-2.108683,1.397714,5.966902,-2.562349,-0.093060,6.278469
-2.358494,0.665209,6.137701,-2.111591,1.394293,5.967398,-2.562230,-0.093482,6.278163
-2.361274,0.661750,6.138347,-2.114490,1.390746,5.967904,-2.562119,-0.093859,6.277896
-2.364040,0.658146,6.139006,-2.117379,1.387074,5.968419,-2.562015,-0.094192,6.277667
-2.366793,0.654397,6.139679,-2.120259,1.383278,5.968943,-2.561920,-0.094479,6.277475
-2.369533,0.650503,6.140367,-2.123129,1.379358,5.969477,-2.561833,-0.094721,6.277322
-2.372260,0.646462,6.141068,-2.125990,1.375316,5.970020,-2.561753,-0.094918,6.277206
-2.374973,0.642275,6.141784,-2.128841,1.371152,5.970573,-2.561681,-0.095069,6.277128
-2.377674,0.637941,6.142513,-2.131683,1.366867,5.971135,-2.561618,-0.095176,6.277088
-2.380361,0.633459,6.143257,-2.134515,1.362463,5.971707,-2.561562,-0.095238,6.277086
-2.383035,0.628829,6.144015,-2.137337,1.357940,5.972287,-2.561514,-0.095254,6.277122
-2.385696,0.624051,6.144786,-2.140150,1.353300,5.972878,-2.561474,-0.095225,6.277195
-2.388344,0.619126,6.145572,-2.142954,1.348544,5.973477,-2.561442,-0.095152,6.277307
-2.390979,0.614052,6.146372,-2.145748,1.343673,5.974086,-2.561418,-0.095033,6.277456
-2.393601,0.608830,6.147185,-2.148532,1.338689,5.974705,-2.561402,-0.094869,6.277643
-2.396209,0.603460,6.148013,-2.151307,1.333593,5.975332,-2.561393,-0.094660,6.277869
-2.398805,0.597942,6.148855,-2.154073,1.328387,5.975970,-2.561393,-0.094405,6.278132
-2.401387,0.592277,6.149711,-2.156828,1.323071,5.976616,-2.561401,-0.094106,6.278433
-2.403956,0.586465,6.150581,-2.159575,1.317648,5.977272,-2.561416,-0.093762,6.278771
-2.406512,0.580507,6.151465,-2.162312,1.312119,5.977937,-2.561440,-0.093372,6.279148
-2.409055,0.574404,6.152363,-2.165039,1.306486,5.978612,-2.561471,-0.092938,6.279563
-2.411584,0.568156,6.153275,-2.167757,1.300750,5.979296,-2.561510,-0.092458,6.280015
-2.414101,0.561764,6.154201,-2.170465,1.294913,5.979990,-2.561558,-0.091933,6.280506
-2.416604,0.555230,6.155141,-2.173164,1.288978,5.980693,-2.561613,-0.091363,6.281034
-2.419094,0.548555,6.156095,-2.175853,1.282945,5.981405,-2.561676,-0.090748,6.281600
-2.421571,0.541741,6.157063,-2.178533,1.276816,5.982127,-2.561747,-0.090088,6.282204
-2.424035,0.534789,6.158045,-2.181203,1.270595,5.982858,-2.561826,-0.089383,6.282846
-2.426486,0.527702,6.159041,-2.183863,1.264282,5.983599,-2.561913,-0.088633,6.283526
-2.428924,0.520481,6.160052,-2.186515,1.257879,5.984348,-2.562007,-0.087837,6.284243
-2.431348,0.513128,6.161076,-2.189156,1.251389,5.985108,-2.562110,-0.086997,6.284999
-2.433760,0.505646,6.162114,-2.191788,1.244813,5.985876,-2.562221,-0.086111,6.285792
-2.436158,0.498038,6.163167,-2.194411,1.238154,5.986655,-2.562339,-0.085180,6.286624
-2.438543,0.490307,6.164233,-2.197024,1.231414,5.987442,-2.562466,-0.084204,6.287493
-2.440915,0.482455,6.165313,-2.199627,1.224595,5.988239,-2.562600,-0.083183,6.288400
-2.443274,0.474486,6.166408,-2.202221,1.217699,5.989045,-2.562742,-0.082117,6.289345
-2.445619,0.466403,6.167516,-2.204806,1.210728,5.989861,-2.562892,-0.081006,6.290328
-2.447952,0.458210,6.168639,-2.207381,1.203685,5.990686,-2.563051,-0.079850,6.291349
-2.450271,0.449911,6.169775,-2.209946,1.196572,5.991520,-2.563217,-0.078649,6.292407
-2.452577,0.441509,6.170926,-2.212502,1.189392,5.992364,-2.563391,-0.077402,6.293504
-2.454870,0.433010,6.172091,-2.215048,1.182145,5.993217,-2.563573,-0.076110,6.294638
-2.457150,0.424416,6.173269,-2.217585,1.174836,5.994080,-2.563762,-0.074774,6.295810
-2.459417,0.415734,6.174462,-2.220112,1.167466,5.994952,-2.563960,-0.073392,6.297021
-2.461671,0.406968,6.175669,-2.222630,1.160037,5.995834,-2.564166,-0.071965,6.298269
-2.463911,0.398122,6.176890,-2.225138,1.152552,5.996724,-2.564380,-0.070493,6.299555
-2.466139,0.389202,6.178124,-2.227637,1.145014,5.997625,-2.564601,-0.068976,6.300878
-2.468353,0.380214,6.179373,-2.230126,1.137424,5.998534,-2.564831,-0.067414,6.302240
-2.470554,0.371162,6.180636,-2.232606,1.129786,5.999453,-2.565068,-0.065806,6.303640
-2.472742,0.362052,6.181913,-2.235076,1.122101,6.000382,-2.565313,-0.064154,6.305077
-2.474917,0.352890,6.183204,-2.237537,1.114372,6.001319,-2.565566,-0.062456,6.306552
-2.477078,0.343683,6.184509,-2.239988,1.106602,6.002267,-2.565828,-0.060714,6.308066
-2.479227,0.334435,6.185828,-2.242430,1.098792,6.003223,-2.566097,-0.058926,6.309617
-2.481362,0.325153,6.187161,-2.244862,1.090946,6.004189,-2.566374,-0.057093,6.311206
-2.483485,0.315844,6.188508,-2.247284,1.083064,6.005164,-2.566659,-0.055215,6.312833
-2.485594,0.306513,6.189869,-2.249697,1.075151,6.006149,-2.566951,-0.053292,6.314497
-2.487690,0.297168,6.191244,-2.252101,1.067208,6.007143,-2.567252,-0.051324,6.316200
-2.489773,0.287814,6.192634,-2.254495,1.059238,6.008147,-2.567561,-0.049311,6.317941
-2.491842,0.278458,6.194037,-2.256879,1.051242,6.009160,-2.567878,-0.047252,6.319719
-2.493899,0.269107,6.195454,-2.259254,1.043223,6.010182,-2.568202,-0.045149,6.321535
-2.495942,0.259767,6.196885,-2.261619,1.035184,6.011214,-2.568535,-0.043000,6.323389
-2.497972,0.250445,6.198331,-2.263975,1.027126,6.012255,-2.568875,-0.040807,6.325281
-2.499989,0.241148,6.199790,-2.266321,1.019052,6.013306,-2.569223,-0.038568,6.327211
-2.501993,0.231883,6.201264,-2.268658,1.010964,6.014365,-2.569580,-0.036284,6.329179
-2.503984,0.222655,6.202751,-2.270986,1.002865,6.015435,-2.569944,-0.033955,6.331185
-2.505962,0.213472,6.204252,-2.273303,0.994755,6.016513,-2.570316,-0.031581,6.333229
-2.507926,0.204340,6.205768,-2.275612,0.986638,6.017602,-2.570696,-0.029162,6.335310
-2.509878,0.195265,6.207298,-2.277910,0.978515,6.018699,-2.571084,-0.026697,6.337429
-2.511816,0.186255,6.208841,-2.280199,0.970388,6.019806,-2.571480,-0.024188,6.339587
-2.513741,0.177314,6.210399,-2.282479,0.962260,6.020922,-2.571883,-0.021633,6.341782
-2.515653,0.168450,6.211970,-2.284749,0.954131,6.022048,-2.572295,-0.019034,6.344015
-2.517552,0.159669,6.213556,-2.287010,0.946005,6.023183,-2.572715,-0.016389,6.346286
-2.519438,0.150976,6.215156,-2.289261,0.937883,6.024327,-2.573142,-0.013699,6.348594
-2.521310,0.142378,6.216770,-2.291502,0.929766,6.025481,-2.573578,-0.010964,6.350941
-2.523170,0.133880,6.218397,-2.293735,0.921656,6.026644,-2.574021,-0.008184,6.353326
-2.525016,0.125487,6.220039,-2.295957,0.913555,6.027817,-2.574473,-0.005359,6.355748
-2.526849,0.117205,6.221695,-2.298170,0.905464,6.028999,-2.574932,-0.002489,6.358208
-2.528669,0.109039,6.223365,-2.300373,0.897385,6.030191,-2.575399,0.000426,6.360707
-2.530476,0.100994,6.225049,-2.302567,0.889320,6.031391,-2.575874,0.003387,6.363243
-2.532269,0.093075,6.226747,-2.304752,0.881269,6.032602,-2.576357,0.006393,6.365817
-2.534050,0.085285,6.228459,-2.306927,0.873234,6.033821,-2.576848,0.009443,6.368428
-2.535817,0.077631,6.230185,-2.309092,0.865217,6.035050,-2.577347,0.012539,6.371078
-2.537572,0.070114,6.231925,-2.311248,0.857217,6.036289,-2.577854,0.015680,6.373766
-2.539313,0.062740,6.233679,-2.313394,0.849238,6.037536,-2.578368,0.018866,6.376491
-2.541041,0.055512,6.235447,-2.315531,0.841278,6.038794,-2.578891,0.022097,6.379255
-2.542756,0.048433,6.237230,-2.317658,0.833341,6.040060,-2.579422,0.025373,6.382056
-2.544457,0.041507,6.239026,-2.319776,0.825426,6.041336,-2.579960,0.028694,6.384895
-2.546146,0.034736,6.240836,-2.321884,0.817534,6.042621,-2.580506,0.032061,6.387772
-2.547821,0.028122,6.242660,-2.323983,0.809666,6.043916,-2.581061,0.035472,6.390687
-2.549483,0.021670,6.244499,-2.326072,0.801823,6.045220,-2.581623,0.038929,6.393640
-2.551133,0.015379,6.246351,-2.328152,0.794005,6.046534,-2.582193,0.042431,6.396630
-2.552769,0.009254,6.248217,-2.330222,0.786214,6.047857,-2.582771,0.045978,6.399659
-2.554391,0.003294,6.250098,-2.332283,0.778449,6.049189,-2.583357,0.049569,6.402726
-2.556001,-0.002497,6.251992,-2.334334,0.770711,6.050531,-2.583951,0.053206,6.405830
-2.557598,-0.008119,6.253901,-2.336375,0.763001,6.051882,-2.584553,0.056889,6.408972
-2.559181,-0.013570,6.255823,-2.338407,0.755319,6.053242,-2.585163,0.060616,6.412152
-2.560751,-0.018849,6.257760,-2.340430,0.747665,6.054612,-2.585781,0.064388,6.415370
-2.562308,-0.023956,6.259711,-2.342443,0.740040,6.055992,-2.586406,0.068206,6.418626
-2.563852,-0.028889,6.261675,-2.344446,0.732444,6.057380,-2.587040,0.072068,6.421920
-2.565383,-0.033648,6.263654,-2.346440,0.724877,6.058778,-2.587681,0.075976,6.425251
-2.566901,-0.038232,6.265647,-2.348424,0.717340,6.060186,-2.588331,0.079929,6.428621
-2.568406,-0.042641,6.267653,-2.350399,0.709832,6.061603,-2.588988,0.083927,6.432028
-2.569897,-0.046874,6.269674,-2.352365,0.702354,6.063029,-2.589654,0.087970,6.435474
-2.571375,-0.050931,6.271709,-2.354320,0.694905,6.064465,-2.590327,0.092058,6.438957
-2.572840,-0.054812,6.273758,-2.356267,0.687487,6.065910,-2.591008,0.096191,6.442478
-2.574292,-0.058516,6.275821,-2.358204,0.680098,6.067364,-2.591697,0.100369,6.446037
-2.575731,-0.062044,6.277898,-2.360131,0.672740,6.068828,-2.592394,0.104592,6.449634
-2.577157,-0.065395,6.279989,-2.362049,0.665411,6.070301,-2.593099,0.108861,6.453268
-2.578569,-0.068569,6.282094,-2.363957,0.658113,6.071784,-2.593812,0.113175,6.456941
-2.579969,-0.071566,6.284213,-2.365855,0.650845,6.073276,-2.594532,0.117533,6.460651
-2.581355,-0.074387,6.286346,-2.367745,0.643607,6.074777,-2.595261,0.121937,6.464400
-2.582728,-0.077031,6.288493,-2.369624,0.636399,6.076288,-2.595998,0.126386,6.468186
-2.584088,-0.079498,6.290654,-2.371494,0.629222,6.077808,-2.596742,0.130880,6.472010
-2.585435,-0.081788,6.292829,-2.373355,0.622074,6.079338,-2.597494,0.135419,6.475872
