pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
-2.251968,0.702163,6.1231,-2.022734,1.423979,5.92582,-2.572563,-0.090156,6.279369
-2.260366,0.698519,6.113956,-2.014902,1.421562,5.9281,-2.566443,-0.072524,6.294536
-2.260898,0.697648,6.113841,-2.015524,1.421554,5.927622,-2.56584,-0.071981,6.295884
-2.261973,0.698154,6.114335,-2.016321,1.421251,5.927435,-2.566259,-0.072787,6.295129
-2.262436,0.699892,6.116667,-2.017246,1.421586,5.92823,-2.566209,-0.071999,6.295801
-2.263248,0.700321,6.11667,-2.018003,1.421542,5.928399,-2.566514,-0.07355,6.294548
-2.263412,0.702341,6.117013,-2.018653,1.421844,5.928878,-2.566368,-0.072782,6.294736
-2.264149,0.703576,6.118678,-2.019583,1.421869,5.929262,-2.566341,-0.073019,6.294825
-2.265443,0.704178,6.119277,-2.020387,1.422441,5.929978,-2.566246,-0.073081,6.295757
-2.26706,0.704846,6.120089,-2.021204,1.42307,5.931571,-2.56619,-0.072704,6.295078
-2.268199,0.70714,6.121955,-2.02449,1.419748,5.931231,-2.565769,-0.071284,6.29633
-2.271303,0.704093,6.120982,-2.026648,1.420003,5.932716,-2.566141,-0.07211,6.295688
-2.272891,0.704235,6.121634,-2.027742,1.421311,5.934794,-2.566472,-0.072809,6.294845
-2.274866,0.70356,6.120815,-2.029085,1.421834,5.936619,-2.566299,-0.071992,6.296078
-2.276329,0.702983,6.121837,-2.030035,1.42236,5.946397,-2.566156,-0.07276,6.295021
-2.277544,0.701788,6.12173,-2.030293,1.422572,5.958432,-2.565969,-0.072193,6.295467
-2.27822,0.703033,6.123673,-2.030658,1.422585,5.970577,-2.566251,-0.071705,6.296439
-2.279953,0.702868,6.124936,-2.032331,1.421217,5.978057,-2.566526,-0.072356,6.295375
-2.281938,0.701601,6.125702,-2.033876,1.421188,5.978458,-2.566032,-0.072115,6.296081
-2.284324,0.698726,6.131194,-2.036409,1.419571,5.979088,-2.566052,-0.07141,6.296804
-2.288641,0.693229,6.130321,-2.040871,1.414059,5.976825,-2.566232,-0.072717,6.295467
-2.290581,0.694406,6.13215,-2.043085,1.412526,5.976934,-2.565893,-0.071221,6.296663
-2.29255,0.692732,6.132281,-2.045165,1.411175,5.976089,-2.566624,-0.073145,6.295299
-2.294174,0.690908,6.131978,-2.046907,1.410112,5.97562,-2.56619,-0.073012,6.294829
-2.296637,0.693305,6.135389,-2.048551,1.409313,5.975781,-2.566093,-0.071823,6.296049
-2.298225,0.694693,6.138579,-2.050636,1.407591,5.975005,-2.566726,-0.072958,6.294761
-2.301108,0.691954,6.139824,-2.053548,1.404775,5.974732,-2.566422,-0.072636,6.295018
-2.304093,0.68878,6.139721,-2.057551,1.399583,5.972686,-2.565784,-0.072241,6.295414
-2.305714,0.688304,6.141989,-2.058838,1.399212,5.973723,-2.566272,-0.071922,6.296415
