pt1_dltres,pt2_dltres,pt3_dltres
0.097645,0.803772,0.160605
0.240633,0.951543,0.065398
0.205420,0.993856,0.068471
0.239554,1.008494,0.061862
0.235780,1.021622,0.008651
0.257682,1.028261,0.030940
0.259122,1.059680,0.055588
0.242605,1.068990,0.039149
0.268104,1.083034,0.012198
0.306102,1.094412,0.024291
0.347545,0.988512,0.035850
0.404825,0.948072,0.035870
0.426202,0.969309,0.079549
0.433199,0.984894,0.025630
0.417142,1.359374,0.037901
0.455897,1.882337,0.039129
0.439091,2.404164,0.034733
0.410757,2.750253,0.047823
0.385871,2.775336,0.042145
0.155823,2.811448,0.026504
0.213028,2.735126,0.047899
0.235403,2.751673,0.039220
0.232493,2.771809,0.029803
0.235157,2.814243,0.021816
0.314928,2.848890,0.044974
0.368120,2.838724,0.053577
0.551208,2.832493,0.021386
0.575396,2.722999,0.035406
0.487589,2.733397,0.011667
0.296007,2.737552,0.044640
0.298595,2.777171,0.040468
0.275190,2.759324,0.040377
0.297260,2.782071,0.050804
0.334326,1.280266,0.035163
0.244082,1.114901,0.049854
0.015055,1.086836,0.011929
0.024943,1.096071,0.061489
0.052474,1.033081,0.051268
0.081708,0.931309,0.014814
0.086318,0.955262,0.032258
0.154973,1.056822,0.045327
0.228798,1.124535,0.041695
0.258498,1.208513,0.040377
0.272091,1.286662,0.040487
0.300128,1.428960,0.028535
0.510349,1.592489,0.038795
0.244798,1.888034,0.038012
0.263943,2.169479,0.028535
0.268960,2.249693,0.049031
0.234573,2.333639,0.041291
0.274914,2.418651,0.021013
0.328609,2.573570,0.052850
0.341912,2.677458,0.010385
0.324617,2.864030,0.015709
0.330587,2.108421,0.049557
0.336376,1.347253,0.028459
0.350170,0.938021,0.008671
0.385041,0.494120,0.002639
0.378804,0.111217,0.021033
0.346716,0.642378,0.016062
0.123573,1.470260,0.046985
0.145017,2.731358,0.041604
0.404286,2.555790,0.028889
0.368125,1.007407,0.033041
0.069592,0.081230,0.014945
0.107354,0.557547,0.011909
0.110891,0.926634,0.019432
0.151522,1.169266,0.012795
0.134987,1.354229,0.044453
0.159330,0.131641,0.013344
0.142793,0.497386,0.023882
0.120150,1.075112,0.030566
0.174143,1.651407,0.041175
0.188278,2.510803,0.026858
0.193389,1.639918,0.021477
0.201522,0.882467,0.049500
0.237726,0.255817,0.040453
0.250552,0.984751,0.034663
0.177373,1.915284,0.042852
0.024341,2.572028,0.018648
0.046535,1.813324,0.054007
0.062124,1.271315,0.030470
0.028660,0.869944,0.030156
0.279804,0.565168,0.051995
0.477653,0.228188,0.016603
0.196516,0.100474,0.153885
0.048816,0.487421,0.260384
0.014770,0.596586,0.829318
0.250779,0.452581,0.827677
0.363290,0.173681,0.831811
0.238019,0.118754,0.822689
0.025945,0.020007,0.086241
0.002707,0.122768,0.171609
0.285849,0.355020,0.166229
0.467186,0.247263,0.217026
0.381526,0.233792,0.201274
0.279517,0.296019,0.104417
0.034222,0.351303,0.441357
0.245135,0.392319,0.315316
0.463542,0.494062,0.403295
0.387219,0.723988,0.648366
0.133447,0.871258,0.720359
0.064971,0.974114,0.693579
0.033724,1.265042,0.404262
0.136275,1.408752,0.153726
0.249643,0.556776,0.170980
0.361638,0.008147,0.099582
0.089949,0.673472,0.012291
0.141078,1.067939,0.280288
0.424293,1.348251,0.280288
0.300756,1.317827,0.280288
0.044391,1.314405,0.280288
0.155451,0.599506,0.253506
0.045582,0.865161,0.088062
0.175709,0.766215,0.264880
0.163993,1.182114,0.014339
0.158177,1.396271,0.511191
0.175451,1.745344,0.191947
0.086535,1.955750,0.028214
0.256741,2.390381,0.332738
0.382890,3.051325,0.333760
0.190294,3.486816,0.223518
0.038266,2.097980,0.436516
0.045848,0.736410,0.129885
0.029550,0.565608,0.569367
0.143399,0.356944,0.515811
0.447220,0.359299,0.574174
0.495173,0.625155,0.814814
0.450769,0.944759,0.814814
0.386196,1.066947,0.980294
0.341106,1.526911,1.198586
0.148017,2.332263,1.599345
0.167144,2.954489,1.935124
0.172983,3.408090,1.550581
0.230328,3.980096,1.799739
0.232232,3.623018,1.575032
0.257795,3.001181,1.494675
0.300157,2.097809,1.281174
0.311646,1.599846,0.600314
0.400233,1.008732,0.537604
0.589925,0.163544,0.675543
0.580579,0.182278,0.388845
0.613332,0.170428,0.064162
0.587841,0.177254,0.010565
0.616593,0.147863,0.113945
0.604170,0.126591,0.391459
0.531252,0.108889,0.132411
0.499608,0.006594,0.011907
0.499227,0.017543,0.150696
0.475156,0.303437,0.302395
0.485304,0.840635,0.573376
0.542725,1.534508,0.320620
0.543557,2.214300,0.099407
0.520532,2.791253,0.088122
