pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
389.401121,540.274300,462.497518,439.900561,376.265441,508.248195,480.165412,406.909207,426.261603,618.922962,412.027055,518.258353
389.050000,540.080000,461.990000,440.100000,376.265441,508.292714,480.058447,406.909207,426.000000,618.990000,412.000000,518.000000
389.110000,540.220000,461.960000,440.240000,376.398997,508.337233,480.058447,407.123139,426.000000,619.000000,411.990000,518.020000
389.160000,540.360000,461.950000,440.400000,376.398997,508.337233,479.951481,407.444035,426.000000,618.980000,412.000000,518.010000
389.230000,540.530000,461.800000,440.950000,376.443516,508.337233,479.737550,407.764932,425.990000,619.000000,411.990000,518.000000
389.560000,541.050000,461.740000,441.110000,376.532553,508.337233,479.737550,408.085829,426.000000,618.990000,411.990000,518.000000
389.730000,541.220000,461.500000,441.720000,376.532553,508.381752,479.737550,408.192794,425.980000,619.010000,412.000000,518.010000
389.920000,541.780000,461.350000,441.930000,376.532553,508.381752,479.737550,408.192794,425.980000,619.000000,411.990000,518.000000
389.980000,541.920000,461.280000,442.090000,376.532553,508.470789,479.737550,408.406726,425.980000,619.000000,411.990000,518.010000
390.020000,542.030000,461.230000,442.280000,376.532553,508.470789,479.737550,408.513691,425.990000,619.000000,411.980000,518.020000
390.060000,542.140000,461.160000,442.600000,376.799666,508.693383,480.058447,408.941553,425.980000,619.000000,411.990000,518.030000
390.150000,542.370000,461.060000,443.060000,376.888703,509.005014,479.951481,409.369416,425.990000,618.990000,411.990000,518.000000
390.250000,542.920000,461.000000,443.210000,377.155816,509.094051,479.737550,409.476381,425.980000,619.010000,411.980000,518.020000
390.290000,543.070000,460.920000,443.420000,377.111297,509.183089,479.737550,409.797278,425.980000,619.020000,411.980000,518.010000
390.360000,543.190000,460.750000,443.870000,377.378409,510.073463,479.737550,410.011209,425.970000,618.990000,411.980000,518.020000
390.460000,543.380000,460.680000,443.960000,377.467447,510.117982,479.630584,410.225140,425.980000,618.990000,411.990000,518.000000
390.630000,543.940000,460.600000,444.080000,377.556484,510.340575,479.523619,410.546037,425.980000,618.980000,411.980000,518.020000
390.670000,544.080000,460.480000,444.240000,377.556484,510.563169,479.416653,410.866934,425.970000,619.010000,411.970000,518.020000
390.700000,544.220000,460.240000,444.500000,377.556484,510.652207,479.416653,410.973899,425.970000,619.010000,411.980000,518.010000
390.700000,544.380000,460.110000,444.900000,377.645521,510.741244,479.309688,411.187831,425.970000,619.010000,411.980000,518.020000
390.750000,544.890000,460.060000,444.970000,377.690040,510.874800,479.202722,411.615693,425.950000,618.980000,411.960000,518.020000
390.740000,544.990000,460.020000,445.030000,377.779078,510.963838,478.988791,412.043555,425.950000,618.990000,411.960000,518.000000
390.730000,545.060000,459.940000,445.110000,377.823596,511.052875,478.881825,412.043555,425.960000,619.000000,411.950000,518.000000
390.760000,545.200000,459.870000,445.190000,377.912634,511.186431,478.774860,412.471417,425.960000,618.980000,411.950000,518.000000
390.800000,545.380000,459.780000,445.290000,377.957153,511.275469,478.774860,412.792314,425.950000,618.960000,411.950000,518.000000
390.880000,545.860000,459.700000,445.350000,377.957153,511.364506,478.453963,413.006245,425.940000,618.990000,411.940000,518.000000
390.870000,545.940000,459.610000,445.440000,378.135227,511.987768,478.346997,413.220177,425.960000,618.990000,411.950000,517.990000
390.860000,545.990000,459.200000,446.050000,378.135227,512.299399,478.240032,413.220177,425.960000,618.990000,411.940000,518.010000
390.860000,546.090000,459.020000,446.420000,378.135227,512.477474,478.240032,413.434108,425.950000,619.000000,411.950000,518.020000
390.890000,546.190000,458.950000,446.570000,377.952941,512.910161,478.133066,413.434108,425.950000,619.000000,411.950000,517.990000
390.900000,546.360000,458.790000,446.740000,378.427807,513.859893,477.705204,413.434108,425.960000,618.970000,411.940000,518.000000
390.990000,546.880000,458.670000,446.870000,378.506952,513.939038,477.705204,413.541073,425.940000,618.990000,411.940000,517.990000
390.980000,546.980000,458.530000,446.990000,378.506952,514.493048,477.705204,413.541073,425.940000,618.980000,411.940000,518.010000
390.970000,547.050000,458.280000,447.190000,378.586096,514.809626,477.705204,413.648039,425.970000,618.980000,411.950000,517.990000
390.960000,547.180000,458.100000,447.360000,378.586096,514.809626,477.598238,413.861970,425.950000,619.000000,411.940000,518.010000
391.000000,547.370000,457.850000,447.850000,378.823529,515.284492,477.491273,414.182867,425.940000,618.980000,411.940000,517.980000
391.070000,547.910000,457.680000,447.930000,378.823529,515.521926,477.491273,414.289832,425.950000,618.960000,411.930000,518.010000
391.030000,548.050000,457.390000,448.090000,378.823529,515.680214,477.170376,414.717695,425.940000,618.980000,411.940000,517.990000
391.040000,548.140000,457.210000,448.190000,378.744385,515.838503,476.421617,415.145557,425.950000,619.010000,411.930000,517.990000
391.020000,548.330000,457.080000,448.280000,378.665240,515.917648,476.314651,415.252523,425.930000,619.010000,411.940000,517.990000
391.050000,548.860000,456.940000,448.380000,378.665240,516.234225,476.100720,415.466454,425.930000,618.980000,411.940000,518.000000
391.030000,548.980000,456.760000,448.480000,378.665240,516.234225,475.886789,415.894316,425.920000,618.990000,411.930000,517.990000
391.000000,549.120000,456.450000,448.960000,378.665240,516.550803,475.565892,416.108247,425.930000,618.980000,411.930000,517.980000
390.960000,549.260000,456.220000,449.070000,378.665240,517.104814,475.244996,416.429144,425.930000,618.980000,411.920000,517.990000
390.930000,549.440000,456.100000,449.150000,378.744385,517.579680,475.031064,416.750041,425.930000,619.010000,411.910000,517.990000
390.940000,549.890000,455.990000,449.170000,378.744385,517.658824,475.031064,416.963972,425.900000,619.000000,411.920000,518.000000
390.920000,549.970000,455.880000,449.220000,378.744385,517.817113,474.817133,417.177903,425.920000,618.990000,411.920000,517.990000
390.900000,550.030000,455.750000,449.280000,378.744385,517.975402,474.817133,417.284869,425.900000,618.990000,411.920000,517.980000
390.890000,550.130000,455.580000,449.370000,378.744385,518.212835,474.710168,417.391834,425.890000,619.000000,411.910000,517.980000
390.890000,550.270000,455.220000,449.650000,378.744385,519.083423,474.603202,417.498800,425.900000,619.010000,411.910000,517.990000
390.910000,550.480000,455.030000,449.930000,378.665240,519.558290,474.389271,417.819696,425.890000,619.000000,411.900000,518.000000
390.950000,550.900000,454.920000,449.970000,378.665240,519.795723,474.068374,418.033628,425.900000,619.000000,411.920000,517.990000
390.930000,550.980000,454.770000,450.030000,378.665240,520.112301,473.961409,418.247559,425.880000,619.010000,411.890000,517.990000
390.890000,551.070000,454.560000,450.130000,378.902674,520.270589,473.640512,418.568455,425.890000,619.010000,411.910000,517.990000
