pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.017972,0.050192,0.055619,0.020960,0.049189,0.053534,0.021315,0.055456,0.054623
0.020290,0.050370,0.051768,0.021372,0.057709,0.061051,0.020203,0.057892,0.056966
0.019999,0.050775,0.052624,0.023659,0.048216,0.053645,0.022390,0.059536,0.058831
0.021554,0.050466,0.054169,0.023664,0.051174,0.058638,0.023346,0.058944,0.055273
0.018071,0.049690,0.051261,0.022852,0.050256,0.056756,0.020923,0.058820,0.058771
0.020539,0.049031,0.055104,0.020607,0.054037,0.058750,0.021592,0.052643,0.049877
0.018657,0.052827,0.055016,0.021863,0.052395,0.059822,0.020821,0.057116,0.051772
0.020673,0.049931,0.052659,0.021933,0.052274,0.056448,0.021879,0.062382,0.059731
0.020563,0.051799,0.054698,0.022478,0.051167,0.059786,0.022062,0.055897,0.059439
0.022381,0.048460,0.053524,0.021485,0.050286,0.054962,0.021666,0.057976,0.054347
0.019636,0.054826,0.057972,0.020195,0.054032,0.058891,0.021856,0.059313,0.054702
0.020601,0.050002,0.053078,0.022803,0.053661,0.058619,0.022254,0.061018,0.059661
0.019469,0.045910,0.047742,0.021675,0.050060,0.054264,0.020643,0.061013,0.059263
0.020738,0.051993,0.056053,0.023109,0.051024,0.057870,0.018999,0.063163,0.057189
0.020753,0.052162,0.054721,0.022983,0.046920,0.053331,0.020304,0.059081,0.056991
0.019181,0.050345,0.055692,0.024152,0.050250,0.057424,0.021390,0.056014,0.054769
0.021371,0.054195,0.056912,0.019736,0.053608,0.059467,0.022373,0.058215,0.055204
0.021712,0.050409,0.052319,0.020956,0.055618,0.061961,0.021366,0.058933,0.055779
0.021336,0.047592,0.051164,0.022021,0.053528,0.058952,0.022157,0.064788,0.060163
0.021475,0.052262,0.055722,0.020125,0.053005,0.056278,0.021264,0.055439,0.054706
0.022257,0.048386,0.051958,0.023281,0.052438,0.055846,0.022186,0.054535,0.054637
0.021678,0.050010,0.051784,0.021597,0.054754,0.061965,0.020587,0.058157,0.055873
