pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
8.469851,2.518500,4.685623,8.387945,3.350325,4.470736,8.720988,0.118759,4.771822
8.471474,2.514319,4.686411,8.389020,3.345761,4.473896,8.721013,0.118694,4.771710
8.473117,2.510109,4.687195,8.390124,3.341173,4.477032,8.721038,0.118628,4.771600
8.474778,2.505872,4.687975,8.391255,3.336562,4.480145,8.721063,0.118564,4.771491
8.476459,2.501606,4.688750,8.392414,3.331927,4.483236,8.721087,0.118500,4.771382
8.478158,2.497312,4.689522,8.393601,3.327269,4.486304,8.721112,0.118436,4.771275
8.479875,2.492989,4.690289,8.394816,3.322587,4.489348,8.721136,0.118373,4.771169
8.481612,2.488638,4.691053,8.396059,3.317881,4.492370,8.721161,0.118311,4.771064
8.483368,2.484259,4.691812,8.397330,3.313152,4.495369,8.721185,0.118249,4.770959
8.485142,2.479852,4.692567,8.398629,3.308398,4.498344,8.721209,0.118188,4.770856
8.486935,2.475417,4.693318,8.399956,3.303622,4.501297,8.721233,0.118128,4.770754
8.488747,2.470953,4.694066,8.401311,3.298821,4.504227,8.721257,0.118068,4.770653
8.490577,2.466461,4.694809,8.402693,3.293997,4.507134,8.721281,0.118009,4.770552
8.492427,2.461941,4.695547,8.404104,3.289149,4.510017,8.721305,0.117950,4.770453
8.494295,2.457392,4.696282,8.405542,3.284278,4.512878,8.721329,0.117892,4.770355
8.496182,2.452815,4.697013,8.407009,3.279383,4.515716,8.721353,0.117834,4.770258
8.498087,2.448210,4.697740,8.408503,3.274464,4.518531,8.721377,0.117778,4.770162
8.500012,2.443577,4.698462,8.410025,3.269521,4.521323,8.721400,0.117721,4.770067
8.501954,2.438915,4.699181,8.411575,3.264555,4.524092,8.721424,0.117666,4.769973
8.503916,2.434225,4.699895,8.413152,3.259565,4.526838,8.721448,0.117610,4.769879
8.505896,2.429507,4.700606,8.414758,3.254552,4.529562,8.721471,0.117556,4.769787
8.507894,2.424761,4.701312,8.416391,3.249515,4.532262,8.721494,0.117502,4.769696
8.509911,2.419986,4.702014,8.418051,3.244454,4.534939,8.721518,0.117449,4.769606
8.511946,2.415183,4.702712,8.419740,3.239370,4.537593,8.721541,0.117396,4.769517
8.513999,2.410352,4.703406,8.421455,3.234262,4.540225,8.721564,0.117344,4.769429
8.516071,2.405493,4.704096,8.423199,3.229130,4.542833,8.721587,0.117292,4.769342
8.518160,2.400605,4.704782,8.424969,3.223974,4.545418,8.721610,0.117241,4.769256
8.520267,2.395689,4.705464,8.426767,3.218795,4.547981,8.721633,0.117191,4.769171
8.522392,2.390745,4.706142,8.428592,3.213593,4.550520,8.721656,0.117141,4.769087
8.524535,2.385772,4.706815,8.430444,3.208366,4.553036,8.721678,0.117092,4.769004
8.526695,2.380772,4.707485,8.432323,3.203116,4.555530,8.721701,0.117043,4.768922
8.528872,2.375743,4.708150,8.434229,3.197842,4.558000,8.721724,0.116995,4.768841
8.531066,2.370686,4.708812,8.436162,3.192545,4.560448,8.721746,0.116948,4.768762
8.533278,2.365600,4.709469,8.438121,3.187224,4.562873,8.721769,0.116901,4.768683
8.535506,2.360487,4.710122,8.440107,3.181879,4.565274,8.721791,0.116855,4.768605
8.537750,2.355345,4.710772,8.442119,3.176511,4.567653,8.721813,0.116809,4.768528
