pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
8.491263,2.503746,4.65263,8.42139,3.305303,4.483165,8.716489,0.108821,4.764128
8.4988,2.502221,4.650661,8.422652,3.302769,4.481338,8.720233,0.115584,4.767163
8.498591,2.499714,4.652341,8.420938,3.299353,4.481724,8.720319,0.115341,4.767374
8.498204,2.497986,4.655022,8.42114,3.297297,4.484115,8.720174,0.115628,4.767189
8.498101,2.492894,4.660312,8.422053,3.291641,4.483013,8.720472,0.115609,4.767322
8.496816,2.48129,4.659585,8.420305,3.289651,4.485563,8.720348,0.115314,4.76693
8.496576,2.471375,4.661242,8.420136,3.289665,4.487713,8.720453,0.116198,4.768105
8.497539,2.461494,4.663283,8.420136,3.289665,4.487713,8.720567,0.115924,4.767584
8.497702,2.458065,4.664369,8.4198,3.289692,4.492011,8.720537,0.115948,4.76774
8.497658,2.455783,4.666482,8.419493,3.28982,4.493607,8.720528,0.115385,4.767402
8.497454,2.453222,4.670106,8.413112,3.289928,4.503196,8.720479,0.115995,4.768054
8.497074,2.448479,4.675415,8.413154,3.284854,4.508838,8.720442,0.115629,4.767191
8.49805,2.443165,4.680711,8.412892,3.272802,4.500085,8.720653,0.11568,4.767795
8.498393,2.440105,4.682956,8.412662,3.274147,4.507098,8.720712,0.115636,4.767769
8.498641,2.434507,4.685669,8.412348,3.265025,4.514654,8.720687,0.116036,4.767794
8.498788,2.429737,4.685321,8.41217,3.260371,4.513786,8.720537,0.115944,4.767453
8.499443,2.421933,4.688085,8.412241,3.255392,4.516727,8.720562,0.115741,4.767402
8.50033,2.417869,4.688556,8.413138,3.252784,4.521899,8.720862,0.115725,4.767823
8.502311,2.411379,4.688096,8.41311,3.252686,4.524601,8.720777,0.115972,4.767899
8.503048,2.408505,4.693218,8.413071,3.24792,4.524289,8.720747,0.115996,4.768056
8.504488,2.404799,4.698296,8.41297,3.244486,4.528839,8.721075,0.116146,4.767719
8.505145,2.403975,4.699812,8.413441,3.237557,4.529351,8.721164,0.116078,4.767536
8.506083,2.402302,4.700355,8.41443,3.233712,4.526961,8.721214,0.115472,4.767172
8.506756,2.399585,4.700995,8.413916,3.229099,4.530405,8.721154,0.115512,4.76691
8.507617,2.396047,4.70174,8.412861,3.228084,4.535193,8.721188,0.115868,4.76691
8.509035,2.39086,4.704877,8.415896,3.220838,4.53237,8.721488,0.115852,4.767331
8.510083,2.388939,4.705472,8.416699,3.212309,4.536439,8.721214,0.115468,4.766885
8.512982,2.380245,4.706341,8.418796,3.209075,4.537921,8.721269,0.115245,4.766965
8.51416,2.376279,4.709138,8.418737,3.208884,4.543325,8.72125,0.115834,4.767748
8.514509,2.373762,4.71033,8.422902,3.210208,4.550876,8.721338,0.115763,4.767277
8.51617,2.369521,4.711191,8.425954,3.185392,4.541283,8.721239,0.115262,4.766546
8.517848,2.363095,4.714725,8.42516,3.183208,4.54188,8.721517,0.115828,4.767174
8.519409,2.359979,4.714905,8.426883,3.181828,4.548794,8.721428,0.115896,4.767357
8.521832,2.354434,4.713451,8.426826,3.179057,4.552358,8.721089,0.115173,4.766492
8.523773,2.350368,4.713866,8.427339,3.176869,4.553156,8.721394,0.11554,4.767357
8.525265,2.343585,4.717034,8.426818,3.16729,4.555535,8.721517,0.115824,4.766886
8.527873,2.336391,4.719446,8.427249,3.166831,4.560093,8.721388,0.11535,4.7666
8.531339,2.330496,4.71813,8.429894,3.159621,4.561285,8.721487,0.115848,4.767043
8.533175,2.325857,4.716485,8.437781,3.144766,4.554948,8.721598,0.115201,4.766941
8.535086,2.322993,4.71782,8.439581,3.144375,4.557131,8.721672,0.116103,4.767698
8.537655,2.317692,4.722096,8.442207,3.138959,4.559505,8.721552,0.116187,4.767461
8.539862,2.313817,4.721584,8.443234,3.134597,4.561122,8.721821,0.116188,4.767464
8.542529,2.307652,4.724389,8.446988,3.126736,4.561117,8.721726,0.115869,4.766914
8.545495,2.303109,4.723664,8.451174,3.118409,4.565665,8.721811,0.115622,4.766837
8.54739,2.300772,4.7252,8.453251,3.110604,4.569625,8.722016,0.115291,4.766997
8.549806,2.296815,4.728443,8.452882,3.110669,4.573798,8.722125,0.116551,4.768041
8.551281,2.29463,4.728243,8.455018,3.105645,4.574202,8.721935,0.115917,4.76723
8.552881,2.29203,4.727494,8.455201,3.105382,4.577767,8.722154,0.116524,4.767596
8.554858,2.288143,4.726552,8.45676,3.102474,4.579942,8.722393,0.116548,4.767755
8.558369,2.279627,4.724469,8.460282,3.098,4.590023,8.722299,0.116236,4.767782
8.560072,2.27445,4.72657,8.463823,3.094446,4.59795,8.722448,0.116325,4.767835
8.562061,2.269751,4.728982,8.467335,3.086774,4.596964,8.722154,0.116527,4.767884
8.563941,2.266622,4.728037,8.46883,3.083806,4.601722,8.722717,0.116325,4.767837
8.56657,2.262655,4.726981,8.469596,3.070076,4.595394,8.722393,0.116551,4.768043
8.570251,2.251841,4.721662,8.470113,3.067885,4.596195,8.722477,0.116298,4.767391
8.572077,2.246911,4.724985,8.472072,3.0604,4.594016,8.722333,0.116588,4.767493
8.573794,2.243839,4.725486,8.474611,3.050783,4.590057,8.722726,0.116887,4.768176
8.576282,2.237099,4.726451,8.478365,3.054263,4.598183,8.722811,0.11664,4.768099
8.580814,2.229168,4.722367,8.479617,3.051487,4.601953,8.722741,0.117832,4.768958
8.583368,2.223694,4.720555,8.481421,3.048386,4.605123,8.722836,0.116431,4.767472
8.585758,2.221373,4.722253,8.483224,3.045287,4.608295,8.722811,0.116637,4.767811
8.589291,2.216656,4.726228,8.485091,3.042254,4.608891,8.722726,0.116887,4.768176
8.59371,2.207202,4.722998,8.48955,3.034632,4.612274,8.722895,0.116387,4.767447
8.596547,2.199071,4.722795,8.492599,3.034184,4.61724,8.722945,0.115777,4.766795
8.598704,2.195734,4.722429,8.495293,3.028821,4.617044,8.723193,0.116363,4.767292
8.601714,2.191647,4.722505,8.498019,3.018939,4.616662,8.722944,0.115774,4.766507
8.606307,2.182867,4.721833,8.502645,3.008103,4.61262,8.723249,0.116137,4.767084
8.60866,2.1801,4.721626,8.503673,3.004631,4.618957,8.722959,0.116719,4.767289
8.610304,2.178664,4.721704,8.505619,2.998101,4.623215,8.722915,0.115797,4.766664
8.612167,2.176378,4.722013,8.50703,2.997118,4.624919,8.722989,0.116695,4.767132
8.614215,2.173649,4.721194,8.508629,2.990939,4.622563,8.723144,0.116973,4.767944
8.616631,2.168751,4.720534,8.509847,2.987473,4.625676,8.723095,0.115869,4.767136
8.620887,2.15773,4.72047,8.515943,2.980745,4.627151,8.723163,0.116384,4.767161
8.622803,2.154345,4.721978,8.521227,2.976026,4.631492,8.723075,0.116455,4.767631
8.624578,2.152474,4.722061,8.525269,2.978509,4.63918,8.723259,0.116706,4.767998
8.627282,2.151384,4.722512,8.529115,2.970918,4.639132,8.723114,0.116993,4.767813
8.631199,2.148637,4.722616,8.534112,2.96659,4.638319,8.723343,0.116452,4.767346
8.634774,2.142109,4.72191,8.537599,2.959286,4.63681,8.723442,0.117147,4.767764
8.637413,2.132529,4.727278,8.536543,2.945548,4.634999,8.722989,0.116695,4.767132
8.640103,2.126638,4.724085,8.539424,2.943276,4.646743,8.723503,0.11711,4.768313
8.643638,2.121199,4.722671,8.54372,2.932965,4.642654,8.723428,0.116205,4.767269
8.64578,2.118541,4.723594,8.54966,2.929093,4.650366,8.723178,0.117329,4.767943
8.649362,2.11299,4.724791,8.551113,2.925436,4.654427,8.723443,0.117154,4.768339
8.652536,2.106955,4.727793,8.55381,2.918599,4.65369,8.723502,0.117106,4.768026
8.654041,2.096465,4.728634,8.56045,2.901752,4.64743,8.723597,0.117425,4.768575
8.658242,2.0819,4.724477,8.562354,2.895414,4.64749,8.723757,0.118079,4.769255
8.660643,2.079263,4.724573,8.56468,2.891358,4.647071,8.723787,0.118059,4.769386
8.66392,2.078634,4.726599,8.565232,2.878159,4.640472,8.723577,0.118011,4.76907
8.666663,2.074546,4.726756,8.569075,2.873027,4.642193,8.723732,0.116565,4.767559
8.671189,2.066837,4.727007,8.571943,2.878816,4.650994,8.723662,0.117567,4.769019
8.673299,2.06039,4.733057,8.576695,2.86425,4.64614,8.723806,0.117469,4.768603
8.675527,2.059064,4.734486,8.578663,2.860486,4.644266,8.723901,0.117784,4.768864
8.678785,2.053098,4.732813,8.582246,2.865715,4.656009,8.723722,0.11772,4.768967
8.682519,2.044881,4.731609,8.585845,2.868424,4.665944,8.723867,0.117429,4.768865
8.685501,2.038758,4.735977,8.588172,2.864378,4.665544,8.723941,0.11833,4.769621
8.688242,2.033376,4.739962,8.590063,2.860526,4.667376,8.724285,0.117518,4.768921
8.69259,2.025821,4.738064,8.594891,2.86257,4.674315,8.724011,0.117138,4.768762
8.695851,2.018458,4.742208,8.608968,2.825694,4.662928,8.723931,0.117764,4.768995
8.698146,2.014966,4.744582,8.606701,2.828285,4.662864,8.723912,0.11664,4.768319
8.701433,2.007332,4.746715,8.604716,2.828818,4.682929,8.723996,0.118103,4.769414
8.704691,1.991841,4.744968,8.610716,2.81189,4.690061,8.723648,0.116822,4.768499
8.706745,1.981275,4.747139,8.627618,2.779922,4.67452,8.724309,0.119028,4.770329
8.70868,1.973445,4.750124,8.619243,2.811834,4.687913,8.723982,0.117161,4.768919
