pt1_dltres,pt2_dltres,pt3_dltres
0.177340,0.060165,0.091923
0.617451,0.053443,0.081500
0.603912,0.137385,0.073546
0.599950,0.367806,0.067808
0.854112,0.616953,0.085090
0.545314,0.808258,0.079213
0.844374,0.844314,0.086802
0.580587,0.844314,0.083727
0.589321,0.916429,0.077274
0.637244,0.984732,0.069896
0.773165,0.979393,0.064368
0.911560,1.038851,0.077850
0.608700,1.052947,0.075773
0.647549,1.200191,0.089466
0.878668,0.651211,0.059931
0.800461,0.767538,0.076488
0.465544,0.823216,0.054054
0.489029,0.892468,0.072123
0.606316,0.896303,0.080864
0.777348,0.980401,0.074411
0.457236,1.175690,0.045391
0.434146,1.421947,0.065537
0.455014,1.376177,0.071851
0.416937,1.564704,0.057372
0.365939,1.698436,0.041530
0.063785,1.847087,0.059599
0.086167,1.530742,0.071065
0.538796,1.330521,0.055871
0.745823,1.338217,0.057583
0.781574,1.078023,0.076942
0.803555,0.419864,0.047844
0.525217,0.418854,0.066052
0.564087,0.017586,0.045906
0.701825,0.155390,0.065188
0.760410,0.006762,0.061748
0.989723,0.142727,0.065265
0.679532,0.246353,0.030501
0.754717,0.011232,0.058812
0.794458,0.337704,0.079606
0.748001,0.386181,0.079169
0.456664,0.344462,0.050997
0.479064,0.668755,0.061039
0.762536,0.652470,0.061615
0.791530,0.532523,0.052874
0.744999,0.432467,0.072306
0.456189,0.511841,0.056813
0.459053,0.584750,0.058752
0.487512,0.538436,0.062480
0.514147,0.460218,0.066069
0.676734,0.076691,0.068219
0.745740,0.152824,0.050875
0.487052,0.111864,0.063266
0.505701,0.179088,0.060918
0.559758,0.048328,0.066856
0.731533,0.113810,0.056542
0.947508,0.049016,0.051590
0.847646,0.135333,0.068296
0.591998,0.092939,0.059556
0.721784,0.083042,0.054166
0.729656,0.052567,0.035548
0.669770,0.188181,0.058769
0.354166,0.334819,0.068296
0.520831,0.051504,0.049241
0.761309,0.170912,0.054769
0.716355,0.118010,0.065737
0.655388,0.157937,0.053982
0.566936,0.345882,0.049756
0.600163,0.497583,0.039852
0.584300,0.838326,0.047529
0.548244,0.512870,0.046305
0.525799,0.364527,0.060209
0.483918,0.477539,0.038213
0.464632,0.602699,0.058497
0.653342,0.448110,0.039138
0.661375,0.445262,0.058708
0.702040,0.357887,0.052969
0.830551,0.276966,0.048394
0.889298,0.274452,0.024736
0.765795,0.109743,0.046305
0.801657,0.569392,0.040003
0.863642,0.355393,0.039653
0.867226,0.000972,0.044367
0.759100,0.058858,0.026310
0.540676,0.237229,0.039216
0.185982,0.714433,0.038640
0.526806,1.073741,0.029462
0.523014,0.939502,0.036702
0.525962,1.082704,0.039565
0.555528,0.597679,0.034640
0.708421,0.462986,0.082793
0.659468,0.308512,0.034990
0.657943,0.259155,0.033627
0.662535,0.045402,0.044518
0.700343,0.047519,0.049470
0.473803,0.086777,0.049032
0.763001,0.125023,0.042169
0.808220,0.309171,0.054422
0.526242,0.872368,0.040867
0.600647,0.325754,0.026111
0.835238,0.743364,0.033052
0.527401,1.349721,0.045742
0.223106,1.766767,0.036204
0.466161,0.334235,0.047969
0.522953,0.661992,0.061662
0.588700,0.105716,0.023662
0.704951,0.260030,0.043592
0.590595,0.109556,0.038065
0.255449,0.020075,0.055347
0.361953,0.022934,0.042092
0.630990,0.528620,0.052134
0.497002,0.867875,0.060438
0.385357,0.848517,0.058997
0.438103,0.531130,0.039942
0.567325,0.130811,0.040154
0.613426,0.172992,0.061800
0.710045,0.254996,0.043592
0.767292,0.216591,0.056649
0.699291,0.075211,0.047122
0.477067,0.269223,0.066237
0.399182,0.069598,0.068690
0.435951,0.407677,0.050772
0.717065,0.465334,0.041305
0.653122,0.286088,0.060875
0.349319,0.673693,0.058449
0.357815,0.610973,0.034004
0.398489,0.768539,0.040867
0.405852,0.872689,0.050694
0.694607,1.278273,0.065390
0.674296,1.257811,0.048756
0.374794,1.052479,0.040945
0.741914,1.241590,0.038580
0.989907,1.139262,0.060438
0.727163,1.066093,0.035367
0.725761,1.112591,0.063163
0.727310,1.135475,0.051619
0.767376,0.772026,0.041654
0.505576,0.394296,0.086383
0.380608,0.236188,0.047044
0.375702,0.415949,0.054422
0.380377,0.201068,0.060360
0.378482,0.211012,0.072341
0.378973,0.029499,0.036564
0.627376,0.106547,0.041305
0.395350,0.121048,0.065312
0.393546,0.026614,0.060222
0.336171,0.080794,0.043017
0.563308,0.325993,0.078945
0.532074,0.354757,0.032338
0.331825,0.096846,0.049332
0.435598,0.369837,0.060222
0.633479,0.531436,0.030686
0.605588,0.303823,0.026111
0.571859,0.653814,0.080579
0.555634,0.674878,0.062587
0.296664,0.792440,0.067811
0.357148,0.519871,0.066675
0.623153,0.457325,0.059149
0.551753,0.403101,0.051757
0.510811,0.604298,0.079566
0.260015,0.490041,0.048756
0.271103,0.654141,0.036914
0.565439,0.530618,0.054257
0.576176,0.355392,0.049681
0.563159,0.323192,0.055996
0.553126,0.260641,0.062449
0.477217,0.468734,0.036503
0.571639,0.494977,0.043804
0.605232,0.582876,0.053331
0.626751,0.664008,0.051969
0.621108,0.119115,0.061662
0.392365,0.119115,0.063950
0.446099,0.009617,0.074779
0.516600,0.321679,0.044518
0.635815,0.179575,0.053409
0.811051,0.256600,0.036564
0.624230,0.094990,0.062527
0.452533,0.177034,0.061147
0.494036,0.171110,0.038004
0.473096,0.007322,0.074282
0.360732,0.038395,0.062389
0.397333,0.115538,0.040154
0.448955,0.149430,0.073992
0.489942,0.146972,0.070554
0.471865,0.393104,0.060299
0.606497,0.090411,0.083083
0.369943,0.140327,0.040867
0.432721,0.140327,0.059724
0.490097,0.274914,0.049621
0.720151,0.220834,0.039882
0.628562,0.150806,0.046607
0.362235,0.314053,0.058012
0.332070,0.123891,0.065330
0.372327,0.408150,0.042243
0.548860,0.135965,0.051559
0.650913,0.277267,0.051559
0.682566,0.147243,0.058799
0.615825,0.089991,0.045106
0.543688,0.178115,0.051619
0.344306,0.093994,0.057436
0.352523,0.420421,0.059724
0.581444,0.038691,0.061740
0.697143,0.154784,0.031202
0.658851,0.054397,0.066614
