pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
851.306885,392.208087,836.461405,524.568707,853.965999,358.675794,862.347484,502.476078,844.086683,403.955428,816.155586,527.033890
850.940000,392.000000,835.970000,524.920000,853.680758,360.102002,861.871406,502.809333,844.000000,403.980000,816.020000,527.000000
850.890000,391.960000,835.880000,524.820000,853.680758,361.029037,861.347719,503.285412,844.000000,403.980000,816.010000,526.990000
850.840000,391.940000,835.850000,524.770000,853.609447,361.314278,861.062072,503.428235,844.000000,403.990000,816.000000,527.010000
850.800000,391.920000,835.830000,524.670000,853.965999,358.176621,861.728582,502.761726,844.010000,403.970000,816.000000,527.000000
850.730000,391.900000,835.810000,524.530000,853.894689,358.319242,861.728582,502.761726,844.000000,403.990000,816.010000,527.020000
850.690000,391.860000,835.820000,524.300000,853.894689,358.319242,861.728582,502.761726,844.000000,403.990000,816.000000,527.000000
850.610000,391.860000,835.790000,524.210000,853.894689,358.319242,861.878423,503.000000,843.990000,403.980000,816.010000,527.000000
850.500000,391.830000,835.720000,524.140000,853.894689,358.319242,860.975637,503.451393,843.990000,404.010000,816.000000,527.020000
850.240000,391.810000,835.670000,524.110000,853.894689,358.319242,861.233341,502.933127,844.000000,403.980000,815.980000,527.020000
850.200000,391.780000,835.670000,524.050000,853.894689,358.319242,860.965849,502.866254,843.990000,404.020000,816.010000,527.010000
850.200000,391.750000,835.620000,524.010000,853.680758,358.604484,861.099595,502.866254,843.990000,403.970000,815.970000,527.070000
850.170000,391.750000,835.610000,523.990000,853.823379,358.604484,861.099595,502.732508,843.990000,404.000000,816.000000,527.010000
850.140000,391.680000,835.570000,523.940000,853.609447,358.747104,861.099595,502.732508,844.000000,403.970000,816.000000,527.000000
850.130000,391.660000,835.510000,523.920000,853.609447,358.818415,861.099595,502.732508,844.010000,403.990000,815.990000,526.980000
850.100000,391.640000,835.140000,523.990000,853.609447,358.675794,861.099595,502.732508,844.000000,404.010000,816.020000,526.990000
850.100000,391.650000,835.130000,523.980000,853.538137,358.818415,861.099595,502.732508,843.990000,404.000000,816.010000,527.000000
850.080000,391.710000,835.040000,523.960000,853.395516,358.961036,860.898976,502.665635,843.990000,403.990000,815.990000,526.990000
850.110000,391.690000,835.010000,523.930000,853.395516,359.246277,860.832103,502.531889,843.980000,403.990000,816.010000,527.010000
850.060000,391.720000,834.950000,523.960000,853.395516,359.246277,860.698357,502.531889,844.020000,403.960000,816.020000,527.000000
850.020000,391.760000,834.890000,523.950000,853.395516,359.317588,860.631484,502.465016,844.010000,403.990000,816.010000,526.990000
849.970000,391.800000,834.800000,523.950000,853.395516,359.317588,860.497738,502.398143,843.990000,403.960000,816.010000,526.980000
849.990000,391.830000,834.690000,523.950000,853.395516,359.460208,860.430865,502.398143,844.000000,403.980000,816.010000,526.970000
849.980000,391.890000,834.590000,523.960000,853.395516,359.246277,860.230246,502.264397,844.010000,403.990000,816.000000,527.000000
850.020000,391.910000,834.120000,524.060000,853.395516,359.246277,860.096500,502.063778,843.990000,403.980000,816.020000,527.010000
850.050000,391.960000,834.050000,524.040000,853.324206,359.388898,860.339234,502.673684,843.980000,403.970000,816.020000,527.010000
850.030000,392.010000,834.000000,524.030000,853.324206,359.388898,860.180720,502.435913,844.010000,403.970000,816.000000,526.990000
849.970000,392.040000,833.900000,523.980000,853.324206,359.388898,860.141092,502.475542,843.990000,404.000000,816.010000,527.000000
849.940000,392.080000,833.830000,523.990000,853.324206,359.388898,860.061835,502.475542,843.980000,404.000000,816.010000,526.990000
849.960000,392.110000,833.780000,523.980000,853.324206,359.388898,860.061835,502.475542,844.000000,404.000000,816.020000,526.990000
849.950000,392.140000,833.670000,523.980000,853.324206,359.388898,859.942950,502.435913,843.980000,403.980000,815.990000,526.980000
849.950000,392.210000,833.550000,523.980000,853.324206,359.388898,859.903321,502.435913,844.010000,403.970000,816.020000,526.970000
849.930000,392.230000,833.150000,524.090000,853.324206,359.388898,859.784436,502.396285,844.000000,403.990000,816.030000,526.980000
849.950000,392.260000,833.080000,524.080000,853.252896,359.602829,859.744807,502.317028,843.990000,403.990000,815.990000,527.000000
849.940000,392.250000,833.060000,524.070000,853.252896,359.959381,859.625922,502.277399,844.010000,403.990000,816.000000,527.040000
849.920000,392.320000,833.030000,524.070000,853.252896,359.959381,859.507037,502.237771,843.990000,403.970000,815.990000,527.020000
849.920000,392.420000,832.990000,524.070000,853.181585,360.030691,859.467408,502.237771,843.980000,403.990000,816.030000,527.000000
849.870000,392.770000,832.940000,524.090000,853.181585,360.030691,859.308894,502.158514,844.000000,403.980000,815.990000,527.000000
849.890000,392.790000,832.900000,524.090000,853.181585,360.173312,859.269266,502.158514,843.980000,404.010000,816.020000,526.960000
849.880000,392.850000,832.850000,524.100000,853.181585,360.173312,859.269266,502.158514,844.010000,403.980000,816.010000,527.010000
849.890000,392.920000,832.810000,524.090000,853.110275,360.173312,859.229637,502.158514,844.010000,403.970000,816.020000,526.980000
849.920000,392.990000,832.680000,524.170000,853.110275,360.244623,859.150380,502.158514,843.990000,403.980000,816.020000,527.000000
849.910000,393.010000,832.580000,524.130000,853.110275,360.244623,859.071124,502.118885,844.000000,403.970000,815.990000,527.000000
849.950000,393.080000,832.140000,524.380000,853.038964,360.173312,859.150380,502.198142,844.020000,403.990000,815.990000,526.990000
849.940000,393.200000,832.000000,524.590000,853.181585,360.030691,859.190009,502.277399,843.990000,403.990000,816.000000,527.020000
849.910000,393.300000,831.890000,524.630000,853.110275,360.173312,859.150380,502.317028,843.990000,403.960000,816.000000,526.990000
849.870000,393.450000,831.800000,524.670000,853.038964,360.387243,859.071124,502.317028,843.980000,403.980000,816.000000,526.980000
849.770000,393.890000,831.660000,524.720000,852.967654,360.387243,858.872981,502.317028,844.000000,403.980000,816.010000,526.990000
849.830000,393.950000,831.470000,524.810000,852.967654,360.601174,858.440746,502.626227,844.000000,403.990000,816.000000,527.010000
849.860000,394.020000,831.060000,524.940000,852.967654,360.886416,857.814518,502.751473,843.980000,403.990000,816.000000,526.990000
849.860000,394.090000,830.960000,524.960000,852.967654,361.171658,857.188291,502.876718,844.010000,403.980000,816.000000,526.990000
849.850000,394.170000,830.820000,524.940000,853.038964,361.456899,856.812554,503.001964,844.000000,403.970000,816.010000,526.980000
849.860000,394.250000,830.680000,524.920000,853.038964,361.742141,856.311572,503.127209,843.990000,403.980000,816.010000,527.000000
849.810000,394.350000,830.580000,524.930000,852.825033,361.742141,855.935836,503.377700,844.000000,403.960000,815.980000,527.010000
849.810000,394.500000,830.110000,525.050000,853.038964,361.956072,855.434854,503.878682,843.980000,403.980000,815.990000,527.010000
849.710000,394.840000,830.030000,525.030000,853.038964,362.170003,855.059117,504.003928,843.990000,403.970000,816.010000,527.000000
849.740000,394.900000,829.950000,525.000000,853.038964,362.170003,854.683381,504.379664,844.020000,403.940000,815.990000,526.970000
849.720000,394.960000,829.840000,525.010000,853.038964,362.170003,853.931908,504.254419,844.010000,403.920000,815.980000,526.990000
849.710000,395.000000,829.790000,525.010000,852.896344,362.455245,853.806662,504.755401,844.010000,403.940000,815.970000,527.040000
849.690000,395.030000,829.670000,525.010000,852.753723,362.740486,853.305680,505.131137,844.010000,403.950000,816.000000,526.990000
849.680000,395.050000,829.540000,525.020000,852.611102,363.025728,853.806662,504.630155,844.010000,403.920000,816.010000,527.010000
849.680000,395.110000,829.120000,525.110000,852.611102,363.168348,853.556171,504.880646,844.010000,403.920000,816.010000,526.980000
849.670000,395.150000,829.040000,525.100000,852.539792,363.310969,853.430926,505.005892,844.010000,403.930000,815.990000,526.990000
849.600000,395.190000,828.960000,525.090000,852.539792,363.310969,853.305680,505.131137,844.020000,403.910000,815.990000,527.010000
849.550000,395.240000,828.870000,525.060000,852.539792,363.524900,853.305680,505.131137,844.030000,403.890000,816.000000,527.030000
849.310000,395.330000,828.780000,525.060000,852.468481,363.596211,852.804698,505.381628,844.030000,403.920000,815.990000,526.990000
849.260000,395.400000,828.690000,525.040000,852.397171,363.667521,852.428962,505.757365,844.030000,403.900000,815.980000,526.990000
849.160000,395.540000,828.570000,525.040000,852.397171,363.667521,852.178471,505.882610,844.020000,403.880000,816.010000,526.990000
849.130000,395.860000,828.050000,525.210000,852.325861,363.667521,852.178471,505.882610,844.020000,403.890000,815.990000,527.000000
849.040000,395.910000,827.950000,525.180000,852.325861,363.667521,851.802734,506.007856,844.030000,403.890000,816.010000,526.980000
849.040000,395.990000,827.860000,525.160000,852.325861,363.667521,851.552243,506.133101,844.020000,403.880000,816.010000,527.010000
