pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.027117,0.061517,0.066239,0.038490,0.081574,0.093636,0.027953,0.056923,0.064059
0.027924,0.059837,0.067436,0.037684,0.086320,0.094611,0.028018,0.061991,0.068248
0.027903,0.054979,0.059596,0.040546,0.081162,0.092743,0.027972,0.060979,0.065652
0.029554,0.060727,0.065925,0.038531,0.084434,0.097899,0.026833,0.060524,0.067179
0.026882,0.055152,0.061585,0.040673,0.080625,0.089569,0.028243,0.063830,0.066339
0.028874,0.060093,0.066407,0.036693,0.076945,0.089427,0.027214,0.060301,0.064396
0.028963,0.058063,0.065001,0.041372,0.079288,0.090861,0.027579,0.060168,0.061592
0.027611,0.059788,0.063987,0.037861,0.081718,0.096813,0.026449,0.058816,0.065602
0.027720,0.055484,0.060424,0.036774,0.078420,0.090702,0.028919,0.063262,0.069396
0.027278,0.060314,0.063240,0.038691,0.084844,0.093585,0.030030,0.062406,0.069878
0.026836,0.056646,0.063064,0.040384,0.077033,0.087924,0.026713,0.056964,0.062890
0.024633,0.054712,0.058422,0.035499,0.079083,0.090458,0.027579,0.059771,0.064261
0.027776,0.058759,0.065809,0.041948,0.082429,0.095390,0.028523,0.060929,0.063881
0.024526,0.057233,0.059823,0.037659,0.077836,0.089914,0.027470,0.057625,0.063236
0.028699,0.061865,0.064343,0.039371,0.087863,0.097581,0.030730,0.062961,0.066845
0.027975,0.055692,0.059267,0.038278,0.085367,0.096781,0.029933,0.062275,0.069647
0.026672,0.055998,0.060047,0.042356,0.080555,0.091915,0.028194,0.061860,0.067182
0.027575,0.059701,0.067207,0.039392,0.086064,0.094066,0.025792,0.060208,0.066425
0.029296,0.057394,0.061580,0.039138,0.080758,0.091541,0.027215,0.056103,0.062083
0.025140,0.054735,0.056525,0.042174,0.079664,0.092246,0.029011,0.064960,0.069651
0.028057,0.061542,0.063873,0.039128,0.080585,0.089802,0.027561,0.063752,0.067110
0.029938,0.057957,0.065685,0.039736,0.078945,0.090136,0.027615,0.061235,0.067993
0.027293,0.055767,0.061131,0.039356,0.088834,0.095815,0.026350,0.058388,0.065632
0.025987,0.060668,0.063638,0.042294,0.082518,0.091107,0.026746,0.068123,0.071448
0.027814,0.059066,0.066790,0.040330,0.083017,0.091522,0.026442,0.057759,0.064273
0.029009,0.058629,0.065813,0.038616,0.080491,0.090228,0.026249,0.058877,0.065160
0.026243,0.062827,0.068810,0.040051,0.080285,0.094472,0.025981,0.058336,0.061585
0.027066,0.058290,0.062316,0.040217,0.083504,0.096819,0.028798,0.060938,0.065787
0.026267,0.058396,0.059400,0.036668,0.083026,0.091829,0.027558,0.066078,0.068424
0.028014,0.058417,0.062375,0.039349,0.079919,0.088226,0.027856,0.055950,0.060425
0.027470,0.060959,0.065972,0.040146,0.088130,0.094645,0.025528,0.054548,0.060136
0.027254,0.056155,0.061555,0.038818,0.084866,0.093382,0.027635,0.056442,0.061595
0.028927,0.062194,0.067412,0.038340,0.072583,0.087513,0.027076,0.064500,0.069159
0.026441,0.059715,0.064200,0.042231,0.084243,0.094770,0.027625,0.060112,0.063391
0.028857,0.060582,0.070001,0.040050,0.079497,0.092698,0.028839,0.060098,0.068049
0.028270,0.059595,0.066977,0.038827,0.079302,0.087916,0.027786,0.066258,0.070089
0.027666,0.061373,0.064839,0.039072,0.084235,0.098828,0.025850,0.059967,0.063570
0.026988,0.059978,0.065120,0.040070,0.076620,0.084814,0.028712,0.062080,0.067316
0.029668,0.058634,0.063655,0.038236,0.084179,0.093130,0.028967,0.062935,0.068247
0.027402,0.056287,0.062371,0.041010,0.084218,0.095450,0.025681,0.058046,0.064721
0.028051,0.057671,0.063734,0.036879,0.076089,0.085136,0.028279,0.064619,0.067946
0.029043,0.057644,0.062988,0.037925,0.081173,0.091006,0.028059,0.057678,0.063072
0.026020,0.063822,0.068009,0.039698,0.073755,0.089184,0.028872,0.063633,0.066246
0.029915,0.061704,0.066706,0.040007,0.084652,0.097755,0.028154,0.063439,0.067691
0.027581,0.057738,0.063147,0.037980,0.078335,0.085312,0.026921,0.058547,0.063336
0.026827,0.061885,0.067005,0.036554,0.076441,0.089026,0.028432,0.062153,0.065523
0.028037,0.064126,0.068641,0.039040,0.085034,0.094048,0.026791,0.055607,0.059770
0.027617,0.060113,0.065255,0.037451,0.079404,0.089745,0.026529,0.060724,0.066370
0.026112,0.059021,0.067939,0.042799,0.082533,0.093505,0.026453,0.061408,0.065832
0.026924,0.062183,0.066321,0.038377,0.083427,0.093266,0.027365,0.059072,0.062672
0.026995,0.062392,0.065554,0.041347,0.083473,0.096234,0.029791,0.061270,0.065786
0.027637,0.063214,0.067836,0.038205,0.081301,0.093621,0.026872,0.060553,0.062795
0.026350,0.058793,0.059989,0.036516,0.077544,0.091233,0.029649,0.059424,0.064073
0.027903,0.059669,0.065998,0.039342,0.081271,0.089639,0.028808,0.064600,0.067547
0.028632,0.060023,0.065360,0.041415,0.087880,0.100564,0.025386,0.062634,0.064265
0.027016,0.061306,0.067122,0.038446,0.077477,0.084632,0.027998,0.060749,0.068805
0.029031,0.059520,0.067470,0.037240,0.081569,0.092605,0.025766,0.062466,0.068316
0.025779,0.058857,0.062644,0.039547,0.085661,0.092457,0.028753,0.060772,0.066618
0.029545,0.058638,0.064349,0.039970,0.083565,0.093402,0.028107,0.059443,0.065139
0.030725,0.063792,0.069051,0.039558,0.081118,0.084674,0.027812,0.061153,0.065543
0.027622,0.058389,0.060975,0.038039,0.080689,0.089279,0.030109,0.063638,0.068883
0.028221,0.060534,0.065955,0.036258,0.081790,0.090957,0.028017,0.059644,0.063731
0.029466,0.063252,0.069529,0.043018,0.083392,0.093582,0.029262,0.063829,0.067507
0.027417,0.061765,0.066938,0.039912,0.080670,0.093752,0.028531,0.061470,0.067112
0.028067,0.055085,0.060778,0.040800,0.083328,0.093623,0.028378,0.059085,0.062487
0.028992,0.057799,0.063850,0.039673,0.083920,0.096035,0.029360,0.064078,0.070092
0.028096,0.057047,0.062167,0.041626,0.083576,0.094364,0.029913,0.059942,0.065536
0.028599,0.060705,0.063823,0.040705,0.084008,0.092562,0.027702,0.060678,0.063653
0.029828,0.058981,0.063634,0.038823,0.082326,0.091647,0.027183,0.060767,0.066189
0.029505,0.062482,0.066521,0.036926,0.082065,0.088810,0.027895,0.059634,0.067412
0.026962,0.059997,0.063982,0.037375,0.080731,0.087031,0.026822,0.060155,0.062707
0.030555,0.062684,0.068718,0.038542,0.072937,0.084456,0.027294,0.059448,0.065153
0.029339,0.061164,0.071170,0.037439,0.084785,0.091673,0.025846,0.059947,0.065090
0.028440,0.064248,0.072691,0.039816,0.081515,0.088177,0.029778,0.062616,0.067600
