pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-1.344624,0.350675,2.171008,-1.605979,1.086507,2.016815,-1.118178,-0.154243,1.894962
-1.343667,0.346390,2.168437,-1.606179,1.081491,2.015621,-1.117642,-0.155033,1.896708
-1.342702,0.342112,2.165872,-1.606348,1.076489,2.014398,-1.117115,-0.155806,1.898419
-1.341728,0.337842,2.163315,-1.606487,1.071501,2.013146,-1.116597,-0.156563,1.900096
-1.340746,0.333579,2.160764,-1.606594,1.066528,2.011866,-1.116090,-0.157302,1.901739
-1.339755,0.329323,2.158220,-1.606671,1.061568,2.010557,-1.115592,-0.158024,1.903348
-1.338756,0.325075,2.155684,-1.606717,1.056622,2.009219,-1.115104,-0.158730,1.904923
-1.337749,0.320834,2.153154,-1.606732,1.051691,2.007852,-1.114625,-0.159418,1.906464
-1.336733,0.316601,2.150631,-1.606716,1.046774,2.006456,-1.114156,-0.160090,1.907971
-1.335709,0.312375,2.148115,-1.606670,1.041871,2.005031,-1.113697,-0.160744,1.909444
-1.334677,0.308157,2.145606,-1.606593,1.036982,2.003578,-1.113247,-0.161382,1.910883
-1.333636,0.303946,2.143104,-1.606485,1.032107,2.002096,-1.112807,-0.162003,1.912288
-1.332587,0.299742,2.140609,-1.606346,1.027246,2.000585,-1.112377,-0.162607,1.913659
-1.331529,0.295546,2.138121,-1.606177,1.022400,1.999045,-1.111956,-0.163194,1.914996
-1.330463,0.291358,2.135639,-1.605977,1.017567,1.997476,-1.111545,-0.163764,1.916298
-1.329389,0.287176,2.133165,-1.605746,1.012749,1.995879,-1.111144,-0.164317,1.917567
-1.328306,0.283003,2.130698,-1.605484,1.007945,1.994252,-1.110752,-0.164853,1.918802
-1.327215,0.278836,2.128237,-1.605192,1.003154,1.992597,-1.110370,-0.165372,1.920002
-1.326116,0.274677,2.125784,-1.604868,0.998378,1.990913,-1.109998,-0.165874,1.921169
-1.325008,0.270526,2.123337,-1.604514,0.993617,1.989201,-1.109635,-0.166360,1.922301
-1.323892,0.266382,2.120898,-1.604129,0.988869,1.987459,-1.109282,-0.166828,1.923400
-1.322767,0.262245,2.118465,-1.603714,0.984135,1.985689,-1.108939,-0.167279,1.924464
-1.321634,0.258116,2.116039,-1.603268,0.979416,1.983889,-1.108605,-0.167714,1.925494
-1.320493,0.253994,2.113620,-1.602790,0.974711,1.982061,-1.108282,-0.168132,1.926491
-1.319343,0.249880,2.111209,-1.602283,0.970019,1.980205,-1.107967,-0.168532,1.927453
-1.318185,0.245773,2.108804,-1.601744,0.965342,1.978319,-1.107663,-0.168916,1.928381
-1.317018,0.241674,2.106406,-1.601174,0.960680,1.976404,-1.107368,-0.169283,1.929275
-1.315843,0.237581,2.104015,-1.600574,0.956031,1.974461,-1.107082,-0.169633,1.930135
-1.314660,0.233497,2.101631,-1.599943,0.951396,1.972489,-1.106807,-0.169966,1.930961
-1.313468,0.229420,2.099254,-1.599281,0.946776,1.970488,-1.106541,-0.170282,1.931753
-1.312268,0.225350,2.096883,-1.598589,0.942169,1.968458,-1.106284,-0.170581,1.932511
-1.311060,0.221288,2.094520,-1.597866,0.937577,1.966400,-1.106038,-0.170863,1.933235
-1.309843,0.217233,2.092164,-1.597112,0.932999,1.964312,-1.105801,-0.171128,1.933925
-1.308618,0.213185,2.089814,-1.596327,0.928435,1.962196,-1.105574,-0.171377,1.934581
-1.307384,0.209145,2.087472,-1.595511,0.923885,1.960051,-1.105356,-0.171608,1.935202
-1.306142,0.205113,2.085137,-1.594665,0.919349,1.957877,-1.105148,-0.171822,1.935790
-1.304892,0.201088,2.082808,-1.593788,0.914828,1.955675,-1.104950,-0.172020,1.936344
-1.303633,0.197070,2.080486,-1.592880,0.910320,1.953443,-1.104761,-0.172201,1.936863
-1.302366,0.193060,2.078172,-1.591941,0.905827,1.951183,-1.104582,-0.172364,1.937349
-1.301091,0.189057,2.075864,-1.590972,0.901347,1.948894,-1.104413,-0.172511,1.937801
-1.299807,0.185061,2.073563,-1.589971,0.896882,1.946576,-1.104253,-0.172641,1.938218
-1.298515,0.181073,2.071269,-1.588941,0.892431,1.944229,-1.104103,-0.172754,1.938601
-1.297214,0.177093,2.068983,-1.587879,0.887995,1.941853,-1.103963,-0.172850,1.938951
-1.295905,0.173120,2.066703,-1.586786,0.883572,1.939449,-1.103832,-0.172929,1.939266
-1.294588,0.169154,2.064430,-1.585663,0.879163,1.937016,-1.103711,-0.172991,1.939547
-1.293262,0.165196,2.062163,-1.584509,0.874769,1.934554,-1.103600,-0.173036,1.939795
-1.291928,0.161245,2.059904,-1.583324,0.870388,1.932063,-1.103498,-0.173064,1.940008
-1.290585,0.157301,2.057652,-1.582108,0.866022,1.929543,-1.103406,-0.173075,1.940187
-1.289234,0.153366,2.055407,-1.580862,0.861670,1.926995,-1.103324,-0.173070,1.940332
-1.287875,0.149437,2.053169,-1.579585,0.857332,1.924418,-1.103251,-0.173047,1.940443
-1.286507,0.145516,2.050937,-1.578277,0.853008,1.921811,-1.103188,-0.173008,1.940520
-1.285131,0.141602,2.048713,-1.576938,0.848699,1.919176,-1.103135,-0.172951,1.940563
-1.283747,0.137696,2.046495,-1.575569,0.844403,1.916513,-1.103091,-0.172878,1.940572
-1.282354,0.133797,2.044285,-1.574169,0.840122,1.913820,-1.103058,-0.172788,1.940547
-1.280953,0.129906,2.042081,-1.572738,0.835855,1.911099,-1.103033,-0.172680,1.940488
-1.279543,0.126022,2.039885,-1.571276,0.831601,1.908349,-1.103019,-0.172556,1.940394
-1.278125,0.122145,2.037695,-1.569783,0.827362,1.905570,-1.103014,-0.172415,1.940267
-1.276699,0.118276,2.035512,-1.568260,0.823137,1.902762,-1.103018,-0.172257,1.940106
-1.275264,0.114415,2.033336,-1.566706,0.818927,1.899925,-1.103033,-0.172082,1.939910
-1.273821,0.110561,2.031167,-1.565121,0.814730,1.897060,-1.103057,-0.171890,1.939681
-1.272370,0.106714,2.029005,-1.563505,0.810548,1.894165,-1.103090,-0.171682,1.939417
-1.270910,0.102874,2.026850,-1.561859,0.806379,1.891242,-1.103134,-0.171456,1.939120
-1.269442,0.099043,2.024702,-1.560182,0.802225,1.888290,-1.103187,-0.171213,1.938788
-1.267965,0.095218,2.022561,-1.558474,0.798085,1.885309,-1.103249,-0.170954,1.938423
-1.266480,0.091401,2.020427,-1.556735,0.793959,1.882300,-1.103322,-0.170677,1.938023
-1.264986,0.087591,2.018300,-1.554966,0.789847,1.879261,-1.103404,-0.170384,1.937589
-1.263485,0.083789,2.016179,-1.553166,0.785749,1.876194,-1.103496,-0.170073,1.937121
-1.261975,0.079995,2.014066,-1.551335,0.781666,1.873098,-1.103597,-0.169746,1.936620
-1.260456,0.076207,2.011960,-1.549473,0.777596,1.869973,-1.103708,-0.169402,1.936084
-1.258929,0.072427,2.009860,-1.547580,0.773541,1.866820,-1.103829,-0.169041,1.935514
-1.257394,0.068655,2.007768,-1.545657,0.769500,1.863637,-1.103959,-0.168663,1.934910
-1.255850,0.064890,2.005682,-1.543703,0.765473,1.860426,-1.104099,-0.168268,1.934272
-1.254298,0.061132,2.003603,-1.541718,0.761460,1.857186,-1.104249,-0.167856,1.933600
-1.252738,0.057382,2.001532,-1.539702,0.757461,1.853917,-1.104408,-0.167427,1.932894
-1.251169,0.053639,1.999467,-1.537656,0.753476,1.850619,-1.104577,-0.166981,1.932154
-1.249592,0.049904,1.997409,-1.535579,0.749506,1.847293,-1.104756,-0.166518,1.931379
-1.248006,0.046176,1.995358,-1.533471,0.745549,1.843937,-1.104944,-0.166039,1.930571
-1.246412,0.042456,1.993314,-1.531332,0.741607,1.840553,-1.105142,-0.165542,1.929729
-1.244810,0.038743,1.991277,-1.529163,0.737679,1.837140,-1.105350,-0.165028,1.928852
-1.243199,0.035037,1.989247,-1.526962,0.733765,1.833698,-1.105567,-0.164498,1.927942
-1.241580,0.031339,1.987224,-1.524731,0.729865,1.830227,-1.105794,-0.163951,1.926998
-1.239952,0.027649,1.985208,-1.522470,0.725979,1.826728,-1.106031,-0.163386,1.926019
-1.238317,0.023965,1.983198,-1.520177,0.722107,1.823200,-1.106277,-0.162805,1.925007
-1.236672,0.020289,1.981196,-1.517854,0.718250,1.819643,-1.106533,-0.162207,1.923960
-1.235020,0.016621,1.979201,-1.515500,0.714406,1.816057,-1.106799,-0.161592,1.922879
-1.233359,0.012960,1.977212,-1.513115,0.710577,1.812442,-1.107074,-0.160960,1.921765
-1.231689,0.009307,1.975231,-1.510699,0.706762,1.808798,-1.107359,-0.160311,1.920616
-1.230011,0.005660,1.973256,-1.508253,0.702961,1.805126,-1.107654,-0.159645,1.919433
-1.228325,0.002022,1.971289,-1.505775,0.699174,1.801425,-1.107959,-0.158962,1.918216
-1.226631,-0.001609,1.969328,-1.503268,0.695401,1.797695,-1.108273,-0.158262,1.916965
-1.224928,-0.005233,1.967374,-1.500729,0.691643,1.793936,-1.108596,-0.157546,1.915681
-1.223217,-0.008850,1.965427,-1.498159,0.687898,1.790148,-1.108930,-0.156812,1.914362
-1.221497,-0.012458,1.963488,-1.495559,0.684168,1.786332,-1.109273,-0.156061,1.913009
-1.219769,-0.016060,1.961555,-1.492928,0.680452,1.782486,-1.109625,-0.155294,1.911622
-1.218032,-0.019654,1.959629,-1.490266,0.676750,1.778612,-1.109988,-0.154510,1.910200
-1.216288,-0.023241,1.957710,-1.487574,0.673062,1.774709,-1.110360,-0.153708,1.908745
-1.214534,-0.026820,1.955798,-1.484850,0.669388,1.770778,-1.110741,-0.152890,1.907256
-1.212773,-0.030392,1.953892,-1.482096,0.665728,1.766817,-1.111133,-0.152055,1.905733
-1.211003,-0.033956,1.951994,-1.479311,0.662082,1.762828,-1.111534,-0.151203,1.904176
-1.209224,-0.037513,1.950103,-1.476496,0.658451,1.758809,-1.111944,-0.150334,1.902584
-1.207438,-0.041062,1.948219,-1.473649,0.654834,1.754762,-1.112365,-0.149448,1.900959
-1.205643,-0.044604,1.946341,-1.470772,0.651230,1.750686,-1.112795,-0.148545,1.899299
-1.203839,-0.048139,1.944471,-1.467864,0.647641,1.746582,-1.113235,-0.147625,1.897606
-1.202027,-0.051666,1.942607,-1.464925,0.644066,1.742448,-1.113684,-0.146688,1.895878
-1.200207,-0.055186,1.940751,-1.461956,0.640506,1.738286,-1.114143,-0.145734,1.894117
-1.198378,-0.058698,1.938901,-1.458956,0.636959,1.734095,-1.114612,-0.144764,1.892321
-1.196541,-0.062203,1.937059,-1.455925,0.633426,1.729875,-1.115090,-0.143776,1.890491
-1.194696,-0.065701,1.935223,-1.452863,0.629908,1.725626,-1.115578,-0.142772,1.888628
-1.192842,-0.069191,1.933394,-1.449770,0.626404,1.721349,-1.116076,-0.141750,1.886730
-1.190980,-0.072673,1.931572,-1.446647,0.622914,1.717042,-1.116583,-0.140712,1.884798
-1.189109,-0.076148,1.929757,-1.443493,0.619438,1.712707,-1.117100,-0.139657,1.882832
-1.187230,-0.079616,1.927949,-1.440308,0.615976,1.708343,-1.117627,-0.138584,1.880832
-1.185343,-0.083076,1.926148,-1.437092,0.612528,1.703950,-1.118163,-0.137495,1.878798
-1.183447,-0.086529,1.924354,-1.433846,0.609094,1.699529,-1.118709,-0.136389,1.876730
-1.181543,-0.089975,1.922567,-1.430568,0.605675,1.695078,-1.119265,-0.135266,1.874628
-1.179631,-0.093413,1.920787,-1.427260,0.602269,1.690599,-1.119830,-0.134126,1.872492
-1.177710,-0.096843,1.919014,-1.423922,0.598878,1.686091,-1.120405,-0.132969,1.870322
-1.175781,-0.100266,1.917247,-1.420552,0.595501,1.681554,-1.120990,-0.131796,1.868118
-1.173843,-0.103682,1.915488,-1.417152,0.592138,1.676988,-1.121584,-0.130605,1.865880
-1.171897,-0.107090,1.913735,-1.413721,0.588789,1.672393,-1.122188,-0.129397,1.863607
-1.169943,-0.110491,1.911990,-1.410259,0.585454,1.667770,-1.122802,-0.128173,1.861301
-1.167980,-0.113884,1.910251,-1.406766,0.582134,1.663118,-1.123425,-0.126931,1.858961
-1.166009,-0.117270,1.908520,-1.403243,0.578827,1.658437,-1.124058,-0.125673,1.856586
-1.164030,-0.120649,1.906795,-1.399689,0.575535,1.653727,-1.124701,-0.124397,1.854178
-1.162042,-0.124020,1.905077,-1.396104,0.572257,1.648988,-1.125353,-0.123105,1.851735
-1.160046,-0.127384,1.903367,-1.392488,0.568993,1.644221,-1.126015,-0.121796,1.849259
-1.158041,-0.130740,1.901663,-1.388842,0.565743,1.639424,-1.126687,-0.120470,1.846748
-1.156028,-0.134089,1.899966,-1.385165,0.562507,1.634599,-1.127368,-0.119127,1.844203
-1.154006,-0.137430,1.898276,-1.381457,0.559285,1.629745,-1.128059,-0.117767,1.841624
-1.151977,-0.140764,1.896593,-1.377718,0.556078,1.624863,-1.128760,-0.116390,1.839012
-1.149938,-0.144090,1.894917,-1.373948,0.552884,1.619951,-1.129470,-0.114996,1.836365
-1.147892,-0.147409,1.893248,-1.370148,0.549705,1.615011,-1.130190,-0.113585,1.833684
-1.145837,-0.150721,1.891585,-1.366317,0.546540,1.610041,-1.130920,-0.112157,1.830969
-1.143774,-0.154025,1.889930,-1.362455,0.543389,1.605043,-1.131659,-0.110713,1.828220
-1.141702,-0.157322,1.888282,-1.358563,0.540252,1.600017,-1.132409,-0.109251,1.825437
-1.139622,-0.160611,1.886640,-1.354639,0.537129,1.594961,-1.133167,-0.107772,1.822620
-1.137533,-0.163893,1.885006,-1.350685,0.534020,1.589876,-1.133936,-0.106277,1.819769
-1.135437,-0.167168,1.883379,-1.346700,0.530926,1.584763,-1.134714,-0.104765,1.816884
-1.133331,-0.170435,1.881758,-1.342684,0.527846,1.579621,-1.135501,-0.103235,1.813965
-1.131218,-0.173694,1.880144,-1.338638,0.524779,1.574450,-1.136299,-0.101689,1.811011
-1.129096,-0.176947,1.878538,-1.334561,0.521727,1.569250,-1.137106,-0.100126,1.808024
-1.126966,-0.180191,1.876938,-1.330453,0.518689,1.564022,-1.137922,-0.098546,1.805003
-1.124827,-0.183429,1.875345,-1.326314,0.515665,1.558764,-1.138749,-0.096949,1.801947
-1.122680,-0.186658,1.873759,-1.322144,0.512656,1.553478,-1.139585,-0.095335,1.798858
