pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
-1.343457,0.295744,2.15879,-1.615439,1.033666,2.016698,-1.111063,-0.163606,1.925661
-1.336588,0.292279,2.157409,-1.601761,1.02459,2.03444,-1.109057,-0.165631,1.923415
-1.335776,0.290608,2.153487,-1.596027,1.007841,2.039669,-1.109046,-0.165991,1.922907
-1.334911,0.290961,2.152638,-1.592766,1.000815,2.039245,-1.108966,-0.166267,1.923122
-1.334283,0.291177,2.150861,-1.617212,1.016788,1.996883,-1.109269,-0.166554,1.92239
-1.333106,0.292115,2.149089,-1.615095,1.018402,2.000566,-1.108977,-0.165906,1.923631
-1.332707,0.292892,2.145441,-1.615095,1.018402,2.000566,-1.108972,-0.166302,1.922925
-1.331187,0.293923,2.14486,-1.615073,1.023725,2.009777,-1.108848,-0.165661,1.923371
-1.329177,0.294677,2.143832,-1.613809,0.997503,1.990984,-1.108663,-0.165979,1.923854
-1.324236,0.300455,2.148241,-1.614461,1.003769,1.988759,-1.108979,-0.16686,1.922562
-1.323662,0.301462,2.147725,-1.614235,0.995364,1.979273,-1.108633,-0.165711,1.924103
-1.323774,0.299812,2.145022,-1.608765,1.004652,1.992582,-1.108794,-0.166693,1.923369
-1.323197,0.300285,2.14511,-1.611608,1.00032,1.986287,-1.108721,-0.165993,1.923524
-1.322961,0.299862,2.142778,-1.606745,1.005854,1.993667,-1.109076,-0.166259,1.922658
-1.322802,0.298225,2.14055,-1.606372,1.005683,1.994588,-1.109159,-0.166992,1.921952
-1.32177,0.28764,2.131091,-1.607117,1.006024,1.992747,-1.108906,-0.16573,1.92362
-1.321711,0.287267,2.130721,-1.605,1.007641,1.996434,-1.108743,-0.165704,1.923639
-1.320902,0.284784,2.128879,-1.601351,1.004865,1.994533,-1.108768,-0.166368,1.922684
-1.32156,0.28292,2.126329,-1.599885,1.001729,1.993578,-1.108597,-0.165352,1.923969
-1.32034,0.28248,2.126773,-1.599746,0.997629,1.989485,-1.109547,-0.166177,1.922612
-1.319286,0.281598,2.126307,-1.599351,0.995205,1.987064,-1.109187,-0.166307,1.922773
-1.317992,0.280084,2.125378,-1.59926,0.990898,1.981671,-1.108963,-0.165689,1.92271
-1.318067,0.275957,2.121873,-1.598443,0.988512,1.981471,-1.109057,-0.166061,1.922513
-1.317416,0.272971,2.120046,-1.599451,0.982448,1.969956,-1.109164,-0.166597,1.922658
-1.317359,0.257206,2.106782,-1.599455,0.977727,1.961959,-1.108859,-0.165301,1.92388
-1.317591,0.253945,2.10411,-1.597153,0.988674,1.984939,-1.108718,-0.164985,1.924014
-1.316883,0.252783,2.103558,-1.597157,0.983079,1.975466,-1.109274,-0.166589,1.922193
-1.315465,0.251089,2.101475,-1.597088,0.981985,1.975022,-1.108743,-0.165704,1.923639
-1.314575,0.249669,2.10083,-1.597005,0.979552,1.972594,-1.108556,-0.165444,1.923709
-1.31474,0.247407,2.098968,-1.597005,0.979552,1.972594,-1.108958,-0.165708,1.923486
-1.314237,0.244131,2.096242,-1.59691,0.975781,1.968181,-1.108633,-0.166087,1.922621
-1.313705,0.240161,2.093471,-1.596868,0.974564,1.966966,-1.109319,-0.16601,1.922423
-1.312582,0.228347,2.084106,-1.596773,0.970791,1.962551,-1.109033,-0.165397,1.923467
-1.312719,0.225445,2.081625,-1.594294,0.970789,1.96442,-1.108762,-0.166332,1.922881
-1.312557,0.225085,2.080946,-1.592327,0.966181,1.964634,-1.109142,-0.166456,1.923445
-1.311765,0.224547,2.081466,-1.592231,0.962406,1.960218,-1.108855,-0.166219,1.923008
-1.311189,0.22305,2.081547,-1.590442,0.962985,1.96178,-1.108636,-0.164738,1.924396
-1.308322,0.22218,2.086306,-1.590332,0.95787,1.955378,-1.109007,-0.166606,1.92248
-1.308546,0.220288,2.084813,-1.589541,0.95632,1.956017,-1.108537,-0.165246,1.923564
-1.307964,0.218885,2.084521,-1.589541,0.95632,1.956017,-1.109228,-0.166215,1.923033
-1.307742,0.217135,2.083752,-1.588127,0.957065,1.956652,-1.109313,-0.165974,1.92262
-1.307721,0.212251,2.081445,-1.587669,0.954462,1.955148,-1.108864,-0.165336,1.923683
-1.307308,0.209174,2.07811,-1.587613,0.951904,1.951946,-1.109059,-0.166584,1.922346
-1.306932,0.194703,2.069314,-1.586643,0.956713,1.956841,-1.109346,-0.167252,1.921881
-1.305781,0.190979,2.070949,-1.590124,0.954577,1.954038,-1.108768,-0.165937,1.923587
-1.3045,0.188248,2.070445,-1.587933,0.955112,1.957297,-1.108941,-0.165979,1.922595
-1.302796,0.186331,2.071476,-1.585353,0.954141,1.959498,-1.108649,-0.165762,1.922933
