pt1_dltres,pt2_dltres,pt3_dltres
0.154205,0.623523,0.131938
0.711363,0.057837,0.139231
0.700484,0.105500,0.134984
0.694803,0.115572,0.144366
0.651140,1.312821,0.149629
0.584599,1.227592,0.148613
0.458351,1.227592,0.137576
0.416346,1.350705,0.143202
0.422658,1.891012,0.139103
0.465892,1.472206,0.162983
0.451043,1.495992,0.123030
0.456819,1.301409,0.207644
0.450096,1.189546,0.139054
0.477743,1.125306,0.151058
0.494382,1.077437,0.125112
0.654330,1.173173,0.112219
0.643362,1.087935,0.129721
0.615290,1.019669,0.134758
0.611710,0.754630,0.144680
0.634448,0.789233,0.149855
0.621833,0.713233,0.126815
0.625122,0.702405,0.143104
0.630184,0.623963,0.121405
0.623617,0.728623,0.136148
0.792521,0.626940,0.147449
0.758868,0.893224,0.155618
0.734088,0.772704,0.142839
0.714109,0.809877,0.129721
0.716199,0.830381,0.124360
0.699123,0.830381,0.118960
0.708492,0.834214,0.136138
0.692065,0.844466,0.124173
0.858476,0.848300,0.116367
0.846509,0.671584,0.141548
0.852991,0.436040,0.163307
0.816433,0.439871,0.168609
0.759370,0.412740,0.132804
0.557425,0.399901,0.146860
0.551315,0.314396,0.094707
0.531953,0.314396,0.147135
0.486839,0.335140,0.130963
0.523015,0.307761,0.140659
0.509362,0.301340,0.153601
0.738839,0.393052,0.130473
0.838016,0.511408,0.152584
0.830322,0.463316,0.152437
0.785307,0.350672,0.133595
0.573324,0.412407,0.134984
0.634027,0.590574,0.144366
0.775680,0.646040,0.133644
0.767704,0.701472,0.136099
0.737464,0.681645,0.134935
0.704351,0.704653,0.143202
0.676564,1.003341,0.169675
0.777182,1.297981,0.156507
0.569545,1.336461,0.149943
0.524896,1.688750,0.150597
0.522265,1.797799,0.181629
0.509545,1.999794,0.204640
0.522860,2.213738,0.156321
0.550819,1.573423,0.187579
0.678817,1.712455,0.167210
0.666955,1.744534,0.172345
0.663702,1.861944,0.197977
0.639810,1.718246,0.221066
0.636641,1.980292,0.176229
0.606080,2.295059,0.192253
0.556820,2.444789,0.199533
0.593949,2.455248,0.204669
0.578336,2.637302,0.184574
0.533860,2.787023,0.213113
0.543482,3.054134,0.220742
0.528283,2.931616,0.204708
0.768363,2.846257,0.207477
0.835180,2.953378,0.210432
0.796836,2.980257,0.221468
0.598962,2.864000,0.213338
0.585478,2.641130,0.215882
0.682631,2.620702,0.205669
0.662312,2.653017,0.233805
0.637849,2.749959,0.261883
0.762311,2.734035,0.292084
0.833948,2.707025,0.283866
0.780818,2.424376,0.298157
0.521309,1.976443,0.284676
0.495302,1.944129,0.311598
0.379267,1.730932,0.340234
0.398455,1.077700,0.344324
0.517818,1.094417,0.425162
0.458825,1.115944,0.377899
0.433308,1.191028,0.445060
0.529228,1.462163,0.490738
0.790015,1.440815,0.551959
0.695926,1.297048,0.577268
0.514928,1.346055,0.579908
0.583244,1.357587,0.612909
0.698852,1.486809,0.606158
0.645895,1.589009,0.582311
0.629653,1.600884,0.609783
0.541590,1.516896,0.558832
0.490411,1.512205,0.522243
0.444595,1.781688,0.419140
0.390764,1.558621,0.392296
0.388760,1.564799,0.031465
0.564162,1.432823,0.011697
0.341709,1.379674,0.005932
0.348073,1.417205,0.014551
0.332203,1.348381,0.145740
0.348275,1.428631,0.164083
0.389861,1.349335,0.164083
0.639830,1.528090,0.164083
0.751752,1.322131,0.164083
0.777947,1.321068,0.641192
0.796341,1.515762,0.042615
0.794990,1.492895,0.207305
0.770895,1.525161,0.207305
0.606074,1.512637,0.006268
0.652921,0.646069,0.225641
0.674655,0.211434,0.012067
0.836870,0.130877,0.133456
0.776183,0.271431,0.743909
0.767119,0.335006,1.019664
0.659560,0.202633,0.640089
0.674458,0.111074,0.351408
0.684124,0.011908,0.301145
0.629678,0.047751,0.155371
0.593816,0.164956,0.192112
0.599504,0.145568,0.210501
0.590810,0.342653,0.429002
0.583015,0.342653,0.683269
0.570807,0.192805,1.064173
0.591748,0.236523,0.574017
0.581345,0.309732,0.100036
0.600693,0.678905,0.284253
0.654721,1.099118,0.252942
0.626064,1.409631,1.094376
0.643519,1.071186,1.057599
0.624789,0.699757,0.527162
0.645527,0.543173,0.288504
0.651938,0.532797,0.452929
0.689135,0.705268,0.251734
0.682933,0.677302,0.196578
0.719526,0.689236,0.232312
0.720472,0.369972,0.266890
