pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
925.114371,770.910784,891.499838,920.935738,926.036088,741.636088,921.090634,902.961534,923.920313,791.586346,866.151314,932.206826
925.211641,770.910784,891.499838,920.975155,925.965896,741.844038,920.934827,903.038466,924.010000,791.960000,866.151314,932.313721
925.276487,770.958812,891.499838,920.975155,926.176473,741.844038,921.038699,903.269260,924.020000,791.930000,866.151314,932.313721
925.341334,771.006840,891.553200,921.014572,926.316858,741.636088,921.038699,903.192329,924.020000,791.950000,866.151314,932.420615
925.406180,771.054868,891.579881,921.014572,926.527435,741.532113,921.038699,903.192329,924.010000,791.970000,866.223284,932.420615
925.503450,771.006840,891.606563,921.093407,926.878397,741.532113,921.142570,903.192329,924.000000,791.950000,866.223284,932.420615
925.600719,770.958812,891.659925,921.132824,927.018781,741.532113,921.454184,903.576986,923.980000,792.000000,866.223284,932.420615
925.633142,770.958812,891.659925,921.172241,927.159166,741.532113,921.558056,903.884712,924.020000,791.920000,866.223284,932.420615
925.697989,770.958812,891.686606,921.211658,927.299551,741.532113,921.558056,903.961644,924.000000,791.970000,866.223284,932.420615
925.795258,770.958812,891.713288,921.211658,927.580320,741.428139,921.973541,904.038575,924.020000,791.970000,866.223284,932.420615
925.860105,770.958812,891.739969,921.211658,927.931282,741.220189,922.129348,904.038575,924.000000,791.960000,866.223284,932.420615
925.860105,770.958812,891.739969,921.211658,928.563013,741.012240,922.337091,904.038575,923.980000,791.980000,866.223284,932.420615
925.924951,770.958812,891.766650,921.290492,928.633206,741.220189,922.544834,904.038575,924.000000,791.940000,866.223284,932.420615
926.087067,770.958812,891.793331,921.329909,928.843783,741.220189,922.752577,904.038575,924.040000,791.970000,866.223284,932.420615
926.314030,770.910784,891.820013,921.329909,928.843783,741.220189,922.804512,904.192438,923.990000,791.970000,866.223284,932.420615
926.314030,770.910784,891.900056,921.526995,929.264937,741.220189,922.856448,904.192438,924.020000,791.930000,866.295254,932.634403
926.346453,770.910784,891.900056,921.526995,929.264937,741.220189,923.064191,904.038575,924.010000,791.960000,866.295254,932.634403
926.476146,770.910784,891.953419,921.684663,929.264937,741.220189,923.219998,904.038575,924.000000,791.970000,866.295254,932.741297
926.573415,771.006840,891.953419,921.763497,929.545706,741.220189,923.168062,904.192438,924.030000,791.990000,866.367224,932.527509
926.767954,771.006840,891.980100,921.802914,929.615899,741.220189,923.168062,904.269370,924.030000,791.990000,866.367224,932.527509
926.865224,771.006840,891.980100,921.802914,929.686091,741.220189,923.168062,904.269370,924.000000,791.990000,866.367224,932.527509
926.962494,771.102896,892.033463,921.881749,929.756283,741.220189,923.375805,904.423233,924.010000,791.970000,866.367224,932.527509
927.059763,771.535148,892.006781,922.000000,929.826476,741.220189,923.479676,904.423233,924.020000,791.980000,866.439195,932.527509
927.124610,771.823315,891.980100,922.078834,929.896668,741.428139,923.687419,904.577095,923.970000,791.990000,866.439195,932.527509
927.221879,771.919371,891.953419,922.236503,930.107245,741.636088,923.479676,904.730958,924.000000,791.960000,866.439195,932.527509
927.254302,772.063455,891.953419,922.354754,930.388015,741.636088,923.531612,904.730958,924.000000,791.950000,866.439195,932.527509
927.351572,772.111483,891.953419,922.433588,930.738976,741.636088,923.531612,904.807890,924.010000,791.960000,866.439195,932.527509
927.448842,772.111483,891.953419,922.630674,930.809169,741.844038,923.479676,904.884821,924.040000,791.980000,866.439195,932.527509
927.448842,772.159511,891.900056,922.788342,930.809169,741.844038,923.479676,905.038684,924.010000,791.990000,866.511165,932.527509
927.481265,772.591762,891.873375,922.985428,930.809169,741.948013,923.375805,905.115616,924.010000,791.990000,866.511165,932.527509
927.481265,772.879930,891.766650,923.497850,930.879361,741.948013,923.375805,905.192547,923.990000,791.970000,866.511165,932.527509
927.481265,772.975986,891.766650,923.616101,931.019746,742.155962,923.375805,905.346410,924.030000,792.010000,866.511165,932.527509
927.578534,773.360210,891.713288,923.773770,931.160131,742.363912,923.323869,905.346410,924.030000,792.000000,866.511165,932.527509
927.643381,773.456266,891.659925,923.970855,931.440900,742.363912,923.323869,905.577205,923.990000,791.950000,866.511165,932.527509
927.643381,773.696405,891.606563,924.049690,931.581285,742.363912,923.323869,905.884931,923.990000,791.960000,866.511165,932.527509
927.675804,773.792461,891.553200,924.246775,931.581285,742.571861,923.219998,906.192657,923.980000,791.950000,866.511165,932.527509
927.708227,773.936545,891.446475,924.522695,931.791862,742.883786,923.012255,906.500383,924.010000,791.940000,866.511165,932.527509
927.740650,773.936545,891.339750,924.522695,932.002439,742.987760,922.960319,906.654246,924.050000,791.970000,866.511165,932.527509
927.740650,773.984573,891.233025,924.562112,932.002439,742.987760,922.856448,906.731177,923.970000,791.990000,866.511165,932.527509
927.870343,774.272741,891.233025,924.680363,932.142824,743.195710,922.700641,906.731177,924.020000,792.020000,866.511165,932.527509
927.935190,774.656964,891.152981,924.838032,932.213016,743.299685,922.648705,906.885040,924.000000,791.980000,866.511165,932.527509
927.935190,774.801048,891.046256,925.035117,932.493785,743.715584,922.813471,906.743562,923.990000,791.980000,866.511165,932.527509
927.935190,775.041188,890.966212,925.311037,932.563978,744.027508,922.605728,906.846137,924.020000,791.990000,866.511165,932.527509
927.967613,775.329356,890.859487,925.429288,932.563978,744.443407,922.536481,906.846137,924.020000,791.930000,866.511165,932.527509
928.032459,775.665551,890.726081,925.705208,932.493785,744.547382,922.397986,906.846137,923.990000,791.940000,866.511165,932.527509
928.032459,775.809635,890.592675,925.784042,932.493785,744.651357,922.328738,907.051288,923.980000,791.940000,866.655106,932.527509
928.129729,776.145831,890.325862,926.059962,932.423593,744.859306,922.120995,907.153863,923.970000,791.990000,866.655106,932.634403
928.194575,776.433998,890.005687,926.414716,932.353401,744.963281,921.982500,907.359014,923.980000,791.950000,866.655106,932.741297
928.421538,776.914278,889.712193,926.769470,932.493785,745.067256,921.774757,907.564164,923.980000,791.970000,866.799046,932.848192
928.421538,777.250473,889.578787,926.927138,932.493785,745.483155,921.636262,907.769315,924.010000,791.980000,866.799046,932.848192
928.421538,777.442585,889.285293,927.084807,932.704362,745.587130,921.428519,908.179616,924.020000,791.960000,866.727076,932.848192
928.421538,777.442585,888.858393,927.478978,932.774555,745.587130,921.151529,908.179616,923.990000,791.940000,866.655106,932.848192
928.356691,777.970893,888.591581,927.636646,933.055324,746.210979,920.943786,908.282191,924.000000,791.970000,866.655106,932.848192
928.421538,778.355116,888.298087,927.833732,933.125517,746.418928,920.736043,908.589917,924.010000,791.940000,866.655106,932.848192
928.346522,778.782678,888.004593,928.070234,933.195709,746.522903,920.389805,908.384767,924.020000,791.910000,866.655106,932.848192
928.365735,778.981905,887.871187,928.346154,933.476478,746.730852,920.182062,908.487342,924.000000,791.990000,866.655106,932.848192
928.428593,779.797843,887.844506,928.503823,933.757248,746.938802,919.905072,908.692493,924.040000,791.930000,866.655106,932.848192
928.489318,780.187630,887.764462,928.661491,933.967825,747.354701,919.489587,908.795068,923.990000,791.950000,866.655106,932.848192
928.448834,780.397516,887.737781,928.779742,933.991233,747.545623,919.281844,908.897643,924.010000,791.960000,866.655106,932.848192
928.408351,780.727335,887.367528,928.946011,933.991233,747.545623,918.589368,909.410520,923.980000,791.960000,866.655106,932.848192
928.408351,780.997188,887.047353,929.313904,934.049660,747.632171,918.450873,909.513095,924.030000,791.960000,866.655106,932.848192
928.428593,781.536893,886.620453,929.681797,933.991233,747.761993,918.243130,909.718246,924.020000,791.910000,866.655106,932.848192
928.428593,781.806745,886.218822,930.089811,933.883253,748.086220,918.104635,909.820821,924.000000,791.890000,866.655106,932.848192
928.408351,782.316467,886.218822,929.965234,933.727446,748.720905,917.966139,909.820821,924.010000,791.950000,866.439195,932.848192
928.286901,782.616303,885.347454,930.131337,933.649542,749.124795,917.412159,910.025972,923.970000,791.930000,866.439195,932.848192
928.246418,783.215975,884.982041,930.338966,933.571639,749.355589,916.996673,909.820821,923.950000,791.950000,866.439195,932.848192
928.185693,783.785664,884.194999,930.629647,933.532687,749.644083,916.096454,910.538848,923.870000,791.950000,866.439195,932.848192
928.124968,784.115483,883.829587,930.837276,933.649542,750.047973,915.819464,910.846574,923.890000,791.960000,866.439195,932.848192
928.084485,784.745139,883.829587,930.837276,933.688494,750.336466,915.403978,911.256876,923.840000,791.990000,866.439195,932.848192
927.963035,785.194893,883.014436,931.252535,933.571639,750.913452,914.988493,911.564602,923.780000,792.020000,866.439195,932.848192
927.922552,785.644648,882.592806,931.626267,933.454784,751.605835,914.226769,911.872328,923.860000,792.030000,866.439195,932.848192
927.902310,786.004451,882.058742,931.792371,933.454784,752.067424,913.603541,912.180053,923.910000,792.040000,866.439195,932.848192
927.801102,786.544156,881.440352,931.916948,933.415832,752.413616,913.118808,912.282629,923.970000,792.020000,866.439195,932.848192
927.655593,787.113572,880.962505,931.958474,933.415832,752.759808,912.703322,912.692930,924.060000,791.930000,866.439195,932.848192
927.545146,787.674497,880.512766,932.124578,933.337928,753.221397,911.872351,913.000656,924.100000,791.850000,866.439195,932.848192
927.308474,788.282166,879.922485,932.332207,932.987362,754.375369,911.110627,913.718683,924.100000,791.830000,866.439195,932.848192
927.150693,788.609373,879.191660,932.539836,932.753652,755.644739,910.368017,914.350794,924.090000,791.850000,866.439195,932.848192
927.008689,788.866464,878.657596,932.872043,932.792603,756.510218,909.998697,914.350794,924.100000,791.890000,866.439195,932.848192
926.850908,789.287157,877.954880,932.955094,932.831555,757.144903,908.983065,915.034629,924.080000,791.920000,866.295254,932.527509
926.772018,789.614364,877.420815,933.038146,932.831555,757.317998,908.429084,915.034629,924.090000,791.970000,866.295254,932.527509
926.661571,790.035058,877.055403,933.121198,932.792603,758.298875,907.505783,915.444930,924.080000,792.100000,866.295254,932.527509
926.566902,790.338892,876.155926,933.577982,932.831555,758.529669,907.136463,915.718465,924.050000,792.180000,866.295254,932.527509
926.440677,790.572611,875.790514,933.744085,932.714700,758.760464,906.767142,915.718465,923.980000,792.340000,866.295254,932.527509
926.251339,790.876446,875.537536,934.034766,932.480989,758.587368,906.213161,915.855232,923.980000,792.510000,866.295254,932.527509
926.097775,791.258765,875.368884,934.200870,932.286230,758.587368,905.566850,915.855232,924.110000,792.840000,866.079343,932.527509
926.016808,791.458656,874.454790,934.221471,932.286230,758.587368,905.105200,915.855232,924.150000,792.770000,865.935403,932.634403
925.935841,791.658547,874.030037,934.406030,932.130423,758.818162,904.643549,915.991999,924.060000,792.580000,865.935403,932.634403
925.935776,791.811321,873.930095,934.442942,931.935664,758.818162,904.643549,915.991999,924.070000,792.350000,865.791462,932.634403
925.935776,791.811321,873.705226,934.442942,931.740906,758.587368,904.643549,916.128766,924.080000,792.220000,865.791462,932.634403
925.967333,791.811321,873.380415,934.627502,931.844595,758.897206,904.458889,916.128766,924.140000,792.210000,865.863432,932.741297
925.998889,791.787949,873.105575,934.664413,931.775348,758.486905,904.274229,915.581697,924.120000,792.160000,866.295254,932.741297
926.156670,791.507487,872.980648,934.664413,931.706100,758.486905,904.458889,914.897862,924.260000,792.020000,867.086927,932.741297
926.219783,791.484115,872.930677,934.664413,931.567605,758.486905,904.458889,914.487561,924.150533,791.983361,867.590719,932.634403
926.314452,791.460743,872.880706,934.701325,931.221367,758.589480,904.551219,914.214027,924.150533,791.983361,867.590719,932.634403
926.409120,791.390627,872.830735,934.738237,931.082872,758.589480,904.643549,914.214027,924.150533,791.983361,867.590719,932.634403
926.488011,791.343883,872.730793,934.812061,930.944376,758.589480,904.920539,913.940492,924.150533,791.983361,867.662690,932.634403
926.551124,791.203652,872.630851,934.922796,930.182653,757.768878,904.920539,913.119890,924.150533,791.983361,867.734660,932.634403
926.614236,791.110165,872.630851,934.922796,930.044158,757.461152,904.920539,912.846356,924.150533,791.983361,867.734660,932.741297
926.645792,791.040049,872.630851,934.922796,930.044158,756.948275,904.920539,912.572822,924.150533,791.983361,867.662690,932.848192
926.677349,790.969933,872.630851,934.922796,929.974910,756.845700,904.832952,912.584922,924.150533,791.950084,867.662690,932.848192
926.708905,790.876446,872.630851,934.922796,929.905662,756.743124,904.768106,912.392811,924.150533,791.883529,867.662690,932.848192
926.756239,790.806330,872.630851,934.922796,929.905662,756.435398,904.703259,912.296755,924.105602,791.850251,867.734660,932.848192
926.756239,790.712843,872.630851,934.885885,929.905662,756.332823,904.573567,912.200699,924.105602,791.850251,867.734660,932.848192
926.866686,790.409008,872.630851,934.848973,929.767167,756.332823,904.573567,912.104643,924.105602,791.850251,867.806630,932.848192
926.929799,790.198661,872.630851,934.775149,929.697920,756.230248,904.573567,912.104643,924.105602,791.850251,867.806630,932.848192
926.961355,790.058430,872.630851,934.664413,929.697920,756.127672,904.573567,911.816475,924.105602,791.850251,867.950571,932.848192
926.929799,790.198661,872.630851,934.590590,929.697920,755.717371,904.638413,911.816475,924.105602,791.850251,868.022541,932.848192
926.977133,790.105173,872.630851,934.590590,929.697920,755.614796,904.508720,911.624363,924.105602,791.850251,868.022541,932.848192
926.992911,790.035058,872.630851,934.590590,929.697920,755.614796,904.443874,911.432252,924.105602,791.850251,868.022541,932.848192
926.992911,790.035058,872.630851,934.553678,929.628672,755.409645,904.379027,911.144084,924.105602,791.850251,868.022541,932.848192
926.992911,790.035058,872.630851,934.553678,929.628672,755.409645,904.379027,911.144084,924.105602,791.850251,868.022541,932.848192
926.992911,790.035058,872.655837,934.516766,929.628672,755.409645,904.314181,911.240140,924.105602,791.850251,868.022541,932.848192
926.992911,790.011686,872.655837,934.516766,929.628672,755.409645,904.314181,911.240140,924.105602,791.850251,868.022541,932.848192
927.008689,789.964942,872.655837,934.516766,929.559424,755.307070,904.314181,911.240140,924.128068,791.850251,868.022541,932.848192
927.008689,789.941570,872.655837,934.516766,929.628672,755.204495,904.249335,911.144084,924.128068,791.850251,868.022541,932.848192
927.008689,789.941570,872.655837,934.479854,929.559424,755.204495,904.184488,911.048028,924.128068,791.850251,868.022541,932.848192
927.008689,789.941570,872.630851,934.406030,929.559424,755.204495,904.184488,911.048028,924.128068,791.850251,868.022541,932.848192
927.008689,789.941570,872.630851,934.332207,929.490177,754.999344,904.054795,910.855916,924.128068,791.850251,868.022541,932.848192
927.008689,789.894827,872.605866,934.295295,929.559424,754.999344,904.119642,911.048028,924.128068,791.850251,868.022541,932.848192
927.008689,789.894827,872.555895,934.147647,929.628672,754.999344,904.249335,911.432252,924.128068,791.850251,868.022541,932.848192
927.008689,789.894827,872.555895,933.963088,929.628672,754.999344,904.249335,911.144084,924.128068,791.850251,868.022541,932.848192
