pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.021721,0.047116,0.034123,0.019207,0.044633,0.032953,0.021645,0.049174,0.035852
0.023616,0.047757,0.033734,0.021551,0.044989,0.034367,0.023409,0.049558,0.036587
0.021439,0.050852,0.036907,0.020891,0.046899,0.035648,0.023071,0.049321,0.037481
0.021878,0.045606,0.035088,0.020804,0.044611,0.034299,0.021984,0.053542,0.039509
0.022156,0.050764,0.037894,0.020137,0.045867,0.034471,0.022215,0.047232,0.034004
0.023342,0.051360,0.036087,0.021346,0.042779,0.034192,0.022116,0.049191,0.037729
0.020924,0.048919,0.035374,0.021486,0.044168,0.034019,0.022130,0.051551,0.035993
0.021853,0.048152,0.037428,0.021132,0.045262,0.034617,0.022252,0.049738,0.036637
0.019887,0.045682,0.030820,0.021454,0.047237,0.035604,0.022354,0.050700,0.035215
0.020382,0.045196,0.035526,0.021166,0.046645,0.035738,0.022544,0.047519,0.037042
0.022326,0.046355,0.034234,0.020595,0.045253,0.035506,0.022176,0.049702,0.035412
0.020491,0.048569,0.035211,0.023650,0.047013,0.033080,0.019977,0.049090,0.036599
0.020339,0.049126,0.035310,0.022257,0.047076,0.035096,0.021108,0.044160,0.033510
0.021108,0.047318,0.037463,0.020369,0.045894,0.035077,0.021029,0.047180,0.033523
0.020257,0.050106,0.037089,0.020757,0.045278,0.034465,0.021855,0.052367,0.037606
0.019881,0.044099,0.032978,0.020812,0.047430,0.034889,0.020580,0.050194,0.033097
0.021310,0.049351,0.033739,0.021254,0.045240,0.033993,0.020727,0.048071,0.035877
0.022119,0.048079,0.036928,0.019922,0.041304,0.033943,0.021232,0.050756,0.036699
0.021534,0.047937,0.036414,0.022187,0.048311,0.036089,0.023998,0.048421,0.033512
0.020927,0.044638,0.033106,0.021533,0.044784,0.034176,0.019314,0.046713,0.035128
0.022797,0.051378,0.035852,0.021747,0.043896,0.032526,0.024640,0.050014,0.035728
0.022656,0.046940,0.037082,0.020951,0.046552,0.033425,0.022825,0.046846,0.035509
0.021942,0.050431,0.039579,0.021015,0.044241,0.033137,0.020541,0.051007,0.037066
0.020450,0.048802,0.034758,0.022827,0.047039,0.036426,0.022071,0.051645,0.036942
0.022071,0.049283,0.035439,0.022247,0.045309,0.034322,0.021296,0.046748,0.033426
0.022214,0.049073,0.036391,0.023074,0.050443,0.038411,0.020620,0.050714,0.037935
0.021439,0.047609,0.035396,0.020888,0.046801,0.035652,0.019905,0.047594,0.032822
0.021470,0.048632,0.035309,0.021373,0.043191,0.032996,0.021387,0.047205,0.035479
0.021262,0.045895,0.035931,0.020596,0.044207,0.032874,0.020980,0.047067,0.034350
0.021895,0.046897,0.035712,0.022290,0.047494,0.034707,0.023756,0.052813,0.036481
0.021320,0.049185,0.036570,0.021595,0.050007,0.036497,0.022386,0.050114,0.035923
0.022266,0.045661,0.034277,0.021212,0.046480,0.036298,0.021684,0.049517,0.035810
