pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-0.753422,0.480727,12.282587,-0.935960,1.214593,12.284168,-0.605999,-0.160822,12.258781
-0.755743,0.482296,12.285661,-0.940238,1.216898,12.285548,-0.605923,-0.161155,12.258724
-0.757971,0.483681,12.288688,-0.944407,1.219021,12.286892,-0.605849,-0.161477,12.258673
-0.760109,0.484883,12.291667,-0.948468,1.220962,12.288200,-0.605777,-0.161787,12.258627
-0.762154,0.485902,12.294600,-0.952421,1.222722,12.289472,-0.605707,-0.162085,12.258586
-0.764109,0.486738,12.297486,-0.956265,1.224300,12.290707,-0.605639,-0.162372,12.258550
-0.765972,0.487391,12.300325,-0.960001,1.225695,12.291907,-0.605572,-0.162648,12.258519
-0.767743,0.487861,12.303116,-0.963629,1.226909,12.293070,-0.605508,-0.162912,12.258493
-0.769423,0.488148,12.305861,-0.967148,1.227940,12.294197,-0.605446,-0.163165,12.258473
-0.771011,0.488252,12.308559,-0.970559,1.228788,12.295288,-0.605386,-0.163406,12.258458
-0.772508,0.488172,12.311209,-0.973862,1.229453,12.296342,-0.605328,-0.163635,12.258448
-0.773913,0.487910,12.313813,-0.977056,1.229935,12.297360,-0.605272,-0.163853,12.258443
-0.775227,0.487465,12.316369,-0.980142,1.230231,12.298343,-0.605218,-0.164060,12.258443
-0.776450,0.486836,12.318879,-0.983120,1.230342,12.299289,-0.605166,-0.164255,12.258448
-0.777580,0.486025,12.321342,-0.985989,1.230266,12.300198,-0.605116,-0.164439,12.258459
-0.778620,0.485030,12.323757,-0.988751,1.230002,12.301072,-0.605068,-0.164611,12.258475
-0.779568,0.483853,12.326126,-0.991404,1.229549,12.301909,-0.605022,-0.164772,12.258496
-0.780425,0.482492,12.328448,-0.993948,1.228904,12.302710,-0.604978,-0.164921,12.258522
-0.781190,0.480949,12.330722,-0.996385,1.228067,12.303475,-0.604936,-0.165058,12.258553
-0.781864,0.479222,12.332950,-0.998714,1.227034,12.304204,-0.604896,-0.165185,12.258590
-0.782447,0.477313,12.335130,-1.000935,1.225804,12.304897,-0.604858,-0.165299,12.258631
-0.782939,0.475222,12.337264,-1.003048,1.224375,12.305553,-0.604823,-0.165402,12.258678
-0.783340,0.472948,12.339350,-1.005053,1.222744,12.306173,-0.604789,-0.165494,12.258730
-0.783650,0.470491,12.341390,-1.006951,1.220908,12.306757,-0.604757,-0.165574,12.258787
-0.783870,0.467853,12.343382,-1.008742,1.218865,12.307305,-0.604727,-0.165643,12.258849
-0.784000,0.465033,12.345328,-1.010425,1.216611,12.307817,-0.604699,-0.165700,12.258917
