pt1_dltres,pt2_dltres,pt3_dltres
0.091982,0.067475,0.166287
0.110500,0.107968,0.014986
0.072330,0.010786,0.004020
0.050021,0.079994,0.066455
0.005811,0.127829,0.037964
0.078121,0.068901,0.052212
0.116447,0.256141,0.020851
0.141250,0.436497,0.070272
0.156872,0.477019,0.038911
0.141409,0.477088,0.037017
0.129087,0.544026,0.045561
0.129087,0.570965,0.034153
0.172655,0.378532,0.058863
0.178858,0.309816,0.035123
0.182719,0.407036,0.039857
0.304329,0.353025,0.198961
0.301189,0.196215,0.179955
0.388337,0.160462,0.249990
0.371050,0.253460,0.066234
0.374123,0.301019,0.066234
0.364707,0.294004,0.069075
0.335344,0.348469,0.081429
0.128890,0.317619,0.057695
0.006730,0.234364,0.055778
0.037941,0.232428,0.072890
0.023017,0.192468,0.079541
0.037633,0.211997,0.071944
0.167987,0.133771,0.055802
0.259994,0.242938,0.035855
0.115743,0.252495,0.035855
0.312007,0.300072,0.051050
0.332110,0.257517,0.020660
0.191570,0.117709,0.027311
0.273398,0.253458,0.064351
0.181981,0.457813,0.057701
0.266941,0.562296,0.065298
0.388004,0.600756,0.069109
0.409013,0.632017,0.045369
0.429225,0.710430,0.039642
0.309309,0.594464,0.014956
0.177948,0.639719,0.043452
0.246226,0.198169,0.044399
0.300627,0.105054,0.034908
0.214224,0.154474,0.074813
0.210684,0.184591,0.071002
0.201111,0.091977,0.039675
0.224596,0.102286,0.083108
0.351052,0.013176,0.184505
0.328367,0.123559,0.214673
0.247176,0.025472,0.205183
0.297779,0.274482,0.233674
0.673789,0.330962,0.265951
0.501391,0.010328,0.245053
0.446162,0.131639,0.264058
0.403527,0.010496,0.283063
0.495257,0.055704,0.231751
0.065421,0.012243,0.267869
0.069257,0.140621,0.259300
0.114810,0.149014,0.250757
0.128427,0.373529,0.253596
0.025611,0.414923,0.248864
0.022605,0.527892,0.283063
0.223437,0.428357,0.298258
0.201426,0.055124,0.305815
0.074678,0.067672,0.322903
0.239362,0.128050,0.311494
0.228346,0.400187,0.319067
0.211984,0.402825,0.310523
0.626253,0.594061,0.295303
0.435254,0.536757,0.281029
0.370075,0.482066,0.266806
0.369089,0.537028,0.255423
0.490401,0.495016,0.263046
0.717810,0.651716,0.314384
0.860921,0.761656,0.363804
0.962079,0.714935,0.377105
0.852896,0.514737,0.364750
0.654558,0.021574,0.337201
0.702261,0.313945,0.124193
0.733280,0.325476,0.089992
0.861339,0.180714,0.004478
0.528305,0.302157,0.045889
0.471805,0.244741,0.145678
0.392845,0.605587,0.258743
0.476719,0.771839,0.442125
0.382115,0.876953,0.291348
0.281113,0.941350,0.156463
0.334043,0.960424,0.027832
0.283585,1.229549,0.113349
0.082831,1.056009,0.173926
0.017553,0.988731,0.112266
0.217062,0.468334,0.014625
0.237837,0.190840,0.139358
0.281798,0.058282,0.139358
0.356826,0.065724,0.139358
0.455199,0.309252,0.155497
0.643371,0.272423,0.171636
0.699535,0.248768,0.095889
0.743150,0.102674,0.004003
0.786765,0.000690,0.018127
0.845913,0.045951,0.062387
0.888035,0.104764,0.072632
0.923995,0.134219,0.072632
1.089303,0.079721,0.056493
1.170783,0.154554,0.056493
1.182476,0.018225,0.024215
1.039919,0.275534,0.008075
1.097571,0.236885,0.008075
1.142676,0.115438,0.008075
1.116504,0.068746,0.008075
1.116504,0.068746,0.008075
1.084723,0.151641,0.008075
1.100256,0.151641,0.008075
1.129829,0.226484,0.005948
1.145362,0.234360,0.005948
1.119189,0.187852,0.005948
1.072453,0.187852,0.005948
1.020108,0.224074,0.005948
1.030610,0.338687,0.005948
0.937139,0.574745,0.005948
0.806281,0.370410,0.005948
0.555788,0.717613,0.005948
