pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
610.134968,794.731938,614.661501,809.858268,579.733887,769.057661,609.137367,776.269257,634.846514,810.912172,621.471061,832.391471
610.030000,794.980000,615.040000,810.010000,579.808843,768.946629,609.197400,776.269257,635.000000,811.010000,620.990000,832.000000
610.080000,794.980000,615.050000,810.030000,579.808843,768.946629,609.317466,776.447108,635.020000,810.990000,620.990000,832.000000
610.130000,794.970000,615.080000,810.060000,579.883799,768.946629,609.317466,776.447108,634.970000,811.000000,621.010000,831.990000
610.190000,794.980000,615.090000,810.070000,579.958756,768.946629,609.257433,776.536033,634.980000,811.010000,620.980000,832.000000
610.250000,794.970000,615.100000,810.080000,579.808843,768.835598,609.257433,776.536033,635.010000,811.020000,620.990000,832.000000
610.320000,794.980000,615.130000,810.100000,579.733887,768.835598,609.137367,776.536033,635.000000,811.020000,620.990000,831.990000
610.410000,794.970000,615.150000,810.130000,579.733887,768.835598,609.197400,776.536033,635.010000,811.000000,621.000000,832.000000
610.440000,794.950000,615.200000,810.160000,579.808843,768.835598,609.197400,776.713885,635.020000,811.020000,621.000000,832.010000
610.980000,795.070000,615.240000,810.180000,580.033712,768.835598,609.197400,776.713885,635.010000,811.000000,621.000000,832.000000
611.060000,795.060000,615.270000,810.200000,580.033712,768.835598,609.137367,776.713885,635.000000,811.010000,620.980000,832.000000
611.150000,795.070000,615.290000,810.200000,580.033712,769.057661,609.137367,776.891736,635.010000,811.020000,621.000000,831.990000
611.220000,795.070000,615.330000,810.260000,580.033712,769.279724,609.137367,776.891736,635.020000,811.000000,620.990000,831.990000
611.270000,795.060000,615.350000,810.310000,580.033712,769.390756,609.137367,776.980662,635.000000,810.990000,621.010000,831.990000
611.320000,795.070000,615.670000,810.630000,580.258581,769.501788,609.197400,777.158513,635.020000,811.020000,621.000000,832.000000
611.430000,795.080000,615.920000,811.060000,580.258581,769.501788,609.377498,777.247438,635.000000,810.970000,620.990000,831.990000
611.980000,795.250000,615.940000,811.120000,580.333538,769.501788,609.377498,777.336364,635.010000,811.010000,621.000000,832.000000
612.060000,795.240000,615.980000,811.160000,580.333538,769.501788,609.317466,777.336364,635.000000,811.000000,621.000000,832.000000
612.150000,795.250000,616.010000,811.210000,580.408494,769.501788,609.257433,777.425290,635.010000,811.020000,621.000000,831.990000
612.270000,795.280000,616.030000,811.240000,580.783276,769.501788,609.317466,777.514215,635.020000,810.990000,621.000000,831.990000
612.340000,795.250000,616.070000,811.280000,580.783276,769.501788,609.377498,777.692067,634.980000,811.010000,621.000000,831.990000
612.450000,795.280000,616.100000,811.330000,580.858232,769.501788,609.377498,777.780992,635.020000,811.000000,620.990000,832.000000
613.030000,795.610000,616.110000,811.360000,581.008145,769.501788,609.197400,778.225620,635.010000,811.010000,621.010000,831.970000
613.720000,796.050000,616.170000,811.520000,581.083102,769.501788,609.197400,778.403472,635.010000,811.010000,620.990000,831.990000
613.830000,796.060000,616.120000,812.020000,581.233014,769.501788,609.257433,778.403472,635.010000,811.020000,620.980000,832.000000
613.900000,796.070000,616.180000,812.090000,581.457884,769.723851,609.377498,778.492397,635.010000,810.990000,620.990000,831.980000
613.960000,796.120000,616.160000,812.120000,581.607796,769.945914,609.437531,778.492397,635.030000,811.020000,620.980000,832.000000
614.030000,796.140000,616.190000,812.180000,581.907622,770.279009,609.497564,778.581323,635.000000,811.000000,620.990000,832.000000
614.140000,796.160000,616.190000,812.270000,582.132491,770.390041,609.677663,778.937025,635.010000,811.020000,621.010000,832.010000
614.220000,796.230000,616.230000,812.390000,582.207447,770.501073,609.677663,779.292728,635.000000,811.010000,621.020000,832.000000
614.290000,796.250000,616.090000,813.010000,582.357360,770.612104,609.677663,779.381653,635.020000,810.990000,621.000000,832.000000
614.360000,796.300000,616.120000,813.530000,582.657186,770.612104,609.677663,779.559505,635.000000,811.020000,620.990000,832.000000
614.330000,796.300000,616.170000,813.680000,583.181881,770.945199,609.677663,779.737356,635.020000,811.020000,621.000000,832.000000
614.340000,796.290000,616.200000,813.800000,583.706575,771.056231,610.037859,780.181984,635.010000,811.000000,620.990000,831.990000
614.260000,796.210000,616.240000,813.880000,584.381183,771.500358,610.037859,780.181984,635.020000,810.990000,620.990000,832.010000
614.150000,796.070000,616.230000,813.980000,584.681008,771.833453,610.097892,780.270910,635.020000,811.000000,620.990000,832.000000
614.050000,795.990000,616.230000,814.060000,585.205703,772.166547,610.157925,780.715538,634.990000,811.000000,620.990000,831.990000
614.010000,795.950000,616.200000,814.150000,585.430572,772.499642,610.157925,780.893389,635.020000,811.000000,620.990000,831.980000
613.990000,795.920000,616.180000,814.300000,585.730398,772.721706,610.037859,781.160166,635.000000,811.030000,620.990000,831.990000
613.950000,795.850000,616.150000,814.470000,586.030223,772.832737,610.037859,781.515869,635.020000,811.000000,621.010000,831.980000
613.870000,795.880000,616.180000,815.010000,586.554918,773.165832,610.097892,781.871571,635.020000,811.020000,621.010000,831.990000
613.900000,795.890000,616.160000,815.140000,586.779787,773.276864,610.097892,782.227274,635.020000,811.020000,621.010000,831.990000
613.880000,795.910000,616.090000,815.280000,587.154569,773.387896,609.941486,782.719229,635.010000,810.990000,621.010000,832.000000
613.860000,795.920000,616.100000,815.530000,587.304482,773.609959,609.941486,782.719229,635.020000,811.010000,621.000000,832.000000
613.860000,795.980000,616.140000,816.170000,587.604308,774.054086,610.021530,782.837796,635.000000,811.010000,620.990000,831.980000
