pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.029305,0.078990,0.061015,0.020817,0.045457,0.035302,0.019619,0.051874,0.038556
0.030750,0.071667,0.056517,0.018796,0.050730,0.042827,0.020724,0.055668,0.041123
0.032527,0.074466,0.056430,0.017209,0.047255,0.036152,0.020293,0.052204,0.039045
0.031369,0.073345,0.056248,0.017959,0.048027,0.038698,0.019523,0.050384,0.039042
0.026901,0.071746,0.052486,0.017914,0.051344,0.040026,0.019717,0.053042,0.039674
0.028791,0.075223,0.057585,0.018512,0.047326,0.037109,0.020074,0.054067,0.041003
0.028097,0.076478,0.060305,0.018909,0.047696,0.038352,0.019921,0.051328,0.040766
0.029649,0.076744,0.058696,0.021108,0.046328,0.038234,0.021001,0.047140,0.036189
0.028651,0.070385,0.056687,0.019717,0.048489,0.039355,0.020791,0.051348,0.037633
0.027784,0.070193,0.055339,0.018208,0.046299,0.037626,0.022070,0.051227,0.038578
0.029614,0.074047,0.056792,0.020378,0.046507,0.040542,0.020589,0.052644,0.039598
0.027959,0.078523,0.057262,0.019241,0.049365,0.035704,0.020869,0.052548,0.037372
0.030036,0.073361,0.056501,0.019241,0.050387,0.040280,0.019410,0.053003,0.039764
0.029792,0.069826,0.058542,0.019677,0.043024,0.036031,0.021917,0.050163,0.038101
0.030538,0.074288,0.057058,0.018977,0.047211,0.038258,0.021019,0.051053,0.038928
0.031687,0.076304,0.061748,0.018051,0.047685,0.037107,0.019156,0.048814,0.038524
0.030395,0.076498,0.058287,0.018575,0.043489,0.035277,0.020134,0.050783,0.039251
0.030951,0.076642,0.058149,0.018539,0.045532,0.035384,0.020610,0.048988,0.036780
0.030496,0.077770,0.061733,0.020810,0.050206,0.038206,0.019685,0.051605,0.036516
0.028957,0.073007,0.054003,0.019010,0.046515,0.038774,0.020670,0.054690,0.040099
0.028098,0.074023,0.060008,0.017731,0.045974,0.036650,0.020096,0.053667,0.040944
0.030158,0.072201,0.058045,0.017863,0.050903,0.040537,0.017235,0.052305,0.040950
