pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
4.816695,0.522735,11.052004,5.196130,1.171867,10.769680,4.500401,0.074839,11.225014
4.816292,0.523605,11.053949,5.194628,1.167282,10.771200,4.501502,0.074707,11.225054
4.815846,0.524321,11.055889,5.193083,1.162676,10.772711,4.502574,0.074579,11.225096
4.815358,0.524883,11.057822,5.191495,1.158050,10.774212,4.503616,0.074454,11.225140
4.814829,0.525291,11.059749,5.189864,1.153402,10.775703,4.504630,0.074333,11.225185
4.814257,0.525545,11.061670,5.188190,1.148732,10.777183,4.505614,0.074216,11.225233
4.813643,0.525644,11.063585,5.186473,1.144042,10.778654,4.506570,0.074103,11.225282
4.812986,0.525590,11.065494,5.184714,1.139331,10.780115,4.507496,0.073994,11.225333
4.812288,0.525381,11.067397,5.182912,1.134598,10.781566,4.508393,0.073889,11.225386
4.811547,0.525019,11.069293,5.181067,1.129845,10.783008,4.509261,0.073787,11.225441
4.810763,0.524502,11.071184,5.179179,1.125070,10.784439,4.510100,0.073690,11.225497
4.809937,0.523830,11.073068,5.177248,1.120274,10.785860,4.510909,0.073596,11.225556
4.809068,0.523005,11.074946,5.175274,1.115457,10.787271,4.511690,0.073506,11.225616
4.808156,0.522025,11.076818,5.173257,1.110619,10.788673,4.512441,0.073420,11.225678
4.807200,0.520891,11.078683,5.171198,1.105760,10.790064,4.513163,0.073338,11.225742
4.806200,0.519602,11.080543,5.169096,1.100881,10.791446,4.513857,0.073259,11.225807
4.805155,0.518158,11.082396,5.166951,1.095980,10.792817,4.514520,0.073185,11.225875
4.804065,0.516560,11.084244,5.164763,1.091059,10.794179,4.515155,0.073114,11.225944
4.802929,0.514806,11.086085,5.162532,1.086116,10.795531,4.515761,0.073047,11.226015
4.801745,0.512898,11.087920,5.160258,1.081154,10.796872,4.516337,0.072984,11.226088
4.800513,0.510834,11.089749,5.157942,1.076170,10.798204,4.516884,0.072925,11.226163
4.799232,0.508615,11.091572,5.155583,1.071167,10.799526,4.517401,0.072870,11.226240
4.797900,0.506241,11.093388,5.153181,1.066143,10.800838,4.517889,0.072818,11.226318
4.796515,0.503711,11.095199,5.150736,1.061099,10.802140,4.518348,0.072771,11.226399
4.795077,0.501025,11.097003,5.148248,1.056035,10.803432,4.518777,0.072727,11.226481
4.793583,0.498183,11.098801,5.145717,1.050951,10.804714,4.519177,0.072687,11.226565
4.792031,0.495186,11.100593,5.143143,1.045848,10.805986,4.519547,0.072651,11.226651
4.790420,0.492033,11.102379,5.140527,1.040725,10.807249,4.519887,0.072619,11.226738
4.788746,0.488724,11.104159,5.137868,1.035584,10.808501,4.520198,0.072591,11.226828
4.787008,0.485259,11.105932,5.135166,1.030423,10.809743,4.520479,0.072566,11.226919
4.785203,0.481639,11.107700,5.132421,1.025244,10.810976,4.520729,0.072546,11.227012
4.783329,0.477864,11.109461,5.129633,1.020047,10.812198,4.520950,0.072529,11.227107
4.781383,0.473935,11.111216,5.126802,1.014832,10.813411,4.521141,0.072516,11.227204
4.779362,0.469851,11.112965,5.123929,1.009599,10.814614,4.521301,0.072507,11.227303
4.777263,0.465614,11.114708,5.121013,1.004349,10.815806,4.521431,0.072502,11.227403
4.775085,0.461224,11.116445,5.118054,0.999082,10.816989,4.521531,0.072501,11.227506
4.772823,0.456683,11.118175,5.115052,0.993798,10.818162,4.521600,0.072503,11.227610
4.770476,0.451993,11.119900,5.112007,0.988498,10.819325,4.521638,0.072510,11.227716
4.768041,0.447155,11.121618,5.108919,0.983182,10.820478,4.521645,0.072520,11.227823
