pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
4.819853,0.486348,11.053641,5.180267,1.118772,10.786087,4.524793,0.006902,11.149793
4.822517,0.49291,11.056643,5.178661,1.118585,10.784786,4.524793,0.006902,11.149793
4.817987,0.48671,11.058101,5.177549,1.121842,10.788933,4.524793,0.006902,11.149793
4.813892,0.474345,11.051054,5.176704,1.119992,10.787753,4.524793,0.006902,11.149793
4.811074,0.477643,11.059923,5.176185,1.116902,10.786704,4.524793,0.006902,11.149793
4.809036,0.476393,11.060066,5.177552,1.120832,10.787972,4.524793,0.006902,11.149793
4.809036,0.476393,11.060066,5.179277,1.119813,10.78721,4.524793,0.006902,11.149793
4.804538,0.476237,11.061201,5.178836,1.121248,10.788181,4.524793,0.006902,11.149793
4.802863,0.473953,11.058328,5.177761,1.119789,10.789207,4.524793,0.006902,11.149793
4.798106,0.465689,11.053379,5.175228,1.114237,10.785667,4.524793,0.006902,11.149793
4.798393,0.465865,11.057744,5.175668,1.112802,10.784695,4.524793,0.006902,11.149793
4.797187,0.462483,11.056669,5.17608,1.112733,10.789083,4.524793,0.006902,11.149793
4.795908,0.462182,11.054795,5.176723,1.112274,10.791266,4.524793,0.006902,11.149793
4.792247,0.463809,11.059526,5.176929,1.112239,10.793459,4.524793,0.006902,11.149793
4.788193,0.466347,11.061572,5.174046,1.108284,10.794188,4.524793,0.006902,11.149793
4.786903,0.451949,11.057835,5.17261,1.112784,10.798203,4.524793,0.006902,11.149793
4.783818,0.445962,11.055759,5.17165,1.111129,10.798127,4.524793,0.006902,11.149793
4.777485,0.44527,11.060555,5.17209,1.109694,10.797156,4.524793,0.006902,11.149793
4.777349,0.445975,11.058716,5.17157,1.106604,10.796108,4.524793,0.006902,11.149793
4.775757,0.439393,11.059467,5.16679,1.098979,10.792285,4.524793,0.006902,11.149793
4.775468,0.440484,11.059406,5.16612,1.100808,10.795463,4.524793,0.006902,11.149793
4.773085,0.436984,11.059086,5.165159,1.099154,10.795388,4.524793,0.006902,11.149793
4.770371,0.438041,11.061425,5.164213,1.092132,10.795638,4.524793,0.006902,11.149793
4.767296,0.429481,11.057423,5.163138,1.090678,10.79667,4.524793,0.006902,11.149793
4.762467,0.423082,11.054507,5.161007,1.088408,10.795281,4.524793,0.006902,11.149793
4.767642,0.424984,11.0619,5.158119,1.085456,10.796966,4.524793,0.006902,11.149793
4.764629,0.418801,11.058939,5.156631,1.082723,10.797756,4.524793,0.006902,11.149793
4.757925,0.400328,11.05475,5.153657,1.076253,10.798385,4.524793,0.006902,11.149793
4.754843,0.395005,11.056182,5.149664,1.075568,10.803269,4.524793,0.006902,11.149793
4.752003,0.388487,11.056387,5.148681,1.074277,10.807597,4.524793,0.006902,11.149793
4.748431,0.383967,11.056936,5.147195,1.070537,10.807433,4.524793,0.006902,11.149793
4.749255,0.384432,11.058895,5.14358,1.063519,10.804927,4.524793,0.006902,11.149793
4.748171,0.381442,11.060133,5.138387,1.050239,10.802152,4.524793,0.006902,11.149793
4.747329,0.379268,11.064185,5.129572,1.04666,10.806346,4.524793,0.006902,11.149793
4.747094,0.376619,11.07022,5.123226,1.029034,10.800096,4.524793,0.006902,11.149793
4.745275,0.373517,11.072199,5.120246,1.022563,10.800735,4.524793,0.006902,11.149793
4.743606,0.370019,11.072394,5.114262,1.01131,10.802253,4.524793,0.006902,11.149793
4.738602,0.357122,11.068426,5.112454,1.005451,10.804205,4.524793,0.006902,11.149793
4.733167,0.344973,11.066474,5.110235,0.995263,10.803039,4.524793,0.006902,11.149793
4.732834,0.346945,11.073091,5.106704,0.988389,10.803833,4.524793,0.006902,11.149793
4.731323,0.341763,11.076075,5.100828,0.976926,10.804251,4.524793,0.006902,11.149793
4.730407,0.33979,11.081022,5.098145,0.971912,10.806226,4.524793,0.006902,11.149793
4.727822,0.331915,11.081614,5.094727,0.959705,10.805,4.524793,0.006902,11.149793
4.723459,0.322455,11.082061,5.09367,0.955523,10.804826,4.524793,0.006902,11.149793
4.722215,0.31662,11.08845,5.090822,0.949366,10.807259,4.524793,0.006902,11.149793
4.717917,0.310648,11.08799,5.088429,0.948455,10.815759,4.524793,0.006902,11.149793
4.716704,0.307071,11.091958,5.086692,0.942454,10.816979,4.524793,0.006902,11.149793
4.710892,0.290061,11.089308,5.081505,0.927815,10.814034,4.524793,0.006902,11.149793
4.712085,0.289556,11.096615,5.079334,0.924034,10.820708,4.524793,0.006902,11.149793
4.707577,0.286636,11.100396,5.079051,0.925428,10.819053,4.524793,0.006902,11.149793
4.703516,0.275084,11.101852,5.075178,0.923974,10.819591,4.524793,0.006902,11.149793
4.704085,0.275505,11.110518,5.073184,0.926295,10.825056,4.524793,0.006902,11.149793
4.69851,0.263288,11.107031,5.069919,0.92322,10.828342,4.524793,0.006902,11.149793
4.694988,0.254422,11.111648,5.057825,0.900912,10.825808,4.524793,0.006902,11.149793
4.693627,0.245668,11.108589,5.055552,0.892808,10.826944,4.524793,0.006902,11.149793
4.688732,0.238632,11.111371,5.04844,0.88284,10.828371,4.524793,0.006902,11.149793
4.687544,0.23703,11.116559,5.041778,0.872598,10.830988,4.524793,0.006902,11.149793
4.682205,0.225624,11.115889,5.03711,0.858937,10.831172,4.524793,0.006902,11.149793
4.679645,0.221592,11.126544,5.033413,0.850358,10.841088,4.524793,0.006902,11.149793
4.673769,0.213903,11.123619,5.024522,0.839822,10.846154,4.524793,0.006902,11.149793
4.669678,0.21339,11.129649,5.017338,0.823119,10.843271,4.524793,0.006902,11.149793
4.662643,0.20238,11.133155,5.013109,0.814394,10.845478,4.524793,0.006902,11.149793
4.656271,0.194847,11.141071,5.01157,0.810696,10.845695,4.524793,0.006902,11.149793
4.653902,0.199091,11.148408,5.009393,0.817364,10.85403,4.524793,0.006902,11.149793
4.644147,0.183661,11.143968,5.008228,0.820408,10.861238,4.524793,0.006902,11.149793
4.642717,0.177005,11.150654,5.006931,0.819361,10.864495,4.524793,0.006902,11.149793
4.635295,0.179353,11.158611,5.001637,0.808397,10.858915,4.524793,0.006902,11.149793
4.629202,0.17838,11.167533,4.994998,0.819963,10.874539,4.524793,0.006902,11.149793
