pt1_dltres,pt2_dltres,pt3_dltres
0.232779,0.020189,0.173483
0.090644,0.076602,0.071304
0.096738,0.169652,0.059428
0.112205,0.161489,0.072407
0.103523,0.226239,0.067100
0.108798,0.320336,0.079279
0.101466,0.354887,0.085039
0.114928,0.341693,0.067533
0.135108,0.452968,0.075685
0.000311,0.428481,0.067533
0.005269,0.441674,0.069137
0.015477,0.405579,0.088225
0.009003,0.250042,0.073163
0.040157,0.231995,0.068505
0.174323,0.236010,0.082464
0.391761,0.256161,0.050257
0.251843,0.307730,0.074490
0.268760,0.320922,0.066515
0.279612,0.385683,0.088225
0.262049,0.391445,0.068374
0.293964,0.497712,0.078214
0.288777,0.549288,0.066384
0.016080,0.871208,0.096994
0.267872,0.982522,0.079101
0.062312,0.953033,0.077111
0.082250,0.806432,0.071967
0.065737,0.621441,0.079148
0.078482,0.402154,0.064348
0.113854,0.499379,0.076835
0.129041,0.652464,0.077806
0.557128,0.618186,0.061595
0.859730,0.705128,0.078261
0.953311,0.534456,0.082464
1.033783,0.619460,0.072145
1.143254,0.235379,0.052649
1.322095,0.016274,0.066384
1.442361,0.011895,0.070108
1.541763,0.126083,0.079942
1.670465,0.108311,0.091996
1.844838,0.020617,0.084277
2.190550,0.043355,0.091411
2.272635,0.093743,0.091411
2.370597,0.340582,0.062744
2.532437,0.168970,0.075508
2.914300,0.112084,0.084862
4.080067,0.097373,0.088403
4.186397,0.080274,0.075508
4.115981,0.035543,0.066515
4.473151,0.523983,0.096022
4.408307,0.346955,0.056143
4.407267,0.367325,0.069747
4.271343,0.405921,0.080552
4.156896,0.525664,0.077675
3.794017,0.308083,0.085472
3.758803,0.044856,0.073340
3.443802,0.380932,0.081748
2.857274,0.211413,0.068729
2.336604,0.496582,0.064781
0.843947,0.366660,0.072578
0.240922,0.403361,0.085472
0.139356,0.469282,0.095490
0.009474,0.345538,0.093348
0.257954,0.359441,0.081525
0.610709,0.172616,0.097427
0.640675,0.129098,0.082628
0.657719,0.360510,0.063972
0.636020,0.392152,0.054494
0.541487,0.732303,0.037297
0.440361,0.867881,0.029677
0.170534,0.754473,0.018010
0.197138,0.852164,0.000290
0.209065,0.759621,0.017420
0.248536,0.803855,0.005794
0.353411,0.783281,0.050363
0.491777,0.406093,0.145701
0.428804,0.289983,0.218017
0.751713,0.490334,0.315590
0.783092,0.270407,0.158257
0.835362,0.446839,0.094903
0.938638,0.772340,0.432259
1.176335,0.644507,0.442189
1.138664,0.785484,0.406406
1.065074,0.715127,0.427940
1.058832,0.815882,0.451006
1.107343,0.874901,0.454159
1.161099,0.664895,0.819363
1.216479,0.196644,1.044087
1.568172,0.214064,1.076381
1.528150,0.167450,1.411416
1.417854,0.174717,1.383239
1.404707,0.334294,1.387066
1.400360,0.092765,1.340376
1.304442,0.039022,1.275843
1.142050,0.025139,1.484016
1.049974,0.162571,1.368053
1.085097,0.183263,1.506066
1.378816,0.294743,1.140012
1.305967,0.218329,0.690800
0.885530,0.048138,0.553985
0.582670,0.011435,0.867175
0.563741,0.159681,0.887438
0.426026,0.333201,0.665983
0.752881,0.176183,0.513525
