pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
567.501944,802.531957,574.431060,798.258708,571.751147,827.150062,560.293374,819.943727,567.563444,767.040207,602.886506,770.242082
567.980000,803.020000,573.980000,798.020000,571.990000,827.030000,560.000000,820.000000,567.563444,767.040207,602.886506,770.136688
567.940000,803.060000,573.960000,798.040000,571.990000,827.020000,559.990000,820.000000,567.563444,767.040207,602.815356,770.083992
567.930000,803.070000,573.990000,798.050000,571.960000,827.030000,560.000000,820.010000,567.563444,767.040207,602.815356,770.083992
567.890000,803.150000,573.960000,798.100000,571.990000,827.010000,560.010000,819.990000,567.563444,767.040207,602.708631,769.873205
567.870000,803.210000,573.960000,798.130000,572.000000,827.020000,560.000000,820.010000,567.563444,767.040207,602.601906,769.873205
567.870000,803.260000,573.940000,798.160000,572.010000,827.000000,559.990000,820.000000,567.507227,767.040207,602.601906,769.873205
567.870000,803.320000,573.930000,798.210000,572.000000,827.030000,559.990000,820.010000,567.394793,767.123481,602.459606,769.767812
567.840000,803.350000,573.910000,798.270000,572.000000,827.000000,560.010000,820.000000,567.113706,767.123481,602.352881,769.820508
567.840000,803.520000,573.940000,798.300000,571.980000,827.030000,560.010000,820.010000,567.113706,767.123481,602.281731,769.873205
567.830000,803.920000,573.930000,798.390000,571.990000,827.000000,560.000000,819.990000,567.113706,767.123481,602.246156,769.873205
567.790000,804.020000,573.840000,798.450000,571.990000,827.010000,560.000000,820.000000,567.113706,767.123481,602.103856,769.873205
567.770000,804.090000,573.640000,798.990000,571.980000,827.030000,560.010000,820.010000,566.720185,767.123481,601.854831,769.925902
567.740000,804.210000,573.380000,799.140000,572.000000,827.040000,560.010000,819.990000,566.720185,767.123481,601.712531,769.925902
567.690000,804.310000,573.420000,799.240000,572.000000,827.000000,560.000000,820.000000,566.720185,767.123481,601.605806,769.820508
567.690000,804.580000,573.430000,799.370000,571.990000,827.010000,560.000000,820.010000,566.720185,767.123481,601.499081,769.715115
567.640000,804.950000,573.370000,799.520000,572.000000,827.000000,560.010000,820.010000,566.720185,767.123481,601.499081,769.715115
567.640000,805.050000,573.210000,799.960000,571.980000,827.030000,560.000000,820.000000,566.551533,767.123481,601.427931,769.662418
567.630000,805.120000,573.220000,800.030000,571.990000,827.010000,560.000000,820.000000,566.382881,767.040207,601.392356,769.662418
567.650000,805.150000,573.240000,800.100000,571.960000,827.030000,560.000000,819.990000,566.382881,767.040207,601.392356,769.662418
567.620000,805.230000,573.330000,800.160000,571.980000,827.050000,560.010000,820.010000,566.382881,767.040207,601.321206,769.662418
567.640000,805.260000,573.400000,800.220000,571.980000,827.040000,560.000000,820.010000,566.382881,767.040207,601.285631,769.609722
567.650000,805.400000,573.310000,800.400000,571.980000,827.020000,560.010000,820.000000,566.439099,767.040207,601.214481,769.609722
567.750000,805.830000,573.190000,800.950000,572.020000,827.020000,560.000000,820.000000,566.439099,767.040207,601.178906,769.557025
567.790000,805.950000,573.220000,801.050000,572.000000,827.030000,560.000000,820.000000,566.439099,767.040207,601.178906,769.557025
567.770000,806.080000,573.250000,801.110000,571.980000,827.020000,560.010000,820.000000,566.439099,767.040207,601.107756,769.715115
567.800000,806.220000,573.250000,801.190000,571.980000,827.020000,560.000000,820.010000,566.439099,767.123481,601.107756,770.083992
567.810000,806.320000,573.260000,801.330000,571.980000,827.020000,560.010000,820.000000,566.439099,767.456575,601.143331,770.558262
567.820000,806.470000,573.210000,801.550000,572.010000,827.010000,560.010000,820.000000,566.439099,767.789670,601.072181,770.294778
567.810000,806.980000,573.110000,801.980000,571.980000,827.020000,560.010000,819.990000,566.439099,767.956218,601.107756,770.452868
567.800000,807.120000,573.120000,802.050000,571.980000,827.030000,560.010000,820.000000,566.382881,768.122765,601.107756,770.663655
567.810000,807.260000,573.140000,802.170000,572.000000,827.010000,560.010000,819.990000,566.382881,768.372587,601.107756,770.927138
567.850000,807.420000,573.120000,802.290000,572.000000,827.030000,560.000000,819.990000,566.439099,769.038777,601.072181,770.979835
567.870000,807.890000,573.100000,802.400000,572.010000,827.010000,560.000000,820.000000,566.439099,769.122050,601.036606,771.085228
567.870000,807.990000,572.990000,802.920000,571.990000,827.020000,560.000000,820.000000,566.439099,769.288598,600.929881,771.401408
567.880000,808.080000,573.010000,803.010000,572.000000,827.020000,560.000000,820.000000,566.439099,769.371872,600.787581,771.770285
567.910000,808.180000,573.050000,803.110000,571.990000,827.030000,560.010000,820.010000,566.439099,769.538419,600.752005,771.928375
567.940000,808.300000,573.050000,803.210000,572.000000,827.020000,560.020000,820.000000,566.439099,770.204609,600.574130,772.455342
567.970000,808.520000,573.050000,803.320000,571.970000,827.040000,559.990000,820.000000,566.439099,770.537704,600.325105,772.824218
568.010000,808.860000,573.040000,803.430000,571.970000,827.010000,560.000000,820.010000,566.439099,770.537704,600.253955,773.035005
568.020000,808.940000,572.900000,803.970000,572.000000,827.010000,560.000000,820.000000,566.439099,770.704252,600.289530,772.876915
568.040000,809.010000,572.950000,804.020000,571.990000,827.000000,560.010000,820.000000,566.439099,770.787525,600.218380,773.087702
568.050000,809.060000,572.990000,804.090000,571.980000,827.040000,560.010000,820.000000,566.439099,770.954073,600.111655,773.245792
568.100000,809.170000,573.040000,804.160000,572.000000,827.020000,560.010000,820.000000,566.495316,771.037347,600.004930,773.351185
568.140000,809.250000,573.020000,804.280000,572.000000,827.000000,560.020000,820.010000,566.551533,771.120620,599.853924,773.798450
