pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.017530,0.047732,0.037104,0.018458,0.050177,0.038752,0.020063,0.051695,0.040685
0.019563,0.050196,0.040416,0.018238,0.047648,0.034225,0.019734,0.055072,0.045067
0.018418,0.045647,0.037411,0.020154,0.051553,0.040113,0.019454,0.048709,0.039952
0.018755,0.050140,0.038482,0.019969,0.053096,0.038270,0.020007,0.046515,0.039958
0.020980,0.049790,0.037404,0.019369,0.048807,0.036151,0.020140,0.047844,0.038941
0.019883,0.050609,0.038901,0.019359,0.051073,0.037777,0.019716,0.049631,0.039550
0.018505,0.049411,0.042017,0.018177,0.047829,0.036001,0.021291,0.051452,0.039750
0.016853,0.048552,0.039514,0.019800,0.050542,0.037454,0.020787,0.048041,0.039788
0.019003,0.046420,0.036248,0.018751,0.048862,0.038782,0.019896,0.049915,0.038931
0.018925,0.046930,0.037054,0.018927,0.051764,0.041005,0.019305,0.049192,0.038493
0.019106,0.048927,0.039557,0.019493,0.051597,0.038083,0.019706,0.047971,0.037608
0.017709,0.050489,0.037385,0.019536,0.049620,0.038271,0.018813,0.049681,0.039320
0.017565,0.049191,0.034377,0.021182,0.051768,0.039435,0.019358,0.049343,0.040109
0.018285,0.048612,0.037924,0.017049,0.050545,0.037616,0.020067,0.046369,0.037289
0.018880,0.044298,0.034553,0.019687,0.049540,0.040596,0.019259,0.050190,0.040484
0.018759,0.048443,0.037116,0.020056,0.050264,0.038318,0.019058,0.048890,0.039253
0.019651,0.048471,0.038438,0.018853,0.050099,0.039245,0.019857,0.047120,0.037532
0.018832,0.043994,0.035400,0.018192,0.051408,0.039320,0.020783,0.049559,0.037211
0.019099,0.049747,0.038890,0.018711,0.047973,0.036773,0.019278,0.045626,0.038349
0.018668,0.047059,0.037268,0.019699,0.052984,0.039023,0.019817,0.048020,0.036891
0.019111,0.049183,0.036811,0.019912,0.051030,0.038852,0.019324,0.049167,0.037741
0.019187,0.051646,0.037822,0.020936,0.052316,0.039024,0.020423,0.048450,0.039486
0.017941,0.047405,0.036140,0.020123,0.048071,0.035912,0.018796,0.047034,0.037806
0.018679,0.048170,0.036602,0.019343,0.054847,0.040296,0.018514,0.051943,0.040574
0.019095,0.049309,0.034426,0.019171,0.051107,0.038843,0.020368,0.049851,0.039724
0.019735,0.049295,0.037934,0.019935,0.050971,0.040444,0.019086,0.049646,0.040490
0.018718,0.045727,0.034370,0.019170,0.051173,0.038038,0.019111,0.050435,0.040317
0.018747,0.048513,0.037565,0.019463,0.048194,0.036017,0.019447,0.044911,0.035782
0.020382,0.049390,0.037522,0.019366,0.050368,0.036604,0.019254,0.049836,0.040269
0.018307,0.047177,0.036790,0.019335,0.049532,0.036344,0.019574,0.046442,0.037842
