pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
5.666497,0.572477,10.971138,5.757052,0.109109,11.215638,5.386094,1.273926,10.722416
5.665775,0.571683,10.975909,5.756484,0.108837,11.216538,5.386159,1.273421,10.725494
5.665064,0.570848,10.980638,5.755925,0.108570,11.217422,5.386225,1.272876,10.728571
5.664364,0.569970,10.985325,5.755374,0.108307,11.218293,5.386293,1.272290,10.731645
5.663674,0.569052,10.989969,5.754833,0.108049,11.219148,5.386362,1.271664,10.734718
5.662995,0.568092,10.994571,5.754299,0.107794,11.219989,5.386434,1.270998,10.737789
5.662328,0.567091,10.999131,5.753775,0.107543,11.220816,5.386506,1.270291,10.740858
5.661671,0.566048,11.003649,5.753259,0.107297,11.221628,5.386581,1.269543,10.743926
5.661025,0.564964,11.008125,5.752752,0.107055,11.222425,5.386657,1.268755,10.746992
5.660390,0.563838,11.012558,5.752253,0.106817,11.223208,5.386735,1.267927,10.750056
5.659765,0.562671,11.016949,5.751764,0.106583,11.223976,5.386814,1.267058,10.753118
5.659152,0.561463,11.021298,5.751283,0.106353,11.224730,5.386895,1.266149,10.756178
5.658550,0.560213,11.025604,5.750810,0.106128,11.225469,5.386978,1.265200,10.759237
5.657958,0.558922,11.029869,5.750346,0.105906,11.226194,5.387062,1.264210,10.762293
5.657377,0.557589,11.034091,5.749891,0.105689,11.226904,5.387148,1.263179,10.765348
5.656808,0.556215,11.038271,5.749445,0.105476,11.227599,5.387236,1.262109,10.768401
5.656249,0.554800,11.042408,5.749007,0.105267,11.228280,5.387325,1.260997,10.771452
5.655701,0.553343,11.046504,5.748578,0.105062,11.228947,5.387416,1.259846,10.774501
5.655164,0.551845,11.050557,5.748158,0.104862,11.229598,5.387509,1.258654,10.777548
5.654638,0.550306,11.054568,5.747746,0.104665,11.230236,5.387603,1.257422,10.780593
5.654123,0.548726,11.058537,5.747343,0.104473,11.230858,5.387699,1.256149,10.783636
5.653619,0.547104,11.062463,5.746948,0.104285,11.231466,5.387797,1.254836,10.786676
5.653126,0.545441,11.066347,5.746563,0.104101,11.232060,5.387897,1.253483,10.789714
5.652644,0.543737,11.070189,5.746186,0.103921,11.232639,5.387999,1.252089,10.792750
5.652174,0.541992,11.073989,5.745818,0.103745,11.233203,5.388102,1.250655,10.795782
5.651714,0.540206,11.077747,5.745458,0.103573,11.233753,5.388207,1.249181,10.798813
5.651265,0.538378,11.081462,5.745107,0.103406,11.234288,5.388314,1.247667,10.801840
5.650828,0.536510,11.085135,5.744765,0.103243,11.234809,5.388424,1.246113,10.804864
5.650402,0.534602,11.088766,5.744432,0.103083,11.235315,5.388535,1.244519,10.807885
5.649987,0.532652,11.092355,5.744107,0.102929,11.235807,5.388648,1.242884,10.810902
5.649583,0.530662,11.095902,5.743792,0.102778,11.236284,5.388763,1.241210,10.813916
5.649191,0.528632,11.099406,5.743484,0.102631,11.236746,5.388880,1.239495,10.816926
5.648810,0.526561,11.102868,5.743186,0.102488,11.237194,5.389000,1.237741,10.819932
5.648441,0.524450,11.106288,5.742897,0.102350,11.237628,5.389122,1.235947,10.822934
5.648083,0.522299,11.109665,5.742616,0.102216,11.238046,5.389246,1.234114,10.825930
5.647737,0.520108,11.113001,5.742344,0.102086,11.238451,5.389372,1.232241,10.828922
5.647402,0.517877,11.116294,5.742081,0.101960,11.238840,5.389501,1.230328,10.831909
5.647079,0.515607,11.119545,5.741827,0.101838,11.239215,5.389633,1.228376,10.834890
5.646768,0.513298,11.122753,5.741582,0.101721,11.239576,5.389767,1.226384,10.837865
5.646470,0.510950,11.125920,5.741345,0.101607,11.239922,5.389904,1.224354,10.840833
5.646183,0.508563,11.129044,5.741118,0.101498,11.240253,5.390044,1.222284,10.843795
5.645908,0.506137,11.132126,5.740899,0.101393,11.240570,5.390187,1.220176,10.846750
5.645646,0.503673,11.135166,5.740690,0.101292,11.240872,5.390332,1.218028,10.849697
5.645396,0.501171,11.138163,5.740489,0.101195,11.241160,5.390481,1.215842,10.852637
