pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
5.644095,0.569645,11.022707,5.364773,1.261128,10.782584,5.74632,0.11606,11.242058
5.644068,0.544894,11.009842,5.364917,1.260905,10.781286,5.745625,0.102893,11.233167
5.644747,0.545395,11.010797,5.36552,1.259112,10.779491,5.745676,0.102663,11.232909
5.644636,0.546388,11.011658,5.36552,1.259112,10.779491,5.745938,0.103701,11.23376
5.645462,0.546637,11.013219,5.366604,1.256145,10.775176,5.745504,0.103156,11.233004
5.645807,0.5471,11.0145,5.367402,1.253621,10.773457,5.745474,0.102677,11.233034
5.64606,0.546583,11.015046,5.368025,1.255003,10.774344,5.745403,0.10218,11.232397
5.646235,0.546338,11.016098,5.370718,1.254008,10.773346,5.74558,0.102408,11.232975
5.646719,0.546697,11.017288,5.37456,1.258503,10.776709,5.745353,0.10294,11.232871
5.646918,0.547167,11.019825,5.37502,1.256932,10.776213,5.74564,0.103429,11.233605
5.648097,0.546609,11.024904,5.375286,1.256091,10.77564,5.745556,0.102926,11.232746
5.649432,0.545375,11.025827,5.37635,1.252726,10.773349,5.745569,0.102932,11.232968
5.650642,0.542117,11.030289,5.382502,1.256624,10.776197,5.74564,0.103429,11.233605
5.653122,0.536643,11.029643,5.383567,1.25326,10.773907,5.745478,0.102837,11.233145
5.653495,0.538937,11.033294,5.38451,1.250514,10.770889,5.745433,0.10269,11.232713
5.653988,0.538956,11.037733,5.385453,1.247766,10.76787,5.745555,0.102957,11.233092
5.655825,0.538393,11.043079,5.385453,1.247766,10.76787,5.745339,0.102965,11.232995
5.656729,0.535316,11.046933,5.387927,1.250121,10.768737,5.745734,0.103154,11.233323
5.656857,0.535842,11.048806,5.389823,1.253601,10.770007,5.745569,0.102932,11.232968
5.656467,0.535926,11.04997,5.389823,1.253601,10.770007,5.745967,0.103651,11.233513
5.656232,0.538875,11.053411,5.390356,1.251919,10.768861,5.745695,0.10339,11.233804
5.655466,0.540156,11.055249,5.390695,1.250966,10.767638,5.745747,0.10316,11.233546
5.656195,0.537849,11.057259,5.390605,1.2479,10.765605,5.745627,0.103423,11.233383
5.656458,0.53281,11.064802,5.390944,1.246947,10.764382,5.745269,0.10213,11.232598
5.655979,0.53252,11.067071,5.390944,1.246947,10.764382,5.745515,0.102632,11.23301
5.656242,0.533649,11.069889,5.39126,1.2456,10.765186,5.745627,0.103423,11.233383
5.656191,0.532796,11.071788,5.390993,1.246212,10.770558,5.745692,0.103199,11.233348
5.656085,0.532917,11.074503,5.39103,1.247368,10.780256,5.745627,0.103423,11.233383
5.656473,0.531662,11.077741,5.392878,1.244431,10.779133,5.745272,0.10266,11.232814
5.658177,0.529482,11.086641,5.392871,1.245261,10.783292,5.745641,0.103398,11.23326
5.658499,0.529872,11.089203,5.393681,1.246745,10.788413,5.745655,0.103403,11.233482
5.658455,0.530112,11.092225,5.394035,1.246784,10.794115,5.745395,0.102895,11.232847
5.658449,0.52857,11.094338,5.395513,1.243299,10.799859,5.745529,0.102607,11.232887
5.65954,0.526912,11.099711,5.395873,1.242507,10.801403,5.745351,0.10241,11.232655
5.659942,0.525245,11.105336,5.396715,1.240305,10.805216,5.745597,0.102913,11.233068
5.659801,0.525513,11.107493,5.397514,1.237547,10.808288,5.745488,0.102652,11.232911
5.659298,0.525763,11.109876,5.39804,1.236696,10.8113,5.745531,0.103168,11.233449
5.659163,0.524997,11.111822,5.400554,1.232228,10.821474,5.745329,0.10315,11.233228
5.659292,0.524059,11.114879,5.402867,1.226431,10.825289,5.74595,0.103146,11.23342
5.659723,0.522389,11.118808,5.403112,1.225196,10.826741,5.745774,0.103479,11.233405
5.660167,0.519822,11.123845,5.403537,1.225358,10.827003,5.74546,0.102671,11.232812
5.659682,0.520513,11.125632,5.40402,1.223949,10.829272,5.745463,0.103201,11.233028
5.659302,0.521302,11.127464,5.405079,1.221416,10.831141,5.745682,0.103384,11.233581
5.658573,0.521196,11.129422,5.405351,1.217559,10.83066,5.745408,0.102901,11.23307
5.658345,0.519812,11.130743,5.405488,1.213384,10.833678,5.74526,0.103215,11.233154
5.657915,0.519382,11.133781,5.40472,1.210269,10.833544,5.745422,0.102907,11.233292
5.659405,0.514518,11.141925,5.404664,1.208794,10.839388,5.745405,0.10271,11.232614
5.658543,0.514696,11.143843,5.403916,1.21322,10.851123,5.745446,0.102696,11.232935
5.658435,0.513884,11.145541,5.404624,1.207479,10.86193,5.745531,0.103168,11.233449
5.658388,0.513524,11.147309,5.404967,1.197651,10.864261,5.745364,0.102416,11.232878
5.657997,0.511591,11.148514,5.406006,1.197218,10.872615,5.74569,0.102669,11.233131
5.657756,0.509925,11.150539,5.404727,1.194906,10.87709,5.745448,0.103226,11.233152
5.657775,0.50197,11.156909,5.406917,1.196986,10.882118,5.745553,0.102428,11.232876
5.654659,0.496413,11.155764,5.406624,1.194532,10.884493,5.74568,0.102855,11.233365
5.65432,0.497215,11.158259,5.406971,1.192084,10.881991,5.745709,0.103703,11.233441
5.65475,0.493653,11.158416,5.40728,1.186786,10.879566,5.74545,0.102856,11.233045
5.654118,0.49357,11.161339,5.407244,1.186102,10.883168,5.745488,0.102652,11.232911
5.655824,0.486592,11.168007,5.407798,1.186545,10.896442,5.745733,0.103185,11.233669
5.656949,0.479865,11.166756,5.410633,1.186184,10.894737,5.745178,0.102934,11.233096
5.656349,0.478126,11.16832,5.410378,1.186586,10.897038,5.745476,0.103207,11.233251
5.655812,0.476165,11.169849,5.408108,1.179456,10.893471,5.745583,0.102938,11.233191
5.655378,0.470193,11.17345,5.408313,1.179415,10.895768,5.745463,0.103201,11.233028
5.655316,0.468668,11.1756,5.408313,1.179415,10.895768,5.745611,0.102887,11.232944
5.654459,0.466325,11.178735,5.407583,1.181316,10.89908,5.745652,0.102874,11.233266
5.650902,0.4601,11.177075,5.407675,1.180427,10.901526,5.74546,0.102671,11.232812
5.649944,0.458808,11.178394,5.407675,1.180427,10.901526,5.745696,0.103359,11.233458
5.649378,0.457201,11.179585,5.407547,1.180631,10.902679,5.745518,0.103162,11.233226
5.649525,0.454756,11.181957,5.407007,1.178441,10.902586,5.745583,0.102938,11.233191
5.649544,0.45175,11.185906,5.40634,1.176454,10.903646,5.745353,0.10294,11.232871
5.649767,0.449635,11.191008,5.404468,1.172767,10.902327,5.745555,0.102957,11.233092
5.649176,0.448546,11.192555,5.401243,1.168486,10.912437,5.745534,0.103698,11.233665
5.648597,0.446574,11.193421,5.399065,1.16048,10.911333,5.745679,0.103193,11.233125
5.647466,0.443247,11.194429,5.39789,1.159325,10.917014,5.745474,0.102677,11.233034
5.647646,0.439162,11.198988,5.397495,1.160989,10.921471,5.745367,0.102946,11.233094
5.644185,0.427421,11.198452,5.397447,1.161366,10.926076,5.745625,0.102893,11.233167
5.643664,0.425047,11.199411,5.395781,1.157641,10.927057,5.745518,0.103162,11.233226
5.643279,0.425462,11.202744,5.395667,1.154323,10.930557,5.745545,0.103143,11.233325
5.644704,0.417896,11.205909,5.39338,1.148229,10.927992,5.742941,0.099371,11.228067
5.646288,0.409892,11.204291,5.395798,1.142982,10.928383,5.74302,0.099122,11.227908
5.647439,0.407956,11.208925,5.393337,1.137474,10.931579,5.742861,0.09962,11.228226
5.646777,0.407016,11.21143,5.393128,1.135026,10.932622,5.742497,0.099461,11.22568
5.646953,0.403383,11.213926,5.393043,1.12989,10.935855,5.742679,0.099541,11.226953
5.646257,0.397197,11.217139,5.395284,1.123082,10.947114,5.744259,0.103394,11.230501
5.645342,0.39128,11.219357,5.394616,1.121097,10.948177,5.745445,0.104437,11.232109
5.642117,0.383574,11.217644,5.39471,1.120201,10.950615,5.741959,0.099828,11.223576
5.641601,0.382661,11.219827,5.395531,1.1174,10.949749,5.74188,0.100077,11.223735
5.641435,0.378867,11.224255,5.397059,1.111486,10.963342,5.743432,0.101278,11.227888
5.64062,0.375517,11.224614,5.394753,1.106296,10.973411,5.743287,0.101751,11.228082
5.640413,0.373962,11.226507,5.39387,1.093939,10.970422,5.745749,0.104192,11.232853
5.64133,0.371569,11.231298,5.39524,1.087334,10.975346,5.74567,0.104442,11.233012
5.639483,0.366688,11.231074,5.39641,1.083228,10.974622,5.745511,0.10494,11.23333
5.637408,0.358213,11.229575,5.396693,1.08336,10.980357,5.745577,0.104716,11.233294
5.637966,0.354144,11.234134,5.397136,1.08117,10.982941,5.747095,0.108164,11.23504
5.638763,0.35112,11.237862,5.39452,1.080445,10.985935,5.747081,0.108189,11.235163
5.638965,0.347241,11.23829,5.395717,1.074558,10.984977,5.746937,0.108662,11.235357
5.639407,0.345288,11.239785,5.395049,1.072571,10.98604,5.747016,0.108413,11.235199
5.639296,0.343956,11.24127,5.394381,1.070584,10.987104,5.746937,0.108662,11.235357
5.641884,0.333256,11.242751,5.3931,1.06025,10.990353,5.747016,0.108413,11.235199
5.645926,0.321188,11.247283,5.398869,1.044866,11.003371,5.748552,0.109644,11.239477
5.648755,0.313607,11.245578,5.400355,1.041579,11.004797,5.748631,0.109395,11.239319
5.648861,0.310667,11.246389,5.400229,1.041784,11.005945,5.750629,0.112582,11.243663
5.649781,0.30875,11.247473,5.400703,1.040277,11.00494,5.751432,0.114118,11.244685
5.65016,0.306652,11.248899,5.400495,1.042985,11.012679,5.754484,0.120761,11.249087
5.651181,0.304294,11.253046,5.402008,1.029965,11.008778,5.751973,0.117791,11.242974
5.651181,0.301681,11.254607,5.403289,1.02671,11.007912,5.750614,0.113848,11.240913
5.650674,0.298043,11.254783,5.402884,1.015635,11.002354,5.750035,0.111589,11.239538
5.650693,0.294728,11.256118,5.403232,1.01433,11.002495,5.750216,0.110943,11.239556
5.651216,0.28835,11.259385,5.402828,1.0084,11.00362,5.748768,0.109345,11.235581
5.651944,0.282506,11.261506,5.406482,1.000283,11.00777,5.749108,0.108202,11.235282
5.648652,0.269416,11.255592,5.407907,0.99561,11.016364,5.749275,0.107582,11.235424
5.65065,0.260899,11.252351,5.407997,0.992252,11.022159,5.748808,0.109417,11.234514
5.651127,0.25779,11.252706,5.410038,0.987626,11.026024,5.747762,0.112917,11.235536
5.652086,0.254129,11.25358,5.410718,0.986084,11.027312,5.746147,0.113244,11.234693
5.654154,0.25084,11.257459,5.411747,0.983237,11.028743,5.746147,0.113244,11.234693
5.654948,0.247265,11.257397,5.412922,0.979117,11.028025,5.745661,0.115227,11.238278
5.658031,0.238815,11.259217,5.415175,0.971766,11.024149,5.745661,0.115227,11.238278
5.661321,0.23061,11.257242,5.414302,0.969804,11.022921,5.744185,0.111706,11.236163
5.663866,0.227217,11.260362,5.414875,0.967407,11.02436,5.74695,0.116598,11.241316
5.664788,0.224338,11.259859,5.418817,0.972334,11.032621,5.752497,0.098525,11.23343
5.666249,0.220303,11.258929,5.420119,0.968007,11.030756,5.751325,0.097248,11.232774
5.667845,0.214775,11.25772,5.418374,0.964082,11.0283,5.752121,0.095807,11.225819
5.671729,0.20352,11.254975,5.41629,0.957925,11.028053,5.750028,0.102815,11.227866
5.67503,0.196674,11.25988,5.41793,0.942177,11.026362,5.74955,0.103672,11.232034
5.678048,0.187723,11.25625,5.419374,0.928914,11.019013,5.751234,0.099025,11.225453
5.67933,0.184693,11.255408,5.421135,0.924128,11.01714,5.751234,0.099025,11.225453
5.680162,0.182356,11.254255,5.421189,0.917737,11.01827,5.751234,0.099025,11.225453
5.68147,0.180516,11.253832,5.422233,0.911341,11.02206,5.751234,0.099025,11.225453
5.682653,0.178746,11.25279,5.421313,0.904573,11.018733,5.751836,0.09713,11.224246
5.684147,0.178126,11.252684,5.423827,0.893111,11.01845,5.751561,0.097324,11.223254
5.686291,0.176577,11.251962,5.429131,0.875294,11.019695,5.751561,0.097324,11.223254
5.689449,0.172875,11.249734,5.4306,0.874248,11.024796,5.75172,0.097038,11.221864
5.69414,0.169944,11.247449,5.431567,0.872381,11.02549,5.750982,0.095275,11.220805
5.698362,0.174536,11.250013,5.433491,0.86747,11.02417,5.751577,0.094512,11.219019
5.700657,0.173509,11.248839,5.434096,0.86574,11.022013,5.751569,0.09565,11.218444
5.703528,0.170226,11.246784,5.435307,0.862279,11.017699,5.752718,0.100881,11.222765
5.707862,0.160738,11.241421,5.43856,0.852516,11.008198,5.752275,0.102495,11.222586
5.710159,0.159711,11.240247,5.442978,0.839078,11.004267,5.752435,0.102214,11.2212
5.71189,0.160419,11.239961,5.44655,0.835771,11.00491,5.752594,0.101934,11.219814
5.713909,0.162815,11.240144,5.451418,0.842193,11.004781,5.754403,0.096245,11.216189
5.718072,0.168936,11.241903,5.452857,0.837619,11.001751,5.756009,0.091209,11.21772
5.719231,0.167462,11.239832,5.457136,0.838483,11.000076,5.757339,0.086368,11.21826
5.720748,0.166655,11.237293,5.459891,0.836346,10.992566,5.759274,0.079636,11.217597
5.721519,0.169842,11.233991,5.461302,0.837882,10.990524,5.758103,0.084187,11.215663
