pt1_dltres,pt2_dltres,pt3_dltres
0.170847,0.026256,0.094011
0.285098,0.186953,0.023357
0.291261,0.196127,0.003669
0.297019,0.196734,0.003669
0.309007,0.192157,0.114179
0.328950,0.199685,0.090722
0.339640,0.208151,0.084560
0.346103,0.194794,0.170042
0.319448,0.204888,0.080449
0.425312,0.192552,0.029488
0.642891,0.201330,0.021670
0.649254,0.201018,0.009603
0.290736,0.192552,0.142789
0.215057,0.170040,0.174060
0.221649,0.207030,0.126870
0.326381,0.207737,0.079681
0.467607,0.211608,0.079681
0.208042,0.187974,0.078485
0.211389,0.201018,0.163237
0.191925,0.183295,0.163237
0.224206,0.178487,0.178872
0.222260,0.187661,0.151371
0.181475,0.192864,0.160842
0.099193,0.190925,0.133340
0.127113,0.185933,0.133340
0.182618,0.192864,0.254933
0.230487,0.201725,0.443727
0.210031,0.192864,0.520021
0.158065,0.196836,0.125270
0.205324,0.186145,0.106529
0.257871,0.185832,0.137084
0.281110,0.191136,0.138361
0.312907,0.179213,0.292213
0.567245,0.198977,0.272199
0.264747,0.193986,0.153710
0.272967,0.192965,0.066360
0.287912,0.191531,0.063255
0.308277,0.188682,0.012006
0.392225,0.184103,0.056148
0.559413,0.209778,0.213070
0.223976,0.199997,0.017611
0.252499,0.205908,0.080863
0.250333,0.178800,0.093369
0.296678,0.190824,0.122858
0.272214,0.209466,0.391256
0.271704,0.190511,0.262097
0.221104,0.214062,0.210606
0.255534,0.206717,0.128005
0.289304,0.191531,0.115628
0.337616,0.198664,0.233032
0.329282,0.195814,0.070821
0.320850,0.212628,0.192982
0.292944,0.201826,0.028565
0.392124,0.172889,0.109203
0.390878,0.200917,0.316632
0.421361,0.177072,0.536186
0.388134,0.192965,0.801334
0.289920,0.194380,0.068692
0.211891,0.201414,0.209506
0.222937,0.205596,0.335156
0.225108,0.200705,0.386106
0.061133,0.205908,0.366840
0.044657,0.187266,0.366840
0.259864,0.179921,0.478641
0.327542,0.199997,0.680978
0.352154,0.172080,0.680978
0.318118,0.191844,0.743807
0.244081,0.200705,0.653143
0.043721,0.204888,0.625310
0.282090,0.207737,0.671000
0.323226,0.197442,1.109463
0.324417,0.202038,1.362821
0.281930,0.199685,1.586375
0.034592,0.204575,1.616127
0.363362,0.186953,1.722572
0.414142,0.191844,1.749069
0.385778,0.184812,1.778736
0.049171,0.371528,1.671006
0.025283,0.373669,1.466298
0.232828,0.369386,1.527898
0.233929,0.500929,1.355200
0.142945,0.435158,0.927735
0.001655,0.381028,0.074253
0.234923,0.315133,0.102004
0.293884,0.634908,0.100401
0.284434,0.632766,0.190923
0.021243,0.435330,0.540387
0.059173,0.424328,0.391327
0.093674,0.231343,0.033408
0.340674,0.229201,0.077265
0.384734,0.224918,0.089937
0.372067,0.233779,0.114401
0.118210,0.227404,0.393523
0.319755,0.234123,0.392560
0.368737,0.223121,0.102609
0.368601,0.225262,0.074916
0.408154,0.223121,0.047225
0.020168,0.225262,0.339592
0.300089,0.034535,0.118163
0.358563,0.036676,0.044516
0.290722,0.076813,0.107399
0.226933,0.061063,0.121204
0.182644,0.002346,0.026852
0.046496,0.274157,0.000649
0.096626,0.284815,0.053819
0.142917,0.282207,0.264855
0.176332,0.315509,0.188168
0.010655,0.544118,0.374633
0.299279,0.581703,0.527344
0.353972,0.621724,0.070305
0.253322,0.471535,0.059621
0.291573,0.363369,0.075790
0.351077,0.410556,0.081182
0.640324,0.410556,0.009891
0.664087,0.399557,0.157261
0.345810,0.399557,0.289090
0.314484,0.385773,0.280646
0.549944,0.265746,0.496901
0.586344,0.655315,0.193914
0.588685,0.794403,0.298160
0.585412,0.416289,0.281281
0.398327,0.199963,0.154704
0.393076,0.426831,0.072503
0.339413,0.232505,0.088765
0.339548,0.232505,0.129506
0.355085,0.232505,0.460907
0.379775,0.232505,0.422644
0.376046,0.248776,0.349039
0.415096,0.319131,0.619471
0.425489,0.319131,0.130017
0.389476,0.243510,0.234389
0.270476,0.236617,0.342091
0.278973,0.015020,0.422263
0.279372,0.222848,0.471402
0.271291,0.295688,0.569676
0.132238,0.387580,0.675784
0.132640,0.463199,0.484678
0.147735,0.538819,0.475769
0.110959,0.490001,0.676272
0.106580,0.284689,0.634983
0.079500,0.009023,0.694595
0.075607,0.282909,0.770923
0.388475,0.068372,0.686095
0.382495,0.222091,0.798107
0.347529,0.524556,0.599585
0.217596,0.600171,0.287735
0.225936,0.643242,0.228707
0.192620,0.648493,0.054726
0.165925,0.792821,0.593079
0.182218,0.779025,0.642184
0.494011,0.712789,0.754164
0.373175,0.416416,0.078792
0.053479,0.157024,0.210056
0.104911,0.610911,0.335800
0.130207,0.147232,0.119643
0.212850,0.263290,0.174614
0.412509,0.011472,0.023449
0.395858,0.107241,0.242395
0.378113,0.342761,0.180386
0.272646,0.670027,0.105038
0.065892,0.790332,0.105038
0.320050,0.616984,0.055999
0.279716,0.730626,0.181718
0.242842,0.281795,0.193329
0.300404,0.192372,0.179556
0.224450,0.320252,0.153291
0.234155,0.163145,0.125745
0.209865,0.331153,0.119738
0.095331,0.142064,0.092193
0.035778,0.142064,0.329834
0.120023,0.142064,0.246131
0.353065,0.276862,0.448456
0.299468,0.275051,0.371080
0.094255,0.240650,0.018904
0.066428,0.226763,0.267433
0.237330,0.624171,0.102945
