pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
348.287381,742.072862,341.311352,617.231113,367.323348,748.938679,344.855412,630.753512,318.373638,718.061025,336.440565,582.322649
348.322956,742.072862,341.311352,617.231113,366.990000,749.000000,344.693141,630.753512,318.204986,718.061025,336.440565,582.270662
348.394106,742.072862,341.311352,617.373555,367.000000,749.000000,344.990000,631.000000,318.457964,717.936115,336.616046,582.322649
348.536406,741.967468,341.375459,617.563477,367.000000,749.010000,345.010000,631.000000,318.542290,717.936115,336.651142,582.322649
348.571981,741.967468,341.375459,617.563477,367.000000,749.000000,345.000000,631.000000,318.879594,717.936115,336.651142,582.374637
348.714281,741.914772,341.439566,617.610957,367.010000,749.000000,345.000000,630.990000,318.879594,717.936115,336.756431,582.374637
348.821006,741.914772,341.503674,617.705918,367.000000,749.010000,345.000000,631.000000,319.048246,717.936115,336.861719,582.374637
348.963306,741.914772,341.535727,617.753399,367.010000,749.020000,345.000000,631.010000,319.048246,717.811204,337.002104,582.530599
349.105606,741.914772,341.599835,617.800880,367.000000,749.010000,345.000000,631.000000,319.132572,717.686293,337.177585,582.530599
349.354631,741.967468,341.663942,617.800880,367.010000,749.000000,345.000000,630.990000,319.469875,717.686293,337.212681,582.530599
349.568081,741.967468,341.728049,617.800880,367.000000,749.010000,345.010000,630.990000,319.722853,717.811204,337.388162,582.530599
349.674806,741.967468,341.920371,617.895841,367.000000,749.000000,345.000000,631.000000,320.228809,717.936115,337.493450,582.634574
349.781531,742.020165,341.984479,617.943321,366.980000,749.000000,345.000000,631.000000,320.280000,718.040000,337.598739,582.686561
349.888256,742.020165,342.048586,618.085763,367.000000,749.000000,345.000000,630.990000,320.130000,717.820000,337.668931,582.686561
349.994981,742.020165,342.112693,618.228204,367.010000,749.000000,345.000000,630.990000,320.170000,717.700000,337.739124,582.686561
350.066131,742.020165,342.112693,618.228204,366.990000,749.000000,345.000000,631.000000,320.090000,717.460000,338.054989,582.790536
350.208431,742.020165,342.112693,618.228204,366.990000,749.000000,344.990000,631.000000,320.050000,717.210000,338.230470,582.842523
350.315156,742.020165,342.144747,618.228204,367.000000,749.000000,345.000000,630.990000,320.080000,717.120000,338.370855,582.946498
350.350731,742.020165,342.144747,618.228204,367.010000,749.010000,345.000000,630.990000,320.170000,717.060000,338.616528,583.102460
350.457456,742.020165,342.144747,618.228204,367.000000,749.010000,344.990000,631.000000,320.270000,716.990000,338.721817,583.154448
350.493031,742.020165,342.176801,618.228204,367.000000,749.000000,345.000000,631.000000,320.360000,716.930000,338.862201,583.154448
350.528606,742.020165,342.272962,618.228204,367.000000,749.000000,345.010000,631.000000,320.620000,716.980000,338.792009,583.050473
350.635331,742.020165,342.272962,618.228204,366.990000,749.000000,345.000000,631.000000,321.010000,717.110000,339.353548,583.258422
350.670906,742.020165,342.401176,618.133243,367.000000,749.000000,344.990000,631.000000,321.080000,717.040000,339.388644,583.310410
