pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.018288,0.053504,0.045184,0.021399,0.052999,0.046238,0.021309,0.049988,0.044449
0.020537,0.050553,0.044480,0.020505,0.054188,0.045487,0.020416,0.049470,0.046315
0.021583,0.054637,0.049422,0.019165,0.053165,0.043512,0.020498,0.050984,0.044463
0.018623,0.052298,0.044459,0.020820,0.052501,0.046159,0.019625,0.050867,0.047337
0.020981,0.054630,0.046072,0.020790,0.058557,0.049216,0.019633,0.052734,0.046838
0.021701,0.051103,0.044215,0.020675,0.056707,0.049696,0.019175,0.051153,0.044005
0.018879,0.048271,0.044066,0.019392,0.056659,0.047347,0.019254,0.052185,0.047743
0.021417,0.053586,0.044972,0.020355,0.053348,0.045667,0.018108,0.045691,0.041512
0.020456,0.055308,0.048452,0.018660,0.055929,0.047490,0.018612,0.054960,0.048070
0.021846,0.050341,0.044813,0.020387,0.054139,0.047722,0.020366,0.048474,0.042318
0.021254,0.050898,0.044881,0.019028,0.055359,0.046811,0.020029,0.055003,0.048657
0.019285,0.054367,0.046940,0.019368,0.051377,0.043387,0.019659,0.049785,0.043107
0.019470,0.050595,0.045061,0.018753,0.051472,0.045534,0.020238,0.050607,0.044826
0.019559,0.048770,0.042223,0.022771,0.052795,0.045344,0.019082,0.051652,0.045771
0.018746,0.053717,0.044363,0.020444,0.057896,0.052431,0.019610,0.049150,0.043144
0.019622,0.049323,0.042267,0.020058,0.052599,0.046481,0.020478,0.052302,0.045492
0.021262,0.055248,0.047547,0.021106,0.055304,0.044992,0.020434,0.054460,0.048482
0.021264,0.054915,0.046573,0.019597,0.054142,0.046180,0.019481,0.046245,0.044315
0.018915,0.053427,0.043434,0.018837,0.054910,0.046896,0.020177,0.046200,0.041998
0.019490,0.047136,0.043992,0.020958,0.054595,0.048026,0.019500,0.050824,0.045243
0.020711,0.052735,0.048446,0.019019,0.048129,0.042172,0.017716,0.046967,0.041333
0.018118,0.050098,0.044927,0.022263,0.056225,0.048828,0.020598,0.050415,0.043549
0.021818,0.050692,0.045377,0.018979,0.052947,0.044088,0.018440,0.052777,0.045860
0.020998,0.054681,0.047715,0.021492,0.053046,0.045810,0.018913,0.048778,0.044872
0.020281,0.060732,0.052079,0.021184,0.057563,0.049264,0.020240,0.048877,0.044388
0.020473,0.050774,0.044653,0.019709,0.052509,0.042795,0.020066,0.048736,0.043115
0.021294,0.051386,0.045815,0.020559,0.050526,0.046053,0.019265,0.050029,0.044664
0.019682,0.055324,0.048675,0.019946,0.056059,0.048463,0.019704,0.047580,0.045690
0.019027,0.054842,0.049447,0.019901,0.053193,0.044186,0.018457,0.053595,0.048583
0.020801,0.053608,0.049386,0.020197,0.050312,0.045396,0.021224,0.052274,0.047731
0.018879,0.054561,0.048495,0.021244,0.052875,0.045588,0.018971,0.050935,0.045061
0.020776,0.053235,0.044206,0.019707,0.055983,0.047635,0.020155,0.051495,0.045741
0.019127,0.049455,0.044911,0.020821,0.052700,0.043946,0.020642,0.050765,0.046423
0.020965,0.052610,0.047212,0.019880,0.055015,0.049684,0.019406,0.053505,0.047918
0.019785,0.053483,0.048014,0.021069,0.050161,0.042413,0.018734,0.050381,0.048116
0.021082,0.048906,0.043155,0.021078,0.048979,0.042618,0.019302,0.053216,0.044953
0.020669,0.051693,0.047028,0.019149,0.052580,0.045508,0.019322,0.051959,0.046939
0.019669,0.053154,0.047165,0.020695,0.059227,0.050725,0.018946,0.051943,0.046799
0.019606,0.056009,0.046098,0.019591,0.054469,0.047334,0.019240,0.056215,0.049896
0.020988,0.052431,0.045242,0.019820,0.052429,0.044025,0.019824,0.049863,0.046467
0.019424,0.054887,0.045513,0.021582,0.053968,0.047221,0.021032,0.051432,0.047606
0.020732,0.054029,0.045660,0.021258,0.053720,0.046314,0.020091,0.048858,0.044134
0.019304,0.051150,0.045597,0.019118,0.050180,0.044541,0.020058,0.050044,0.045064
0.022129,0.053179,0.046395,0.021104,0.056191,0.050671,0.021716,0.055740,0.049314
0.021151,0.054032,0.050288,0.021068,0.056087,0.049321,0.019120,0.052918,0.046508
0.020958,0.058054,0.048618,0.020734,0.054445,0.046431,0.018450,0.049616,0.046012
0.020092,0.052151,0.042990,0.018742,0.055993,0.050949,0.020249,0.052875,0.047463
0.020475,0.054738,0.047182,0.021353,0.054390,0.047736,0.019709,0.050374,0.045463
0.019989,0.049500,0.044920,0.021310,0.055747,0.046988,0.021177,0.052444,0.047075
0.020035,0.051484,0.045664,0.020842,0.055117,0.047504,0.019294,0.051756,0.049660
0.020572,0.052243,0.046330,0.019185,0.055069,0.044715,0.018410,0.055111,0.046733
0.020715,0.059042,0.048100,0.019504,0.055286,0.046358,0.019992,0.052123,0.046812
0.019618,0.054116,0.046753,0.020765,0.056512,0.044991,0.020255,0.051699,0.046721
0.020137,0.053105,0.044992,0.020251,0.052055,0.045527,0.019386,0.050233,0.045123
0.021154,0.056335,0.052494,0.021238,0.055065,0.048056,0.019177,0.054280,0.049004
0.020374,0.056298,0.047558,0.020556,0.052878,0.048228,0.020570,0.054645,0.050034
0.019975,0.054864,0.045478,0.019839,0.057098,0.048554,0.019372,0.051202,0.046761
0.019250,0.050218,0.042025,0.020317,0.052831,0.046903,0.020137,0.051692,0.042152
0.020451,0.051006,0.045701,0.020332,0.055423,0.048103,0.019646,0.051736,0.045781
0.019932,0.052158,0.044632,0.019025,0.055981,0.048961,0.019526,0.051525,0.045227
0.019447,0.049528,0.042636,0.020034,0.052054,0.041466,0.020571,0.052132,0.045168
0.020126,0.054934,0.048483,0.020365,0.052737,0.043714,0.020330,0.052275,0.046305
0.019433,0.052830,0.045413,0.019786,0.056556,0.045833,0.020360,0.053394,0.048882
0.021396,0.057365,0.048078,0.020048,0.053649,0.047631,0.020352,0.049729,0.044254
0.019296,0.056631,0.048388,0.019312,0.055213,0.050143,0.019928,0.049383,0.046347
0.020324,0.052640,0.045877,0.019854,0.054431,0.046988,0.018803,0.052902,0.048937
0.019963,0.055610,0.049788,0.020028,0.053913,0.047530,0.018202,0.049865,0.043370
0.019809,0.056709,0.049081,0.019971,0.058112,0.049333,0.019548,0.045947,0.042006
0.020145,0.053681,0.045085,0.021173,0.053893,0.047240,0.019285,0.050192,0.046968
0.019586,0.056478,0.048053,0.020418,0.049435,0.045295,0.020748,0.051298,0.046861
0.019763,0.052772,0.045608,0.019456,0.059169,0.052105,0.020500,0.048757,0.044560
0.020086,0.050331,0.046377,0.020339,0.053618,0.045732,0.019814,0.049854,0.045370
0.021062,0.057566,0.050897,0.019717,0.053568,0.045364,0.021050,0.052709,0.046785
0.021124,0.048796,0.043657,0.020468,0.057888,0.049946,0.019078,0.046788,0.041535
0.021618,0.055413,0.049825,0.017880,0.057782,0.046579,0.019161,0.050434,0.041738
0.020520,0.054192,0.046750,0.020441,0.054172,0.048255,0.020646,0.053846,0.050229
0.021649,0.053312,0.048200,0.021214,0.055466,0.046350,0.019533,0.051666,0.046627
0.020509,0.055759,0.048688,0.021920,0.051325,0.044242,0.020008,0.049602,0.045020
0.021358,0.051047,0.048637,0.022782,0.053200,0.046867,0.019219,0.054286,0.047480
0.020404,0.052083,0.044368,0.019564,0.056982,0.050618,0.020718,0.054041,0.048230
0.020755,0.052613,0.046076,0.020693,0.050523,0.043138,0.019182,0.051515,0.047188
0.019401,0.054713,0.047122,0.021582,0.052169,0.046705,0.020024,0.055759,0.048116
0.019632,0.050674,0.042951,0.019528,0.051335,0.046513,0.020721,0.051156,0.046114
0.019382,0.053640,0.046019,0.019813,0.049374,0.045234,0.019841,0.057000,0.050779
0.019900,0.053768,0.047964,0.019707,0.051919,0.044022,0.019712,0.048151,0.043642
0.019981,0.054916,0.045515,0.017839,0.053113,0.045656,0.019754,0.049896,0.041552
0.021162,0.052233,0.048733,0.018802,0.054477,0.047135,0.021282,0.054230,0.047058
0.019388,0.050053,0.044959,0.020709,0.052534,0.044599,0.018949,0.050254,0.046107
0.020242,0.054662,0.047639,0.019690,0.059173,0.050755,0.019846,0.049037,0.044639
0.021392,0.050675,0.043083,0.019934,0.054154,0.047002,0.019415,0.048159,0.044226
0.020484,0.054680,0.047421,0.019549,0.050368,0.044840,0.021174,0.051347,0.049736
0.018283,0.049570,0.045393,0.021093,0.051320,0.045423,0.019296,0.051032,0.045742
0.021205,0.058686,0.050253,0.021400,0.051251,0.042926,0.019934,0.050582,0.044236
0.020823,0.053955,0.044220,0.019238,0.057197,0.049707,0.020535,0.051195,0.046436
0.021366,0.052391,0.045148,0.019460,0.053075,0.044329,0.019565,0.052590,0.044418
0.019491,0.055312,0.045305,0.020851,0.052978,0.046639,0.018717,0.051314,0.046134
0.021091,0.054330,0.049389,0.021205,0.057082,0.051201,0.019985,0.058613,0.052458
0.021055,0.055547,0.051444,0.020056,0.056352,0.047525,0.020052,0.053349,0.047034
0.019894,0.054202,0.048585,0.020752,0.052740,0.041351,0.019692,0.051138,0.048375
0.019855,0.056369,0.047304,0.020641,0.055154,0.047545,0.019453,0.052457,0.045320
0.019210,0.052838,0.046027,0.019886,0.052966,0.044106,0.021170,0.051157,0.047315
0.019502,0.058232,0.046689,0.020361,0.054853,0.047599,0.017931,0.047568,0.043355
0.019565,0.055988,0.047366,0.021393,0.053866,0.046180,0.019294,0.051442,0.047266
0.021484,0.058950,0.049906,0.019320,0.051768,0.043573,0.019915,0.054639,0.047822
0.019580,0.054152,0.046813,0.020067,0.050012,0.042662,0.019941,0.050829,0.046988
0.019779,0.051226,0.045754,0.019252,0.055325,0.044975,0.021104,0.049320,0.046228
0.019452,0.052521,0.045554,0.020491,0.053249,0.047065,0.017507,0.050036,0.045992
0.021408,0.052799,0.047020,0.019586,0.052144,0.045293,0.021377,0.050961,0.048595
0.020066,0.051399,0.041708,0.021739,0.053798,0.046813,0.019878,0.056191,0.048631
0.021048,0.049927,0.041631,0.019919,0.057256,0.047399,0.020112,0.050748,0.045829
0.021437,0.054347,0.046826,0.019939,0.053683,0.046350,0.019875,0.055065,0.049003
0.020299,0.053179,0.047155,0.019051,0.056834,0.045867,0.020611,0.051899,0.046101
0.020190,0.055519,0.048260,0.021500,0.052458,0.045530,0.020324,0.052189,0.049566
0.020157,0.057271,0.050604,0.018055,0.053236,0.047735,0.021237,0.048170,0.044818
0.020022,0.049807,0.041165,0.021475,0.050421,0.044136,0.021128,0.049203,0.046049
0.020426,0.053657,0.048022,0.020507,0.056628,0.047402,0.021241,0.049992,0.045138
0.021126,0.049229,0.042228,0.021284,0.051947,0.044114,0.019519,0.052066,0.048539
0.019118,0.053754,0.044893,0.018438,0.058274,0.048464,0.018290,0.053406,0.051282
0.020044,0.052659,0.044501,0.020676,0.052860,0.045945,0.020130,0.048088,0.043776
0.020990,0.055278,0.047375,0.021007,0.051098,0.044191,0.020356,0.050251,0.044075
0.020022,0.058584,0.048829,0.020192,0.051504,0.043570,0.017780,0.051723,0.044465
0.019269,0.052588,0.043893,0.020902,0.052155,0.045129,0.019114,0.050911,0.046818
0.019598,0.055043,0.045861,0.019643,0.050052,0.042408,0.020546,0.051885,0.045047
