pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
10.230940,0.680191,8.072879,10.018955,0.181379,8.015412,10.543171,1.414842,7.897141
10.229410,0.675010,8.072643,10.018990,0.181548,8.015702,10.541567,1.411482,7.896985
10.227876,0.669857,8.072400,10.019024,0.181716,8.015985,10.539939,1.408094,7.896806
10.226338,0.664732,8.072152,10.019056,0.181883,8.016263,10.538286,1.404678,7.896603
10.224796,0.659635,8.071897,10.019087,0.182049,8.016536,10.536609,1.401234,7.896377
10.223250,0.654565,8.071637,10.019116,0.182215,8.016802,10.534907,1.397761,7.896127
10.221700,0.649524,8.071370,10.019144,0.182380,8.017062,10.533181,1.394260,7.895854
10.220146,0.644509,8.071097,10.019170,0.182544,8.017317,10.531430,1.390731,7.895558
10.218588,0.639523,8.070818,10.019195,0.182707,8.017565,10.529654,1.387174,7.895238
10.217026,0.634564,8.070533,10.019218,0.182869,8.017808,10.527854,1.383589,7.894894
10.215460,0.629633,8.070242,10.019239,0.183031,8.018045,10.526029,1.379976,7.894527
10.213890,0.624730,8.069945,10.019259,0.183192,8.018276,10.524180,1.376334,7.894137
10.212316,0.619855,8.069641,10.019278,0.183352,8.018501,10.522306,1.372665,7.893723
10.210738,0.615007,8.069332,10.019295,0.183511,8.018721,10.520408,1.368967,7.893285
10.209156,0.610187,8.069016,10.019310,0.183670,8.018934,10.518485,1.365242,7.892825
10.207570,0.605395,8.068694,10.019324,0.183827,8.019142,10.516537,1.361488,7.892340
10.205979,0.600630,8.068366,10.019336,0.183984,8.019343,10.514565,1.357708,7.891833
10.204385,0.595893,8.068032,10.019347,0.184140,8.019539,10.512568,1.353899,7.891301
10.202787,0.591184,8.067692,10.019356,0.184296,8.019729,10.510547,1.350064,7.890747
10.201184,0.586503,8.067346,10.019364,0.184450,8.019913,10.508501,1.346201,7.890169
