pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
10.228245,0.633865,8.089153,10.55197,1.36848,7.902188,10.019065,0.17108,8.007446
10.227984,0.632823,8.088394,10.553305,1.373184,7.905125,10.023682,0.176908,8.012319
10.227029,0.631023,8.088767,10.548992,1.370405,7.902121,10.019339,0.184543,8.020972
10.224397,0.628999,8.088207,10.547986,1.368819,7.900949,10.019126,0.18502,8.021461
10.224135,0.627957,8.087448,10.545478,1.359321,7.894391,10.019221,0.184792,8.021158
10.222058,0.625539,8.085607,10.544215,1.361753,7.896304,10.019174,0.18447,8.020808
10.220222,0.624151,8.085766,10.54178,1.359391,7.894596,10.019245,0.184771,8.021275
10.21865,0.620849,8.083947,10.539321,1.363168,7.897747,10.019162,0.184473,8.021311
10.216696,0.618322,8.082716,10.536342,1.365095,7.897682,10.019245,0.184771,8.021275
10.214223,0.612459,8.079185,10.533572,1.356318,7.891079,10.019174,0.18447,8.020808
10.211888,0.607748,8.075802,10.529995,1.352912,7.890281,10.019156,0.184997,8.021326
10.208524,0.609459,8.078315,10.525168,1.340863,7.884139,10.019221,0.184792,8.021158
10.206955,0.607865,8.078454,10.523627,1.341709,7.886839,10.019373,0.185391,8.021589
10.204973,0.606572,8.079245,10.523324,1.348071,7.888791,10.019251,0.184769,8.021023
10.202992,0.605279,8.080038,10.521927,1.348816,7.887821,10.019174,0.18447,8.020808
10.202467,0.603192,8.078518,10.517823,1.359088,7.893871,10.019297,0.185091,8.021374
10.201417,0.599017,8.075479,10.51526,1.364912,7.895715,10.019416,0.184842,8.021187
10.200249,0.59666,8.073788,10.512838,1.367677,7.897949,10.019251,0.184769,8.021023
10.199986,0.595616,8.073028,10.508645,1.371192,7.901836,10.019198,0.184449,8.020924
10.199198,0.592483,8.070748,10.506362,1.371026,7.90148,10.019363,0.184522,8.021088
10.198554,0.592215,8.070576,10.503915,1.371843,7.901407,10.019221,0.184792,8.021158
10.197147,0.593498,8.071582,10.503376,1.362549,7.893766,10.019102,0.18504,8.021345
10.196359,0.590365,8.069301,10.493587,1.364516,7.899831,10.019297,0.185091,8.021374
10.194858,0.592234,8.069632,10.492353,1.363581,7.898844,10.019339,0.184543,8.020972
10.193544,0.587011,8.065831,10.490506,1.363738,7.895942,10.019221,0.184792,8.021158
10.193019,0.584922,8.06431,10.487363,1.365851,7.897973,10.019363,0.184522,8.021088
10.191848,0.582564,8.062618,10.486056,1.356063,7.894376,10.019144,0.184492,8.020943
10.190533,0.577339,8.058814,10.481456,1.344994,7.890447,10.019297,0.185091,8.021374
10.188836,0.572889,8.055599,10.480012,1.344191,7.889913,10.019168,0.184472,8.02106
10.187257,0.566615,8.051032,10.478078,1.343918,7.889802,10.019221,0.184792,8.021158
10.186204,0.562431,8.047986,10.478003,1.340542,7.884942,10.019221,0.184792,8.021158
10.185296,0.561116,8.047054,10.477391,1.338918,7.881234,10.019197,0.184812,8.021042
10.183717,0.557805,8.04523,10.471502,1.319113,7.868845,10.019297,0.185091,8.021374
10.182136,0.551525,8.040659,10.467055,1.320187,7.871067,10.019221,0.184792,8.021158
10.179877,0.542451,8.036844,10.464659,1.314164,7.873982,10.019267,0.185113,8.021509
10.178807,0.537,8.03426,10.458415,1.295288,7.864232,10.019215,0.184793,8.02141
10.177425,0.532978,8.034969,10.456981,1.294515,7.8637,10.019245,0.184771,8.021275
10.17571,0.530229,8.034963,10.456434,1.295877,7.866426,10.019197,0.184812,8.021042
10.174875,0.528313,8.03595,10.453439,1.287076,7.863312,10.019273,0.185112,8.021257
10.173137,0.526804,8.037971,10.454468,1.291974,7.867623,10.019078,0.185061,8.021228
10.172071,0.523074,8.037357,10.452535,1.28816,7.866006,10.019297,0.185091,8.021374
10.170591,0.520889,8.038173,10.451359,1.286661,7.865518,10.019124,0.185383,8.021579
10.169224,0.518126,8.038416,10.450135,1.281762,7.864706,10.019148,0.185362,8.021695
10.168213,0.51285,8.037347,10.44862,1.27713,7.862447,10.019043,0.184722,8.021498
10.16544,0.514357,8.041354,10.444959,1.279348,7.867947,10.018879,0.185991,8.020854
10.164491,0.508793,8.039384,10.44304,1.278846,7.86947,10.018931,0.186311,8.020953
10.161282,0.499158,8.035478,10.441236,1.268682,7.865107,10.019732,0.185358,8.017004
10.159123,0.491993,8.032653,10.437705,1.258011,7.858766,10.020057,0.186671,8.01195
10.157379,0.487505,8.031927,10.435591,1.24517,7.85404,10.020134,0.186971,8.012165
10.156644,0.482493,8.032027,10.423935,1.219977,7.861293,10.01951,0.187848,8.012964
10.154532,0.475816,8.027893,10.422265,1.212184,7.853755,10.018207,0.190715,8.015817
10.152996,0.464666,8.022949,10.422104,1.212276,7.854441,10.016144,0.194914,8.020644
10.151569,0.45638,8.022624,10.422104,1.212276,7.854441,10.015863,0.193697,8.019899
10.15057,0.454548,8.025496,10.42152,1.212812,7.851546,10.016875,0.193243,8.018688
10.150115,0.451844,8.025892,10.421682,1.212721,7.850859,10.016851,0.193263,8.018571
10.147513,0.445423,8.027405,10.42011,1.20593,7.843304,10.016875,0.193243,8.018688
10.145155,0.441299,8.031714,10.42011,1.20593,7.843304,10.016675,0.192684,8.018024
10.143104,0.442488,8.037824,10.419203,1.200833,7.841118,10.016851,0.193263,8.018571
10.140333,0.439928,8.043573,10.41747,1.192861,7.839216,10.016823,0.192923,8.018589
10.138249,0.4364,8.046215,10.412946,1.176116,7.827854,10.016847,0.192903,8.018706
10.135235,0.430286,8.04839,10.408858,1.161868,7.81899,10.016775,0.192964,8.018356
