pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
247.871565,635.520563,213.922993,427.775404,243.479614,600.560628,236.004279,393.110159,248.029808,646.275803,207.272682,438.326665
248.000000,636.000000,213.980000,428.000000,243.000000,601.010000,236.000000,393.000000,248.000000,646.020000,207.000000,437.990000
247.990000,636.010000,213.970000,428.000000,243.010000,601.010000,236.000000,393.000000,248.010000,646.010000,207.000000,438.000000
247.990000,636.020000,213.960000,427.990000,243.030000,601.010000,235.990000,393.010000,248.020000,646.010000,206.990000,437.990000
247.990000,636.050000,213.960000,428.010000,243.030000,600.970000,236.000000,393.000000,248.000000,645.990000,207.010000,438.010000
248.000000,636.070000,213.950000,428.010000,243.050000,600.990000,235.980000,393.000000,248.000000,646.000000,207.010000,438.000000
248.010000,636.070000,213.930000,428.020000,243.060000,600.980000,235.980000,392.990000,248.000000,646.030000,207.010000,437.990000
247.990000,636.080000,213.920000,428.020000,243.060000,600.990000,235.970000,392.990000,247.990000,646.040000,207.000000,437.990000
247.990000,636.090000,213.910000,428.030000,243.070000,600.970000,235.960000,392.980000,247.990000,646.010000,207.000000,437.990000
247.980000,636.120000,213.890000,428.030000,243.070000,600.960000,235.950000,392.980000,248.010000,646.000000,207.000000,438.000000
247.970000,636.120000,213.870000,428.030000,243.090000,600.930000,235.950000,392.960000,248.000000,646.000000,207.000000,438.010000
247.970000,636.120000,213.870000,428.030000,243.090000,600.920000,235.930000,392.950000,247.990000,646.010000,207.010000,438.000000
247.950000,636.120000,213.860000,428.020000,243.110000,600.940000,235.920000,392.940000,248.010000,646.010000,207.020000,438.010000
247.940000,636.120000,213.860000,428.000000,243.090000,600.910000,235.910000,392.930000,248.000000,646.010000,207.000000,437.990000
247.930000,636.130000,213.850000,427.990000,243.090000,600.880000,235.900000,392.910000,248.000000,646.020000,207.010000,438.000000
247.910000,636.130000,213.820000,427.990000,243.090000,600.920000,235.890000,392.920000,248.000000,646.010000,207.000000,438.000000
247.890000,636.160000,213.810000,428.000000,243.080000,600.930000,235.890000,392.920000,248.000000,646.010000,207.020000,437.990000
247.880000,636.180000,213.770000,428.010000,243.080000,600.950000,235.870000,392.920000,248.020000,646.020000,207.010000,437.980000
247.870000,636.210000,213.740000,428.020000,243.060000,601.000000,235.860000,392.920000,248.010000,646.020000,207.010000,437.990000
247.840000,636.230000,213.700000,428.030000,243.060000,601.040000,235.840000,392.920000,248.000000,646.010000,207.010000,438.010000
247.820000,636.280000,213.670000,428.030000,243.040000,601.070000,235.820000,392.930000,248.000000,646.020000,207.010000,438.000000
247.810000,636.370000,213.650000,428.040000,243.030000,601.120000,235.780000,392.930000,248.000000,646.010000,207.010000,437.990000
247.820000,636.480000,213.620000,428.060000,243.020000,601.130000,235.760000,392.930000,248.010000,646.020000,207.000000,437.990000
247.760000,636.840000,213.590000,428.070000,243.010000,601.160000,235.740000,392.920000,248.010000,646.010000,207.000000,437.990000
247.710000,636.880000,213.550000,428.110000,242.990000,601.180000,235.690000,392.920000,247.990000,646.040000,207.000000,437.980000
247.720000,636.920000,213.080000,428.540000,242.980000,601.220000,235.670000,392.920000,248.010000,646.010000,207.010000,438.010000
247.720000,636.960000,212.790000,428.810000,242.970000,601.260000,235.460000,393.130000,248.010000,646.010000,207.010000,438.000000
247.650000,636.990000,212.660000,428.890000,242.940000,601.280000,235.250000,393.260000,248.010000,646.020000,207.010000,438.000000
247.600000,637.030000,212.570000,428.950000,242.920000,601.280000,235.150000,393.300000,248.010000,646.000000,207.010000,437.990000
247.560000,637.060000,212.520000,428.980000,242.880000,601.330000,234.130000,394.430000,248.000000,646.010000,207.010000,437.990000
247.460000,637.110000,212.440000,429.040000,242.840000,601.340000,234.000000,394.620000,248.000000,646.000000,207.010000,437.980000
247.210000,637.220000,212.370000,429.080000,242.790000,601.380000,233.990000,394.600000,248.010000,646.010000,207.010000,438.000000
247.170000,637.300000,212.300000,429.120000,242.750000,601.400000,233.990000,394.570000,248.010000,646.000000,207.020000,437.990000
247.070000,637.360000,212.240000,429.170000,242.660000,601.400000,233.980000,394.560000,248.010000,646.000000,207.020000,437.990000
247.020000,637.440000,212.180000,429.240000,242.550000,601.390000,234.010000,394.460000,248.010000,646.010000,207.010000,437.990000
246.870000,637.840000,212.090000,429.320000,242.360000,601.320000,234.060000,394.300000,248.030000,646.010000,207.020000,437.980000
246.800000,637.870000,212.040000,429.370000,242.280000,601.340000,234.050000,394.260000,248.020000,646.020000,207.030000,437.990000
246.760000,637.930000,212.000000,429.420000,242.220000,601.390000,234.020000,394.250000,248.020000,646.030000,207.030000,437.990000
246.700000,638.010000,211.950000,429.490000,242.180000,601.480000,234.000000,394.210000,248.010000,645.990000,207.020000,437.980000
246.670000,638.080000,211.850000,429.740000,242.190000,601.940000,233.960000,394.200000,248.030000,646.010000,207.030000,437.960000
246.650000,638.160000,211.810000,429.810000,242.150000,601.970000,233.920000,394.210000,248.040000,646.010000,207.030000,437.980000
246.600000,638.240000,211.780000,429.860000,242.130000,602.050000,233.900000,394.200000,248.040000,646.000000,207.040000,437.970000
246.610000,638.430000,211.750000,429.910000,242.110000,602.140000,233.870000,394.190000,248.060000,646.000000,207.040000,437.960000
246.570000,638.830000,211.670000,429.960000,242.070000,602.160000,233.810000,394.230000,248.070000,646.030000,207.030000,437.970000
246.530000,638.890000,211.630000,430.010000,242.050000,602.290000,233.790000,394.180000,248.080000,646.020000,207.030000,437.960000
246.400000,638.930000,211.600000,430.020000,242.020000,602.360000,233.730000,394.200000,248.080000,646.050000,207.040000,437.970000
246.340000,638.970000,211.510000,430.100000,241.990000,602.410000,232.140000,396.110000,248.070000,646.030000,207.040000,437.980000
246.390000,639.030000,211.350000,430.230000,241.970000,602.550000,232.040000,396.240000,248.060000,646.040000,207.030000,437.980000
246.390000,639.090000,211.220000,430.320000,241.960000,603.090000,232.030000,396.210000,248.060000,646.050000,207.030000,438.000000
246.400000,639.160000,211.070000,430.510000,241.990000,603.780000,232.060000,396.110000,248.070000,646.070000,207.030000,437.980000
246.350000,639.310000,210.920000,430.790000,241.950000,603.850000,232.030000,396.100000,248.080000,646.050000,207.030000,437.980000
246.400000,639.370000,210.890000,430.820000,241.920000,603.900000,232.030000,396.060000,248.090000,646.060000,207.020000,438.000000
246.370000,639.560000,210.780000,430.910000,241.890000,604.030000,232.010000,396.060000,248.090000,646.070000,207.010000,438.000000
246.320000,639.880000,210.720000,430.970000,241.850000,604.120000,231.980000,396.060000,248.080000,646.060000,207.010000,437.990000
246.350000,639.980000,210.650000,431.030000,241.820000,604.180000,231.970000,396.030000,248.110000,646.080000,207.000000,437.990000
246.370000,640.040000,210.610000,431.110000,241.800000,604.230000,231.940000,396.020000,248.120000,646.100000,207.000000,438.010000
246.380000,640.100000,210.510000,431.230000,241.760000,604.250000,231.920000,396.010000,248.120000,646.090000,206.990000,438.000000
246.380000,640.090000,210.290000,431.510000,241.760000,604.370000,231.880000,396.020000,248.110000,646.120000,207.000000,438.000000
246.410000,640.190000,210.160000,431.780000,241.730000,604.410000,231.860000,396.010000,248.100000,646.110000,207.000000,438.000000
246.460000,640.280000,210.150000,431.820000,241.720000,604.470000,231.820000,396.020000,248.100000,646.090000,207.000000,438.000000
246.530000,640.360000,210.140000,431.860000,241.810000,605.010000,231.800000,396.000000,248.090000,646.090000,207.000000,438.000000
246.530000,640.450000,210.120000,431.910000,241.810000,605.070000,231.750000,396.010000,248.110000,646.120000,207.010000,438.000000
246.470000,640.860000,210.100000,431.940000,241.790000,605.050000,231.930000,395.750000,248.110000,646.080000,207.000000,438.000000
246.400000,640.890000,210.070000,431.990000,241.790000,605.090000,229.790000,398.430000,248.120000,646.040000,207.010000,437.990000
246.450000,640.940000,210.060000,432.000000,241.740000,605.130000,230.090000,398.060000,248.390411,645.848478,207.000000,437.990000
246.560000,640.970000,210.020000,432.040000,241.720000,605.170000,230.100000,398.030000,248.390411,645.848478,207.000000,438.000000
246.690000,641.030000,210.010000,432.090000,241.700000,605.150000,230.090000,398.020000,248.390411,645.848478,206.990000,438.000000
246.720000,641.070000,209.980000,432.170000,241.720000,605.290000,230.090000,398.010000,248.101928,646.062141,206.990000,437.980000
246.730000,641.110000,209.970000,432.230000,241.700000,605.300000,230.070000,398.010000,248.101928,646.168972,206.980000,438.000000
246.740000,641.160000,209.950000,432.250000,241.740000,605.450000,230.050000,398.000000,248.101928,646.168972,207.000000,438.030000
246.800000,641.290000,209.920000,432.330000,241.820000,605.930000,230.030000,397.970000,248.101928,646.168972,207.000000,438.020000
246.820000,641.390000,209.890000,432.420000,241.830000,606.020000,230.010000,397.960000,248.101928,646.168972,206.990000,438.010000
246.840000,641.480000,209.750000,432.730000,241.820000,606.080000,229.980000,397.950000,248.101928,646.168972,206.970000,438.020000
246.820000,641.850000,209.690000,432.870000,241.830000,606.140000,229.950000,397.920000,248.101928,646.168972,206.940000,438.000000
246.830000,641.980000,209.610000,433.010000,241.840000,606.170000,229.910000,397.880000,248.101928,646.168972,206.940000,438.000000
246.860000,642.040000,209.560000,433.180000,241.840000,606.250000,229.880000,397.890000,248.101928,646.168972,206.910000,438.020000
246.920000,642.140000,209.490000,433.310000,241.860000,606.320000,229.830000,397.890000,248.101928,646.168972,206.900000,438.010000
246.930000,642.180000,209.360000,433.500000,241.890000,606.360000,230.060000,397.560000,248.101928,646.168972,206.912079,438.113003
246.930000,642.320000,209.230000,433.820000,241.900000,606.390000,230.010000,397.480000,248.029808,646.168972,206.984199,438.113003
246.950000,642.590000,209.190000,433.910000,241.900000,606.440000,229.050000,398.710000,247.957687,646.168972,207.056320,438.113003
246.950000,642.920000,209.140000,434.050000,241.920000,606.520000,228.960000,398.860000,247.957687,646.168972,207.128441,438.113003
246.990000,642.970000,209.080000,434.180000,241.970000,606.980000,228.930000,398.870000,247.957687,646.168972,207.128441,438.113003
247.000000,643.010000,209.020000,434.330000,241.970000,607.070000,228.910000,398.830000,247.957687,646.168972,207.128441,438.113003
247.040000,643.160000,208.950000,434.520000,241.970000,607.140000,228.860000,398.830000,247.957687,646.168972,207.128441,438.113003
247.060000,643.330000,208.860000,434.880000,241.980000,607.270000,229.110000,398.490000,247.957687,646.168972,207.128441,438.113003
247.120000,643.610000,208.730000,435.030000,241.990000,607.330000,229.020000,398.440000,247.957687,646.168972,207.128441,438.219834
247.190000,643.920000,208.680000,435.250000,241.990000,607.440000,227.980000,399.720000,247.957687,646.168972,206.912079,438.326665
247.200000,644.010000,208.600000,435.440000,242.020000,607.790000,227.880000,399.860000,247.957687,646.062141,206.767837,438.433497
247.210000,644.160000,208.620000,435.770000,242.030000,607.860000,227.830000,399.830000,247.957687,646.062141,206.767837,438.433497
247.210000,644.310000,208.570000,435.860000,242.050000,607.890000,228.080000,399.460000,247.885566,646.062141,206.695716,438.540328
247.220000,644.450000,208.460000,435.890000,242.060000,607.950000,227.220000,400.400000,247.741325,646.168972,206.695716,438.540328
247.350000,644.960000,208.240000,436.020000,242.080000,607.990000,227.020000,400.740000,247.597083,646.168972,206.767837,438.540328
247.310000,644.970000,207.920000,436.240000,242.090000,608.020000,226.990000,400.750000,247.452842,646.168972,206.839958,438.540328
247.350000,645.030000,207.710000,436.310000,242.120000,608.000000,226.960000,400.700000,247.452842,646.168972,206.912079,438.433497
247.360000,645.080000,207.460000,436.490000,242.140000,608.070000,226.930000,400.710000,247.452842,646.168972,207.056320,438.326665
247.370000,645.130000,207.330000,436.800000,242.190000,608.120000,226.910000,400.710000,247.452842,646.168972,207.128441,438.219834
247.400000,645.190000,207.250000,436.870000,242.200000,608.080000,226.880000,400.690000,247.452842,646.062141,207.200561,438.219834
247.360000,645.210000,207.230000,436.830000,242.230000,608.100000,226.870000,400.670000,247.524962,646.062141,207.200561,438.219834
247.300000,645.210000,207.180000,436.790000,242.270000,608.130000,226.790000,400.800000,247.524962,645.955310,207.272682,438.219834
247.250000,645.190000,207.150000,436.790000,242.290000,608.080000,226.780000,400.760000,247.524962,645.955310,207.272682,438.006172
247.220000,645.250000,207.120000,436.820000,242.370000,608.110000,226.760000,400.760000,247.524962,645.955310,207.272682,438.006172
247.150000,645.220000,207.090000,436.800000,242.510000,608.270000,226.650000,400.820000,247.380721,645.955310,207.272682,438.006172
247.120000,645.150000,207.120000,436.730000,242.620000,608.250000,226.610000,400.810000,247.380721,646.168972,207.344803,438.006172
247.110000,645.150000,207.100000,436.650000,242.730000,608.330000,226.460000,400.920000,247.597083,645.848478,207.344803,438.006172
247.060000,645.140000,207.080000,436.520000,242.820000,608.280000,226.140000,401.230000,247.597083,645.848478,207.344803,438.006172
247.030000,645.130000,207.090000,436.220000,242.890000,608.350000,228.100000,396.310000,247.597083,645.848478,207.344803,438.006172
247.000000,645.110000,207.040000,436.170000,242.940000,608.230000,228.050000,396.230000,246.681676,645.886331,207.128441,437.792509
247.000000,645.090000,207.020000,436.100000,243.000000,608.100000,228.030000,396.200000,246.290828,645.800578,207.128441,437.151522
247.020000,645.060000,207.010000,436.020000,243.070000,608.050000,228.030000,396.160000,246.392133,645.952262,207.128441,436.937859
247.010000,645.030000,206.990000,435.950000,243.170000,607.960000,227.980000,396.160000,246.392133,646.255631,207.128441,436.617365
247.000000,645.010000,207.020000,435.930000,243.260000,607.840000,227.960000,396.130000,246.392133,646.407315,207.128441,436.937859
247.000000,644.990000,207.030000,435.890000,243.440000,607.830000,226.640000,397.590000,246.797355,646.407315,207.128441,437.044690
247.060000,644.970000,207.040000,435.900000,243.680000,607.990000,227.020000,397.160000,246.797355,646.407315,207.128441,437.044690
