pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.023310,0.058922,0.058654,0.025810,0.065735,0.067732,0.022654,0.064067,0.060982
0.022002,0.056321,0.058217,0.026907,0.069031,0.069754,0.021493,0.058456,0.056734
0.023843,0.055572,0.059202,0.025883,0.069553,0.070978,0.022805,0.058630,0.059252
0.024041,0.059894,0.058592,0.026014,0.066421,0.068883,0.022160,0.060449,0.057676
0.022960,0.065343,0.062702,0.026661,0.066405,0.067733,0.021259,0.058702,0.059459
0.022673,0.057078,0.060899,0.025760,0.064375,0.068799,0.024633,0.060368,0.059853
0.020860,0.057261,0.058728,0.023746,0.064866,0.065834,0.024449,0.056168,0.056091
0.022065,0.053932,0.055027,0.028438,0.066160,0.074076,0.022817,0.058025,0.059665
0.023222,0.061572,0.062944,0.026268,0.060914,0.062327,0.022028,0.062067,0.062872
0.022295,0.062926,0.063557,0.024766,0.070187,0.073268,0.022581,0.056243,0.060078
0.022371,0.058934,0.060882,0.025916,0.070318,0.070926,0.024088,0.057081,0.056584
0.022374,0.059569,0.060641,0.027388,0.070044,0.072442,0.022822,0.059134,0.054731
0.022288,0.056536,0.060169,0.024144,0.064295,0.070728,0.022048,0.061394,0.061604
0.024241,0.059865,0.061090,0.025618,0.061356,0.064210,0.022221,0.060218,0.060570
0.022634,0.057766,0.058123,0.027394,0.061339,0.065391,0.022739,0.059147,0.056950
0.022977,0.059008,0.058450,0.025299,0.067359,0.068573,0.023056,0.058932,0.056468
0.023350,0.055532,0.056023,0.026164,0.061246,0.066115,0.023009,0.058088,0.059563
0.023921,0.057785,0.057964,0.026691,0.067486,0.068979,0.023596,0.056957,0.055117
0.023855,0.062723,0.062237,0.025256,0.064445,0.068754,0.023142,0.058083,0.056530
0.022382,0.060184,0.062695,0.027082,0.065908,0.068104,0.020724,0.063008,0.060495
0.021889,0.052627,0.054727,0.027278,0.062928,0.067297,0.022358,0.055404,0.051137
0.022423,0.064958,0.063931,0.026003,0.067128,0.069745,0.023598,0.060093,0.058084
0.022136,0.061175,0.061649,0.026160,0.065031,0.067695,0.022647,0.056451,0.054179
0.021304,0.054802,0.055552,0.026619,0.065918,0.068944,0.022397,0.057616,0.057834
0.021459,0.058099,0.059890,0.025524,0.067527,0.069708,0.023831,0.058823,0.057564
0.022226,0.057320,0.058347,0.025640,0.061694,0.067181,0.021499,0.054737,0.055355
0.023057,0.060027,0.058531,0.025310,0.068519,0.072278,0.023243,0.055122,0.053966
0.020801,0.054525,0.057028,0.025191,0.071265,0.071545,0.021838,0.054875,0.056979
0.023426,0.058003,0.059589,0.026652,0.065874,0.065969,0.023750,0.061493,0.063246
0.023987,0.063653,0.065535,0.026195,0.066760,0.067265,0.024436,0.052416,0.055175
0.022477,0.057777,0.057975,0.027570,0.067139,0.071456,0.022677,0.061988,0.059854
0.023008,0.058356,0.057808,0.026578,0.062131,0.067889,0.021454,0.064641,0.063846
0.023247,0.056262,0.058317,0.026634,0.066429,0.067968,0.023860,0.059739,0.059394
0.024375,0.058350,0.058981,0.024100,0.065050,0.067546,0.021414,0.057888,0.055397
0.023150,0.060808,0.062469,0.026931,0.064153,0.065741,0.023060,0.063369,0.061155
0.023634,0.056610,0.060334,0.023193,0.061865,0.066336,0.021992,0.055951,0.054293
0.024396,0.062595,0.064779,0.026996,0.065941,0.068416,0.022945,0.059465,0.060513
0.024039,0.058510,0.058927,0.026677,0.063817,0.070599,0.021345,0.059103,0.058453
0.023095,0.060872,0.062492,0.025818,0.064186,0.069173,0.021830,0.057370,0.056100
0.022749,0.060478,0.061066,0.026345,0.067675,0.069504,0.022340,0.066812,0.063151
0.023231,0.059590,0.057996,0.027952,0.063240,0.068940,0.022737,0.058812,0.060481
0.022534,0.060092,0.062964,0.024776,0.064528,0.068697,0.020555,0.061606,0.062722
0.021506,0.061242,0.061921,0.025538,0.068319,0.070865,0.023716,0.054952,0.055700
0.022197,0.060838,0.059969,0.025778,0.065810,0.067393,0.023171,0.057018,0.055435
0.022309,0.058104,0.060174,0.026550,0.064735,0.064010,0.023446,0.056854,0.060064
