pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
12.989208,0.469440,3.920194,12.748685,1.201448,3.540374,13.082344,0.299179,4.081325
12.990336,0.469500,3.922068,12.750022,1.201082,3.542439,13.082262,0.298346,4.080755
12.991460,0.469531,3.923934,12.751361,1.200681,3.544470,13.082181,0.297532,4.080200
12.992580,0.469532,3.925791,12.752699,1.200245,3.546467,13.082103,0.296738,4.079660
12.993697,0.469504,3.927641,12.754039,1.199774,3.548431,13.082027,0.295963,4.079133
12.994811,0.469445,3.929482,12.755379,1.199269,3.550361,13.081953,0.295209,4.078621
12.995920,0.469357,3.931315,12.756721,1.198728,3.552257,13.081880,0.294474,4.078124
12.997026,0.469238,3.933140,12.758062,1.198152,3.554120,13.081810,0.293758,4.077640
12.998129,0.469090,3.934957,12.759405,1.197542,3.555949,13.081742,0.293063,4.077171
12.999227,0.468912,3.936765,12.760748,1.196896,3.557744,13.081675,0.292387,4.076717
13.000323,0.468705,3.938566,12.762092,1.196216,3.559505,13.081611,0.291731,4.076276
13.001414,0.468467,3.940358,12.763437,1.195501,3.561233,13.081548,0.291094,4.075850
13.002502,0.468200,3.942142,12.764783,1.194750,3.562927,13.081487,0.290477,4.075438
13.003586,0.467902,3.943918,12.766129,1.193965,3.564587,13.081429,0.289880,4.075041
13.004667,0.467575,3.945686,12.767476,1.193145,3.566213,13.081372,0.289303,4.074658
13.005744,0.467218,3.947446,12.768824,1.192290,3.567806,13.081318,0.288745,4.074289
13.006817,0.466832,3.949197,12.770173,1.191400,3.569365,13.081265,0.288207,4.073935
13.007887,0.466415,3.950941,12.771522,1.190475,3.570891,13.081214,0.287689,4.073594
13.008953,0.465969,3.952676,12.772872,1.189515,3.572382,13.081165,0.287190,4.073269
13.010016,0.465492,3.954403,12.774223,1.188520,3.573840,13.081118,0.286711,4.072957
13.011075,0.464986,3.956122,12.775575,1.187490,3.575265,13.081073,0.286252,4.072660
