pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
12.998807,0.471758,3.934304,12.760427,1.184024,3.555229,13.076519,0.294565,4.088152
12.997438,0.468345,3.941962,12.764346,1.198255,3.573815,13.081668,0.288451,4.074119
12.997657,0.468404,3.942164,12.764297,1.197932,3.573521,13.081558,0.288154,4.073842
12.997872,0.46811,3.941921,12.764303,1.197055,3.572854,13.081706,0.287542,4.07317
12.997852,0.468085,3.942644,12.764107,1.197373,3.572375,13.081367,0.288808,4.074236
12.997999,0.467455,3.942402,12.764348,1.19619,3.571603,13.081431,0.288768,4.074222
12.99821,0.46663,3.941803,12.764319,1.195873,3.571016,13.081539,0.288687,4.074486
12.998476,0.467023,3.942298,12.764489,1.195604,3.570924,13.081757,0.288747,4.074688
12.998606,0.466767,3.94236,12.764583,1.195062,3.569967,13.081693,0.288809,4.074272
12.999019,0.46653,3.942612,12.764707,1.194837,3.569597,13.081536,0.288175,4.073703
12.999366,0.466354,3.942445,12.764625,1.194224,3.568285,13.081539,0.288531,4.074147
12.999366,0.466354,3.942445,12.764938,1.193736,3.567529,13.081498,0.289084,4.074652
12.999653,0.466749,3.942648,12.765075,1.192783,3.566835,13.081213,0.288687,4.074451
12.999785,0.467046,3.942635,12.765294,1.193232,3.566621,13.081647,0.288472,4.073981
13.000046,0.467087,3.942684,12.765457,1.193019,3.565666,13.081474,0.288727,4.0745
13.000591,0.466991,3.94258,12.765654,1.192701,3.566145,13.081604,0.288491,4.074133
13.000858,0.467362,3.943506,12.765726,1.193002,3.566578,13.081344,0.288984,4.074437
13.001507,0.466654,3.943312,12.766066,1.192465,3.566394,13.081468,0.288014,4.073613
13.002027,0.466181,3.943487,12.766426,1.192755,3.567448,13.081471,0.288371,4.074056
13.00277,0.466143,3.943877,12.766812,1.192174,3.567542,13.08141,0.288767,4.074514
13.003423,0.465944,3.944471,12.767231,1.192278,3.568238,13.081474,0.288727,4.0745
13.003924,0.465603,3.945711,12.767983,1.191504,3.568304,13.081496,0.288728,4.074209
13.004483,0.464317,3.94657,12.768349,1.191312,3.568274,13.081622,0.288114,4.073828
13.005954,0.464845,3.95281,12.768803,1.19106,3.568371,13.081601,0.288135,4.07369
13.006706,0.465489,3.95452,12.769683,1.190429,3.568081,13.0818,0.288727,4.074535
13.011982,0.453892,3.950565,12.770118,1.190171,3.56847,13.081364,0.28843,4.074223
13.015279,0.446924,3.948596,12.772464,1.18556,3.567671,13.081407,0.288411,4.07407
13.017285,0.446041,3.949301,12.7752,1.181512,3.565961,13.081428,0.28839,4.074209
13.018704,0.445451,3.950173,12.776602,1.179754,3.564848,13.081428,0.288412,4.073779
13.019579,0.44551,3.951072,12.787153,1.157626,3.560461,13.081496,0.288728,4.074209
13.021101,0.446827,3.953773,12.788481,1.156013,3.561697,13.081517,0.288729,4.073917
13.023386,0.453255,3.961612,12.789051,1.157261,3.563185,13.081407,0.288411,4.07407
13.024629,0.45272,3.962901,12.78942,1.158461,3.564179,13.081277,0.288668,4.074007
13.025913,0.454507,3.966044,12.79005,1.161114,3.566447,13.081277,0.288668,4.074007
13.026923,0.454617,3.968311,12.790547,1.165271,3.568706,13.08145,0.288391,4.073918
13.029502,0.456663,3.977412,12.791257,1.172547,3.572031,13.08125,0.287954,4.073411
13.030431,0.457763,3.979489,12.792011,1.174778,3.573819,13.081123,0.288546,4.074221
13.031135,0.458051,3.981338,12.792904,1.175849,3.575431,13.081145,0.288526,4.07436
13.032041,0.45875,3.984124,12.793771,1.176379,3.576777,13.081298,0.288669,4.073715
13.032768,0.457533,3.987497,12.795409,1.174016,3.581778,13.081184,0.288171,4.073334
13.033338,0.45715,3.989345,12.79622,1.174274,3.582601,13.081053,0.287873,4.073348
13.033981,0.457986,3.991991,12.796838,1.174232,3.583684,13.080923,0.288131,4.073285
13.034585,0.456589,3.994416,12.797626,1.173922,3.584675,13.080874,0.287437,4.07255
13.036628,0.455161,4.000079,12.798582,1.173758,3.585356,13.081001,0.286802,4.0726
13.037332,0.45545,4.001926,12.799483,1.17354,3.586521,13.080977,0.286466,4.072017
13.038429,0.458968,4.005736,12.800589,1.172908,3.587296,13.080847,0.28668,4.072814
13.039806,0.458749,4.007201,12.816187,1.137774,3.581518,13.080807,0.287078,4.07298
13.041558,0.453126,4.004904,12.817529,1.135856,3.583733,13.081026,0.287138,4.073182
13.043261,0.449862,4.004139,12.819097,1.134627,3.590774,13.080961,0.287156,4.073626
13.044813,0.445922,4.004289,12.820515,1.13265,3.598582,13.081044,0.286739,4.073308
13.046431,0.443993,4.008671,12.821355,1.133032,3.599883,13.080955,0.286444,4.072739
13.046654,0.441489,4.007819,12.821785,1.133825,3.600845,13.080997,0.285869,4.072664
13.048476,0.439469,4.010193,12.822523,1.134013,3.603068,13.081169,0.285592,4.072574
13.050046,0.439068,4.015641,12.823365,1.134367,3.6048,13.081237,0.28593,4.072574
13.050922,0.436189,4.015473,12.823922,1.134909,3.605825,13.081293,0.284621,4.07175
13.05122,0.434528,4.01603,12.824619,1.134689,3.606261,13.081205,0.284282,4.072042
13.052298,0.431748,4.016116,12.825196,1.135431,3.607101,13.081377,0.284027,4.071523
13.054394,0.426693,4.015219,12.826018,1.134192,3.607996,13.081337,0.284559,4.072458
13.055276,0.422683,4.016882,12.826592,1.134566,3.608819,13.081361,0.284916,4.072611
13.05522,0.420643,4.017056,12.827326,1.133785,3.609176,13.081318,0.284957,4.072333
13.05505,0.417954,4.016509,12.828496,1.129154,3.613269,13.081364,0.285294,4.072624
13.055333,0.417352,4.018065,12.829328,1.127804,3.613103,13.081185,0.284815,4.072687
13.056669,0.418065,4.025511,12.827821,1.132526,3.613601,13.08125,0.284641,4.071903
13.057295,0.419676,4.028042,12.848153,1.08405,3.60589,13.08101,0.284623,4.071132
13.05728,0.417664,4.027206,12.845628,1.092351,3.609128,13.079508,0.275646,4.060369
13.05727,0.412975,4.024116,12.845796,1.093104,3.610038,13.079466,0.275666,4.060522
13.056738,0.408337,4.021698,12.846037,1.093536,3.609966,13.079617,0.275409,4.060294
13.056796,0.406636,4.021913,12.846304,1.092546,3.611155,13.081486,0.284654,4.071357
13.056731,0.406077,4.022863,12.846719,1.092679,3.61142,13.081781,0.284218,4.072917
13.057009,0.405167,4.023115,12.847208,1.090522,3.611698,13.08135,0.284789,4.073831
13.057123,0.402277,4.02371,12.848342,1.086285,3.615057,13.081393,0.284769,4.073679
13.057314,0.400807,4.025204,12.848837,1.085245,3.615394,13.081587,0.284494,4.073298
13.058202,0.396964,4.027395,12.849508,1.084676,3.615674,13.081847,0.284,4.072994
