pt1_dltres,pt2_dltres,pt3_dltres
0.099128,0.231311,0.120152
0.150910,0.102334,0.165831
0.154736,0.103821,0.178202
0.166279,0.098256,0.172730
0.176234,0.076803,0.198694
0.190439,0.090225,0.184900
0.181107,0.090480,0.156087
0.183496,0.095703,0.152234
0.182477,0.086185,0.174763
0.199071,0.076411,0.185712
0.193147,0.069423,0.193419
0.193147,0.063640,0.178813
0.194312,0.085603,0.180018
0.205437,0.064123,0.173340
0.215544,0.051884,0.169881
0.205940,0.073336,0.179625
0.217060,0.079347,0.168871
0.215380,0.089793,0.154467
0.223451,0.122035,0.162174
0.218898,0.147479,0.183675
0.246825,0.156183,0.169881
0.302177,0.183088,0.171106
0.366890,0.184548,0.164408
0.615490,0.207272,0.171918
0.604239,0.207919,0.145950
0.260193,0.231876,0.182252
0.055589,0.081027,0.175968
0.011343,0.037665,0.168458
0.046362,0.088451,0.177193
0.059639,0.996946,0.171106
0.092083,1.144011,0.172331
0.086205,1.111188,0.175968
0.072707,1.083337,0.174958
0.086871,1.092724,0.174958
0.091405,1.047095,0.169683
0.116958,1.016220,0.158319
0.086826,0.990327,0.156282
0.085764,0.962305,0.148773
0.082046,0.880239,0.176183
0.049137,0.536575,0.143516
0.044873,0.535381,0.154662
0.030107,0.476634,0.153653
0.075855,0.412660,0.144523
0.321119,0.442309,0.129092
0.320067,0.320995,0.128894
0.318461,0.299123,0.110416
0.269479,1.824254,0.133142
0.204191,1.826390,0.129289
0.163584,1.406281,0.134349
0.064630,0.814760,0.105339
0.039378,0.768735,0.118935
0.012726,0.710615,0.124807
0.044473,0.622091,0.119532
0.226474,0.567327,0.122179
0.252494,0.510242,0.105127
0.241203,0.476250,0.101255
0.189916,0.465458,0.104715
0.042745,0.390790,0.081374
0.162069,0.363511,0.090306
0.114694,0.335335,0.105325
0.071967,0.091104,0.106747
0.040271,0.118492,0.079140
0.235700,0.304323,0.111412
0.210088,1.830963,0.131508
0.246268,1.508393,0.239095
0.250449,1.460277,0.245380
0.280454,1.474250,0.247615
0.257810,1.359983,0.115637
0.249348,1.359985,0.050216
0.271282,1.239793,0.064601
0.320510,0.853558,0.058317
0.335208,0.782826,0.054266
0.179566,0.739834,0.065020
0.353168,0.681348,0.059154
0.346361,0.641373,0.059154
0.277715,0.594427,0.078426
0.264043,0.550295,0.074376
0.147050,0.256844,0.136410
0.022050,0.194073,0.130553
0.162164,1.145219,0.124697
0.310830,1.196657,0.108582
0.258988,0.857188,0.108582
0.182788,0.769130,0.108582
0.166105,0.727953,0.108582
0.050301,0.359140,0.108582
0.145799,0.301729,0.175721
0.239162,1.257280,0.291202
0.170899,1.100637,0.470794
0.082088,1.039173,0.470794
0.126997,0.725125,0.564303
0.190106,1.462770,0.504590
0.460740,1.688236,0.508990
0.252770,1.677317,0.513391
0.212595,1.663360,0.430141
0.082577,1.620947,0.330778
0.102302,1.580575,0.247528
0.114838,1.603383,0.311641
0.084850,1.573676,0.301382
0.079435,1.644869,0.365494
0.108281,1.656633,0.231222
0.093049,1.626839,0.231222
0.119686,1.548643,0.251743
0.125840,1.550207,0.075172
0.081467,1.576884,0.285071
0.018884,1.867960,0.285071
0.160068,1.722803,0.285071
0.161013,1.678943,0.300984
0.185504,1.604535,0.018258
0.213852,1.602440,0.244345
0.229407,1.538359,0.673582
0.232234,1.475896,0.586135
0.244581,0.280614,0.576676
0.234061,0.791835,0.576676
