pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
815.253915,477.020359,809.394235,590.936590,819.025042,448.173621,836.418634,573.158468,815.060133,499.496170,789.603188,606.220366
815.253915,477.020359,808.990000,590.940000,819.025042,448.173621,836.418634,573.285242,815.000000,498.970000,790.000000,605.980000
815.061593,477.115320,808.910000,590.940000,819.025042,448.173621,836.355247,573.348629,815.000000,498.990000,790.010000,605.990000
814.997486,477.115320,808.840000,590.920000,819.025042,448.173621,836.291860,573.412016,815.000000,498.950000,790.010000,605.980000
814.805164,477.115320,808.780000,590.880000,818.974958,447.973287,836.038312,573.665564,815.010000,499.000000,790.010000,605.970000
814.612842,477.210281,808.720000,590.840000,818.574290,448.073454,835.911538,573.728951,815.000000,498.980000,789.990000,605.990000
814.484627,477.210281,808.650000,590.780000,818.524206,448.123538,835.721377,573.792338,815.030000,498.960000,789.990000,605.980000
814.484627,477.210281,808.550000,590.770000,818.373955,448.173621,835.467829,573.792338,814.980000,498.980000,789.990000,605.990000
814.484627,477.305242,808.210000,590.810000,818.123538,448.223705,835.277668,573.475403,815.010000,498.970000,789.980000,605.990000
814.484627,477.305242,808.120000,590.760000,817.973287,448.273788,835.087507,573.348629,815.010000,498.960000,789.980000,605.970000
814.484627,477.305242,808.050000,590.700000,817.171950,448.323872,834.897346,573.221855,815.010000,498.960000,790.000000,606.010000
814.420520,477.305242,808.060000,590.520000,816.871449,448.323872,834.643798,573.158468,815.000000,498.980000,789.980000,605.970000
814.420520,477.305242,808.000000,590.430000,816.871449,448.323872,834.580411,572.904919,815.030000,498.980000,789.980000,605.970000
814.420520,477.305242,807.890000,590.480000,816.821365,448.323872,834.390250,572.778145,815.000000,498.960000,789.980000,605.970000
814.356413,477.400203,807.800000,590.450000,816.771281,448.373955,834.263476,572.714758,815.000000,498.980000,789.990000,605.990000
814.228198,477.495164,807.670000,590.380000,816.520864,448.424039,834.263476,572.651371,815.000000,498.970000,790.000000,605.960000
814.164091,477.495164,807.410000,590.340000,816.520864,448.424039,834.073315,572.524597,815.000000,498.980000,789.990000,605.950000
814.099984,477.590125,806.990000,590.510000,816.320529,448.524206,833.946541,572.144275,814.990000,498.980000,790.000000,605.980000
814.035876,477.590125,806.800000,590.580000,816.270446,448.524206,833.756380,572.017501,815.000000,498.960000,790.000000,605.980000
813.971769,477.590125,806.570000,590.660000,815.919861,448.674457,833.502832,571.827340,815.010000,498.990000,790.000000,605.980000
813.843554,477.780048,806.170000,590.810000,815.819694,448.724540,833.312671,571.700566,814.980000,498.970000,789.990000,605.990000
813.587125,477.969970,806.010000,590.840000,815.569276,448.824708,833.059122,571.573792,815.020000,498.980000,789.990000,605.980000
813.394803,478.254853,805.870000,590.910000,815.068440,448.924875,832.605080,571.504546,815.010000,498.980000,789.990000,605.950000
813.138374,478.634698,805.660000,590.970000,814.567605,449.025042,832.427005,571.563904,815.010000,498.970000,789.980000,605.970000
813.266588,478.634698,805.300000,591.060000,814.467438,449.075125,831.833422,571.563904,815.000000,498.990000,789.980000,606.010000
813.330696,478.729659,805.180000,591.040000,814.317187,449.075125,831.477272,571.504546,815.010000,498.970000,790.000000,605.970000
813.394803,478.919581,805.010000,591.060000,814.217020,449.075125,831.180481,571.445187,815.010000,498.980000,789.970000,605.980000
813.394803,479.014542,804.840000,591.120000,814.016685,449.075125,831.002406,571.623262,815.020000,498.990000,789.990000,605.980000
813.394803,479.204464,804.630000,591.260000,813.966602,449.175292,830.646256,571.741979,815.000000,498.980000,789.990000,606.010000
813.138374,479.774231,804.200000,591.440000,813.666101,449.325543,830.408823,571.741979,815.000000,498.990000,790.010000,605.970000
813.074267,479.774231,803.950000,591.530000,813.465766,449.475794,830.290106,571.741979,815.010000,498.980000,790.000000,605.960000
813.074267,479.964153,803.750000,591.700000,813.065098,449.726212,829.933957,571.860695,815.010000,498.970000,789.950000,605.980000
813.074267,479.964153,803.370000,591.980000,812.864764,449.976629,829.459090,571.860695,815.000000,498.960000,789.980000,605.950000
813.074267,480.154075,803.060000,592.160000,812.664429,450.277131,828.984224,571.920054,814.990000,499.000000,790.010000,605.980000
813.010159,480.628881,802.890000,592.390000,812.514179,450.477465,828.687432,571.920054,815.010000,498.990000,789.990000,605.980000
812.946052,480.913764,802.690000,592.740000,812.414011,450.577632,828.093849,571.801337,815.010000,498.990000,789.990000,605.980000
812.881945,481.198647,802.240000,592.990000,812.263761,450.777966,827.381550,571.801337,814.990000,498.980000,789.980000,605.980000
812.753730,481.673453,802.020000,593.140000,811.963259,451.228719,826.906684,571.860695,815.000000,498.960000,790.000000,605.990000
812.753730,481.673453,801.870000,593.370000,811.863092,451.378969,826.372459,572.098128,814.990000,498.960000,790.000000,606.000000
812.881945,482.433142,801.650000,593.710000,811.813009,451.579303,825.838234,572.335562,815.000000,498.980000,790.000000,606.000000
812.881945,482.907947,801.190000,593.890000,811.762925,451.829721,825.363368,572.335562,814.990000,498.980000,789.980000,605.980000
812.817837,483.192831,800.980000,594.110000,811.712842,452.080139,824.947860,572.454278,815.010000,498.980000,790.000000,605.990000
812.817837,483.477714,800.700000,594.400000,811.612674,452.280473,824.413635,572.513637,814.990000,498.980000,790.000000,605.950000
812.753730,483.857558,800.240000,594.830000,811.512507,452.530891,824.057485,572.691711,815.000000,498.980000,790.000000,605.970000
812.625515,484.332364,799.940000,594.900000,811.161922,452.981643,823.463902,572.751070,815.000000,498.980000,789.990000,605.990000
812.625515,484.712208,799.580000,595.130000,810.711170,453.582646,822.989036,572.869786,815.000000,498.980000,790.000000,605.970000
812.625515,485.092053,799.170000,595.550000,810.661087,453.833064,822.692244,572.988503,814.980000,498.960000,789.990000,605.990000
812.625515,485.471897,798.860000,595.900000,810.360585,454.383983,822.276736,573.107220,814.980000,498.970000,790.000000,605.970000
812.561408,485.756780,798.550000,596.130000,810.210335,454.834735,821.707634,573.291283,815.010000,498.970000,790.000000,605.950000
812.497301,486.326547,798.080000,596.550000,810.060084,455.235404,821.457499,573.291283,814.990000,498.980000,789.980000,605.970000
812.433193,487.371119,797.770000,596.870000,810.010000,455.435738,821.207363,573.291283,814.990000,498.990000,790.000000,605.980000
812.433193,487.750964,797.360000,597.100000,809.629971,455.922095,820.873849,573.624797,814.980000,498.970000,790.000000,605.950000
812.497301,488.225769,796.970000,597.460000,809.555856,456.218552,820.373579,573.708175,814.970000,498.980000,790.030000,605.910000
812.561408,488.415691,796.610000,597.790000,809.407628,456.737351,819.873308,573.791554,814.990000,498.990000,790.050000,605.930000
812.625515,488.700575,796.100000,598.020000,809.259400,457.182036,819.539794,573.791554,815.000000,498.990000,790.040000,605.920000
812.625515,489.080419,795.810000,598.360000,809.111171,457.478493,819.122902,574.041689,815.010000,499.000000,790.040000,605.900000
812.625515,489.460264,795.330000,598.780000,808.962943,457.626722,818.789388,574.125068,815.030000,498.990000,790.040000,605.880000
812.625515,490.219952,794.990000,599.090000,808.888829,457.923178,817.872225,574.375203,815.060000,499.010000,790.010000,605.910000
812.625515,490.789719,794.800000,599.370000,808.666486,458.441978,817.288576,574.541960,815.070000,499.030000,789.980000,605.900000
812.753730,491.264525,794.170000,599.640000,808.592372,458.812549,816.454791,574.792095,815.020000,499.040000,789.930000,605.980000
812.433193,492.499019,793.710000,600.070000,808.444144,459.109005,816.288034,574.958852,815.030000,499.070000,789.890000,605.980000
812.497301,492.688941,793.230000,600.410000,808.221801,459.776033,815.454250,575.292366,815.010000,499.040000,789.880000,605.960000
812.625515,492.973824,792.840000,600.800000,808.147687,460.739517,814.703843,575.625880,815.090000,499.040000,789.062283,605.739626
812.625515,493.163747,792.350000,601.110000,808.147687,461.035974,814.036816,575.959394,815.160000,498.980000,788.630000,606.280000
812.625515,493.543591,791.950000,601.590000,808.147687,461.035974,813.453167,576.376286,815.190000,498.940000,788.160000,606.900000
812.753730,493.828474,791.650000,602.000000,808.147687,461.258317,812.702760,577.376828,815.180000,498.960000,787.940000,607.080000
812.753730,494.398241,791.090000,602.400000,808.147687,461.628888,812.285868,577.793720,815.100000,498.870000,787.690000,607.300000
813.010159,495.252891,790.780000,602.870000,808.221801,462.147687,811.952354,577.960477,815.010000,498.680000,787.010000,608.000000
812.881945,495.632735,790.230000,603.170000,808.221801,462.592372,812.035733,577.543584,814.950000,498.710000,790.144094,605.899873
812.881945,496.107541,789.780000,603.710000,807.999459,463.185285,811.785597,577.543584,814.920000,498.760000,789.740000,606.170000
812.946052,496.392424,789.270000,603.920000,807.999459,463.555856,810.951813,578.043855,814.930000,498.840000,789.260000,606.600000
812.881945,496.867230,788.990000,604.140000,808.073573,463.926427,809.867893,578.544126,814.940000,498.890000,788.840000,607.030000
812.946052,497.152113,788.560000,604.220000,808.073573,464.445227,809.534379,578.710883,814.940000,498.840000,788.400000,607.180000
812.946052,497.436996,788.350000,604.590000,807.925344,464.741683,808.843126,578.310813,814.970000,498.830000,788.200000,607.170000
812.881945,497.531957,788.040000,604.770000,807.925344,465.112254,809.460048,578.598709,814.950000,498.790000,788.040000,607.110000
812.881945,497.911802,787.810000,604.690000,807.628888,465.631054,809.336663,578.639838,814.880000,498.740000,787.940000,607.000000
812.881945,498.196685,787.780000,604.190000,807.628888,465.853396,809.460048,578.639838,814.780000,498.630000,787.860000,606.910000
812.817837,498.671491,787.860000,603.890000,807.480659,466.001624,809.336663,578.680966,814.650000,498.590000,787.850000,606.810000
812.817837,498.671491,787.910000,603.670000,807.406545,466.075739,809.295535,578.722094,814.290000,498.190000,787.850000,606.630000
812.817837,498.671491,787.990000,603.220000,807.332431,466.149853,808.884254,578.393069,813.910000,497.950000,787.950000,606.050000
812.689623,498.671491,788.040000,603.170000,807.110088,466.298081,808.843126,578.393069,813.900000,497.850000,787.980000,605.980000
812.625515,498.291646,788.020000,603.240000,806.887746,466.372195,808.185076,577.899532,813.970000,497.870000,787.970000,605.990000
812.625515,498.006763,788.100000,603.330000,806.517175,466.520424,808.061692,577.529379,813.920000,497.760000,787.980000,605.980000
812.433193,497.911802,788.100000,603.320000,806.368946,466.520424,807.979436,577.364866,813.900000,497.740000,787.960000,605.990000
812.304979,497.816841,788.220000,603.370000,805.627805,466.668652,807.814924,577.323738,813.970000,497.780000,787.980000,605.980000
812.240871,497.436996,788.210000,603.180000,805.405462,466.446310,807.527027,577.118098,813.910000,497.730000,788.010000,605.980000
