pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.022993,0.055874,0.056307,0.025874,0.058541,0.058783,0.029670,0.069005,0.068175
0.026234,0.060019,0.059553,0.024053,0.051903,0.055331,0.030241,0.065007,0.063880
0.024161,0.054356,0.057367,0.028256,0.056264,0.058579,0.029399,0.071136,0.069054
0.025519,0.051064,0.054382,0.026418,0.056033,0.059715,0.031663,0.071425,0.068824
0.023717,0.054207,0.054739,0.024458,0.054828,0.055971,0.029078,0.066699,0.066452
0.024308,0.056923,0.057894,0.024730,0.051454,0.054925,0.030638,0.071418,0.066735
0.024767,0.055133,0.054132,0.025431,0.059263,0.056806,0.030736,0.067887,0.065618
0.025734,0.056278,0.056211,0.025397,0.057666,0.059976,0.031344,0.065881,0.067413
0.024424,0.054864,0.053161,0.023600,0.054287,0.059398,0.030712,0.064344,0.062938
0.025646,0.057779,0.058463,0.026006,0.054278,0.058714,0.030818,0.071266,0.066007
0.023497,0.055496,0.057776,0.024999,0.055234,0.056350,0.029853,0.073921,0.069015
0.023757,0.061013,0.059200,0.025199,0.057197,0.059586,0.031780,0.067642,0.070988
0.023897,0.058932,0.060202,0.025764,0.053468,0.054463,0.030724,0.067410,0.066995
0.024508,0.056597,0.058841,0.025346,0.055491,0.054300,0.031068,0.075695,0.074090
0.025040,0.056493,0.056965,0.026815,0.051405,0.056126,0.030005,0.066480,0.064264
0.024517,0.056021,0.056358,0.023432,0.054067,0.056096,0.031069,0.073555,0.071520
0.025269,0.054765,0.055935,0.023707,0.052243,0.055530,0.028573,0.065501,0.066752
0.025257,0.055381,0.056610,0.028625,0.055041,0.059257,0.030539,0.065802,0.063728
0.026316,0.055780,0.058669,0.025571,0.052522,0.056477,0.028786,0.073542,0.070334
0.024795,0.054414,0.054452,0.026164,0.052755,0.056854,0.027485,0.059107,0.064070
0.024804,0.055801,0.057330,0.024906,0.057950,0.057779,0.030671,0.071819,0.073661
0.025169,0.057251,0.057657,0.023797,0.057877,0.058243,0.031832,0.071258,0.072839
0.023725,0.054608,0.054654,0.024148,0.056575,0.058995,0.030562,0.068221,0.066053
0.025471,0.050284,0.049771,0.025701,0.056023,0.057692,0.029691,0.066164,0.066367
0.023140,0.052063,0.053152,0.024996,0.055625,0.057677,0.029596,0.071392,0.071325
0.026597,0.059805,0.059651,0.025069,0.058565,0.057642,0.030851,0.062646,0.060056
0.030100,0.056793,0.055123,0.027348,0.057597,0.059169,0.033032,0.071219,0.069970
0.026892,0.054542,0.056716,0.028200,0.057144,0.059858,0.029794,0.071807,0.067620
0.024768,0.056461,0.055661,0.026425,0.056748,0.056638,0.030487,0.073682,0.071016
0.025411,0.057370,0.053802,0.025576,0.055575,0.059003,0.030963,0.069825,0.067729
0.027193,0.057634,0.058221,0.024239,0.056009,0.057776,0.031139,0.069656,0.066800
0.024939,0.057906,0.059281,0.026685,0.053804,0.055765,0.028144,0.069247,0.069006
0.024086,0.055415,0.057581,0.026982,0.057759,0.059490,0.030093,0.064702,0.063666
0.026696,0.061808,0.063367,0.026876,0.054797,0.055995,0.029189,0.065220,0.062226
0.025114,0.057805,0.055352,0.024843,0.055986,0.058745,0.029718,0.067996,0.065422
0.024869,0.057327,0.055765,0.025127,0.056513,0.060162,0.032434,0.070871,0.067571
0.026486,0.057936,0.059952,0.026398,0.052923,0.054050,0.030488,0.067895,0.066531
0.025575,0.060671,0.062982,0.027381,0.057303,0.058828,0.030773,0.071242,0.068220
0.024915,0.058999,0.057980,0.024697,0.057026,0.057861,0.026773,0.065512,0.063958
0.026771,0.058870,0.058810,0.025380,0.058605,0.062282,0.032436,0.071563,0.073987
0.025049,0.050825,0.052305,0.025594,0.054929,0.054266,0.029935,0.071891,0.071620
0.024481,0.056458,0.054522,0.024532,0.056167,0.056371,0.031351,0.069958,0.069834
0.026480,0.054168,0.060643,0.024111,0.055400,0.058253,0.030787,0.067134,0.068337
0.026010,0.058842,0.059417,0.023676,0.059281,0.059115,0.027994,0.063529,0.063251
0.026370,0.057793,0.057655,0.026682,0.055365,0.054503,0.030635,0.068809,0.069775
0.023990,0.053802,0.054689,0.024604,0.057743,0.057357,0.031673,0.068500,0.070580
0.025077,0.061095,0.058800,0.024090,0.052585,0.055291,0.028525,0.072730,0.065853
0.025330,0.056796,0.058094,0.025708,0.052242,0.054684,0.031154,0.074434,0.071806
0.024126,0.056019,0.057286,0.026101,0.053714,0.054836,0.030715,0.068852,0.068247
0.024869,0.052754,0.055547,0.024559,0.055865,0.058780,0.031111,0.070657,0.065448
0.026273,0.056530,0.056905,0.024236,0.055876,0.057985,0.031432,0.075128,0.069643
0.024393,0.058826,0.056196,0.025661,0.058401,0.061622,0.031463,0.070463,0.068658
0.024910,0.055629,0.053302,0.023298,0.053956,0.053021,0.031067,0.068585,0.068286
0.024396,0.054756,0.054817,0.024419,0.056074,0.052937,0.033540,0.070714,0.069010
0.026223,0.052153,0.054245,0.024838,0.056974,0.057026,0.030099,0.072264,0.069486
0.025393,0.054025,0.054985,0.025383,0.051708,0.055056,0.032342,0.069127,0.067586
0.026353,0.056309,0.055205,0.025202,0.056141,0.056084,0.032308,0.064457,0.065038
0.027456,0.058853,0.058694,0.025357,0.055350,0.055367,0.027182,0.066105,0.066175
0.026065,0.060994,0.057763,0.027133,0.053463,0.055105,0.028049,0.069904,0.068469
0.025574,0.058663,0.057032,0.026088,0.055456,0.055510,0.030768,0.069768,0.069242
0.024343,0.055567,0.055423,0.025041,0.059519,0.061546,0.029468,0.067052,0.069295
0.024127,0.056357,0.057673,0.026442,0.056122,0.057859,0.029751,0.070233,0.070270
0.027528,0.055308,0.056383,0.025352,0.060428,0.060759,0.027370,0.065383,0.062063
0.025593,0.059296,0.060626,0.024408,0.056837,0.054935,0.030330,0.071734,0.070436
0.026060,0.060883,0.059954,0.024610,0.053430,0.053959,0.029353,0.068303,0.067391
0.026037,0.055634,0.054964,0.026604,0.055139,0.056910,0.030891,0.072809,0.070933
0.025119,0.057172,0.057944,0.025535,0.054877,0.057101,0.030263,0.069692,0.067218
0.023781,0.055140,0.056296,0.026051,0.055893,0.060236,0.028559,0.068625,0.069131
0.026193,0.059732,0.057647,0.024427,0.058540,0.060822,0.031578,0.063235,0.063537
0.025767,0.057428,0.058152,0.025519,0.054259,0.053853,0.028550,0.069534,0.070340
0.025391,0.057930,0.056601,0.026968,0.058041,0.059961,0.031653,0.068175,0.068042
0.023854,0.059378,0.055395,0.025574,0.055910,0.056658,0.029682,0.072439,0.069038
0.024787,0.054441,0.053427,0.024708,0.053852,0.054310,0.029248,0.070243,0.069659
0.025391,0.056932,0.057406,0.027164,0.056277,0.057605,0.030433,0.073228,0.073186
0.026442,0.054263,0.052100,0.023770,0.059647,0.059261,0.028761,0.069128,0.066964
0.023023,0.056661,0.057678,0.024992,0.056053,0.056620,0.030270,0.066787,0.069579
0.025236,0.058247,0.060452,0.026103,0.057734,0.056563,0.030106,0.067317,0.068494
0.025531,0.053558,0.057201,0.026930,0.056732,0.056285,0.031381,0.072252,0.075954
0.024754,0.056415,0.055206,0.027013,0.053041,0.055307,0.029252,0.073132,0.070016
0.024931,0.056964,0.059154,0.026709,0.055079,0.055551,0.029545,0.066010,0.062326
0.024314,0.056281,0.057614,0.026875,0.058500,0.062391,0.028488,0.068896,0.070552
0.026948,0.060998,0.061841,0.025680,0.053615,0.051937,0.031095,0.066879,0.067569
0.024453,0.054043,0.052456,0.026980,0.061539,0.058390,0.030142,0.070042,0.068870
0.023620,0.060137,0.058717,0.025941,0.055721,0.055753,0.030609,0.072322,0.070847
0.027102,0.064018,0.061424,0.026116,0.054248,0.056165,0.029778,0.069977,0.066915
0.024549,0.056061,0.055367,0.025279,0.055879,0.057633,0.033086,0.073198,0.071862
0.024767,0.054824,0.055954,0.024474,0.055579,0.056776,0.029919,0.075044,0.069822
0.025431,0.061236,0.059674,0.024620,0.055701,0.060986,0.030956,0.063308,0.067739
0.025865,0.054591,0.055574,0.024885,0.058215,0.056591,0.031464,0.074215,0.072805
0.026717,0.058223,0.057596,0.025962,0.055061,0.058247,0.033099,0.072659,0.072242
0.027476,0.055938,0.056754,0.025936,0.059117,0.058999,0.028136,0.064851,0.063405
0.023294,0.057410,0.056071,0.024365,0.053851,0.055573,0.032160,0.070136,0.071093
