pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-0.195369,0.511559,4.536961,-0.477701,1.207802,4.545275,-0.016270,-0.080816,4.574220
-0.192501,0.509773,4.536457,-0.472629,1.208908,4.542812,-0.016694,-0.080789,4.574773
-0.189638,0.507790,4.535964,-0.467562,1.209752,4.540350,-0.017104,-0.080772,4.575303
-0.186780,0.505610,4.535481,-0.462500,1.210335,4.537890,-0.017500,-0.080766,4.575809
-0.183926,0.503234,4.535010,-0.457442,1.210657,4.535432,-0.017882,-0.080770,4.576292
-0.181078,0.500660,4.534548,-0.452389,1.210717,4.532976,-0.018250,-0.080785,4.576750
-0.178234,0.497890,4.534098,-0.447340,1.210516,4.530521,-0.018604,-0.080810,4.577184
-0.175396,0.494922,4.533657,-0.442296,1.210054,4.528067,-0.018944,-0.080847,4.577595
-0.172562,0.491758,4.533228,-0.437256,1.209331,4.525616,-0.019271,-0.080894,4.577982
-0.169733,0.488398,4.532809,-0.432221,1.208346,4.523166,-0.019583,-0.080951,4.578345
-0.166909,0.484840,4.532400,-0.427190,1.207100,4.520717,-0.019882,-0.081019,4.578684
-0.164090,0.481087,4.532003,-0.422164,1.205593,4.518270,-0.020166,-0.081098,4.578999
-0.161276,0.477138,4.531615,-0.417143,1.203826,4.515825,-0.020437,-0.081188,4.579290
-0.158467,0.472993,4.531239,-0.412126,1.201799,4.513382,-0.020693,-0.081288,4.579558
-0.155662,0.468653,4.530873,-0.407113,1.199512,4.510940,-0.020936,-0.081399,4.579802
-0.152863,0.464119,4.530517,-0.402105,1.196966,4.508500,-0.021165,-0.081520,4.580021
-0.150068,0.459390,4.530172,-0.397101,1.194161,4.506061,-0.021380,-0.081652,4.580217
-0.147278,0.454469,4.529838,-0.392102,1.191099,4.503624,-0.021581,-0.081795,4.580389
-0.144494,0.449355,4.529514,-0.387108,1.187781,4.501189,-0.021768,-0.081948,4.580538
-0.141714,0.444050,4.529201,-0.382118,1.184207,4.498755,-0.021941,-0.082112,4.580662
-0.138939,0.438555,4.528899,-0.377132,1.180379,4.496323,-0.022101,-0.082287,4.580762
-0.136168,0.432872,4.528607,-0.372151,1.176299,4.493893,-0.022246,-0.082472,4.580839
-0.133403,0.427002,4.528325,-0.367175,1.171969,4.491464,-0.022377,-0.082668,4.580892
-0.130643,0.420946,4.528054,-0.362203,1.167391,4.489037,-0.022495,-0.082874,4.580921
-0.127887,0.414707,4.527794,-0.357235,1.162566,4.486611,-0.022598,-0.083091,4.580926
-0.125136,0.408287,4.527544,-0.352272,1.157499,4.484188,-0.022688,-0.083319,4.580907
-0.122391,0.401689,4.527305,-0.347314,1.152191,4.481765,-0.022764,-0.083558,4.580865
-0.119650,0.394914,4.527077,-0.342360,1.146647,4.479345,-0.022825,-0.083807,4.580798
-0.116914,0.387965,4.526859,-0.337411,1.140869,4.476926,-0.022873,-0.084067,4.580708
-0.114183,0.380847,4.526652,-0.332466,1.134863,4.474508,-0.022907,-0.084337,4.580594
-0.111456,0.373561,4.526455,-0.327525,1.128631,4.472093,-0.022927,-0.084618,4.580455
-0.108735,0.366113,4.526269,-0.322590,1.122178,4.469679,-0.022933,-0.084910,4.580294
-0.106019,0.358504,4.526093,-0.317658,1.115510,4.467266,-0.022926,-0.085212,4.580108
-0.103307,0.350741,4.525928,-0.312732,1.108632,4.464855,-0.022904,-0.085525,4.579898
-0.100600,0.342826,4.525774,-0.307809,1.101549,4.462446,-0.022868,-0.085849,4.579665
-0.097899,0.334765,4.525630,-0.302892,1.094267,4.460039,-0.022819,-0.086183,4.579407
-0.095202,0.326562,4.525497,-0.297978,1.086792,4.457633,-0.022755,-0.086528,4.579126
-0.092510,0.318223,4.525374,-0.293070,1.079132,4.455229,-0.022678,-0.086883,4.578821
-0.089823,0.309752,4.525262,-0.288165,1.071293,4.452826,-0.022586,-0.087250,4.578492
-0.087140,0.301157,4.525161,-0.283266,1.063282,4.450425,-0.022481,-0.087626,4.578140
-0.084463,0.292442,4.525070,-0.278371,1.055106,4.448026,-0.022362,-0.088014,4.577763
-0.081791,0.283613,4.524989,-0.273480,1.046774,4.445628,-0.022229,-0.088412,4.577362
-0.079123,0.274678,4.524920,-0.268594,1.038293,4.443232,-0.022082,-0.088821,4.576938
-0.076460,0.265643,4.524860,-0.263712,1.029671,4.440837,-0.021921,-0.089240,4.576490
-0.073803,0.256514,4.524812,-0.258835,1.020917,4.438445,-0.021746,-0.089670,4.576018
-0.071150,0.247299,4.524774,-0.253962,1.012040,4.436053,-0.021557,-0.090111,4.575522
-0.068502,0.238005,4.524746,-0.249094,1.003047,4.433664,-0.021355,-0.090562,4.575002
-0.065858,0.228639,4.524730,-0.244231,0.993948,4.431276,-0.021138,-0.091024,4.574459
-0.063220,0.219210,4.524723,-0.239372,0.984752,4.428890,-0.020907,-0.091497,4.573891
-0.060587,0.209724,4.524728,-0.234517,0.975467,4.426505,-0.020663,-0.091980,4.573300
-0.057958,0.200190,4.524743,-0.229667,0.966104,4.424122,-0.020404,-0.092474,4.572685
-0.055335,0.190616,4.524768,-0.224822,0.956671,4.421741,-0.020132,-0.092979,4.572046
-0.052716,0.181009,4.524804,-0.219981,0.947177,4.419361,-0.019846,-0.093494,4.571383
-0.050102,0.171378,4.524851,-0.215145,0.937633,4.416983,-0.019546,-0.094020,4.570696
-0.047493,0.161731,4.524908,-0.210313,0.928047,4.414607,-0.019232,-0.094556,4.569986
-0.044889,0.152076,4.524976,-0.205485,0.918429,4.412232,-0.018904,-0.095103,4.569251
-0.042290,0.142421,4.525054,-0.200662,0.908787,4.409859,-0.018562,-0.095661,4.568493
-0.039696,0.132774,4.525143,-0.195844,0.899132,4.407487,-0.018206,-0.096229,4.567711
-0.037107,0.123143,4.525243,-0.191030,0.889472,4.405117,-0.017836,-0.096808,4.566905
-0.034522,0.113537,4.525353,-0.186221,0.879817,4.402749,-0.017452,-0.097398,4.566075
-0.031942,0.103962,4.525474,-0.181416,0.870175,4.400382,-0.017055,-0.097998,4.565221
-0.029368,0.094426,4.525605,-0.176616,0.860555,4.398017,-0.016643,-0.098609,4.564344
-0.026798,0.084937,4.525747,-0.171820,0.850965,4.395654,-0.016218,-0.099231,4.563442
-0.024233,0.075502,4.525900,-0.167029,0.841414,4.393292,-0.015778,-0.099863,4.562517
-0.021673,0.066128,4.526063,-0.162242,0.831910,4.390932,-0.015325,-0.100506,4.561568
-0.019118,0.056821,4.526236,-0.157460,0.822459,4.388573,-0.014858,-0.101160,4.560595
-0.016567,0.047588,4.526421,-0.152682,0.813070,4.386217,-0.014377,-0.101824,4.559598
-0.014022,0.038435,4.526615,-0.147909,0.803749,4.383861,-0.013882,-0.102499,4.558577
-0.011481,0.029367,4.526821,-0.143140,0.794503,4.381508,-0.013373,-0.103184,4.557533
-0.008946,0.020389,4.527037,-0.138376,0.785338,4.379156,-0.012850,-0.103880,4.556464
-0.006415,0.011508,4.527263,-0.133616,0.776259,4.376806,-0.012313,-0.104587,4.555372
-0.003889,0.002727,4.527501,-0.128861,0.767271,4.374457,-0.011762,-0.105304,4.554256
-0.001368,-0.005950,4.527748,-0.124111,0.758380,4.372110,-0.011197,-0.106033,4.553116
0.001148,-0.014518,4.528007,-0.119365,0.749589,4.369765,-0.010619,-0.106771,4.551952
0.003659,-0.022974,4.528276,-0.114623,0.740903,4.367421,-0.010026,-0.107521,4.550764
0.006165,-0.031316,4.528555,-0.109886,0.732325,4.365079,-0.009420,-0.108281,4.549553
0.008667,-0.039539,4.528845,-0.105153,0.723858,4.362738,-0.008799,-0.109051,4.548317
0.011163,-0.047643,4.529146,-0.100425,0.715504,4.360399,-0.008165,-0.109832,4.547058
0.013655,-0.055625,4.529457,-0.095702,0.707266,4.358062,-0.007517,-0.110624,4.545775
0.016142,-0.063483,4.529779,-0.090983,0.699146,4.355727,-0.006855,-0.111427,4.544468
0.018623,-0.071216,4.530111,-0.086268,0.691144,4.353393,-0.006179,-0.112240,4.543137
0.021100,-0.078823,4.530454,-0.081558,0.683264,4.351060,-0.005489,-0.113064,4.541782
0.023573,-0.086303,4.530808,-0.076853,0.675504,4.348730,-0.004785,-0.113898,4.540404
0.026040,-0.093656,4.531172,-0.072152,0.667866,4.346401,-0.004067,-0.114744,4.539002
0.028502,-0.100880,4.531547,-0.067456,0.660352,4.344073,-0.003335,-0.115599,4.537575
0.030959,-0.107975,4.531932,-0.062764,0.652960,4.341748,-0.002590,-0.116466,4.536125
0.033412,-0.114942,4.532328,-0.058076,0.645692,4.339423,-0.001830,-0.117343,4.534651
0.035860,-0.121780,4.532734,-0.053394,0.638547,4.337101,-0.001056,-0.118230,4.533153
0.038302,-0.128488,4.533152,-0.048715,0.631526,4.334780,-0.000269,-0.119129,4.531632
0.040740,-0.135068,4.533579,-0.044042,0.624629,4.332461,0.000532,-0.120038,4.530086
0.043173,-0.141518,4.534017,-0.039372,0.617855,4.330143,0.001348,-0.120957,4.528517
0.045601,-0.147839,4.534466,-0.034707,0.611205,4.327827,0.002177,-0.121888,4.526924
