pt1_X,pt1_Y,pt1_Z,,,,,,
-0.183515,0.495049,4.556533,-0.455078,1.197015,4.527540,-0.017904,-0.096320,4.577169
-0.182445,0.483021,4.545907,-0.455039,1.197365,4.529730,-0.020480,-0.082173,4.578453
-0.178449,0.485667,4.549325,-0.454874,1.195718,4.529164,-0.020414,-0.081875,4.579139
-0.177153,0.485266,4.548587,-0.454708,1.194072,4.528598,-0.020601,-0.081826,4.578474
-0.173661,0.488590,4.550687,-0.454109,1.189254,4.525079,-0.020546,-0.082243,4.578680
-0.169728,0.491710,4.553937,-0.446372,1.196013,4.533025,-0.020403,-0.082467,4.578484
-0.167329,0.492931,4.553963,-0.444809,1.191920,4.530860,-0.021021,-0.083302,4.577372
-0.167065,0.489923,4.551146,-0.441379,1.188441,4.528183,-0.020054,-0.081905,4.578946
-0.165709,0.479716,4.544006,-0.436456,1.188509,4.523922,-0.020595,-0.083034,4.577865
-0.165481,0.476881,4.540755,-0.433211,1.186496,4.520710,-0.020646,-0.083080,4.577392
-0.165308,0.474612,4.537857,-0.418672,1.201479,4.532098,-0.020694,-0.082334,4.578627
-0.164262,0.476107,4.536447,-0.412886,1.201863,4.531101,-0.020379,-0.082840,4.577867
-0.164123,0.474045,4.533291,-0.412813,1.199336,4.525054,-0.020902,-0.083683,4.577175
-0.163818,0.470918,4.531251,-0.411534,1.194828,4.519004,-0.020471,-0.082799,4.577622
-0.162029,0.469687,4.530962,-0.410153,1.192203,4.516306,-0.020403,-0.082467,4.578484
-0.159027,0.468889,4.530381,-0.405598,1.198450,4.521424,-0.020484,-0.082240,4.578101
-0.157227,0.462760,4.524264,-0.405186,1.192636,4.514250,-0.020412,-0.082600,4.577782
-0.154508,0.452293,4.518723,-0.401056,1.192945,4.510044,-0.020260,-0.081913,4.578806
-0.152868,0.448587,4.516378,-0.399774,1.188437,4.503991,-0.020526,-0.082153,4.578330
-0.151117,0.443718,4.513148,-0.392449,1.189445,4.503725,-0.020562,-0.082496,4.578467
-0.146895,0.435330,4.510408,-0.390063,1.186134,4.499396,-0.020101,-0.081885,4.578823
-0.141117,0.437241,4.514863,-0.384688,1.184815,4.497379,-0.020754,-0.083063,4.577848
-0.136058,0.437917,4.520233,-0.374480,1.184435,4.496724,-0.020586,-0.082881,4.577551
