pt1_dltres,pt2_dltres,pt3_dltres
0.030764,0.080482,0.090579
0.071906,0.166787,0.193374
0.053601,0.225853,0.184186
0.066038,0.284919,0.204451
0.079730,0.663221,0.162467
0.029228,0.726059,0.195877
0.023114,0.790092,0.198617
0.041129,0.840737,0.198536
0.088547,0.673584,0.203778
0.076850,0.622024,0.196926
0.053382,0.660542,0.219246
0.062945,0.722615,0.184718
0.109313,0.565966,0.180730
0.047978,0.534347,0.198255
0.101585,0.496170,0.195877
0.163816,0.453898,0.179753
0.117838,0.415352,0.168635
0.046566,0.148508,0.187935
0.150033,0.116901,0.200143
0.270228,0.001710,0.178507
0.360491,0.060175,0.205305
0.326870,0.115727,0.186409
0.242611,0.047161,0.167306
0.113348,0.039642,0.190157
0.246547,0.168634,0.205191
0.189809,0.238406,0.185235
0.108471,0.286350,0.192660
0.127242,0.479887,0.179640
0.146151,0.589297,0.209498
0.024577,0.589021,0.170565
0.156467,0.545098,0.171655
0.193281,0.601561,0.204352
0.478023,0.579297,0.184634
0.548892,0.563561,0.171936
0.435044,0.523490,0.180969
0.538747,0.537774,0.180969
0.636321,0.601818,0.192857
0.489017,0.498358,0.206954
0.682696,0.706054,0.215094
0.437374,0.872974,0.200227
0.352582,0.829726,0.192857
0.370214,0.852309,0.192087
0.444167,0.904995,0.167503
0.602329,0.959949,0.179795
0.420240,0.892874,0.195877
0.408855,0.748698,0.179795
0.539129,0.741429,0.212074
0.597008,0.595391,0.189222
0.646074,0.579099,0.171614
0.671229,0.391678,0.186047
0.267437,0.325791,0.181166
0.268274,0.359693,0.175601
0.279761,0.351361,0.135535
0.456190,0.202954,0.134807
0.537339,0.006227,0.129128
0.583327,0.100522,0.107409
0.730676,0.160790,0.097898
0.511479,0.369836,0.108189
0.363349,0.308926,0.093895
0.364105,0.446905,0.160562
0.022386,0.421873,0.148771
0.190328,0.436375,0.160576
0.342015,0.209121,0.201112
0.545315,0.401807,0.706815
0.713556,0.830783,1.267799
0.856640,1.547659,1.432304
0.881262,1.684394,1.715192
0.664822,1.519897,2.499783
0.764509,0.915031,0.285975
0.921524,0.606926,0.539548
0.988676,0.904171,0.895048
0.894467,1.253531,1.256077
0.853378,1.099062,1.500345
0.964077,0.819170,1.545527
1.107164,0.610465,1.573767
0.852114,0.358822,1.566605
0.326210,0.177685,1.612751
0.210686,0.156397,1.591463
0.372757,0.154604,1.787532
0.698782,0.006553,1.580987
0.728056,0.066143,1.594974
0.409733,0.257329,1.581395
0.175253,0.527655,1.653248
0.092146,0.598648,1.681180
0.006273,0.584394,1.633058
0.132611,0.471493,1.667506
0.104810,0.365753,1.713133
0.120306,0.047264,1.767099
0.170565,0.003861,2.063391
0.397081,0.013691,2.193426
0.330029,0.217732,2.212645
0.206791,0.127414,2.205243
