pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
885.219869,452.067648,875.938617,604.757941,864.206869,421.714118,885.401133,574.556291,908.969871,476.518410,870.463153,630.954345
884.940000,452.050000,875.940000,605.040000,863.940000,422.070000,884.970000,574.990000,908.960000,477.030000,870.000000,630.970000
884.950000,452.190000,875.880000,605.120000,863.880000,422.160000,884.960000,574.990000,908.990000,477.000000,870.000000,631.040000
884.930000,452.310000,875.810000,605.140000,863.820000,422.230000,884.940000,574.990000,909.010000,477.010000,870.010000,631.000000
884.960000,452.490000,875.740000,605.230000,863.720000,422.250000,884.930000,574.990000,909.000000,477.020000,870.000000,631.010000
885.050000,452.850000,875.650000,605.390000,863.650000,422.330000,884.900000,574.980000,909.000000,477.010000,869.990000,630.990000
885.060000,452.990000,875.390000,605.930000,863.320000,422.120000,884.890000,574.970000,909.000000,477.010000,870.000000,631.010000
885.020000,453.040000,875.220000,605.990000,863.210000,422.140000,884.880000,574.970000,908.990000,477.020000,870.000000,630.990000
885.060000,453.210000,875.160000,606.100000,863.130000,422.200000,884.870000,574.970000,908.970000,477.020000,870.000000,631.010000
885.130000,453.410000,875.110000,606.180000,863.060000,422.240000,884.830000,574.970000,909.000000,477.040000,870.020000,630.980000
885.350000,453.900000,875.060000,606.300000,862.990000,422.270000,884.820000,574.960000,909.010000,477.050000,870.000000,631.030000
885.460000,454.050000,875.040000,606.440000,862.960000,422.350000,884.810000,574.960000,908.990000,477.030000,870.010000,631.010000
885.590000,454.240000,874.950000,606.890000,862.900000,422.390000,884.800000,574.960000,909.010000,477.020000,870.020000,630.970000
885.690000,454.490000,874.930000,606.980000,862.850000,422.440000,884.780000,574.950000,909.010000,477.020000,870.000000,630.990000
885.840000,454.890000,874.910000,607.090000,862.800000,422.490000,884.800000,574.950000,909.020000,477.030000,870.020000,630.970000
885.910000,455.030000,874.850000,607.250000,863.100000,423.110000,884.770000,574.960000,908.990000,477.050000,870.030000,630.990000
885.960000,455.150000,874.780000,607.550000,863.840000,424.310000,884.780000,574.970000,909.000000,477.010000,869.990000,630.990000
885.960000,455.220000,874.680000,607.950000,864.280000,425.120000,884.770000,574.960000,909.010000,477.020000,870.000000,630.990000
886.020000,455.360000,874.650000,608.040000,864.900000,426.140000,884.780000,574.960000,909.000000,477.020000,870.010000,630.980000
886.200000,455.680000,874.590000,608.220000,865.310000,426.910000,884.790000,574.970000,909.010000,477.010000,869.990000,630.980000
886.480000,456.070000,874.430000,608.570000,865.960000,427.910000,882.992426,578.993382,909.000000,477.020000,870.000000,630.970000
886.660000,456.240000,874.350000,608.990000,867.030000,429.400000,882.980000,579.080000,909.010000,477.030000,870.000000,631.000000
886.770000,456.440000,874.300000,609.130000,867.920000,430.840000,883.000000,579.070000,909.000000,477.030000,869.990000,631.000000
887.020000,456.880000,874.250000,609.340000,868.020000,431.050000,883.010000,579.010000,909.020000,477.030000,870.020000,630.980000
887.150000,457.030000,874.150000,609.870000,868.020000,431.130000,883.010000,579.000000,909.000000,477.020000,869.990000,630.980000
887.320000,457.220000,874.140000,610.030000,867.830000,430.900000,883.000000,579.000000,909.020000,477.010000,870.000000,631.020000
887.680000,457.670000,874.140000,610.210000,867.800000,430.920000,882.990000,578.990000,909.000000,477.050000,869.990000,631.000000
887.990000,458.030000,874.150000,610.460000,868.070000,431.320000,882.980000,578.980000,909.000000,477.040000,870.000000,631.000000
888.170000,458.190000,874.120000,610.990000,868.340000,431.770000,882.105008,581.402088,909.000000,476.980000,870.010000,631.030000
888.430000,458.470000,874.120000,611.160000,868.050000,431.510000,881.960000,581.110000,909.010000,477.020000,870.000000,631.000000
888.880000,458.960000,874.090000,611.500000,867.900000,431.320000,881.980000,581.000000,909.000000,477.010000,870.000000,631.020000
889.010000,459.070000,874.060000,611.990000,867.840000,431.290000,881.980000,581.010000,908.990000,477.050000,870.010000,630.980000
889.180000,459.230000,874.060000,612.150000,867.630000,431.070000,881.970000,581.010000,909.010000,477.020000,870.000000,631.010000
889.310000,459.330000,874.050000,612.390000,867.600000,431.090000,881.970000,581.020000,908.990000,477.000000,869.990000,631.000000
889.770000,459.790000,874.000000,612.920000,867.460000,430.940000,881.970000,581.010000,909.000000,477.030000,870.000000,631.020000
890.060000,460.080000,874.000000,613.100000,867.430000,430.970000,881.980000,581.020000,909.010000,477.010000,870.020000,631.020000
890.230000,460.230000,873.980000,613.310000,867.260000,430.850000,881.970000,581.020000,908.990000,477.010000,870.000000,631.020000
890.620000,460.640000,873.930000,613.910000,867.320000,430.930000,881.970000,581.010000,908.990000,477.020000,870.010000,631.030000
891.080000,461.070000,873.940000,614.090000,867.400000,431.100000,881.970000,581.020000,909.000000,477.010000,869.960000,631.000000
891.460000,461.370000,873.920000,614.380000,867.290000,430.970000,881.950000,581.020000,908.990000,477.040000,870.010000,631.010000
891.890000,461.850000,873.860000,614.940000,867.360000,431.090000,881.940000,581.010000,909.010000,477.030000,870.000000,631.000000
892.180000,462.100000,873.920000,615.110000,867.380000,431.090000,881.920000,581.000000,909.000000,477.010000,869.990000,630.990000
892.480000,462.370000,873.910000,615.580000,867.340000,431.080000,881.910000,581.000000,908.970000,477.010000,870.010000,630.980000
892.980000,462.900000,873.890000,616.030000,867.350000,431.080000,881.910000,580.990000,908.990000,477.000000,870.020000,630.950000
