pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.027403,0.059876,0.058124,0.042920,0.087935,0.091381,0.027209,0.057261,0.055963
0.024117,0.053034,0.053723,0.043464,0.088287,0.093104,0.028123,0.060111,0.057882
0.028429,0.061431,0.061891,0.041792,0.086179,0.091260,0.025939,0.055721,0.053858
0.026496,0.052418,0.055371,0.045447,0.083908,0.088172,0.026478,0.055814,0.055150
0.025239,0.052385,0.051416,0.040998,0.080680,0.082904,0.026055,0.056216,0.055681
0.026800,0.058538,0.056294,0.042726,0.093242,0.096049,0.026582,0.061087,0.059581
0.024646,0.050471,0.051202,0.044218,0.086966,0.088435,0.028829,0.061001,0.060254
0.026148,0.052004,0.055298,0.040932,0.085648,0.089700,0.026811,0.058192,0.056836
0.026822,0.054404,0.057865,0.039956,0.085015,0.091316,0.027276,0.054787,0.054608
0.026695,0.055298,0.057896,0.040613,0.084962,0.087047,0.028608,0.057713,0.058491
0.025637,0.054374,0.054185,0.039960,0.084911,0.090568,0.024668,0.053379,0.054506
0.027243,0.058360,0.056920,0.043928,0.096950,0.097824,0.024514,0.055425,0.055132
0.025626,0.052174,0.054457,0.040835,0.085780,0.093651,0.027415,0.056441,0.055314
0.027375,0.056900,0.060111,0.040316,0.085896,0.090481,0.027918,0.055161,0.054693
0.024041,0.054714,0.054814,0.042960,0.091159,0.092199,0.024557,0.053579,0.052133
0.026667,0.056983,0.058554,0.041290,0.084515,0.088379,0.026717,0.060683,0.059312
0.025480,0.056172,0.053713,0.041140,0.081689,0.087803,0.026867,0.056719,0.059236
0.026689,0.048790,0.053503,0.042464,0.089187,0.095375,0.025846,0.060539,0.056636
0.026498,0.055070,0.056769,0.045225,0.088850,0.091066,0.025283,0.058732,0.054439
0.025875,0.055700,0.055851,0.040543,0.091227,0.092291,0.027302,0.055967,0.053905
0.026629,0.050605,0.052035,0.040596,0.085804,0.091397,0.028760,0.057440,0.054807
0.026607,0.054926,0.058808,0.044823,0.092846,0.096302,0.027966,0.055977,0.055789
0.027230,0.055663,0.058694,0.041275,0.082952,0.087677,0.027958,0.058403,0.055693
0.025606,0.055333,0.055618,0.042713,0.087783,0.095443,0.024602,0.056615,0.054242
0.026848,0.057001,0.055294,0.042003,0.088140,0.092951,0.025043,0.057345,0.057071
0.024644,0.052965,0.054156,0.043357,0.078075,0.086376,0.027511,0.055820,0.053656
0.026870,0.052736,0.055282,0.043405,0.093344,0.093576,0.027115,0.058548,0.058774
0.027029,0.052251,0.052106,0.042366,0.087971,0.089165,0.027401,0.058240,0.060919
0.026073,0.054599,0.055555,0.041597,0.086005,0.086658,0.028183,0.055921,0.053976
0.025550,0.053990,0.054802,0.042208,0.088988,0.090270,0.026175,0.056803,0.056206
0.027550,0.056313,0.058839,0.041493,0.087285,0.088702,0.027166,0.055417,0.054550
0.026332,0.057405,0.053788,0.039642,0.084509,0.093599,0.027131,0.056799,0.053865
0.026506,0.055077,0.057176,0.042258,0.084557,0.087169,0.027465,0.060254,0.056336
0.026110,0.053021,0.053951,0.041718,0.085519,0.086647,0.026350,0.054856,0.054936
0.026873,0.060304,0.059185,0.042264,0.090188,0.094350,0.026167,0.061529,0.059981
0.025940,0.054940,0.056448,0.042545,0.081834,0.085752,0.025922,0.059142,0.059395
0.024997,0.056213,0.057713,0.042775,0.083777,0.085701,0.026182,0.055607,0.056344
0.027267,0.054573,0.058651,0.043868,0.085581,0.092468,0.026574,0.055711,0.056162
