pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
-1.629919,0.764556,4.681919,-1.434290,1.567382,4.510506,-1.953855,-0.063495,4.781695
-1.631667,0.758197,4.686287,-1.434901,1.560869,4.514342,-1.953876,-0.064106,4.781780
-1.633470,0.751767,4.690594,-1.435556,1.554282,4.518100,-1.953898,-0.064704,4.781857
-1.635330,0.745268,4.694839,-1.436257,1.547621,4.521778,-1.953920,-0.065290,4.781925
-1.637246,0.738697,4.699023,-1.437003,1.540885,4.525378,-1.953944,-0.065862,4.781985
-1.639219,0.732057,4.703145,-1.437793,1.534075,4.528899,-1.953969,-0.066422,4.782037
-1.641248,0.725346,4.707205,-1.438629,1.527190,4.532341,-1.953995,-0.066968,4.782080
-1.643333,0.718564,4.711203,-1.439509,1.520230,4.535705,-1.954022,-0.067502,4.782115
-1.645475,0.711713,4.715140,-1.440434,1.513197,4.538989,-1.954050,-0.068023,4.782142
-1.647673,0.704791,4.719014,-1.441404,1.506088,4.542195,-1.954079,-0.068531,4.782160
-1.649927,0.697798,4.722828,-1.442419,1.498906,4.545323,-1.954109,-0.069026,4.782169
-1.652237,0.690736,4.726579,-1.443479,1.491650,4.548371,-1.954140,-0.069508,4.782171
-1.654603,0.683604,4.730269,-1.444584,1.484319,4.551341,-1.954172,-0.069977,4.782164
-1.657025,0.676402,4.733897,-1.445734,1.476915,4.554232,-1.954206,-0.070434,4.782148
-1.659503,0.669130,4.737463,-1.446928,1.469437,4.557044,-1.954240,-0.070877,4.782124
-1.662037,0.661789,4.740968,-1.448168,1.461886,4.559778,-1.954275,-0.071308,4.782092
-1.664626,0.654378,4.744411,-1.449452,1.454262,4.562432,-1.954311,-0.071726,4.782052
-1.667269,0.646899,4.747792,-1.450781,1.446566,4.565008,-1.954349,-0.072130,4.782003
-1.669968,0.639352,4.751111,-1.452155,1.438797,4.567505,-1.954387,-0.072522,4.781945
-1.672721,0.631737,4.754369,-1.453574,1.430957,4.569924,-1.954427,-0.072902,4.781879
-1.675528,0.624054,4.757565,-1.455038,1.423045,4.572263,-1.954467,-0.073268,4.781805
-1.678389,0.616305,4.760699,-1.456547,1.415063,4.574524,-1.954509,-0.073621,4.781723
-1.681303,0.608490,4.763772,-1.458101,1.407010,4.576707,-1.954551,-0.073961,4.781632
-1.684269,0.600609,4.766783,-1.459699,1.398888,4.578810,-1.954595,-0.074289,4.781533
-1.687288,0.592664,4.769732,-1.461343,1.390698,4.580835,-1.954639,-0.074604,4.781425
-1.690357,0.584656,4.772619,-1.463031,1.382439,4.582780,-1.954685,-0.074905,4.781309
-1.693477,0.576586,4.775445,-1.464764,1.374113,4.584648,-1.954732,-0.075194,4.781185
-1.696647,0.568454,4.778209,-1.466542,1.365721,4.586436,-1.954779,-0.075470,4.781052
-1.699865,0.560262,4.780911,-1.468365,1.357263,4.588146,-1.954828,-0.075733,4.780911
-1.703131,0.552012,4.783552,-1.470233,1.348741,4.589776,-1.954878,-0.075983,4.780761
-1.706444,0.543705,4.786131,-1.472146,1.340155,4.591329,-1.954929,-0.076221,4.780603
-1.709802,0.535343,4.788648,-1.474104,1.331506,4.592802,-1.954981,-0.076445,4.780437
-1.713205,0.526927,4.791103,-1.476106,1.322796,4.594196,-1.955034,-0.076657,4.780262
-1.716652,0.518459,4.793497,-1.478154,1.314026,4.595512,-1.955088,-0.076855,4.780079
-1.720140,0.509941,4.795829,-1.480246,1.305197,4.596749,-1.955143,-0.077041,4.779888
-1.723669,0.501375,4.798099,-1.482384,1.296310,4.597908,-1.955199,-0.077214,4.779688
-1.727237,0.492763,4.800308,-1.484566,1.287368,4.598987,-1.955256,-0.077374,4.779480
-1.730843,0.484109,4.802454,-1.486793,1.278371,4.599988,-1.955314,-0.077521,4.779263
