pt1_X,pt1_Y,pt1_Z,Tail_X,Tail_Y,Tail_Z,Fly_X,Fly_Y,Fly_Z
-1.664827,0.709683,4.701286,-1.463521,1.506736,4.527072,-1.956977,-0.056377,4.786614
-1.659544,0.717962,4.712194,-1.456202,1.501501,4.533244,-1.953962,-0.071577,4.780736
-1.658923,0.71585,4.713437,-1.454679,1.502521,4.535347,-1.954601,-0.072087,4.780962
-1.657891,0.714081,4.713782,-1.453241,1.503301,4.536953,-1.954975,-0.072477,4.780199
-1.657424,0.711089,4.71497,-1.451336,1.505492,4.53911,-1.954721,-0.072504,4.780447
-1.657106,0.705753,4.717669,-1.449666,1.506189,4.540614,-1.954785,-0.072865,4.779702
-1.655896,0.699094,4.721672,-1.444743,1.514685,4.544931,-1.95477,-0.072483,4.780328
-1.654704,0.695139,4.719675,-1.44266,1.517126,4.547306,-1.954554,-0.072302,4.780312
-1.654461,0.692267,4.721143,-1.440924,1.518719,4.549493,-1.954158,-0.071689,4.781108
-1.654659,0.688747,4.722046,-1.439427,1.519248,4.550438,-1.954667,-0.072024,4.780692
-1.656169,0.680786,4.723795,-1.438022,1.520631,4.551881,-1.954741,-0.072767,4.780941
-1.657319,0.677413,4.725085,-1.437088,1.520916,4.55321,-1.954491,-0.07194,4.781057
-1.658309,0.672299,4.729991,-1.435807,1.522051,4.554726,-1.954964,-0.072289,4.780055
-1.658836,0.668812,4.731803,-1.434653,1.522597,4.555703,-1.95493,-0.072844,4.779871
-1.659535,0.663752,4.734648,-1.433539,1.524312,4.557908,-1.955102,-0.07258,4.779955
-1.659945,0.660313,4.735984,-1.435899,1.514502,4.558013,-1.954426,-0.071425,4.78148
-1.659956,0.657578,4.73971,-1.443398,1.493471,4.556436,-1.954785,-0.072865,4.779702
-1.659175,0.655683,4.744901,-1.447372,1.480292,4.555991,-1.95493,-0.072844,4.779871
-1.659491,0.653186,4.746024,-1.453566,1.462762,4.554865,-1.954759,-0.072295,4.780183
-1.66103,0.646529,4.747431,-1.457185,1.451124,4.555563,-1.954983,-0.073171,4.779304
-1.66382,0.634629,4.747806,-1.459287,1.391306,4.575029,-1.954763,-0.072642,4.779736
-1.665857,0.628452,4.751127,-1.471265,1.360781,4.570464,-1.95487,-0.07283,4.780169
-1.666738,0.624066,4.752212,-1.480321,1.335711,4.568561,-1.954676,-0.072871,4.780119
-1.668965,0.615697,4.754299,-1.481148,1.332875,4.568129,-1.955092,-0.072546,4.780132
-1.670066,0.610624,4.759879,-1.480764,1.332686,4.568917,-1.954746,-0.07292,4.779644
-1.672118,0.605945,4.760949,-1.478452,1.337692,4.570044,-1.955136,-0.072991,4.780065
-1.676391,0.596064,4.761551,-1.477809,1.338098,4.570502,-1.954578,-0.072912,4.780358
-1.680131,0.588217,4.763682,-1.480716,1.330109,4.568967,-1.954633,-0.072579,4.780509
-1.682169,0.583907,4.770147,-1.480797,1.303295,4.586939,-1.954904,-0.072039,4.780594
-1.685439,0.576993,4.770756,-1.476864,1.30625,4.581303,-1.954919,-0.07281,4.780049
-1.691005,0.564257,4.771884,-1.475179,1.310759,4.580953,-1.95476,-0.072448,4.780505
-1.692401,0.561247,4.778151,-1.474236,1.312377,4.58208,-1.954424,-0.072085,4.780762
-1.694609,0.55693,4.779136,-1.471506,1.317905,4.583794,-1.954909,-0.072775,4.780227
-1.696291,0.553752,4.781428,-1.470862,1.318651,4.58486,-1.954636,-0.072538,4.779981
-1.702002,0.540813,4.784793,-1.469072,1.322511,4.585968,-1.954662,-0.072489,4.780745
-1.70577,0.533112,4.785044,-1.468391,1.323524,4.587416,-1.954961,-0.072095,4.780825
