pt1_dltres,pt2_dltres,pt3_dltres
0.099243,0.162341,0.027981
0.342484,0.368026,0.185571
0.317668,0.318680,0.121158
0.271529,0.285264,0.160581
0.226663,0.288343,0.156536
0.106535,0.245317,0.161173
0.448443,0.427535,0.149862
0.504480,0.432008,0.169032
0.476186,0.405526,0.152592
0.400636,0.398668,0.195598
0.138483,0.384027,0.164062
0.124690,0.337192,0.164394
0.312310,0.321312,0.190470
0.198633,0.293039,0.171661
0.008302,0.261444,0.198459
0.013828,0.180901,0.196551
0.150849,1.082884,0.161173
0.404376,1.690615,0.171661
0.372161,2.462140,0.179751
0.272915,3.030235,0.169393
0.255532,0.576360,0.184157
0.426741,1.659399,0.171430
0.387138,2.758346,0.167616
0.216434,2.956404,0.191554
0.488502,3.016803,0.174752
0.451247,2.834033,0.145587
0.225916,2.847584,0.180964
0.113151,3.156987,0.176789
0.354310,1.613107,0.118529
0.249241,1.562484,0.164756
0.102873,1.495064,0.142957
0.356716,1.459836,0.198458
0.337105,1.281020,0.157851
0.420549,1.283404,0.146279
0.428844,1.170505,0.156305
0.320081,1.182119,0.149270
0.346655,1.075758,0.141642
0.446071,1.144456,0.143910
0.218552,1.262449,0.146770
0.171928,1.155154,0.171068
0.194353,1.249471,0.171430
0.090528,1.254018,0.161173
0.196215,1.239259,0.169132
0.090236,1.247496,0.188303
0.072443,1.339869,0.149862
0.180557,1.430085,0.179519
0.164431,1.604820,0.150224
0.242609,2.120979,0.162025
0.350539,2.927720,0.158545
0.113661,2.142095,0.146279
0.269228,2.082069,0.146540
0.186629,1.153193,0.185601
0.099611,0.355961,0.152722
0.137325,0.446666,0.169753
0.044524,0.859176,0.158934
0.114852,1.266377,0.197043
0.259944,1.500005,0.200495
0.199843,1.595538,0.157127
0.206876,1.670958,0.149500
0.325785,1.740711,0.123554
0.206162,1.943341,0.108661
0.367160,2.045850,0.129246
0.295439,1.974735,0.094099
0.180477,2.055443,0.068384
0.430481,1.977038,0.021465
0.319185,2.315515,0.010644
0.190015,3.321620,0.008757
0.420281,0.028215,0.033988
0.366864,0.448701,0.118583
0.319372,0.042906,0.229224
0.445034,0.078394,0.425715
0.429723,0.149350,0.607645
0.288375,0.136175,1.100461
0.465977,0.232609,0.887127
0.658764,0.226990,0.909627
0.713785,0.140386,0.476061
0.453913,0.017507,0.277132
0.426064,0.025927,0.238038
0.413531,0.001990,0.317571
0.332341,0.208913,0.260423
0.379069,0.900917,0.281138
0.377051,1.543043,0.336973
0.390474,2.230677,0.258812
0.308350,2.865728,0.049426
0.354910,2.468852,0.035220
0.411284,2.483680,0.399046
0.631632,2.427235,0.471669
0.363593,2.442800,0.398450
0.328084,2.436307,0.062333
0.339464,2.438240,0.004583
0.293957,2.516035,0.048750
0.510239,2.431228,0.138511
0.761096,2.459447,0.290412
0.815384,2.383329,0.646234
0.802426,2.409742,0.423028
0.789888,2.397729,0.288257
0.769228,2.432995,0.164794
0.764522,2.463566,0.131973
0.740106,2.428318,0.035819
0.721214,2.325727,0.125362
0.689827,2.304117,0.070128
0.423523,1.943304,0.229907
0.397577,1.585853,0.244911
0.374926,1.543428,0.285629
0.379298,1.493029,0.328848
0.419916,1.645554,0.484621
0.419067,1.278663,0.590270
0.416192,0.973180,0.673518
0.409739,0.610397,0.640900
0.404363,0.705884,0.526041
0.407149,1.094326,0.497625
0.675546,1.325994,0.505833
0.658969,1.271936,0.414481
