pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
586.412330,546.643716,599.679717,540.081840,576.998718,520.277342,614.995036,515.427862,599.262888,569.300371,589.823683,563.195680
585.980000,547.050000,599.940000,539.970000,576.998718,520.277342,614.995036,515.427862,599.000000,569.000000,590.000000,562.990000
585.960000,547.060000,599.880000,539.950000,576.998718,520.277342,614.804875,515.427862,599.000000,569.010000,590.000000,562.980000
585.920000,547.070000,599.800000,539.920000,576.891753,520.491273,614.614714,515.047540,599.010000,569.000000,590.010000,562.990000
585.890000,547.080000,599.690000,539.920000,576.891753,520.491273,614.424553,515.047540,599.010000,569.000000,590.010000,563.000000
585.860000,547.100000,599.490000,539.990000,576.784787,520.705204,614.234392,515.047540,598.990000,569.000000,590.020000,562.990000
585.840000,547.140000,599.310000,540.040000,576.356925,520.598238,613.758990,515.047540,599.000000,568.990000,590.000000,562.990000
585.830000,547.190000,599.210000,540.050000,575.180304,519.421617,613.283587,515.142621,599.010000,569.020000,590.000000,562.990000
585.810000,547.200000,599.090000,540.070000,575.180304,519.314651,612.903265,515.237701,599.000000,568.990000,590.010000,562.970000
585.760000,547.210000,599.030000,540.100000,575.180304,519.314651,612.522943,515.427862,599.010000,569.000000,590.000000,562.980000
585.760000,547.260000,598.960000,540.140000,575.180304,519.314651,612.142621,515.522943,599.010000,568.990000,590.010000,562.980000
585.780000,547.340000,598.830000,540.250000,575.180304,519.314651,612.047540,515.522943,599.010000,568.990000,589.990000,562.990000
585.780000,547.420000,598.600000,540.390000,575.180304,519.421617,611.952460,515.522943,599.010000,569.000000,590.000000,562.980000
585.780000,547.520000,598.170000,540.820000,574.966372,519.849479,611.762299,515.522943,599.010000,569.000000,590.000000,562.990000
585.830000,547.720000,598.100000,540.860000,574.966372,519.849479,611.572138,515.522943,599.010000,569.000000,589.990000,562.980000
585.870000,547.810000,598.010000,540.890000,574.966372,519.956445,611.381977,515.142621,599.000000,569.010000,589.990000,562.980000
585.900000,547.910000,597.950000,540.920000,574.859407,520.384307,611.381977,515.142621,599.010000,569.010000,589.990000,562.980000
585.940000,548.010000,597.890000,540.940000,574.538510,520.598238,611.381977,514.762299,599.000000,568.990000,590.000000,562.980000
585.930000,548.090000,597.850000,541.020000,574.679103,521.035655,611.477057,514.762299,599.010000,569.020000,590.010000,562.990000
585.930000,548.250000,597.780000,541.090000,574.607793,520.893034,611.096735,514.762299,598.990000,569.000000,590.010000,562.970000
585.980000,548.450000,597.720000,541.160000,574.607793,521.035655,610.906574,514.762299,599.000000,569.010000,590.000000,562.960000
585.970000,548.820000,597.600000,541.290000,574.607793,521.035655,610.526252,514.762299,599.000000,568.990000,590.000000,562.970000
585.980000,548.960000,597.280000,541.580000,574.536482,521.035655,610.336091,514.857379,599.010000,569.000000,590.000000,562.970000
585.980000,549.290000,597.150000,541.860000,574.536482,521.178276,610.145930,514.952460,598.990000,569.000000,590.010000,562.980000
585.980000,549.680000,597.110000,541.890000,574.536482,521.178276,609.765608,515.047540,599.010000,569.000000,590.010000,562.970000
586.000000,549.920000,597.050000,541.950000,574.108620,521.463518,609.385286,515.047540,598.980000,569.000000,590.020000,562.990000
586.020000,550.070000,597.010000,542.010000,574.037310,521.534828,609.385286,515.332782,599.000000,569.000000,590.000000,562.980000
586.070000,550.260000,596.950000,542.090000,573.894689,521.677449,609.290205,515.332782,599.000000,569.030000,590.010000,562.980000
586.080000,550.490000,596.880000,542.170000,573.680758,521.820069,609.195125,515.522943,599.000000,569.000000,590.000000,562.980000
586.160000,550.840000,596.810000,542.320000,573.823379,521.891380,608.814803,515.522943,599.000000,569.000000,590.000000,562.980000
586.300000,551.000000,596.710000,542.560000,573.823379,521.891380,608.719722,515.522943,598.990000,569.010000,590.000000,562.980000
586.420000,551.140000,596.450000,542.960000,574.037310,522.105311,608.434481,515.522943,599.010000,569.020000,589.990000,562.980000
586.610000,551.460000,596.280000,543.120000,574.037310,522.176621,608.244320,515.522943,599.000000,569.000000,590.000000,562.970000
586.840000,551.930000,596.090000,543.220000,574.108620,522.390553,607.863998,515.618023,598.990000,569.000000,590.000000,562.980000
586.990000,552.120000,596.030000,543.420000,574.179931,522.461863,607.768917,515.618023,599.010000,569.010000,590.000000,562.960000
587.090000,552.280000,595.810000,543.900000,574.108620,523.388898,607.768917,515.713104,599.010000,569.010000,590.010000,562.970000
587.200000,552.450000,595.660000,544.040000,574.393862,523.674139,607.198434,516.758990,599.010000,568.990000,589.990000,562.970000
587.340000,552.790000,595.430000,544.300000,574.536482,523.888071,607.198434,517.234392,599.000000,569.000000,590.010000,562.980000
587.400000,552.940000,595.320000,544.800000,574.322551,523.816760,607.008273,518.090117,599.000000,569.020000,589.990000,562.960000
587.570000,553.140000,595.240000,544.950000,574.465172,524.102002,606.627951,518.565519,599.010000,568.990000,589.990000,562.980000
587.860000,553.540000,595.140000,545.150000,574.607793,524.672485,606.342709,518.945841,598.990000,569.000000,590.000000,562.980000
588.020000,553.840000,595.150000,545.510000,574.893034,525.242968,605.772226,519.611405,599.000000,569.000000,589.990000,562.990000
588.180000,554.020000,595.190000,546.070000,574.893034,526.455245,605.391904,520.181888,598.990000,569.030000,590.010000,562.950000
588.320000,554.220000,595.120000,546.630000,575.106966,526.811796,605.106663,520.467130,599.000000,569.040000,590.000000,562.990000
588.470000,554.450000,595.040000,546.880000,575.249586,527.168348,604.916502,520.752371,598.990000,569.010000,590.000000,562.970000
588.810000,554.950000,594.950000,547.030000,575.392207,527.453590,604.821421,520.847452,598.990000,569.010000,590.010000,562.990000
588.940000,555.170000,594.840000,547.230000,575.534828,527.667521,604.821421,520.847452,599.010000,569.010000,590.000000,563.000000
589.030000,555.340000,594.630000,547.580000,575.606138,527.952763,604.726341,521.132693,598.990000,569.020000,590.020000,562.980000
589.170000,555.690000,594.300000,548.030000,575.820069,528.309315,604.726341,521.132693,599.000000,568.990000,590.000000,562.970000
589.330000,555.910000,594.170000,548.260000,575.891380,528.665866,604.441099,521.322854,598.990000,569.010000,589.990000,562.970000
589.550000,556.170000,593.990000,548.700000,575.962690,528.879798,603.775536,522.083498,599.000000,568.990000,589.990000,562.970000
589.950000,556.760000,593.920000,548.900000,576.034001,529.093729,603.680455,522.558901,598.990000,569.000000,589.990000,562.970000
590.260000,557.100000,593.770000,549.100000,576.176621,529.378970,603.395213,523.034303,598.990000,568.990000,589.990000,562.970000
590.690000,557.590000,593.590000,549.460000,576.319242,529.664212,603.288551,522.809839,598.990000,569.020000,589.990000,562.970000
590.820000,557.950000,593.220000,549.980000,576.390553,529.949453,603.035003,523.063387,599.000000,569.000000,589.990000,562.970000
590.950000,558.160000,593.140000,550.270000,576.533173,530.234695,603.035003,523.316935,599.000000,569.010000,589.990000,562.980000
591.070000,558.420000,593.069540,551.139533,576.604484,530.448626,602.908229,523.570483,598.990000,569.020000,590.000000,562.960000
591.250000,558.800000,593.069540,551.392763,576.818415,530.876488,602.401133,524.584675,599.000000,569.010000,590.000000,562.970000
591.380000,559.120000,593.012556,551.477173,577.032346,531.161730,602.401133,524.584675,598.990000,569.000000,589.990000,562.960000
591.760000,559.720000,592.955572,551.730402,577.174967,531.660903,602.401133,524.838223,598.990000,568.990000,589.990000,562.990000
591.940000,560.060000,592.898587,552.068042,577.317588,532.160075,602.020811,525.345319,598.980000,568.980000,589.980000,563.000000
592.080000,560.390000,592.841603,552.574501,577.388898,532.587938,601.513714,525.852415,598.960000,568.960000,589.950000,563.030000
592.240000,560.910000,592.670650,552.912141,577.531519,532.873179,601.260166,526.359512,598.960000,568.960000,589.940000,563.060000
592.410000,561.280000,592.499697,553.249780,577.602829,533.158421,601.006618,526.739834,598.960000,568.950000,589.930000,563.060000
592.550000,561.850000,592.385729,553.756239,578.801947,534.801947,601.006618,526.739834,598.970000,568.960000,589.860000,563.070000
592.620000,562.290000,592.157792,554.515928,579.309043,535.816139,600.753070,528.007574,598.980000,568.960000,589.880000,563.020000
