pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.022219,0.053859,0.057202,0.025483,0.067526,0.068261,0.022237,0.056147,0.057842
0.021481,0.050464,0.052678,0.025870,0.062412,0.065829,0.022959,0.056903,0.056881
0.021835,0.058129,0.058676,0.028414,0.063445,0.064564,0.024726,0.060613,0.061265
0.022234,0.056093,0.056265,0.025749,0.065570,0.068623,0.023405,0.056065,0.057008
0.021418,0.058952,0.059282,0.028154,0.061800,0.063444,0.022408,0.058125,0.057108
0.021866,0.054573,0.053450,0.025188,0.069499,0.068311,0.021353,0.053594,0.051960
0.021804,0.054554,0.057799,0.025584,0.063899,0.065409,0.021566,0.057208,0.055735
0.022236,0.051216,0.054360,0.024483,0.062860,0.065734,0.023859,0.058283,0.056827
0.022149,0.058997,0.057207,0.024749,0.059536,0.062762,0.023983,0.061360,0.057979
0.021356,0.057031,0.057756,0.024843,0.059479,0.063427,0.021332,0.062190,0.060152
0.022483,0.052587,0.056027,0.024821,0.063259,0.067535,0.021561,0.059418,0.055842
0.022879,0.054461,0.053623,0.025494,0.061651,0.068098,0.021041,0.053528,0.052383
0.023464,0.054418,0.052664,0.025142,0.060621,0.062411,0.021097,0.056587,0.053556
0.022114,0.058954,0.061327,0.023605,0.065859,0.070846,0.021479,0.060464,0.057498
0.022262,0.054457,0.056313,0.023437,0.064517,0.064915,0.022478,0.057552,0.055334
0.022175,0.057850,0.058300,0.022028,0.064963,0.068295,0.022252,0.060621,0.058080
0.022209,0.052336,0.054408,0.024604,0.060633,0.064432,0.024125,0.055852,0.056399
0.021642,0.056931,0.056109,0.024442,0.067921,0.068502,0.022641,0.060138,0.057364
0.022357,0.058041,0.059907,0.026321,0.063307,0.063289,0.023175,0.052969,0.053243
0.022074,0.058309,0.059573,0.023837,0.060943,0.067300,0.020777,0.057441,0.055775
0.021408,0.056563,0.053854,0.022278,0.059825,0.064361,0.021520,0.053601,0.053269
0.021090,0.053131,0.051771,0.026471,0.057275,0.058505,0.023501,0.058397,0.058278
0.022234,0.052965,0.053593,0.025907,0.060733,0.060429,0.022478,0.058830,0.055675
0.021260,0.059316,0.058796,0.024315,0.066153,0.070612,0.023689,0.061528,0.061372
0.022206,0.054498,0.055018,0.025118,0.064228,0.064851,0.022175,0.063349,0.059043
0.020610,0.054058,0.053613,0.025173,0.065748,0.070184,0.021995,0.058885,0.058892
0.023412,0.057265,0.055999,0.023817,0.060925,0.063274,0.021748,0.059244,0.057498
0.021673,0.058837,0.059184,0.026172,0.066855,0.065378,0.021172,0.057665,0.053891
0.021398,0.058125,0.056955,0.026409,0.064939,0.066570,0.021850,0.059286,0.056771
0.020895,0.056011,0.058973,0.024782,0.061086,0.064958,0.022134,0.056249,0.056963
0.022023,0.057288,0.056288,0.024718,0.063446,0.064774,0.021039,0.054679,0.052428
0.020820,0.057030,0.056825,0.024199,0.065328,0.065371,0.021873,0.060013,0.056791
0.021636,0.056460,0.058076,0.025661,0.061008,0.062808,0.022957,0.059127,0.059420
0.022328,0.059446,0.058810,0.024820,0.062527,0.066095,0.022473,0.056258,0.055633
