pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
4.791040,0.650171,4.620623,4.735050,1.322889,4.480184,4.732691,-0.024603,4.720267
4.792083,0.646295,4.621376,4.738387,1.319566,4.478553,4.732997,-0.024305,4.721604
4.793096,0.642339,4.622142,4.741680,1.316137,4.476973,4.733295,-0.024016,4.722901
4.794078,0.638302,4.622923,4.744928,1.312602,4.475445,4.733583,-0.023737,4.724157
4.795031,0.634184,4.623716,4.748132,1.308961,4.473970,4.733863,-0.023467,4.725373
4.795955,0.629986,4.624524,4.751291,1.305213,4.472546,4.734134,-0.023206,4.726549
4.796848,0.625706,4.625345,4.754406,1.301360,4.471174,4.734396,-0.022955,4.727685
4.797711,0.621346,4.626179,4.757475,1.297401,4.469854,4.734650,-0.022713,4.728780
4.798544,0.616905,4.627027,4.760501,1.293335,4.468586,4.734894,-0.022481,4.729835
4.799347,0.612384,4.627889,4.763482,1.289164,4.467369,4.735130,-0.022258,4.730850
4.800121,0.607781,4.628764,4.766418,1.284886,4.466205,4.735356,-0.022044,4.731824
4.800864,0.603098,4.629653,4.769310,1.280502,4.465093,4.735574,-0.021840,4.732758
4.801578,0.598333,4.630556,4.772157,1.276012,4.464032,4.735783,-0.021645,4.733652
4.802261,0.593488,4.631472,4.774959,1.271416,4.463023,4.735984,-0.021460,4.734505
4.802915,0.588563,4.632401,4.777717,1.266714,4.462067,4.736175,-0.021283,4.735318
4.803539,0.583556,4.633345,4.780431,1.261906,4.461162,4.736358,-0.021117,4.736091
4.804132,0.578469,4.634301,4.783099,1.256992,4.460309,4.736531,-0.020959,4.736824
4.804696,0.573301,4.635272,4.785724,1.251972,4.459508,4.736696,-0.020812,4.737516
4.805230,0.568052,4.636256,4.788304,1.246845,4.458759,4.736852,-0.020673,4.738167
4.805734,0.562722,4.637254,4.790839,1.241613,4.458061,4.736999,-0.020544,4.738779
4.806208,0.557311,4.638265,4.793329,1.236274,4.457416,4.737138,-0.020424,4.739350
4.806652,0.551820,4.639290,4.795775,1.230830,4.456823,4.737267,-0.020314,4.739881
4.807066,0.546248,4.640328,4.798177,1.225279,4.456281,4.737388,-0.020213,4.740372
4.807451,0.540595,4.641380,4.800534,1.219622,4.455791,4.737499,-0.020121,4.740822
4.807805,0.534861,4.642445,4.802846,1.213859,4.455354,4.737602,-0.020039,4.741232
4.808129,0.529046,4.643525,4.805114,1.207990,4.454968,4.737696,-0.019966,4.741601
4.808423,0.523151,4.644617,4.807337,1.202015,4.454634,4.737782,-0.019903,4.741931
4.808688,0.517175,4.645724,4.809516,1.195934,4.454352,4.737858,-0.019849,4.742220
4.808922,0.511118,4.646844,4.811650,1.189747,4.454122,4.737926,-0.019804,4.742469
4.809127,0.504980,4.647977,4.813740,1.183453,4.453943,4.737984,-0.019769,4.742677
4.809302,0.498762,4.649124,4.815785,1.177054,4.453817,4.738034,-0.019743,4.742845
4.809446,0.492462,4.650285,4.817785,1.170548,4.453742,4.738075,-0.019727,4.742973
4.809561,0.486082,4.651459,4.819741,1.163937,4.453720,4.738107,-0.019720,4.743060
4.809646,0.479621,4.652647,4.821652,1.157219,4.453749,4.738131,-0.019722,4.743107
4.809701,0.473079,4.653848,4.823519,1.150395,4.453830,4.738145,-0.019734,4.743114
4.809726,0.466457,4.655064,4.825341,1.143465,4.453964,4.738151,-0.019755,4.743081
4.809721,0.459753,4.656292,4.827119,1.136429,4.454149,4.738147,-0.019785,4.743007
4.809686,0.452969,4.657534,4.828852,1.129287,4.454386,4.738135,-0.019825,4.742893
4.809621,0.446104,4.658790,4.830541,1.122039,4.454674,4.738114,-0.019874,4.742738
4.809526,0.439159,4.660060,4.832185,1.114685,4.455015,4.738085,-0.019933,4.742543
4.809401,0.432132,4.661343,4.833784,1.107224,4.455408,4.738046,-0.020001,4.742308
4.809247,0.425025,4.662639,4.835339,1.099658,4.455852,4.737999,-0.020079,4.742033
4.809062,0.417836,4.663949,4.836849,1.091985,4.456349,4.737942,-0.020165,4.741717
4.808847,0.410568,4.665273,4.838315,1.084207,4.456897,4.737877,-0.020262,4.741361
4.808603,0.403218,4.666611,4.839736,1.076322,4.457497,4.737803,-0.020367,4.740965
4.808328,0.395787,4.667961,4.841113,1.068331,4.458150,4.737720,-0.020482,4.740528
4.808024,0.388276,4.669326,4.842445,1.060235,4.458854,4.737629,-0.020607,4.740051
4.807690,0.380684,4.670704,4.843732,1.052032,4.459610,4.737528,-0.020741,4.739534
4.807326,0.373011,4.672096,4.844975,1.043722,4.460417,4.737419,-0.020884,4.738976
4.806931,0.365257,4.673501,4.846173,1.035307,4.461277,4.737300,-0.021036,4.738379
4.806507,0.357423,4.674920,4.847327,1.026786,4.462189,4.737173,-0.021198,4.737740
4.806053,0.349507,4.676353,4.848436,1.018159,4.463152,4.737037,-0.021370,4.737062
4.805569,0.341511,4.677799,4.849501,1.009425,4.464168,4.736893,-0.021551,4.736343
4.805055,0.333434,4.679258,4.850521,1.000586,4.465235,4.736739,-0.021741,4.735584
4.804511,0.325276,4.680732,4.851497,0.991640,4.466354,4.736576,-0.021940,4.734784
4.803937,0.317038,4.682218,4.852428,0.982589,4.467526,4.736405,-0.022149,4.733945
4.803334,0.308719,4.683719,4.853314,0.973431,4.468749,4.736225,-0.022368,4.733065
4.802700,0.300318,4.685233,4.854156,0.964167,4.470024,4.736036,-0.022595,4.732144
4.802036,0.291837,4.686761,4.854953,0.954797,4.471350,4.735838,-0.022832,4.731183
4.801343,0.283276,4.688302,4.855706,0.945321,4.472729,4.735631,-0.023079,4.730182
4.800619,0.274633,4.689857,4.856414,0.935739,4.474160,4.735416,-0.023335,4.729141
4.799866,0.265910,4.691425,4.857078,0.926051,4.475642,4.735191,-0.023600,4.728059
4.799082,0.257106,4.693007,4.857697,0.916256,4.477177,4.734958,-0.023875,4.726937
4.798269,0.248221,4.694602,4.858271,0.906356,4.478763,4.734716,-0.024159,4.725775
4.797426,0.239255,4.696212,4.858801,0.896350,4.480401,4.734465,-0.024452,4.724572
4.796553,0.230209,4.697834,4.859287,0.886237,4.482092,4.734205,-0.024755,4.723330
