pt1_X,pt1_Y,pt1_Z,,,,,,
4.780835,0.609610,4.623926,4.727825,1.295360,4.497287,4.734766,-0.034026,4.731026
4.786245,0.628250,4.644231,4.727825,1.295360,4.497287,4.736100,-0.021042,4.734665
4.787047,0.627095,4.643047,4.729276,1.290264,4.492635,4.736154,-0.021091,4.734627
4.788284,0.625942,4.641699,4.733581,1.286846,4.487103,4.735888,-0.021055,4.734666
4.789574,0.623740,4.639858,4.735033,1.281746,4.482446,4.735872,-0.021027,4.734832
4.791485,0.619195,4.637075,4.738705,1.279178,4.483088,4.736077,-0.020168,4.735407
4.793218,0.614821,4.634463,4.747549,1.278692,4.480572,4.736062,-0.021022,4.734538
4.794300,0.612255,4.633044,4.761989,1.301935,4.484607,4.736042,-0.021383,4.734673
4.795503,0.609534,4.631038,4.764339,1.292229,4.475535,4.736016,-0.020791,4.734456
4.796618,0.609376,4.631407,4.766938,1.282495,4.469345,4.735982,-0.021370,4.734254
4.797286,0.607427,4.630971,4.769698,1.272534,4.461600,4.735866,-0.021063,4.734374
4.798154,0.603342,4.630092,4.770428,1.269987,4.459274,4.736006,-0.021609,4.734044
4.800016,0.597138,4.627736,4.771564,1.267187,4.458274,4.735982,-0.021370,4.734254
4.803032,0.586073,4.625466,4.777453,1.267116,4.464183,4.735966,-0.021342,4.734419
4.803608,0.582341,4.625689,4.778915,1.262020,4.459529,4.736060,-0.021657,4.734006
4.804072,0.578556,4.624117,4.781421,1.255778,4.449980,4.736232,-0.021378,4.734379
4.804472,0.575875,4.623654,4.784447,1.257806,4.457938,4.736098,-0.021678,4.734133
4.804757,0.572877,4.622783,4.790104,1.265488,4.462281,4.736078,-0.021050,4.734373
4.805371,0.572089,4.624364,4.789192,1.263087,4.466633,4.735963,-0.021096,4.734920
4.806406,0.569978,4.625806,4.792511,1.255213,4.457279,4.736188,-0.020512,4.734829
4.806853,0.566601,4.626769,4.794518,1.249785,4.454403,4.736186,-0.021147,4.734297
4.809105,0.563097,4.630861,4.797448,1.239570,4.445077,4.736094,-0.021078,4.734208
4.811518,0.554338,4.629255,4.799687,1.236692,4.443716,4.735998,-0.021398,4.734088
4.813314,0.550730,4.634806,4.801535,1.231477,4.442387,4.736171,-0.020484,4.734994
4.815051,0.548865,4.639237,4.804309,1.221472,4.434608,4.735920,-0.021111,4.734336
4.816063,0.546256,4.641285,4.813932,1.222693,4.439371,4.736211,-0.019869,4.735654
4.816578,0.544395,4.642687,4.814652,1.225207,4.446674,4.736116,-0.021070,4.734500
4.816972,0.541068,4.643693,4.817795,1.226357,4.449632,4.736151,-0.020845,4.735128
4.818123,0.538547,4.645943,4.821546,1.229964,4.457447,4.736116,-0.021070,4.734500
4.818688,0.533911,4.649137,4.822893,1.215548,4.445510,4.736116,-0.021070,4.734500
4.817826,0.527306,4.649182,4.823629,1.212991,4.443178,4.736287,-0.020791,4.734874
4.818137,0.517265,4.648140,4.823849,1.198772,4.433587,4.736136,-0.021698,4.734260
4.817901,0.506706,4.645952,4.825592,1.193489,4.429811,4.736132,-0.021099,4.734335
4.817961,0.493953,4.643212,4.828255,1.180957,4.422944,4.736250,-0.020771,4.734747
4.816834,0.488000,4.643722,4.828329,1.176209,4.419743,4.736052,-0.021447,4.734050
4.817039,0.479805,4.645714,4.832620,1.176360,4.434683,4.735958,-0.021132,4.734463
4.817169,0.472392,4.643756,4.832613,1.154661,4.434294,4.736039,-0.021665,4.733714
4.817972,0.461812,4.643206,4.830751,1.151240,4.441233,4.736038,-0.020783,4.734748
4.817774,0.457939,4.649100,4.833305,1.154388,4.454967,4.736302,-0.021455,4.734176
4.816660,0.450684,4.647935,4.834666,1.140563,4.453482,4.736022,-0.021637,4.733879
4.814789,0.439059,4.646677,4.836530,1.128396,4.456315,4.736250,-0.020771,4.734747
4.813130,0.434946,4.652681,4.838261,1.105155,4.453323,4.736178,-0.021329,4.734418
4.810451,0.432437,4.661175,4.844840,1.093433,4.468459,4.736333,-0.020629,4.734880
4.808974,0.427397,4.667710,4.845125,1.079487,4.465315,4.736251,-0.021124,4.735173
4.808070,0.420919,4.669057,4.845603,1.070140,4.466261,4.736304,-0.020819,4.734708
4.805918,0.407756,4.667265,4.845394,1.063070,4.465532,4.736193,-0.020476,4.735286
4.805558,0.400910,4.667419,4.844337,1.058511,4.464690,4.735988,-0.021334,4.734711
4.806073,0.392922,4.667916,4.844739,1.053934,4.468839,4.736169,-0.020237,4.735496
4.807380,0.379977,4.668146,4.843288,1.047019,4.468030,4.736094,-0.021078,4.734208
4.806731,0.371757,4.667560,4.845602,1.036893,4.466845,4.736382,-0.021106,4.734461
4.805481,0.360829,4.668218,4.849371,1.018131,4.463875,4.736172,-0.021365,4.733961
4.802631,0.346371,4.667397,4.849182,1.014178,4.470257,4.736344,-0.021086,4.734334
4.800653,0.332828,4.663655,4.849811,1.002859,4.471104,4.736306,-0.021065,4.734207
4.797620,0.315001,4.660744,4.850233,0.994669,4.464839,4.736420,-0.021127,4.734588
4.799296,0.301341,4.661501,4.851926,0.985698,4.464577,4.736210,-0.021386,4.734087
4.798513,0.295572,4.663747,4.850707,0.981581,4.468788,4.736232,-0.021378,4.734379
4.797020,0.291802,4.676627,4.851141,0.976219,4.470751,4.736358,-0.020868,4.734670
4.795651,0.286364,4.681166,4.852195,0.957801,4.475023,4.736170,-0.021119,4.734462
4.795444,0.280473,4.682000,4.850470,0.951004,4.473302,4.736360,-0.021114,4.734169
4.792699,0.267065,4.683007,4.850059,0.946395,4.480189,4.736274,-0.021009,4.734537
4.791486,0.260325,4.687025,4.852188,0.932042,4.481895,4.736432,-0.020948,4.734575
4.790486,0.255234,4.694667,4.855974,0.916435,4.481353,4.736810,-0.021084,4.734567
4.791111,0.245492,4.698651,4.856306,0.906023,4.483505,4.736840,-0.021287,4.734815
4.791036,0.235758,4.700484,4.857788,0.897344,4.485334,4.736880,-0.021553,4.734441
