pt1_dltres,pt2_dltres,pt3_dltres
0.136983,0.049565,0.092778
0.224403,0.049565,0.161126
0.227579,0.095268,0.147503
0.229840,0.244256,0.157423
0.206557,0.198555,0.164033
0.122724,0.287891,0.157746
0.072249,0.038231,0.168139
0.075578,1.130391,0.145757
0.038107,1.359405,0.152558
0.004199,1.575868,0.153174
0.003736,1.729793,0.157826
0.048293,1.752641,0.169158
0.139168,1.700403,0.153174
0.454774,1.475940,0.159784
0.350554,1.521627,0.155535
0.323079,1.242107,0.149863
0.282821,0.956838,0.148522
0.234597,0.601823,0.161529
0.242078,0.252064,0.143397
0.192575,0.453606,0.146887
0.105754,0.399153,0.134283
0.038329,0.490502,0.154919
0.129328,0.608757,0.146564
0.113216,0.616817,0.153497
0.131248,0.770675,0.144203
0.248631,0.722060,0.159088
0.307594,0.869605,0.154516
0.380806,0.812396,0.131115
0.474237,0.890277,0.154516
0.615338,0.911399,0.154516
0.564810,0.934224,0.148845
0.353970,0.822314,0.141508
0.458707,0.817885,0.147906
0.709019,0.811408,0.155858
0.716768,0.774103,0.132941
0.473948,0.195646,0.137190
0.480366,0.779799,0.155938
0.512071,0.922125,0.152155
0.269675,1.610670,0.129630
0.315366,1.794162,0.162548
0.480097,1.692006,0.155858
0.477438,1.825807,0.163487
0.265723,1.440809,0.112627
0.039177,1.416352,0.133073
0.037163,1.379125,0.142235
0.314150,1.244120,0.153094
0.328233,1.073882,0.159381
0.179077,1.073975,0.137110
0.068619,0.793593,0.154919
0.062234,0.726607,0.144595
0.058336,1.226141,0.157280
0.261622,1.401437,0.151609
0.374878,1.562202,0.158622
0.497003,1.219768,0.137582
0.336440,1.236961,0.150267
0.291132,1.183507,0.149863
0.100692,1.220451,0.128611
0.023280,1.678715,0.140893
0.196273,1.448505,0.144999
0.488237,1.244865,0.171842
0.514865,1.299046,0.189168
0.417584,1.443565,0.232791
0.540778,1.617683,0.254982
0.560059,1.718316,0.264356
0.617633,0.397024,0.279137
0.380317,0.509333,0.240023
0.506157,0.676250,0.193313
0.430636,0.315180,0.162836
0.377493,0.334942,0.193059
0.163689,0.329973,0.241962
0.265651,0.125930,0.262587
0.398908,0.367738,0.268068
0.266837,0.616883,0.194774
0.072973,0.513080,0.173056
0.216181,0.260361,0.148110
0.333641,0.258908,0.158986
0.445132,0.372628,0.176333
0.243989,0.486349,0.145707
0.303335,0.367645,0.183931
0.297512,0.347684,0.259109
0.354810,0.748919,0.255397
0.319497,0.692157,0.211815
0.197287,0.484958,0.385568
0.177822,0.515172,0.395446
0.229301,0.156570,1.185576
0.402746,0.388989,0.102919
0.178163,0.384924,0.487796
0.081412,0.276549,0.754169
0.078832,0.916922,0.510176
0.043714,0.916922,0.431548
0.088211,1.309953,0.086364
